word,count
да,10989334
не,6835228
се,5464399
на,4491835
си,3756930
за,3545103
ще,3508437
че,3104583
това,3077788
ли,3009397
ти,2581730
от,2456440
ми,2233438
какво,2071743
го,1947085
съм,1519082
но,1468518
аз,1373222
те,1260390
трябва,1177694
добре,1131687
ме,1100438
са,1083091
няма,1036422
може,974437
ако,970973
тук,930344
така,860598
ви,851395
като,828863
много,809288
той,794254
по,776813
има,758744
беше,735796
нещо,728495
му,718132
как,679275
защо,671561
ни,670285
знам,605277
само,601486
всичко,597885
мен,590134
сега,588107
теб,533359
тя,515808
което,503674
искам,501235
мога,498712
още,493270
когато,485751
до,470450
ги,469229
този,462754
просто,462574
сте,450290
или,440854
къде,429542
би,428623
тази,425048
всички,422863
благодаря,412158
нали,411291
сме,406178
нищо,398312
толкова,387698
знаеш,377568
един,376529
защото,371493
след,365208
там,357759
време,356924
който,352643
искаш,349672
мисля,348011
кой,336924
малко,334622
имам,330944
преди,325276
хайде,316097
вече,313334
тези,313259
моля,306089
някой,305003
каза,300487
него,296933
наистина,296270
ние,290382
вие,284691
които,274352
повече,259609
съжалявам,259559
тогава,257885
точно,251651
става,248237
все,245324
можеш,245079
една,242576
имаш,237374
към,235293
без,234409
колко,233275
кажа,232949
никога,232468
при,232016
човек,229102
работа,227392
им,222363
ден,221357
едно,220230
бях,217693
бъде,217259
през,215789
ето,214953
значи,211728
със,210895
дори,208187
хора,205513
път,203195
както,202829
нас,201919
години,198046
бил,197999
баща,195634
правиш,194983
която,190838
разбира,190368
също,187876
мислиш,186659
вас,186399
ами,185672
нея,184802
направи,183375
винаги,180189
докато,178540
имаме,177403
виж,175242
всеки,175014
иска,173487
майка,167556
казах,166726
нека,164860
хората,161661
хей,161438
жена,161175
видя,161117
дали,158318
във,157295
никой,157082
пак,155025
тях,154748
направя,154191
неща,153990
кажи,151108
място,149994
заради,148873
прави,148281
сър,147873
можем,147088
дяволите,145935
изглежда,143622
днес,143104
кажеш,141764
живота,140717
трябваше,140468
отново,137415
татко,136761
няколко,136196
наред,135134
боже,132614
друг,132197
здравей,131199
затова,129003
бих,127121
доста,124011
обичам,122171
пари,122111
знае,122063
начин,121098
моя,120963
мислех,119665
нужда,118000
сам,117952
две,117773
дойде,116102
заедно,115126
добър,112682
ела,110542
нямам,108908
приятел,108591
после,107941
видим,105590
правя,105552
вечер,104768
достатъчно,104751
всъщност,104024
исках,103505
проблем,102477
живот,102029
нещата,101642
под,101618
каквото,100916
говори,100912
разбирам,100822
сигурно,100626
чакай,100202
веднага,100034
ей,99487
три,99475
какъв,98702
казва,97844
стана,97403
утре,96891
дай,96582
добро,96140
знаете,96131
говоря,95153
била,94931
предвид,92213
казвам,91648
колата,91332
имате,91138
себе,91031
момиче,90789
мамо,90576
стане,90073
харесва,89853
случи,89670
нощ,89599
било,89340
работата,89330
каква,89258
говориш,88662
бе,88585
сигурен,88137
искате,87600
скъпа,87585
пред,87570
били,87329
между,86862
друго,85429
моята,85222
част,85069
стига,84989
направим,84867
имаше,84808
освен,84364
мой,83763
двамата,83615
кога,83359
бяха,83261
върна,83197
някои,82690
мъж,82671
момчета,82574
бързо,82513
където,82319
извинете,82229
името,82089
виждам,81785
бъда,80875
парите,80855
видях,80532
хубаво,80480
скоро,80405
помогна,80222
остави,79906
дни,79801
поне,79694
такъв,79091
здрасти,78802
направиш,78238
часа,77404
два,76861
брат,76468
добра,76056
ясно,75816
знаех,74482
радвам,73787
нямаше,73144
деца,73083
взема,72855
то,72729
около,72642
момче,72444
щом,72329
приятели,72179
времето,72015
минути,71805
правим,71779
колкото,70935
първо,70823
други,70469
спри,70332
страна,70305
работи,70254
помощ,70080
могат,70016
нито,69997
върви,69730
господи,69430
твоя,69174
предполагам,69148
момент,68847
направил,68826
чудесно,68370
година,67972
здравейте,67801
знаем,67444
срещу,67110
можете,67074
главата,66757
случай,66383
имат,66239
кажете,65981
вътре,65800
къщата,65671
твърде,64938
трудно,64197
дома,64039
пъти,63908
дете,63655
значение,63533
означава,63523
почти,63318
идея,63218
име,63041
света,62974
човече,62742
дъщеря,62668
децата,62429
такива,61879
въпрос,61704
върху,61549
мамка,61334
голяма,61167
казваш,61091
страхотно,61046
момента,60715
давай,60398
вероятно,60077
говорим,60031
прав,59973
вкъщи,59843
веднъж,59791
какви,59707
истината,59614
сериозно,59547
всяка,59370
кого,59237
идва,59027
откъде,58990
щеше,58972
вървим,58823
май,58640
надявам,58568
такова,58201
виждаш,58185
отида,58047
семейството,57775
обади,57470
сестра,57274
мама,57218
понякога,56781
мисли,56744
вземи,56733
над,56621
направих,56427
искаше,56210
чувствам,56083
каже,55949
възможно,55707
де,55421
полицията,55326
свят,55151
среща,54898
моят,54500
земята,54337
напълно,54222
намери,54120
лошо,54017
вярно,53751
даде,53732
извинявай,53714
седмица,53467
мъртъв,53373
видиш,53332
чух,53293
слушай,53140
искал,53117
бог,52963
голям,52652
казал,52461
дам,52292
твоята,52086
час,52056
града,51873
сигурна,51872
тръгваме,51756
коя,51485
всичките,51477
готов,51337
странно,51305
някога,51282
пък,51176
вратата,51099
цялата,50959
сякаш,50935
свърши,50889
училище,50850
искат,50474
моето,50424
поговорим,50358
такава,50292
семейство,50249
смъртта,50150
сама,50115
ръцете,50001
разбираш,49849
имах,49815
вярвам,49738
бяхме,49673
син,49470
очите,49465
телефона,49441
другите,49252
нямаш,49117
скъпи,49104
моите,48891
вижте,48856
сърцето,48823
мястото,48816
бъдеш,48758
зад,48423
щях,48178
разбрах,47891
джон,47881
месеца,47836
проблеми,47684
според,47510
пет,47284
мислите,47273
прекалено,47185
кола,47105
двама,47009
погледни,46944
намеря,46844
правят,46661
дълго,46610
някъде,46577
някакъв,46425
цялото,46361
лесно,46164
виждал,45984
звучи,45867
оттук,45820
край,45774
любов,45751
онзи,45684
дума,45581
чао,45494
кое,45421
обратно,45348
познавам,45338
струва,45100
шанс,44958
някого,44487
отколкото,44390
друга,44341
нашата,44273
история,44056
пътя,43888
отиде,43704
вода,43538
същото,43443
спокойно,43441
получи,43357
джак,43272
случило,43246
ало,43086
връзка,43012
помогне,42986
долара,42683
тялото,42639
правите,42445
стаята,42379
право,42039
късно,42001
долу,41937
нашите,41898
превод,41844
причина,41778
бъдат,41757
стая,41701
къща,41390
остана,41256
затвора,41194
отидем,40974
намерим,40846
супер,40822
номер,40782
важно,40678
края,40620
изглеждаш,40534
ужасно,40486
започна,40472
приятно,40459
помниш,40444
искаме,40409
цял,40323
отивам,40208
съвсем,40198
някаква,40052
живее,39978
тръгвам,39854
нямаме,39844
бъди,39816
въпреки,39635
убие,39623
идвам,39544
глупости,39463
стой,39414
казват,39401
изобщо,39346
лицето,39237
повярвам,39133
види,38969
нов,38964
разбра,38896
трябвало,38844
целия,38842
дойда,38675
готови,38625
седмици,38400
работя,38341
първи,38271
против,38139
що,38100
снощи,38063
жив,38040
дойдеш,38033
кръв,37873
далеч,37809
недей,37711
пука,37542
добри,37517
права,37462
зле,37450
момичета,37438
опитвам,37384
двете,37347
обадя,37181
жени,37149
явно,37005
истински,36842
мъже,36841
сигурност,36833
лека,36704
обича,36700
информация,36656
върне,36634
сутрин,36584
правилно,36575
дръж,36545
късмет,36524
сутринта,36480
малка,36234
страх,36207
обичаш,36137
мина,36102
навън,36058
знаят,35994
сина,35777
можеше,35767
четири,35754
случва,35725
станало,35724
човека,35666
общо,35623
иначе,35587
утро,35561
нова,35365
родителите,35298
когото,35090
грешка,35057
пусни,35034
горе,34995
насам,34937
ръката,34885
почакай,34683
агент,34579
храна,34544
нужно,34497
чичо,34472
секс,34448
малък,34341
харесвам,34293
избор,34262
имал,34239
убия,34069
определено,34044
никого,34031
очевидно,33898
оставя,33875
намерих,33798
разбера,33721
град,33708
ню,33682
близо,33633
господа,33600
вчера,33572
можех,33118
едва,32976
направо,32915
детето,32905
забрави,32863
вечеря,32706
цяла,32635
ок,32623
убил,32621
дошъл,32530
вместо,32450
онази,32404
гледам,32233
отвори,32226
хареса,32223
историята,32161
игра,32045
познаваш,32030
първата,32013
любовта,32004
дом,31979
браво,31883
план,31740
тръгна,31716
гледай,31689
особено,31683
твоите,31551
момичето,31480
готова,31461
дойдох,31443
смисъл,31385
истина,31372
някакви,31278
забавно,31241
взе,30973
майкъл,30935
представа,30904
отиваш,30857
спрете,30680
кафе,30658
госпожо,30648
излезе,30542
твоето,30446
върнем,30383
война,30332
дошли,30113
чарли,30107
съпруга,30078
вид,30069
ръка,29980
честно,29963
промени,29915
шест,29893
умре,29884
джо,29676
дядо,29577
последните,29563
животът,29547
онова,29512
врата,29506
ръце,29469
досега,29404
нашия,29404
господин,29384
въпроса,29376
върнеш,29334
казаха,29317
господине,29235
живея,29207
внимавай,29147
навсякъде,29145
мразя,29106
смърт,29090
хиляди,29034
бога,28977
помислих,28955
голямо,28910
трябват,28866
месец,28789
довиждане,28758
невероятно,28756
красива,28644
върни,28620
лично,28566
казвай,28540
та,28539
наоколо,28515
вашата,28510
ваше,28498
даже,28477
покажа,28446
назад,28395
приятелка,28386
кара,28370
нощта,28303
спаси,28301
извън,28284
довечера,28250
въпроси,28240
бива,28203
възможност,28194
онези,28176
чувстваш,28099
убийство,28039
луд,28010
пич,28007
зная,27967
напред,27935
другата,27898
бъдем,27896
вземем,27831
знаеше,27677
интересува,27582
помня,27531
очи,27526
тате,27513
обещавам,27498
ред,27497
успокой,27474
думи,27409
тъй,27407
помогнеш,27373
отидеш,27353
случая,27289
бизнес,27252
вземеш,27250
тъкмо,27240
момчето,27209
грижа,27202
опита,27200
чу,27198
повечето,27196
внимание,27126
капитане,27095
тревожи,27091
тип,27061
отдавна,27051
прекрасно,26997
често,26976
никакви,26968
имало,26948
вземе,26934
деня,26889
чакам,26876
започва,26854
твой,26784
ама,26702
разбере,26663
майк,26634
оръжие,26592
йорк,26578
твоят,26553
остане,26515
откакто,26509
том,26489
разберем,26481
леглото,26434
човекът,26407
кои,26402
следващия,26196
пише,26193
държи,26188
приятелите,26168
всяко,26156
чака,26127
щастлив,26110
някоя,26062
сила,26020
питам,25996
отиваме,25971
болницата,25962
новини,25882
боли,25857
чуй,25826
постоянно,25799
работиш,25621
сара,25610
прилича,25597
използва,25579
шефе,25568
води,25543
обикновено,25478
пази,25471
уби,25456
нови,25439
франк,25424
ох,25423
вашите,25420
сами,25404
ново,25349
офиса,25290
останалите,25258
бебето,25167
елате,25157
коледа,25150
чест,25147
синът,25128
реших,25118
дами,25096
