word,count
da,3514987
je,3468827
ne,1706963
se,1673587
to,1273207
sam,1206559
na,860257
ti,804709
mi,710171
za,708628
si,704628
li,646690
što,592486
ja,567952
su,504949
šta,493795
ali,488800
sa,473195
nije,440797
ovo,392039
samo,388441
te,382875
me,380364
od,375093
ga,359188
bi,353301
kako,341283
dobro,309394
ako,304893
smo,296122
sve,295104
kao,288729
će,259592
tako,258661
znam,249523
mogu,232703
nisam,232544
pa,229169
ste,219619
bio,214398
biti,212923
redu,211183
on,206536
zašto,194953
koji,190422
još,189936
bilo,189629
nešto,182782
ću,182632
vas,175184
kad,173666
hvala,169993
iz,169604
mislim,169009
ima,160712
ovdje,160201
ili,158174
ih,154161
sada,151682
znaš,149191
onda,146644
moj,143267
do,142763
vam,140131
možda,137875
više,136740
zar,135840
rekao,135242
bila,132357
kada,131188
ona,131000
nas,130957
bih,130903
nema,130074
mu,129929
malo,126902
mene,126474
treba,122158
ovde,122110
molim,121218
ništa,119970
tebe,117686
hajde,115060
hej,115022
imam,114389
tamo,111162
sad,110969
ni,108055
gdje,107193
ko,106996
tu,106436
nam,105282
jesi,104727
zbog,104475
želim,104119
možeš,103753
jer,102000
može,101863
vi,101503
nisi,97111
ljudi,96519
svi,95767
stvarno,94595
po,91984
moram,91931
ćemo,90301
zato,89077
koliko,88720
jedan,88690
idemo,88481
oh,87496
moja,84158
stvari,82938
misliš,80958
baš,80550
koje,80287
ćeš,79573
nego,78949
ono,78027
dok,77852
gde,77606
bez,77509
oni,75021
joj,74153
ovaj,73854
već,73408
naravno,72631
reći,72629
sto,72095
toga,71899
imaš,70232
gospodine,69849
ok,69791
tvoj,69145
taj,69137
koja,69078
neće,68874
možemo,68865
prije,68630
posao,68217
moje,67375
imamo,67270
dana,67120
reci,66888
tome,65095
radi,64741
žao,64147
rekla,64143
nikad,64080
kod,63901
zdravo,63850
dan,63737
godina,62922
moramo,62876
mama,62391
put,61793
mogao,61782
bolje,61621
želiš,61266
neko,60664
nemoj,60537
mora,59892
sta,59479
daj,58846
mnogo,58295
jeste,58234
znači,57948
izgleda,57912
vidim,57796
bože,56996
uvijek,56965
ce,56676
bili,56598
meni,55491
radiš,55263
hoćeš,54924
tata,54552
volim,54519
dobar,54508
im,54477
svoje,54448
stvar,54058
dva,53758
idem,53693
moraš,53677
neću,52350
tko,52152
mislio,51489
vremena,51122
vidi,50853
bude,50794
nisu,50780
vrijeme,50750
znate,50287
njega,50083
evo,49942
imao,49828
danas,49772
život,48679
kažem,48565
nikada,48522
odmah,47973
tvoja,47234
zna,47065
kući,46905
puno,45468
ime,45391
neka,45047
tri,44971
tim,44707
upravo,44613
možete,44202
tobom,44189
svoj,43453
koju,43279
svoju,42722
pre,42642
toliko,42616
uvek,42214
neki,41911
idi,40876
mnom,40817
oko,40696
opet,40514
kaže,40505
tvoje,40264
jesam,40166
god,39726
ide,39595
ove,39404
sranje,39196
jednom,39182
cu,39079
radim,38707
čak,38482
nismo,38450
trebalo,38374
čemu,37910
sigurno,37854
žena,37785
vidimo,37462
postoji,37279
nemam,37173
ta,36911
godine,36893
novac,36870
jako,36745
znao,36496
tebi,36445
trebao,36351
otac,36125
vreme,35984
prvi,35857
dovoljno,35692
hoću,35677
veoma,35522
ovamo,35465
želi,35401
puta,35358
pravu,35241
drugi,35024
njih,34778
prema,34694
imate,34599
dalje,34198
jedna,34054
sutra,34050
problem,34047
pomoći,34047
vrlo,33740
nakon,33719
zajedno,33670
vidiš,33584
niko,33535
dušo,33523
sebe,33382
čekaj,33295
ova,32910
slušaj,32896
dosta,32658
odavde,32404
ma,32264
dobra,32071
kroz,32003
drago,31976
vrata,31787
pogledaj,31494
vidio,31435
koga,31177
nekoliko,30897
siguran,30780
mogla,30688
došao,30537
moju,30526
kažeš,30445
brzo,30281
način,30101
njim,29988
pod,29955
vidjeti,29851
zaista,29762
svaki,29526
neke,29510
jednu,29472
uradio,29256
par,28807
gore,28687
unutra,28531
dođi,28420
izvini,28377
ovu,28255
ići,28246
mislila,28236
dugo,28221
super,28215
desilo,27854
ponovo,27575
mali,27547
mogli,27505
minuta,27389
protiv,27344
pravo,27150
isto,27128
nama,27097
previše,27093
naš,27045
ćete,26980
ovog,26973
mog,26964
ovako,26922
dogodilo,26665
imaju,26610
prvo,26482
noć,26384
nećeš,26363
znamo,26281
loše,26212
imala,26179
jedno,26101
pusti,26078
preko,26005
osim,25971
vaš,25957
ubio,25928
mjesto,25911
vama,25758
imati,25741
kasnije,25719
majka,25716
nadam,25671
naći,25661
večeras,25607
ovom,25586
momci,25579
dakle,25533
budem,25326
pravi,25269
tom,24874
auto,24821
video,24813
teško,24675
niste,24665
jednog,24505
doći,24495
vratiti,24248
čovjek,24193
one,24089
ljude,23832
želite,23701
broj,23700
dolazi,23656
čuo,23559
radio,23380
imali,23318
njegov,23291
istina,23236
zapravo,23208
mislite,23181
znati,23179
zove,23074
misli,23043
sviđa,23038
budi,23031
veliki,22882
pomoć,22881
naše,22837
ruke,22793
ju,22781
htio,22494
kakav,22394
tip,22246
nju,22147
stani,22057
jel,22008
pet,21945
netko,21928
dobiti,21864
uz,21839
izvinite,21779
vaše,21740
ideš,21737
rekli,21737
onaj,21697
čini,21639
mrtav,21638
kuće,21605
dešava,21574
zasto,21510
jos,21401
vezi,21379
oprosti,21349
tog,21202
prijatelj,21181
svojim,21150
novi,21092
dao,21030
ubiti,21027
trebali,20970
