word,count
la,18438
mi,16311
vi,13927
ne,11163
estas,10726
kaj,7070
ĉu,6139
de,5988
al,5482
ni,5259
en,4287
li,3806
ke,3667
por,3144
ĉi,3026
tio,2674
sed,2512
ili,2215
kiel,2198
vin,2092
tie,2051
pri,1967
min,1958
jes,1905
kio,1810
mia,1807
kun,1793
estis,1755
kion,1748
ĝi,1703
povas,1635
kiu,1590
via,1563
tiu,1533
ĝin,1415
ŝi,1412
bone,1409
tion,1407
se,1382
volas,1359
havas,1347
do,1311
pli,1273
nur,1268
oni,1229
nun,1202
scias,1120
kial,1048
devas,987
lin,949
el,903
kiam,899
unu,874
kie,869
ja,849
jam,824
jen,811
tiel,790
nu,790
da,788
sur,786
ankaŭ,769
pro,763
tre,753
per,729
ĉiuj,708
je,702
diris,693
aŭ,658
estos,657
ilin,651
ho,648
vian,640
tiun,603
iru,597
ĉar,594
nin,584
nia,584
plu,578
ĉio,575
dum,574
mian,557
sinjoro,550
ankoraŭ,548
dankon,547
vere,536
esti,535
eĉ,533
ĝis,526
neniam,510
venu,509
eble,497
diras,495
dio,486
ion,485
du,477
antaŭ,466
ĉe,463
ĉiam,463
tiuj,457
ol,454
post,453
iu,448
fari,444
tien,442
bezonas,442
plej,438
tiom,434
homoj,432
kia,426
ĉion,416
bona,409
certe,407
bonan,406
rigardu,406
faras,402
tuj,398
patro,393
faris,389
bonvolu,382
diru,380
sen,369
paĉjo,367
kiuj,366
pardonu,363
panjo,363
poste,362
lia,361
saluton,359
mem,358
vidis,357
tempo,352
vivo,349
tute,349
neniu,348
kiom,347
tro,345
ŝin,334
ek,333
pensas,327
kiun,325
laŭ,324
vidas,322
okazas,313
nenion,310
okazis,309
viaj,308
estu,306
multe,303
atendu,302
petas,302
hodiaŭ,301
faru,294
iom,292
diri,290
lasu,288
granda,288
komprenas,286
alia,284
homo,282
tiam,279
miaj,278
for,278
tamen,277
venis,275
mondo,272
ĉiu,268
estus,267
ha,267
io,263
kien,260
nenio,258
vidi,258
jaroj,256
rapide,253
iras,245
iri,245
ci,241
ŝatas,235
havis,234
denove,233
patrino,233
povus,230
tri,230
niaj,229
ajn,227
tagon,226
eblas,226
volis,225
parolas,224
donu,221
sia,221
aliaj,218
kredas,218
kontraŭ,218
ĝuste,218
aŭskultu,212
rajtas,212
unua,212
tia,211
sian,211
viajn,210
sin,207
prenu,205
sola,205
konas,201
kara,201
nek,201
morgaŭ,201
filo,201
bela,199
he,198
faros,197
tuta,192
ĉiujn,189
gravas,188
ŝajnas,187
infanoj,187
sinjorino,187
vidu,186
venas,186
trovis,185
nomo,184
alian,184
iros,183
kune,180
opinias,180
necesas,178
iam,175
timas,174
helpu,173
afero,172
venos,171
inter,167
sentas,167
tago,166
amas,165
baldaŭ,165
amiko,163
ekde,162
simple,162
povos,161
kompreneble,161
paroli,161
longe,160
preskaŭ,160
pensis,159
edzino,159
tero,158
foriru,157
fartas,156
bonege,156
mortis,155
ĉesu,155
frato,155
restu,154
ekzistas,152
tiujn,152
vivon,151
hej,151
tra,151
reĝo,150
sub,150
atentu,150
tutan,150
iun,150
aŭdis,149
haltu,149
milito,147
knabo,147
vera,147
domo,147
helpi,146
loko,146
aŭdas,145
vivas,145
povis,144
kvazaŭ,144
nian,143
bedaŭras,143
deziras,142
antaŭe,141
viro,141
aspektas,141
revenos,140
fratino,140
morto,140
unue,140
bonvole,137
ordo,137
sufiĉas,137
tempon,136
sciis,135
memoras,134
miajn,134
amo,133
gvidanto,133
hejmen,132
nova,132
sufiĉe,130
moŝto,130
laboro,130
ŝia,128
certas,127
kiujn,127
komprenis,127
iomete,126
devus,126
zorgu,126
amikoj,125
akvo,122
fino,121
signifas,118
malfermu,117
iris,117
sankta,116
ĵus,116
devos,116
kvin,114
virino,114
verŝajne,114
æu,112
lando,112
atendas,112
kapablas,111
koro,111
barono,110
scii,110
manĝi,109
damne,108
restos,108
lian,108
horo,108
monon,107
finfine,107
tial,107
almenaŭ,106
multaj,106
nokton,106
dek,106
mortos,106
mono,105
