word,count
ez,146296
da,94397
eta,84876
bat,50668
dut,49651
zer,38407
egin,38393
duzu,34720
bai,33973
nahi,29276
du,26642
behar,26615
baina,26610
hori,26329
nire,23631
naiz,22075
izan,21882
zure,21267
esan,20295
dago,20048
zara,19380
hau,18611
ere,18010
dugu,16563
ari,16183
zen,15962
egiten,15090
dira,13912
hemen,13701
zuen,13289
egingo,11324
ezin,11319
nuen,11136
ondo,11080
oso,10730
bere,10723
zu,10707
nik,10673
uste,10663
orain,10439
al,10182
izango,10052
zergatik,9805
joan,9434
ongi,9327
jauna,9269
ni,9213
asko,8907
dute,8635
beste,8384
dizut,8291
ikusi,8188
hitz,8075
gara,7875
nola,7861
edo,7712
zaude,7644
gure,7493
zuk,7293
ezer,7203
nago,7002
dena,6720
eman,6714
utzi,6683
baino,6472
dela,6402
ezta,6339
zerbait,6208
kaixo,6117
egon,6099
non,6060
bezala,6004
etorri,5962
hil,5868
den,5786
dakit,5708
mesedez,5614
gauza,5533
bakarrik,5497
gehiago,5485
batean,5413
bi,5385
ditut,5378
hartu,5328
gero,5280
goazen,5205
ba,5030
ona,5007
barkatu,4982
aita,4928
entzun,4853
hor,4819
beharko,4680
gabe,4670
ikusten,4646
tira,4615
benetan,4549
horrela,4519
inoiz,4513
badakit,4487
zaitut,4461
sentitzen,4422
nor,4384
begira,4333
egun,4331
nintzen,4321
orduan,4319
eskerrik,4316
beti,4275
bera,4274
ama,4252
esaten,4247
gaur,4127
badakizu,4089
gizon,4089
didazu,4056
zenuen,4050
daude,4000
ematen,3950
duzue,3851
arte,3807
ditu,3806
gertatzen,3798
sartu,3792
urte,3758
mila,3673
diot,3614
esker,3583
beraz,3568
egia,3562
baten,3541
lehen,3526
oraindik,3514
batek,3484
bada,3467
lan,3458
ados,3422
horrek,3383
zait,3362
baduzu,3360
egongo,3350
kaka,3335
duen,3329
berriz,3289
alde,3286
ezazu,3283
zein,3281
zuten,3272
maite,3245
duela,3243
hain,3219
ulertzen,3211
dio,3186
dituzu,3185
nuke,3176
neska,3164
jakin,3163
atera,3159
zaitez,3103
bizi,3100
itxaron,3097
esango,3096
ezagutzen,3089
guztiak,3055
aurkitu,3007
batzuk,3004
ziren,3003
diozu,2999
zoaz,2994
joango,2928
daukat,2928
ditugu,2923
hemendik,2890
guztia,2881
jarri,2871
gertatu,2861
egiteko,2844
horiek,2835
hona,2834
bila,2821
zenbat,2774
dit,2765
berak,2761
zaizu,2753
zegoen,2745
lasai,2739
besterik,2722
ahal,2706
deitu,2691
izena,2678
niri,2677
on,2677
denbora,2674
hala,2672
lagun,2655
zurekin,2654
horixe,2642
hasi,2640
handia,2598
agian,2596
noski,2589
etxera,2581
eraman,2577
itzuli,2567
aurrera,2533
nirekin,2511
berriro,2502
zela,2500
gustatzen,2491
han,2489
hiru,2485
honetan,2480
prest,2476
zatoz,2472
emango,2469
genuen,2464
gaude,2457
bizitza,2436
ze,2425
pentsatu,2386
burua,2369
inork,2349
duzun,2320
lagundu,2313
azken,2307
ea,2268
buruz,2264
ene,2259
moduz,2246
agur,2241
batekin,2232
ziur,2226
dudan,2212
zertan,2205
dizu,2191
galdu,2190
ekarri,2176
dirua,2127
ibili,2115
berri,2108
azkar,2106
zidan,2103
nau,2093
bakarra,2083
nora,2077
gauzak,2063
zarete,2059
aizu,2053
zuri,2021
bota,2006
hara,1996
begiratu,1996
andrea,1996
jo,1984
pixka,1978
bihar,1970
maitea,1958
nork,1958
zinen,1953
ikusiko,1945
horregatik,1942
batera,1942
artean,1942
dezagun,1941
nahikoa,1940
izatea,1918
eskatu,1906
gu,1898
ederra,1894
ote,1891
nauzu,1886
zuek,1842
egitea,1836
lana,1831
geratu,1817
lortu,1812
zain,1812
aurretik,1809
zera,1808
dituzte,1807
sekula,1805
nahiko,1794
inor,1788
axola,1774
utziko,1767
honek,1765
ondoren,1760
hauek,1753
ederki,1750
dakizu,1749
zituen,1743
etxean,1740
emakume,1739
geldi,1723
bertan,1697
baita,1697
jakina,1695
duzula,1695
ahaztu,1691
denak,1688
gelditu,1684
kontuz,1678
iritsi,1674
noa,1668
denok,1667
nion,1663
lo,1657
horretan,1627
beharra,1624
dudala,1622
aukera,1606
behin,1599
ginen,1594
zuretzat,1588
zenuke,1578
espero,1575
dezaket,1575
elkarrekin,1561
pentsatzen,1552
saiatu,1546
biok,1545
beharbada,1532
berarekin,1525
haren,1520
kendu,1518
hobe,1516
zaitu,1514
noiz,1483
ia,1482
jendea,1481
amaitu,1481
berehala,1481
etorriko,1479
norbait,1478
polita,1477
ezagutu,1476
zarela,1476
hartzen,1473
bost,1470
osoa,1463
hura,1457
dagoen,1454
jarraitu,1444
gaizki,1441
onena,1440
ala,1417
gogoratzen,1416
zaio,1416
laztana,1390
bizirik,1388
leku,1387
hartuko,1386
gauean,1383
doa,1383
oraintxe,1378
batez,1339
entzuten,1339
naizela,1338
jende,1337
bidali,1329
omen,1319
aurrean,1310
dagoela,1306
hobeto,1306
nazazu,1305
berria,1304
irten,1304
nizun,1302
jan,1300
daiteke,1298
guk,1297
tiro,1293
horren,1290
dezakezu,1290
minutu,1286
galdetu,1284
laster,1281
aitak,1281
nituen,1277
dirudi,1272
niretzat,1272
pertsona,1272
gau,1271
une,1271
itzuliko,1267
badu,1265
eramango,1261
gora,1259
nengoen,1258
iruditzen,1252
ordu,1252
aldatu,1233
ihes,1221
etxe,1220
dauka,1215
izateko,1215
gizona,1214
mutil,1208
itxura,1206
joaten,1206
oh,1204
hilko,1201
neuk,1199
laguntza,1198
ireki,1197
bezain,1195
arrazoi,1194
bati,1193
luke,1189
litzateke,1187
harrapatu,1186
etxea,1183
horrekin,1183
kontua,1180
zuela,1179
pozten,1178
duten,1175
semea,1175
zion,1175
kontu,1169
diren,1168
lagunak,1165
gainean,1165
jainkoa,1164
beno,1161
mundu,1156
zoragarria,1156
hilda,1155
erakutsi,1148
ideia,1144
gabon,1141
beldur,1138
argi,1137
sartzen,1136
batzuetan,1133
zaharra,1131
berdin,1128
lau,1127
txarra,1123
familia,1121
hiltzen,1115
barruan,1110
bitartean,1109
kezkatu,1106
jartzen,1095
diote,1093
baietz,1091
anaia,1090
hainbeste,1089
badut,1087
ulertu,1086
zaren,1086
igo,1080
daukazu,1078
erantzun,1070
eseri,1069
atea,1069
duk,1067
benetako,1065
atzera,1061
direla,1060
izaten,1060
dizuet,1059
aldiz,1057
polizia,1049
idatzi,1048
irabazi,1047
banoa,1042
duena,1041
heldu,1038
laguna,1038
galdera,1036
gutxi,1035
aterako,1034
amak,1034
diru,1033
didate,1029
emaztea,1028
neure,1027
behera,1026
erabili,1026
diogu,1025
eskatzen,1025
balio,1024
kanpoan,1024
deitzen,1024
jada,1022
erabaki,1022
dolar,1018
horri,1009
balitz,1008
segi,1008
lagunduko,1007
eutsi,998
dator,994
duzuna,992
pasa,991
primeran,991
itxi,989
elkar,988
jendeak,988
puta,987
uzten,981
dabil,977
mutilak,973
mugi,973
jaso,973
baizik,969
berandu,967
ezetz,966
alaba,964
txiki,963
handi,963
haiek,963
zeure,963
erosi,961
gehiegi,960
geratzen,960
bukatu,959
zaila,956
horrelako,956
jakingo,950
gainera,948
pozik,947
lehenago,945
seguru,944
lehenengo,943
bikaina,943
tipo,937
jarriko,937
jotzen,935
norbaitek,935
lanean,934
ostia,933
ume,925
zertarako,925
atzean,924
aski,921
dugun,915
daukagu,913
bestela,911
azkenean,910
ateratzen,906
moduan,903
gela,903
naizen,902
geratuko,895
honen,889
nahiago,889
gizonak,887
mugitu,887
osoan,886
