word,count
que,71886
non,47834
de,47055
un,21904
os,15393
unha,14695
se,14059
para,13733
por,13727
do,12575
en,12276
da,10602
as,9317
como,8670
está,8251
si,8125
máis,7767
no,7611
ao,7491
ben,7396
pero,7374
eu,7197
na,6779
con,6679
aquí,6254
son,5992
me,5933
todo,5782
iso,5686
meu,5338
xa,5307
hai,5272
ti,5097
cando,4878
ou,4399
só,4322
dos,4321
súa,4302
miña,4137
seu,4125
agora,4102
así,3901
moi,3886
onde,3851
nada,3711
era,3685
ten,3678
facer,3600
ser,3589
foi,3569
el,3466
teño,3410
isto,3342
quen,3292
esta,3269
algo,3211
nos,3207
todos,3178
vai,3098
estou,3024
porque,3012
este,2886
lle,2819
pode,2739
te,2726
casa,2682
sei,2651
quero,2605
mais,2547
xente,2535
señor,2498
tamén,2448
das,2435
min,2425
vez,2411
tempo,2411
nunca,2397
teu,2361
sen,2331
estás,2325
podo,2299
estaba,2295
día,2268
aínda,2253
vida,2211
polo,2209
che,2203
túa,2187
ver,2173
dicir,2171
anos,2167
vostede,2153
ela,2144
tan,2134
home,2132
pola,2119
aos,2099
mesmo,2098
moito,2081
tes,2066
coma,2056
sobre,2052
nin,2048
vou,2040
nós,1974
sempre,1956
están,1941
co,1940
noite,1939
mellor,1932
es,1879
coa,1801
traballo,1795
cousas,1778
temos,1770
seus,1764
antes,1752
queres,1752
dous,1748
sabes,1702
veña,1698
ás,1693
aí,1692
ir,1689
ese,1684
mundo,1680
grazas,1671
ter,1669
imos,1654
esa,1624
bo,1608
verdade,1607
logo,1605
outra,1602
despois,1579
pai,1554
entón,1528
favor,1511
alí,1500
dun,1483
eles,1475
creo,1458
estar,1451
podes,1433
ninguén,1425
falar,1403
quere,1403
nun,1400
fai,1357
tiña,1353
pouco,1351
noso,1307
cada,1305
estamos,1300
alguén,1289
outro,1281
deus,1245
mañá,1230
novo,1229
nai,1228
entre,1221
cara,1219
hoxe,1204
dixo,1204
días,1192
homes,1181
cousa,1179
ola,1175
súas,1169
fillo,1164
nosa,1162
lugar,1159
guerra,1156
ata,1154
meus,1154
nas,1150
tres,1147
muller,1143
menos,1122
todas,1113
sabe,1111
dunha,1110
sexa,1101
claro,1096
pasa,1091
vas,1087
di,1077
boa,1066
contra,1064
parte,1058
podería,1046
nunha,1045
oh,1045
dende,1039
toda,1033
podemos,1029
primeiro,1019
fóra,1009
teñen,1007
mira,1007
canto,1005
veces,979
tarde,962
tanto,955
cos,955
nova,941
mal,937
cidade,925
vale,911
momento,899
pois,899
dúas,885
quería,878
daquela,877
nome,875
durante,874
certo,871
tal,869
será,855
calquera,854
amor,852
vamos,851
había,843
seguro,838
penso,837
parece,826
grande,825
outros,821
tipo,812
até,812
poder,806
gran,801
cartos,792
xeito,788
medo,788
merda,782
saber,776
vin,771
dixen,771
terra,771
señora,770
ollos,767
pobo,758
debe,749
nosos,745
auga,732
país,729
van,729
ven,722
problema,721
mulleres,721
moitos,721
comigo,718
lles,717
desde,713
rei,712
historia,710
uns,709
amigo,706
morte,697
feito,694
cabeza,690
eh,690
ano,687
vós,685
traballar,685
primeira,682
somos,680
foron,678
ningún,676
poden,672
estes,668
familia,667
acordo,667
fixo,662
dentro,662
facelo,662
man,659
fin,657
hora,656
persoas,648
dar,645
cun,639
policía,636
irmán,629
case,628
amigos,626
mentres,626
fillos,625
sería,623
pasar,616
idea,615
razón,610
nenos,609
polos,606
cal,600
vos,598
volta,597
ca,595
moitas,594
camiño,593
eran,593
teus,592
algunha,590
volver,589
vén,589
estas,583
debería,583
mans,582
filme,580
vaia,579
contigo,575
mamá,574
vivir,574
algún,571
coas,569
conta,567
demasiado,567
eses,565
pasou,565
importa,565
ía,564
porta,563
cinco,562
exército,556
adeus,553
miñas,553
catro,551
papá,546
neste,546
mesma,541
cunha,540
vexo,538
algúns,531
fas,530
horas,529
fun,528
sabía,528
baixo,524
xefe,524
igual,523
síntoo,522
rúa,518
realmente,516
pensar,515
chegar,515
saír,513
problemas,513
rapaz,512
lado,511
fixen,509
clase,505
matar,504
ningunha,504
fose,504
único,502
ves,500
estado,499
morrer,497
segundo,495
caso,495
cuarto,495
coche,492
diso,490
vir,490
vello,489
paz,487
importante,486
corazón,486
aló,485
tío,484
gusta,482
deixa,482
comer,480
cres,478
deste,477
queda,477
semana,477
podía,473
marchar,469
pequeno,469
