word,count
ეა,46861
ნვ,30935
ჟვ,24942
ნა,19997
ჟთ,14483
ჱა,14278
ღვ,11967
რთ,11762
დჲ,11629
ლთ,11244
მთ,9706
ფვ,9032
რჲგა,9013
ჲრ,8248
კაკგჲ,6787
რვ,5837
ნჲ,5504
მვ,5024
ჟყმ,4753
აჱ,4008
აკჲ,3905
ქრჲ,3773
ეჲბპვ,3773
გჲ,3758
რპწბგა,3637
ჟა,3544
ნწმა,3443
მჲზვ,3359
მს,3332
ნთ,3270
ჟამჲ,3225
გთ,3171
ოჲ,3158
ბვქვ,3140
დთ,3140
რაკა,3138
რჲა,3107
თმა,3011
რსკ,3007
ჱნამ,2549
მნჲდჲ,2547
ჲე,2521
ეჲ,2509
ევკა,2507
კარჲ,2392
ჟჲ,2389
ჟვდა,2368
კაკ,2354
რჲი,2282
ბთ,2218
ნვღჲ,2200
ჱაღჲ,1999
მვნ,1882
კაკჲ,1859
რვბ,1818
გჟთფკჲ,1801
ჟრვ,1797
ჟმვ,1764
რჲ,1745
ჱნავქ,1681
თლთ,1644
თჟკამ,1578
ეჲბპჲ,1563
ჲღვ,1561
კყევ,1536
აჟ,1459
მჲდა,1453
კჲდარჲ,1430
ბლადჲეაპწ,1427
თმამ,1423
ნალთ,1422
გპვმვ,1412
კჲ,1399
ნვდჲ,1388
გჟთფკთ,1385
ოპჲჟრჲ,1349
ჟსმ,1337
რჲჱთ,1331
რამ,1331
ჲგა,1304
ჟამ,1268
არა,1259
კჲვრჲ,1255
მჲ,1230
ოპთ,1227
რწ,1212
რაჱთ,1192
ვეთნ,1178
მჲზვქ,1162
კჲი,1153
ნთღჲ,1142
ჱაღჲრჲ,1124
კჲდა,1113
თჟკაქ,1106
მთჟლწ,1101
ნაჟ,1100
თმაქ,1081
ჟლვე,1078
ჳაიევ,1074
ევ,1055
ეალთ,1054
და,1054
არ,1042
მჲლწ,1033
ნთვ,1030
ოპვეთ,1026
პაბჲრა,1026
ფჲგვკ,1025
თმ,1022
ვენა,1010
ვრჲ,997
მალკჲ,994
ბვჱ,988
გთვ,986
ნვმა,961
კაჱა,959
კჲირჲ,948
რჲლკჲგა,943
გაჟ,927
გვფვ,920
ჱნაფთ,917
ევნ,914
