word,count
да,933105
не,605774
се,574639
на,405406
го,390942
што,352052
ќе,336049
во,321082
за,281913
тоа,261866
ти,226764
дека,220923
од,203069
со,197670
ми,189136
си,174712
ја,164310
како,144362
јас,129334
ги,128298
ова,113092
сум,111461
добро,97211
ме,95548
те,92864
само,92253
ли,87423
нема,82595
но,81112
ако,80485
тој,70414
беше,69152
треба,68882
кога,64258
сега,63887
многу,61627
знам,61093
кој,60115
му,59737
има,58185
нешто,58155
може,55983
мене,55045
би,54866
каде,54574
сакам,52709
тебе,51822
тука,51309
дали,51109
така,51015
зошто,49646
сите,48010
ајде,47553
ред,45530
ни,43627
па,43544
знаеш,43240
овде,41122
таа,40889
можам,40674
биде,40439
по,39463
мислам,38407
сакаш,37950
до,37445
еден,35753
ви,35636
уште,35300
или,34791
некој,32818
ама,32816
време,32685
ништо,31729
тие,31016
таму,30961
сме,30841
мора,30209
сте,29876
пред,29539
можеби,29290
имам,28971
ве,28649
малку,28414
молам,28048
ние,27797
еј,27328
повеќе,26953
одиме,26925
навистина,26922
можеш,26505
колку,26229
него,25586
мојот,25370
работа,24828
тогаш,24789
оди,23980
здраво,23900
толку,23861
никогаш,23738
имаш,22806
луѓе,22715
вие,22391
мислиш,22309
им,22306
кои,21968
значи,21627
затоа,21340
една,21169
благодарам,20804
мојата,20801
овој,20747
која,20548
татко,20500
веќе,19566
работи,19538
нели,19354
без,18951
одам,18942
кажам,18884
човек,18778
имаме,18740
години,18440
нас,18371
ден,18044
оваа,17923
фала,17785
правиш,17765
кај,17377
сака,17274
направи,16919
рече,16622
види,16278
твојот,16192
бев,16040
изгледа,16023
додека,15675
бидејќи,15559
случи,15405
кажи,15187
пат,15169
вас,14942
твојата,14815
никој,14667
мислев,14342
место,14235
овие,14190
дома,13905
мајка,13896
секогаш,13720
жал,13669
морам,13659
бидам,13650
неа,13597
добар,13552
бил,13497
дојде,13418
подобро,13262
боже,13109
чекај,13079
нив,13054
случува,12870
неколку,12611
бидеш,12454
можеме,12368
луѓето,12364
било,12338
веднаш,12326
живот,12256
она,12240
жена,12217
секако,12165
тато,12150
господине,12144
секој,12082
добра,12033
знае,11925
исто,11875
право,11759
моите,11755
извини,11730
гледам,11603
еве,11521
сигурно,11407
ох,11383
пари,11364
реков,11294
поради,11221
дај,11088
кажа,11027
одиш,11020
прави,11016
врати,10833
кажеш,10802
немој,10719
сеуште,10505
дури,10161
требаше,10132
направам,10068
сакав,9984
повторно,9919
видам,9872
гледаш,9760
дојди,9724
после,9624
некои,9482
друг,9471
доволно,9423
надвор,9421
знаете,9405
три,9374
помош,9374
моето,9361
баш,9351
едно,9303
ок,9300
убаво,9260
слушај,9248
кон,9204
срање,9090
сакате,9075
животот,9072
проблем,9070
пак,9027
супер,9004
немам,8985
твоите,8980
денес,8916
мој,8802
брат,8770
имаше,8764
син,8732
два,8640
извинете,8552
под,8545
ѓаволите,8523
начин,8514
точно,8433
име,8388
заедно,8376
дел,8339
две,8310
премногу,8230
потоа,8229
момци,8107
зарем,8058
минути,7976
џек,7965
имате,7946
сигурен,7903
зборуваш,7884
нека,7826
низ,7812
мораш,7801
врска,7766
утре,7719
правам,7712
видиме,7687
зашто,7686
пријател,7658
допаѓа,7611
ноќ,7608
мораме,7585
дете,7481
видов,7476
нашиот,7472
деца,7453
назад,7430
всушност,7420
околу,7401
нашите,7370
лошо,7333
девојка,7326
мамо,7298
момче,7261
светот,7228
кое,7224
разбирам,7170
беа,7161
брзо,7160
верувам,7102
знаев,7070
моја,7070
вашиот,7068
нашата,7063
внатре,7061
сакал,7051
мртов,7039
душо,7022
неговата,7016
себе,6987
направиш,6957
страна,6955
работата,6844
можете,6796
остави,6713
освен,6677
вечерва,6671
некогаш,6667
имаат,6654
сам,6649
требало,6612
твоето,6545
вашата,6488
друго,6486
знаеме,6454
еднаш,6438
година,6420
некоја,6382
вратам,6363
кого,6350
доста,6334
погледни,6332
важно,6311
долго,6300
сакаше,6288
пријатели,6227
голема,6224
доаѓа,6218
зборувам,6213
јави,6190
мило,6164
помогнам,6103
одлично,6094
бидат,6081
тешко,6053
против,6045
сакаат,5987
правиме,5974
земи,5970
даде,5909
неговиот,5877
најдеме,5870
куќа,5787
можат,5785
цел,5781
преку,5762
голем,5715
џон,5709
бидеме,5655
дена,5643
направиме,5641
прво,5631
разбира,5630
порано,5617
престани,5616
надевам,5592
најдам,5581
заврши,5575
парите,5574
каква,5552
ниту,5500
грижи,5425
други,5419
момент,5416
двајца,5402
земам,5381
едноставно,5345
туку,5333
работите,5328
најде,5298
вака,5295
случај,5260
случило,5246
среќа,5227
каков,5207
вечер,5203
куќата,5191
постои,5167
била,5158
двајцата,5152
барем,5140
вели,5133
градот,5117
тип,5103
пушти,5095
бог,5055
човеку,5046
вика,5029
кажав,5028
мисли,5003
ке,4990
видиш,4982
сепак,4965
семејство,4964
кажете,4961
имав,4951
видел,4944
колата,4933
држи,4931
пати,4928
човече,4918
главата,4916
гледај,4914
соба,4899
човекот,4877
гледаме,4875
умре,4871
долари,4867
подоцна,4849
откако,4848
биди,4839
каже,4817
шанса,4801
ќерка,4800
оние,4797
вратата,4788
секоја,4780
среќен,4779
долу,4759
направив,4753
свет,4748
дадам,4738
зборува,4725
вода,4715
господе,4714
добри,4703
својот,4701
горе,4697
својата,4671
број,4644
прв,4642
времето,4631
слушнав,4630
работам,4629
можев,4616
вистина,4604
тргни,4598
игра,4595
вашите,4585
земја,4579
немаше,4577
убијам,4576
срце,4568
твоја,4562
оној,4535
другите,4527
крв,4510
ало,4506
мислите,4498
крај,4495
маж,4470
жалам,4456
убие,4455
немаш,4452
нов,4444
часа,4443
разбираш,4424
сем,4416
направил,4415
гајле,4414
виде,4411
претпоставувам,4403
меѓу,4376
недела,4373
целиот,4369
проблеми,4349
патот,4334
крајот,4333
земјата,4332
сакаме,4310
пет,4303
бидете,4289
сето,4283
чудно,4258
полека,4225
неговите,4212
знаат,4201
вистински,4166
вистината,4160
биле,4152
сестра,4132
можеше,4115
лесно,4114
децата,4098
своите,4091
немаме,4084
жив,4071
рацете,4060
идеја,4050
сеќаваш,4019
утро,4017
чао,4013
чувствувам,4007
воопшто,4005
најдов,4005
прашање,3998
уби,3997
разговараме,3990
збор,3983
љубов,3975
можел,3975
зар,3972
изгледаш,3956
јавам,3939
месеци,3931
прекрасно,3931
некое,3914
затвор,3911
мама,3873
час,3852
наскоро,3850
полицијата,3843
отвори,3838
веројатно,3831
помогне,3829
другар,3829
оружје,3825
прават,3824
кола,3818
звучи,3818
причина,3794
стави,3786
бевме,3784
дојдам,3776
град,3774
дојдов,3748
дојдеш,3743
покрај,3738
мала,3735
името,3707
требаат,3700
остани,3700
заради,3685
мал,3684
некого,3683
некаде,3680
јасно,3678
барам,3672
слушаш,3666
убава,3664
отколку,3658
готово,3653
зад,3619
зборуваме,3580
ебам,3573
продолжи,3559
приказна,3558
почекај,3556
можно,3556
одовде,3541
неговото,3541
застани,3536
знаеше,3518
рака,3506
слушам,3494
веруваш,3494
живее,3488
забава,3471
цела,3460
работиш,3442
очи,3437
дин,3436
нова,3435
чарли,3435
избор,3433
смешно,3413
таков,3409
понекогаш,3397
вратиме,3385
целата,3383
над,3381
грешка,3372
бара,3369
храна,3367
друга,3364
сигурна,3358
следниот,3353
исусе,3333
верува,3309
правите,3289
глава,3285
сериозно,3271
напред,3270
првиот,3251
местото,3241
војна,3239
ете,3235
план,3230
проклетство,3218
спаси,3212
смири,3200
сеќавам,3199
смрт,3191
отиде,3186
полиција,3177
вратиш,3169
скоро,3163
доаѓам,3163
превод,3140
побрзо,3140
господа,3133
внимавај,3133
сама,3123
излезе,3120
проблемот,3120
нивните,3110
лице,3096
типот,3096
гледа,3092
далеку,3088
одете,3084
раце,3083
девојки,3083
очигледно,3079
мали,3076
четири,3073
токму,3064
тим,3061
луд,3045
убиеш,3041
замолчи,3036
донесе,3028
милиони,2996
недели,2995
смртта,2967
најдеш,2956
носи,2949
порака,2946
очите,2943
прашам,2914
леле,2908
твој,2907
цело,2896
според,2891
фати,2885
телефон,2882
куче,2880
помина,2875
дозволи,2873
дојдете,2850
викаш,2849
верувај,2849
одат,2843
нејзиниот,2840
некако,2836
велам,2828
конечно,2810
потреба,2803
срцето,2800
бегај,2795
шанси,2786
чини,2779
мртви,2764
кажувам,2762
викам,2758
вчера,2754
личност,2753
половина,2752
мое,2744
позади,2742
жени,2742
нејзината,2742
мајкл,2737
дом,2732
заборави,2726
такви,2723
штотуку,2721
дедо,2719
вечера,2717
штом,2713
подготвен,2707
денот,2700
велиш,2699
имал,2695
рекол,2694
доаѓаат,2693
кралот,2685
никаде,2684
вашето,2684
плашам,2683
води,2678
сакала,2676
френк,2672
брод,2671
девојката,2669
постојано,2663
последен,2661
неверојатно,2655
ветувам,2655
покажам,2654
еби,2648
бе,2637
мила,2632
истото,2624
оставам,2618
ваму,2617
најверојатно,2616
одите,2613
големи,2608
контрола,2606
најдобро,2605
прашања,2600
господ,2595
мало,2568
помалку,2559
слушна,2553
бродот,2550
чекам,2546
онаа,2544
врата,2540
томи,2527
помогни,2524
мајк,2521
состанок,2517
чека,2516
помогнеш,2511
какви,2496
остане,2490
познавам,2487
договор,2486
големо,2482
потребно,2480
раката,2474
единствениот,2474
станува,2470
влезе,2458
пол,2445
никого,2445
мразам,2434
копиле,2434
обидувам,2429
лично,2427
самиот,2423
таква,2422
кафе,2413
стварно,2402
велат,2401
стар,2399
разлика,2391
добијам,2389
засекогаш,2386
џо,2384
мои,2382
дами,2370
претседателот,2365
стана,2362
стори,2358
собата,2358
помеѓу,2354
училиште,2348
пиштол,2344
останам,2343
шест,2341
гледате,2340
дечко,2338
сила,2335
мислеше,2330
семејството,2327
синоќа,2325
лицето,2325
другата,2321
разговарам,2321
инаку,2320
телото,2317
колнам,2314
нови,2303
вид,2301
секунди,2300
вести,2299
чувствуваш,2287
нешта,2285
сара,2280
останеш,2279
бен,2279
доби,2278
дејвид,2276
полицаец,2266
часот,2264
видете,2261
лош,2255
тело,2248
глупости,2248
родители,2246
иако,2246
убил,2241
нашето,2238
капетане,2237
живеам,2237
слика,2233
денеска,2231
бараш,2228
такво,2225
крал,2224
убијат,2221
добив,2215
секс,2206
џими,2206
спремен,2200
напад,2199
морав,2193
боли,2193
убав,2192
седни,2190
внимание,2185
какво,2183
услуга,2180
детето,2175
улица,2173
добиеш,2166
кажува,2161
важи,2160
мртва,2155
побрзај,2155
насекаде,2153
врз,2152
последниот,2152
чекајте,2148
доле,2141
мислат,2140
планот,2138
он,2130
влези,2127
тони,2127
лоша,2126
прилично,2122
доктор,2122
зборови,2121
твое,2120
браво,2113
минута,2112
кревет,2110
првата,2109
пиштолот,2099
извинувам,2097
убиец,2096
двете,2095
моќ,2092
убиство,2091
борба,2090
спушти,2087
жената,2086
месец,2081
дозволам,2076
помогнете,2074
успеа,2074
телефонот,2068
блиску,2065
ваша,2062
целосно,2059
прашувам,2054
америка,2053
лери,2052
наваму,2047
девојче,2046
ново,2044
зборувај,2044
можеле,2032
останатите,2030
земете,2027
имавме,2023
носиш,2021
дадеш,2021
агент,2020
обично,2017
погрешно,2015
пишува,2008
кажал,2006
прати,2003
макс,2000
тргнете,2000
сосема,1996
сон,1995
оружјето,1994
посебно,1994
информации,1991
своето,1990
прва,1988
книга,1986
пример,1979
мир,1979
носам,1977
случајот,1976
земеш,1974
искрено,1971
наоколу,1966
подготвени,1966
шефе,1966
вистинска,1964
оган,1963
фрли,1962
уништи,1961
госпоѓо,1959
најдобар,1958
божиќ,1956
кажуваш,1956
нивната,1955
добие,1951
пријателе,1950
ах,1949
појави,1944
том,1943
лоши,1938
задоволство,1936
донеси,1936
лудо,1935
следи,1935
тајна,1934
стане,1928
почна,1927
удри,1923
бараат,1920
среќна,1918
мажи,1917
зема,1917
водата,1916
бебе,1910
седи,1910
замина,1909
сине,1908
болница,1905
