word,count
que,15044152
não,12169729
de,10121551
você,7817147
eu,7212622
um,5737691
para,4775301
está,4183976
uma,3917542
se,3775219
com,3737277
por,3383830
ele,3369826
isso,3323679
em,3046025
do,2816967
me,2786395
mas,2523053
como,2345682
bem,2278717
da,2126812
no,1967593
os,1966884
ela,1908784
na,1840924
sim,1839153
aqui,1798698
mais,1776468
tem,1653979
meu,1612386
seu,1585531
muito,1568458
foi,1548592
as,1497099
vai,1491347
sua,1479690
estou,1449759
vamos,1420644
tudo,1353946
minha,1230694
só,1216595
então,1211428
pode,1197179
agora,1181210
vou,1140600
ser,1082215
quando,1061663
fazer,1055940
sei,1053771
eles,991711
nós,985079
tenho,935890
te,929668
estava,919095
certo,918318
quer,908089
sabe,868139
já,862736
era,855399
nos,848359
quem,828918
ou,828081
ao,826692
nada,816543
disse,806689
há,794020
lá,789183
onde,787679
quero,783981
bom,774538
ter,766268
sou,765228
são,745118
dizer,741447
posso,740678
acho,735638
sobre,734703
mim,730004
porque,711704
mesmo,699330
coisa,669387
todos,655568
estão,640889
algo,636337
até,625305
tempo,621951
assim,620622
nunca,608898
vocês,608468
esse,605824
casa,600389
quê,599493
essa,595261
ver,582702
também,582225
pra,563223
ainda,558497
tão,551951
dos,546444
cara,531856
favor,521946
ir,521133
melhor,520581
noite,514681
sem,510910
temos,510149
obrigado,503071
dia,495684
talvez,490918
pai,487553
estamos,483757
esta,474728
deus,468950
alguém,468942
mãe,458810
vida,456588
senhor,453553
este,453034
isto,452993
sempre,449587
anos,449517
vez,438847
verdade,435669
seus,434114
dele,426614
ficar,424486
parece,424214
oh,417857
claro,416979
depois,411019
tinha,406994
falar,406564
coisas,405017
antes,404707
pessoas,403648
pouco,402632
pelo,393949
preciso,393375
apenas,385267
homem,383305
deve,381544
nem,380156
boa,380027
dois,378982
fazendo,374216
todo,366012
lugar,365584
faz,365096
acha,361688
fez,360039
aí,356470
fora,352879
estar,352830
qual,351298
disso,349418
trabalho,348067
precisa,339447
das,336365
hoje,335062
ninguém,330982
novo,327125
queria,322107
ei,321202
comigo,320834
mundo,315223
saber,313726
alguma,310457
dar,308480
podemos,304299
grande,302177
sinto,302174
seja,301818
nossa,301627
poderia,300177
dinheiro,296405
suas,295079
será,294002
nome,289740
quanto,284657
qualquer,283792
pela,283044
outro,282121
vá,278304
lhe,277605
dela,276842
nosso,276632
oi,273705
meus,273208
desculpe,268618
filho,267642
certeza,262701
vão,262556
hora,258209
ok,256383
outra,253337
sair,241982
toda,239382
volta,238641
problema,237965
obrigada,236384
olá,233623
tipo,233417
realmente,232993
sabia,232259
aconteceu,230961
menos,230759
mulher,230503
algum,229208
diga,226150
falando,225075
espere,224491
ótimo,218571
carro,217940
vezes,215892
amigo,214659
primeiro,214074
deveria,213644
seria,211006
venha,210165
três,209744
entre,209163
daqui,206026
sério,204028
diz,203268
voltar,200945
ah,200861
parte,200135
amor,199565
feliz,197259
às,196273
viu,193973
embora,192388
família,192013
olhe,191301
deixar,190410
atrás,189476
tenha,189070
faça,188657
pensei,188161
ajudar,187791
todas,187391
olha,184048
aquele,183619
duas,183434
querida,181748
frente,180391
vi,179875
indo,178129
alguns,177552
dias,176804
fui,176706
vem,175957
lado,174756
podem,172903
fiz,172788
merda,171084
nas,170753
pare,169805
tarde,169685
gosto,169631
precisamos,169166
caso,168838
fique,167217
dentro,166996
cidade,165665
momento,165133
pegar,164895
foram,164748
nenhum,164611
gente,163727
somos,163139
amanhã,162442
fosse,162426
cabeça,161507
gostaria,161412
amigos,159251
mal,158673
enquanto,156514
homens,155377
logo,155159
deles,154942
desde,154598
tanto,154098
garota,153950
pessoa,153920
legal,153361
amo,153007
rápido,152583
algumas,152471
cada,152335
jeito,151950
tentando,150938
meio,150787
outros,150574
têm,150503
medo,149569
minhas,149064
importa,147783
irmão,147268
errado,146252
história,144741
primeira,144548
quase,144341
horas,144177
encontrar,143651
nova,142510
essas,142292
pessoal,141711
dá,141698
difícil,141480
