word,count
të,671720
në,224659
do,203680
nuk,201903
është,196218
më,182438
po,167754
që,163738
një,156661
dhe,154309
për,152553
me,140379
se,110137
unë,91729
ta,89468
ti,83776
jo,82999
ka,82929
mirë,74145
te,73616
mund,72351
çfarë,71341
nga,65653
ju,64790
si,64570
duhet,64246
ne,59954
kjo,59866
kam,57605
këtë,55649
shumë,55614
por,55284
ai,54793
jam,49311
di,48929
këtu,48617
je,47501
ke,44567
atë,43784
mos,39637
ajo,39554
tani,39100
ishte,38449
vetëm,33993
nëse,32758
ku,31866
kur,28832
janë,28548
dua,27974
mua,27330
edhe,27329
ata,25903
rregull,25854
kemi,25320
sa,24467
gjithë,24302
na,24257
ty,24006
pse,23409
duke,23349
apo,20009
oh,19992
gjë,19951
eshte,19299
tij,18884
ky,18648
diçka,18346
jemi,18283
parë,18256
pak,17739
bëj,17522
im,17454
keq,17184
kush,17131
faleminderit,16929
jetë,16723
qe,16270
lutem,16024
tjetër,16007
bërë,15786
hej,15685
para,15482
nje,15442
vjen,15313
dy,15285
pra,15240
per,15150
mendoj,15110
kështu,14612
atje,14492
jeni,14491
kanë,14218
sepse,14160
them,14124
keni,14026
së,13822
tek,13539
bën,13460
time,13453
vërtetë,13193
pa,12873
ime,12836
ja,12608
duket,12323
eja,12254
asgjë,11997
ndonjë,11958
gjitha,11381
disa,11371
shkojmë,11313
pas,11277
ndoshta,11268
shiko,11200
kohë,11193
bukur,10999
çdo,10910
zotëri,10845
këto,10732
tim,10628
ashtu,10467
qenë,10255
kurrë,10186
dreqin,10163
tënde,9999
njeri,9838
ma,9762
mendon,9588
prit,9569
ato,9524
atëherë,9509
kishte,9507
zot,9484
ose,9400
marrë,9300
tuaj,8975
aty,8747
tyre,8672
thotë,8663
saj,8653
jashtë,8634
kaq,8558
shkoj,8533
une,8446
shtëpi,8345
deri,8316
hajde,8209
isha,8158
prej,8030
ia,8028
aq,7995
sikur,7994
bëjmë,7968
ditë,7882
gati,7764
gjithçka,7704
punë,7674
as,7630
tha,7601
jote,7550
çka,7539
shoh,7529
yt,7505
vdekur,7497
brenda,7443
vend,7442
le,7417
pastaj,7384
fundit,7378
thjesht,7354
shko,7255
akoma,7235
herë,7220
kisha,7165
vërtet,7110
tënd,7104
bësh,6880
mire,6880
fal,6870
dikush,6854
sigurisht,6817
epo,6773
dreq,6714
drejtë,6705
zoti,6693
asnjë,6558
sot,6547
dashur,6541
njerëz,6541
ndodh,6506
nevojë,6464
njerëzit,6429
shpejt,6414
poshtë,6390
juaj,6340
pëlqen,6298
cfare,6259
besoj,6254
marr,6153
gjithmonë,6123
madh,6085
thënë,6001
kete,5963
doja,5959
mjaft,5921
tonë,5874
jep,5846
the,5813
përse,5802
gjatë,5790
fund,5784
gjëra,5736
vogël,5736
sigurt,5732
madhe,5708
veten,5602
shkon,5562
babi,5554
thuaj,5542
thashë,5533
jesh,5493
mi,5422
tre,5419
përsëri,5372
thua,5263
merr,5257
ketu,5193
shoku,5136
ende,5126
shume,5099
ndodhi,5016
djema,4991
vonë,4944
mbi,4915
bëhet,4899
babai,4897
ardhur,4884
ketë,4862
bëjë,4828
tu,4818
ishe,4810
sapo,4805
askush,4782
falni,4781
zemër,4744
dëgjo,4718
dëshiron,4696
jetën,4672
dini,4633
mia,4621
ishin,4610
re,4606
jem,4564
kujdes,4493
kuptoj,4476
problem,4469
pasur,4416
thuash,4415
ok,4407
fare,4386
fëmijë,4329
ate,4328
koha,4215
bëni,4208
mënyrë,4206
mundem,4117
ndonjëherë,4117
cili,4077
gjërat,4063
përshëndetje,4059
vajza,4056
mami,4033
flas,4005
kësaj,4003
jepi,4000
rreth,3966
sonte,3941
tua,3923
larg,3912
ri,3853
doni,3795
vetë,3778
kaluar,3648
paratë,3629
mendova,3622
ikim,3552
minuta,3550
vetem,3543
nesër,3523
gjej,3520
fat,3517
këta,3508
ndodhur,3507
djalë,3504
vjet,3498
ca,3484
kupton,3462
puna,3461
flet,3461
duhej,3439
mend,3426
dot,3415
siç,3409
kishe,3401
gjetur,3317
vajzë,3310
lart,3299
jap,3286
orë,3285
dija,3267
dakord,3264
shkuar,3251
bëjnë,3244
djali,3236
natën,3219
lidhje,3211
vështirë,3210
humbur,3204
rri,3194
gjithashtu,3193
atij,3143
shikoni,3130
gjallë,3120
shikon,3110
nese,3107
flasim,3106
mori,3095
menduar,3082
dëgjuar,3081
dikë,3072
tillë,3056
emrin,3055
keqe,3042
frikë,3036
duart,3032
ndihmë,3025
merre,3023
vrarë,3012
pjesë,3003
bëra,2992
kesh,2975
përpara,2971
jane,2968
tregoj,2966
mes,2959
lumtur,2930
bëje,2926
shkosh,2925
bëri,2922
tërë,2920
menjëherë,2914
fakt,2913
shkoni,2911
asaj,2905
tona,2901
sigurtë,2889
bëre,2871
erdhi,2847
ik,2843
bashkë,2843
ndihmoj,2826
çmendur,2825
kthehem,2824
lëviz,2813
fjalë,2811
pyetje,2810
shihemi,2781
punën,2768
shohim,2758
pashë,2750
ide,2747
mundësi,2747
tjera,2725
afër,2724
vjetër,2723
fëmijët,2719
vij,2715
dreqi,2715
eshtë,2710
makinë,2708
mira,2700
derisa,2692
njeriu,2690
baba,2669
cila,2668
kërkon,2667
mbrapa,2663
vete,2663
sytë,2660
mbaj,2645
vendin,2640
lë,2639
prandaj,2626
