word,count
не,143925
що,65560
на,56164
це,53544
ти,51330
что,49617
так,46601
ты,42364
это,35690
ми,23988
все,23157
тебе,23019
він,22530
як,22470
за,22255
ви,22224
до,19951
мене,19752
он,17964
мені,17545
ні,17516
але,17331
мы,16048
мне,15647
да,15449
как,15440
просто,14273
меня,14222
нет,14185
тут,14160
для,14069
його,14047
вы,13253
но,13136
то,12804
ну,12729
знаю,12673
про,12336
нас,12195
вас,11555
вони,11360
тебя,10749
вона,10702
она,10584
тобі,10481
его,10134
там,9865
якщо,9647
ще,9345
та,9265
добре,9187
щоб,9173
вам,8997
по,8645
нам,8584
хочу,8378
коли,8342
если,8227
бы,8168
же,7545
вже,7346
було,7260
її,7025
був,7008
они,6748
може,6708
чи,6573
чтобы,6505
дуже,6421
від,6329
хорошо,6199
чому,6197
буде,6079
хто,6071
есть,6042
всё,5923
давай,5871
тому,5847
де,5808
здесь,5747
треба,5701
от,5689
думаю,5553
когда,5501
из,5433
того,5388
їх,5348
щось,5320
гаразд,5268
был,5266
цього,5209
только,5174
зараз,5044
было,4986
может,4930
нічого,4902
моя,4879
тільки,4799
те,4797
бути,4752
один,4615
уже,4600
можу,4565
тепер,4546
мій,4509
быть,4504
ось,4490
почему,4425
дякую,4416
раз,4351
знаєш,4343
вот,4294
могу,4270
через,4188
нужно,4137
всі,4093
бо,4059
кто,4023
будет,3999
правда,3998
без,3964
себе,3897
більше,3842
тоді,3816
час,3765
день,3726
ладно,3698
сейчас,3686
можна,3684
була,3671
их,3670
боже,3642
еще,3632
спасибо,3626
или,3557
будь,3538
йому,3531
где,3515
лише,3476
очень,3421
была,3416
ним,3403
привіт,3401
них,3361
чем,3357
навіть,3349
ніколи,3343
знаешь,3337
этого,3321
буду,3318
би,3312
её,3296
зі,3228
ее,3216
мой,3214
немає,3212
ничего,3207
хочеш,3203
нього,3202
цей,3189
чого,3110
життя,3067
этом,3039
теж,3029
люди,3029
твоя,3017
со,2934
потому,2933
сказав,2908
больше,2876
теперь,2856
ещё,2852
людей,2851
або,2803
свою,2760
привет,2712
який,2707
сюди,2698
таке,2692
даже,2667
із,2662
об,2649
тобою,2641
були,2640
два,2635
краще,2614
пока,2596
ему,2582
завжди,2574
хочешь,2571
должен,2569
багато,2559
сьогодні,2553
ей,2552
точно,2542
ласка,2507
время,2498
эй,2498
той,2474
себя,2463
надо,2460
сам,2441
мною,2419
тоже,2413
этот,2394
має,2388
прошу,2359
маю,2359
сказал,2357
мама,2335
ли,2317
зробити,2316
сказати,2300
сказала,2289
назад,2283
які,2277
можеш,2265
тобой,2252
трохи,2250
потрібно,2245
ці,2244
тогда,2225
порядке,2212
ага,2194
саме,2191
хотів,2180
можешь,2178
під,2151
три,2143
никогда,2126
можете,2122
років,2122
собі,2121
скажи,2108
него,2088
пане,2069
робити,2060
знову,2038
твій,2036
люблю,2023
пожалуйста,2019
наш,2009
ни,2005
сегодня,1981
мной,1961
потім,1960
ніж,1958
были,1951
гей,1944
дай,1940
перед,1939
завтра,1937
вами,1925
яка,1911
одного,1904
ваша,1892
конечно,1891
сделать,1886
лучше,1861
цьому,1861
ваш,1847
знаєте,1837
цю,1836
сказать,1829
пам,1825
ніхто,1824
сюда,1816
нами,1808
можливо,1797
після,1791
значит,1789
прямо,1783
неї,1783
скільки,1758
одна,1755
чудово,1753
давайте,1737
бачив,1727
такий,1717
кого,1716
хтось,1711
сер,1709
їй,1709
ця,1708
мою,1702
усе,1700
разом,1698
їм,1695
чего,1693
куди,1693
звичайно,1692
справді,1677
поки,1672
должны,1667
всегда,1663
делать,1661
мої,1643
дело,1636
гроші,1604
цим,1586
міг,1580
том,1577
маєш,1574
хіба,1573
ней,1571
твой,1564
этим,1549
повинен,1547
друг,1546
можно,1530
дня,1527
досить,1523
можемо,1521
зробив,1517
много,1513
хотел,1509
над,1498
должна,1484
после,1484
хоче,1477
якби,1472
могли,1466
місце,1461
всего,1455
воно,1433
часу,1430
робиш,1430
хлопці,1426
вибачте,1425
додому,1421
весь,1408
руки,1396
ведь,1396
ясно,1387
возможно,1386
вибач,1378
такой,1375
доктор,1369
повинні,1354
эти,1352
говорить,1350
мого,1350
нема,1350
нб,1346
йди,1345
думаешь,1341
моей,1341
немного,1340
навіщо,1339
господи,1334
мабуть,1324
жизнь,1324
твою,1322
зачем,1317
чоловік,1311
ходімо,1311
лет,1310
такое,1309
случилось,1301
звідси,1301
слишком,1300
мати,1296
скажу,1293
скоро,1292
сталося,1292
прости,1276
нормально,1265
здається,1262
пані,1258
всіх,1256
також,1253
вместе,1252
кілька,1249
брат,1249
моє,1248
подобається,1223
чорт,1221
сама,1220
думаєш,1219
во,1218
потом,1218
такого,1217
казав,1216
розумію,1212
батько,1209
отже,1208
сделал,1207
таким,1200
могла,1199
тим,1199
швидше,1198
жаль,1193
туди,1189
речі,1188
знати,1186
поэтому,1186
мог,1184
свої,1183
хочете,1179
помочь,1176
одну,1172
всех,1170
который,1166
им,1164
ім,1160
думав,1160
можем,1156
под,1149
допомогти,1144
людина,1138
куда,1137
яку,1136
правильно,1135
давно,1135
зовсім,1132
при,1132
всю,1127
бачу,1120
этой,1116
снова,1116
видел,1111
думала,1107
така,1106
знав,1106
йти,1105
знайти,1105
дещо,1099
домой,1094
нею,1093
знає,1092
наша,1091
далі,1091
усі,1091
парень,1090
слухай,1090
ними,1086
отец,1083
делаешь,1080
машину,1076
нравится,1076
дійсно,1074
эту,1070
мав,1069
звісно,1063
вперед,1063
разу,1062
никто,1055
мои,1054
разве,1054
сколько,1053
отлично,1052
человек,1050
гадаю,1048
тот,1046
слова,1045
звідки,1040
шкода,1037
справа,1036
чим,1033
ті,1030
проти,1029
похоже,1029
мамо,1027
піти,1024
чарлі,1022
свого,1021
номер,1019
справи,1019
дома,1019
пару,1017
такі,1015
знала,1014
хотела,1012
одно,1012
тож,1011
голову,1007
знать,1006
сім,1003
нехай,1002
понимаю,997
