word,count
tôi,711535
không,668048
là,477066
anh,469245
có,468127
ta,342219
của,261208
đi,254203
đã,247638
đó,242931
sẽ,241323
chúng,236973
gì,236762
một,234520
được,230371
và,222351
cô,214453
làm,206886
phải,205989
rồi,198863
người,196684
này,191625
cho,185833
em,177577
đây,174127
con,168380
sao,162224
biết,156116
ông,155744
nói,155663
nó,154403
thể,152739
với,144172
cậu,142665
thế,137439
lại,133969
ra,133754
vậy,132086
để,121695
nào,121332
ấy,118465
cái,117809
đang,112941
muốn,108510
trong,108108
mà,106079
như,105810
nhưng,104672
khi,96056
những,95951
đến,95759
đâu,95631
chuyện,93298
chỉ,90053
cả,87140
về,86595
thì,86015
họ,85147
giờ,82815
thôi,82257
thấy,81560
còn,81162
cũng,79398
vào,77039
các,75968
bị,74580
nghĩ,74181
đấy,72983
ai,72950
thật,72462
hắn,71154
nếu,70886
mình,69850
việc,66672
nữa,65710
rất,65684
vì,65423
cần,64886
chứ,61642
điều,61281
sự,57977
tới,56078
xin,54951
thứ,54351
chưa,54331
nhà,53987
lên,53245
đúng,52929
từ,52633
mẹ,52302
nghe,51467
hơn,50810
mọi,50009
bạn,49923
tớ,49551
nên,49046
chết,48483
mày,48264
ơn,47895
đầu,47584
đừng,46663
tìm,46658
tốt,46052
tin,43073
hãy,42324
quá,41886
nhiều,41738
trước,41474
cảm,41307
bà,41271
hay,40080
công,39715
nhất,39553
tao,39537
bố,39165
tất,38630
bao,38062
trên,37958
tên,37934
lỗi,37243
tại,36748
thành,35778
sau,35762
cháu,35472
ngày,35407
khác,35283
xem,35017
theo,34891
chắc,34430
gặp,34160
bắt,34019
yêu,34009
cứ,33853
qua,33596
vẫn,33554
cùng,33515
ngay,33507
thích,33480
cách,33425
nhìn,33315
sống,32847
bọn,32818
lúc,32401
giết,32240
mới,31965
quan,31729
chào,31674
đưa,31285
lắm,31247
gọi,30702
hết,30564
bảo,30515
hai,30391
rằng,30188
ăn,29738
giúp,29578
hiểu,29557
lấy,29303
ngài,28943
tự,28842
lần,28697
chính,28419
tay,28344
nhân,27894
cuộc,27777
bỏ,27717
năm,27049
mất,26886
hả,26854
vụ,26661
xe,26531
ngươi,26465
nhận,26071
cha,26048
chúa,25620
khỏi,24903
nay,24835
định,24628
tiền,24403
thời,24285
cơ,24072
nhé,23831
do,23443
trở,23438
bé,23287
mặt,23196
đường,23158
vâng,22814
gái,22754
luôn,22701
mấy,22636
gia,22587
nhau,22524
lời,22243
nơi,22222
chị,22135
xuống,22124
bây,22120
thưa,22059
số,21965
động,21962
đồ,21857
ngoài,21784
toàn,21764
bất,21690
sát,21687
thực,21461
từng,21435
phòng,21402
thằng,21209
kẻ,21157
hàng,20865
bằng,20737
chẳng,20672
chút,20621
nhớ,20581
chú,20528
nhiên,20357
lý,20307
chỗ,20281
học,20188
nhanh,20137
quay,20117
sĩ,19954
cố,19944
tuyệt,19906
lẽ,19825
chiến,19765
hỏi,19763
đại,19737
tiếp,19675
tình,19580
ơi,19526
bên,19478
đồng,19470
vui,19428
ổn,19356
gian,19306
tâm,19297
cứu,19250
đề,19025
sinh,18849
trả,18730
bộ,18692
đều,18686
máy,18671
vài,18480
vị,18374
nước,18307
giống,18286
đánh,18276
xảy,18265
chơi,18245
trai,18193
tối,18125
cảnh,18036
câu,17642
kia,17524
ko,17522
giữ,17406
hành,17243
vô,17163
kết,16968
bởi,16703
hiện,16692
giới,16611
vừa,16582
tiếng,16517
báo,16504
tưởng,16251
chờ,16120
lo,16114
đẹp,16033
hôm,15936
viên,15818
hình,15808
đáng,15719
vấn,15471
trọng,15441
bình,15165
đủ,15022
oh,14969
cám,14933
lớn,14885
sáng,14844
bác,14762
lâu,14701
thần,14568
sợ,14560
biệt,14557
thông,14514
cổ,14506
giải,14490
phụ,14429
thường,14321
thương,14316
vẻ,14313
cuối,14225
rõ,14223
cửa,14183
hợp,14138
trung,14016
bản,13987
dùng,13981
ôi,13962
tra,13945
bắn,13901
cầu,13763
ba,13721
hội,13716
đội,13660
tiên,13567
thân,13566
chạy,13550
thêm,13524
đứa,13512
thay,13470
mang,13421
quân,13395
xác,13363
đời,13348
ngủ,13347
trời,13320
đổi,13220
nhỏ,13138
liên,13067
tội,12895
nghĩa,12885
an,12812
điện,12809
dù,12696
bay,12669
nữ,12611
vệ,12590
phát,12510
đối,12464
đêm,12447
trẻ,12409
bệnh,12395
gần,12375
hoàn,12318
trường,12261
đợi,12057
tính,12056
nhỉ,12026
đất,11969
đứng,11887
ngồi,11851
trông,11846
chiếc,11844
xa,11618
coi,11613
chứng,11559
ảnh,11499
kể,11486
khó,11453
quyết,11428
chịu,11284
năng,11241
tập,11238
súng,11196
vọng,11173
giá,10982
hoặc,10961
sắp,10955
xong,10928
tử,10920
đàn,10912
sẵn,10877
kiểm,10854
mở,10845
cao,10808
uống,10762
chuyển,10753
dừng,10741
ít,10670
dưới,10662
đình,10633
chủ,10631
chọn,10630
điên,10610
vật,10534
thử,10522
thống,10494
kiếm,10464
mắt,10408
trưởng,10401
kế,10390
phần,10390
biến,10339
lòng,10282
sư,10220
loại,10144
mạnh,10120
thuốc,10084
đấu,10032
thức,9946
dễ,9840
vợ,9830
dụng,9829
trái,9769
quái,9729
phía,9724
tiến,9717
đau,9717
yeah,9688
điểm,9669
lực,9661
sai,9627
ng,9598
tệ,9595
chắn,9590
quả,9562
khốn,9548
sàng,9491
quên,9486
là,9485
phút,9467
minh,9434
gã,9409
mừng,9409
kỳ,9380
hơi,9320
chân,9242
kinh,9177
tuần,9157
có,9138
mua,9076
thủ,9070
đặc,9061
may,9000
duy,8994
trí,8970
tàu,8966
sức,8907
trò,8854
quyền,8837
kìa,8807
mỗi,8781
quý,8743
phố,8743
buổi,8716
thư,8677
hạ,8661
bài,8636
đặt,8626
tháng,8617
hôn,8614
mai,8601
tài,8598
diễn,8594
to,8593
the,8588
phép,8575
nổi,8571
pháp,8561
khách,8546
đôi,8527
hiệu,8506
mặc,8496
vũ,8476
