iso-code,language-in-english,language-in-language
ab,Abkhaz,аԥсшәа
ace,Acehnese,Acèh
ady,Adyghe,адыгабзэ
af,Afrikaans,Afrikaans
alt,Southern Altai,алтай тил
am,Amharic,አማርኛ
ami,Amis,Pangcah
an,Aragonese,aragonés
ang,Old English,Ænglisc
arc,Aramaic,ܐܪܡܝܐ
ast,Asturian,asturianu
atj,Atikamekw,Atikamekw
av,Avar,авар
avk,Kotava,Kotava
ay,Aymara,Aymar aru
az,Azerbaijani,azərbaycanca
ba,Bashkir,башҡортса
ban,Balinese,Basa Bali
bar,Bavarian,Boarisch
bcl,Central Bikol,Bikol Central
be,Belarusian,беларуская
bg,Bulgarian,български
bi,Bislama,Bislama
bjn,Banjar,Banjar
bm,Bambara,bamanankan
br,Breton,brezhoneg
bs,Bosnian,bosanski
bug,Buginese,Basa Ugi
bxr,Russia Buriat,буряад
ca,Catalan,català
cbk,Zamboanga Chavacano,Chavacano de Zamboanga
cdo,Min Dong,Mìng-dĕ̤ng-ngṳ̄
ce,Chechen,нохчийн
ceb,Cebuano,Cebuano
ch,Chamorro,Chamoru
chr,Cherokee,ᏣᎳᎩ
chy,Cheyenne,Tsetsêhestâhese
co,Corsican,corsu
crh,Crimean Tatar,qırımtatarca
cs,Czech,čeština
csb,Kashubian,kaszëbsczi
cu,Church Slavonic,словѣньскъ
cv,Chuvash,чӑвашла
cy,Welsh,Cymraeg
da,Danish,dansk
dag,Dagbani,dagbanli
de,German,Deutsch
din,Dinka,Thuɔŋjäŋ
diq,Zazaki,Zazaki
dsb,Lower Sorbian,dolnoserbski
dv,Dhivehi,ދިވެހިބަސް
dz,Dzongkha,ཇོང་ཁ
ee,Ewe,eʋegbe
el,Greek,Ελληνικά
en,English,English
eo,Esperanto,Esperanto
es,Spanish,español
et,Estonian,eesti
eu,Basque,euskara
ext,Extremaduran,estremeñu
fat,Fante,mfantse
ff,Fula,Fulfulde
fi,Finnish,suomi
fj,Fijian,Na Vosa Vakaviti
fo,Faroese,føroyskt
fon,Fon,fɔ̀ngbè
fr,French,français
frp,Arpitan,arpetan
frr,Northern Frisian,Nordfriisk
fur,Friulian,furlan
fy,Western Frisian,Frysk
ga,Irish,Gaeilge
gag,Gagauz,Gagauz
gcr,Guianan Creole,kriyòl gwiyannen
gd,Scottish Gaelic,Gàidhlig
gl,Galician,galego
gn,Guarani,Avañe'ẽ
gor,Gorontalo,Bahasa Hulontalo
got,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺
gpe,Ghanaian Pidgin,Ghanaian Pidgin
guc,Wayuu,wayuunaiki
gur,Farefare,farefare
guw,Gun,gungbe
gv,Manx,Gaelg
ha,Hausa,Hausa
hak,Hakka,Hak-kâ-ngî
haw,Hawaiian,Hawaiʻi
hif,Fiji Hindi,Fiji Hindi
hr,Croatian,hrvatski
hsb,Upper Sorbian,hornjoserbsce
ht,Haitian Creole,Kreyòl ayisyen
hu,Hungarian,magyar
hy,Armenian,հայերեն
hyw,Western Armenian,Արեւմտահայերէն
ia,Interlingua,interlingua
id,Indonesian,Bahasa Indonesia
ie,Interlingue,Interlingue
ig,Igbo,Igbo
ik,Inupiaq,Iñupiatun
ilo,Iloko,Ilokano
inh,Ingush,гӀалгӀай
io,Ido,Ido
is,Icelandic,íslenska
it,Italian,italiano
jam,Jamaican Creole,Patois
jbo,Lojban,la .lojban.
jv,Javanese,Jawa
ka,Georgian,ქართული
kaa,Kara-Kalpak,Qaraqalpaqsha
kab,Kabyle,Taqbaylit
kbd,Kabardian,адыгэбзэ
kbp,Kabiye,Kabɩyɛ
kcg,Tyap,Tyap
ki,Kikuyu,Gĩkũyũ
kl,Kalaallisut,kalaallisut
km,Khmer,ភាសាខ្មែរ
kn,Kannada,ಕನ್ನಡ
koi,Komi-Permyak,перем коми
krc,Karachay-Balkar,къарачай-малкъар
ksh,Colognian,Ripoarisch
ku,Kurdish,kurdî
kv,Komi,коми
kw,Cornish,kernowek
ky,Kyrgyz,кыргызча
la,Latin,Latina
lad,Ladino,Ladino
lb,Luxembourgish,Lëtzebuergesch
lbe,Lak,лакку
lez,Lezghian,лезги
lfn,Lingua Franca Nova,Lingua Franca Nova
lg,Ganda,Luganda
li,Limburgish,Limburgs
lij,Ligurian,Ligure
lld,Ladin,Ladin
lmo,Lombard,lombard
ln,Lingala,lingála
lt,Lithuanian,lietuvių
ltg,Latgalian,latgaļu
lv,Latvian,latviešu
mad,Madurese,Madhurâ
mdf,Moksha,мокшень
mg,Malagasy,Malagasy
mhr,Eastern Mari,олык марий
mi,Maori,Māori
min,Minangkabau,Minangkabau
mk,Macedonian,македонски
mni,Manipuri,ꯃꯤꯇꯩ ꯂꯣꯟ
mrj,Western Mari,кырык мары
ms,Malay,Bahasa Melayu
mt,Maltese,Malti
mwl,Mirandese,Mirandés
myv,Erzya,эрзянь
nan,Min Nan,Bân-lâm-gú
nap,Neapolitan,Napulitano
nb,Norwegian Bokmål,norsk bokmål
nds,Low German,Plattdüütsch
nia,Nias,Li Niha
nl,Dutch,Nederlands
nn,Norwegian Nynorsk,norsk nynorsk
nov,Novial,Novial
nso,Northern Sotho,Sesotho sa Leboa
nv,Navajo,Diné bizaad
