word,count
сҭазаара,4150
ры,4085
иалҵит,3969
иит,3966
лаҵарамза,3777
хәажәкырамза,3771
мша,3768
жәабранмза,3759
ажьырныҳәамза,3746
жьҭаарамза,3736
хынҷкәынмза,3734
цәыббрамза,3730
нанҳәамза,3728
рашәарамза,3728
абҵарамза,3724
хынгәымза,3723
ымза,3716
ахҭысқ,3600
сны,1815
рзы,1502
шықәса,1337
шықәсазы,1160
уи,1111
тәи,1073
шқәа,937
иара,806
ала,790
аҟәа,768
ашықәс,765
амш,747
ауп,662
ииз,660
аҟны,563
азхьар,538
ду,529
аҿы,509
ари,487
араион,484
азгәаҭақәа,475
суа,472
ҳәа,449
аҩыратә,448
мшы,433
ақыҭа,408
ахьар,401
кириллтәи,389
атәылақәа,387
ауахәама,387
ахҭысқәа,379
урҭ,370
сыз,370
амзар,370
иаанхоит,369
аҳәынҭқарра,368
григориантәи,366
иҟоу,365
анҵәамҭанӡа,365
рыла,355
қырҭтәыла,322
бызшәа,321
ауаа,319
убас,318
зегьы,314
алитература,307
нбан,302
еи,296
аус,294
диит,294
аха,289
жәлар,283
ақалақь,278
ра,277
аҳәынҭқарратә,276
азы,272
рҿы,252
иҟоуп,250
аҭы,245
ахада,239
шь,237
шш,231
инаркны,226
ихьӡ,226
еиду,225
ҳа,222
рҟны,215
змоу,213
года,211
очамчыра,210
хьаӡара,201
ақыҭақәа,200
аофициалтә,200
америкатәи,196
зху,191
абиографиа,190
ареспублика,187
атәыла,185
жәларбжьаратәи,181
убри,178
аҟәатәи,177
ақалақьқәа,176
метрополитен,175
аа,174
ашәҟәыҩҩцәа,174
ахы,172
дара,171
шым,168
имҩа,166
урыстәыла,164
асовет,161
ашәышықәса,159
зегь,158
гьаргь,156
км,153
ашьҭахь,153
адунеи,153
рхы,151
хьӡы,148
гагра,147
зы,145
аибашьра,145
административтә,144
шра,141
рыбжьара,141
хь,141
егьырҭ,139
ма,137
гәдоуҭа,137
абызшәақәа,137
ҩажәи,136
еиуеи,135
снытәи,135
институт,134
амилаҭқәа,133
аҭоурых,133
ашықәсқәа,133
раан,131
иа,130
ареспубликақәа,130
бр,129
аҩбатәи,128
ара,127
акыр,124
аиҿкаара,124
насгьы,122
еиҳа,121
иҟаз,121
владимир,121
бызшәақәа,120
реизара,119
аҵара,119
на,119
шықәсқәа,119
гәлиа,117
сыра,117
аполитикцәа,117
абхазии,117
иу,116
ақырҭуа,116
дыҟан,115
урыстәылатәи,114
кәтол,113
аан,112
ауаҩы,112
амоуп,111
хада,111
даара,111
суаа,110
европатәи,110
апоетцәа,110
реиҿкаара,110
африкатәи,110
амшын,108
иаланхо,108
ус,108
амилаҭтә,107
гәы,107
ихаҭы,107
аҳ,106
анатуралтә,104
тяга,104
уҳәа,103
абри,103
ахь,103
убасгьы,102
аланхо,102
анаҩс,101
аҳабла,101
