word,count
di,21030
nakeuh,20771
bak,17945
acèh,17483
nyoe,13102
gampông,12103
gunong,11863
data,11093
nyang,8667
lam,7733
laman,7392
nè,7263
saboh,6260
nibak,4898
drosophila,4719
seuneubeuet,4238
na,4197
kabupatèn,3937
ngon,3697
lumbôi,3577
keu,3573
peumeurèntah,3565
lé,3487
bab,3144
manga,3114
nyan,3056
propinsi,3034
la,2897
keucamatan,2668
pidie,2445
rayek,2425
of,2347
ôt,2338
da,2236
luwa,2212
irah,2183
timu,2134
global,2131
spèsiès,2131
information,2125
life,2124
encyclopedia,2121
biodiversity,2120
takson,2118
facility,2118
peunawôt,2111
dètèktif,2074
conan,2074
manyang,2020
babah,1918
ateuh,1911
com,1890
mètè,1885
teunom,1879
daerah,1868
cuaca,1854
koordinat,1854
matauroe,1849
layer,1847
openstreetmap,1847
geonames,1847
wikidata,1847
nasa,1847
teubiet,1847
sunrisesunset,1847
bireuen,1630
pulo,1530
teunggara,1334
thôn,1235
indonesia,1228
jeupun,1174
seulatan,1173
ureuëng,1147
banda,1139
jaya,1138
bahsa,1125
ngön,1114
kabupaten,1098
ka,1095
atawa,1065
provinsi,1051
volume,1044
geuseumurat,1037
gosho,1037
aoyama,1037
shogakkukan,1037
geupeuteubiet,1027
ureueng,990
wilayah,963
that,934
nang,889
scaptodrosophila,840
barat,836
mukim,827
al,812
teungöh,804
nan,788
scaptomyza,786
nyoë,782
boh,769
cit,739
surat,739
hana,690
nanggroë,688
barôh,679
neugara,661
jih,633
blang,620
raya,602
nabi,586
allah,557
sidroe,544
masa,542
nanggroe,540
simeulue,537
eungkôt,536
dari,535
prang,530
islam,524
én,519
kuta,512
le,505
jeuet,503
glé,472
amirika,470
keurajeuën,460
jeuët,458
darul,452
cöt,448
dayah,427
aceh,418
ban,418
buleuën,411
padum,407
an,402
barô,402
aktor,399
phôn,398
keuh,383
utara,373
jeunèh,365
indônèsia,364
simpang,355
tunong,351
uroe,351
kota,339
rusia,333
lom,332
beulanda,329
uroë,325
nanggroejih,323
rumania,323
kuala,321
dua,320
dan,312
blah,302
meunasah,302
alue,302
raja,301
lawe,299
bansa,298
watèe,298
droë,294
krueng,294
geukheun,290
teungoh,288
leubèh,286
paléng,285
meu,285
aneuk,284
asia,283
arab,281
the,280
meriah,279
asay,278
sukèë,277
kayém,276
bener,276
gobnyan,276
lagèe,271
geu,270
teuntra,268
tiga,266
teumpat,264
inggréh,257
tanoh,257
deungon,257
subulussalam,257
mandum,256
bandar,251
cot,247
agama,245
syarikat,245
peusangan,244
burni,241
meuseujid,239
ta,235
salah,235
sampoë,230
kawan,230
ayat,230
muhammad,229
geupeunan,228
teuka,228
dalam,225
peureulak,225
pih,224
jawa,223
bukét,221
yang,221
ie,221
kuwasa,219
antara,217
kitab,217
kayèe,217
langsa,215
jeut,214
laôt,213
ië,211
lheuëh,208
padang,206
timur,206
malaysia,205
paya,203
panté,202
qur,201
batèe,201
droe,200
mantong,199
lhôkseumawe,197
rot,195
rôh,194
viètnam,194
km,193
seubagoë,189
sidroë,189
darussalam,188
cicém,187
buleuen,187
seubagoe,186
peukan,186
china,185
asai,184
duwa,184
makmur,184
alam,183
duëk,182
bin,182
filipina,182
dônya,179
teunuléh,179
afrika,179
nagan,179
meunan,177
thon,177
baru,174
iërupa,173
dum,173
haji,172
latèn,171
india,168
udép,168
cina,168
sultan,167
lhôk,167
idi,167
oh,167
bintang,167
kawasan,166
tarèh,163
as,163
indra,163
lhôksukôn,162
portugéh,160
awai,159
jeupang,158
luwah,157
muangthai,156
sumatra,155
kruëng,155
neuduëk,153
bumoë,153
de,151
teungku,149
mesjid,149
prefektur,149
tanjông,149
abad,148
gopnyan,147
meulayu,146
kapai,146
cut,146
geungui,145
lahé,144
ulama,143
mongolia,142
lheueh,142
basa,141
abu,141
laén,140
jumeulah,139
ubeut,138
ôn,138
dairah,137
jinoe,136
sôleutan,136
saban,135
kawôm,135
mata,135
tiji,135
narit,134
panyang,134
dapeuta,134
genus,134
kluet,133
pusat,131
pasi,130
bandara,130
manusia,130
bukit,130
korèa,129
siblah,129
sakti,129
ulim,129
lagèë,127
sabang,127
teuma,127
han,126
ji,124
at,124
rumoh,123
hukôm,123
seunurat,123
awak,123
universitas,123
seumayang,122
disinan,121
jameun,121
singké,121
jeumpa,120
sampoe,120
buet,119
mutiara,119
muda,118
ne,118
haraih,118
ii,118
bungong,118
oblast,117
geurapèe,117
meunatang,116
lumpur,116
jinoë,115
seureuta,115
raseumi,115
and,115
geujak,114
aman,114
hindia,113
yôh,113
agam,113
labuhan,113
gampong,113
geulumpang,113
riwayat,112
reusam,112
peurancih,112
rakyat,111
peukara,111
mangat,111
laju,111
indrapuri,111
republik,110
utama,110
samalanga,110
gajah,109
