word,count
адыгэ,553
эр,426
рэ,347
ык,323
ащ,269
илъэсым,253
нэбгырэ,225
эу,203
млн,199
тарихъ,185
ит,181
географие,172
км,161
зэпыщэхэр,156
ары,154
щэпсэу,150
эм,149
хэгъэгу,148
къэлэ,142
фэдиз,140
ар,134
шъхьа,134
ащыщ,126
ышъхьэр,126
щы,123
къехъу,118
зы,117
ыфэу,116
къэралыгъу,115
ырэу,112
ау,110
бзэшъхьа,110
республикэм,109
хэгэгум,108
хэгъэгухэр,108
мы,107
щыт,107
ып,106
къэралыгъо,106
нэмык,105
къэрал,104
эхэр,103
лъэпкъ,93
къэлэшъхьа,89
анахь,88
дло,88
эк,87
дэс,83
тхьаматэр,83
гущы,78
дунаемк,73
еуропэм,73
хахьэ,72
оу,72
зыфи,72
хэт,71
азием,71
мин,69
къалэ,69
къалэм,67
нахь,66
тет,66
илъэс,65
республикэу,65
районым,63
дэт,63
жэбагъы,63
гъунэгъухэр,63
пае,60
хъугъэ,60
гъэм,59
фэдэу,58
ыф,58
ахэр,56
адыгэхэм,56
ыкӏи,55
ыгъ,55
тыркуем,54
тхылъхэр,54
урысые,53
африкэм,53
мэхъу,52
къэзэнокъуэ,51
хы,50
ис,49
ахэм,49
хьак,49
къыблэ,49
америкэм,49
ыфхэр,48
эш,47
адыгэхэр,46
зэк,45
нэс,45
эх,44
бзэ,44
ыц,44
лъэпкъым,42
макъыр,42
фэдэ,41
ым,41
тхэк,41
ик,40
урысыем,40
ахахьэ,40
агъ,40
къуаджэ,40
урыс,39
щыщ,39
щегъэжьагъэу,39
кӏахыбзэ,38
оф,38
къалэхэр,37
ыш,37
ежь,37
къуаджэм,37
аш,36
ок,36
кфар,36
ишъхъэрэ,36
лъэшэу,35
аскэр,35
краснодар,35
меотхэм,35
зи,34
тхак,34
заом,34
нахьыбэмк,34
ак,34
эмэ,33
адыгабзэм,33
ук,33
апэрэ,33
эныгъэ,33
адыгэбзэ,32
къегъэлъагъуэ,32
еджап,32
къэбэрдейбзэ,32
эхэм,31
дунаим,31
илъэсхэм,31
шэпхъэ,30
ыгъэх,30
ыгу,30
ушъо,30
тырку,30
москва,30
уэ,29
непэ,29
тыркуе,29
эры,29
къыхэк,29
тыркубзэ,29
зек,29
тыгъэкъок,29
къуаджэу,29
эгъум,29
бэрэ,29
ин,28
ахэмэ,28
эгъэ,28
мыекъуапэ,28
орэ,28
республикэ,28
темыр,28
лъэныкъом,28
хым,28
тхылъ,28
къайсэр,28
къик,27
федерацием,27
лъапсэ,27
урысыбзэк,27
ыгъэ,27
ыуж,27
ахьмэд,27
гъогу,27
еуро,27
къэралым,27
эрэ,26
кавказ,26
уак,26
бэ,26
оц,26
дунаем,26
щытыгъэ,26
ет,25
хэкум,25
офш,25
адыгеим,25
республик,25
щытык,25
диным,25
гъэш,25
лъэныкъо,25
къыщыхъугъ,25
ом,25
ащыщэу,24
ди,24
нэхъ,24
къык,24
арап,24
адрэ,24
фаш,24
теуцожь,24
шапсыгъэ,24
ыч,24
хасэ,23
уи,23
джы,23
адыгабзэк,23
ыпэк,23
джащ,23
ахъщэу,23
агъэфедэрэр,23
дэсхэр,23
диныр,23
дунэе,23
хасэм,22
зэ,22
адыгэмэ,22
сирием,22
щытыгъ,22
эмк,22
ум,22
мыщ,22
совет,22
цӏыфхэр,22
къыдигъэк,22
орэр,22
щыӏ,22
абы,21
къэбэртэе,21
ыгъэр,21
пш,21
охэм,21
къэралыгъом,21
элэегъэджэ,21
бзэхэр,20
орфографием,20
огъум,20
тетэу,20
хъыбархэр,20
пчъагъэ,20
эгъ,20
тхьэматэр,20
псэушъхьэхэр,20
ромэ,20
чыристан,20
колониеу,20
цӏыф,20
