word,count
die,2205077
van,1000162
in,856574
en,813941
is,593933
het,487132
wat,261367
the,219230
sy,216451
op,215638
word,205223
met,199786
as,190248
was,182722
vir,179375
te,175436
of,175211
hy,166928
dit,145610
om,143334
nie,140989
deur,140938
se,130989
aan,128540
tot,111901
ook,107310
na,95396
suid,84539
hulle,79478
dat,76860
uit,75231
by,71690
de,70196
eerste,62510
afrika,59921
hierdie,55659
amerikaanse,55606
eeu,54152
maar,53341
kan,52954
daar,51592
oor,50551
ander,49098
soos,48696
eksterne,47898
jaar,47793
bekend,47406
skakels,47220
een,46797
afrikaanse,45771
gebruik,45035
ste,44240
haar,43427
rolprente,42383
groot,39339
onder,38780
baie,38162
twee,37583
meer,37350
mense,37128
geboortes,36670
verwysings,36370
teen,34534
tussen,33573
hul,32424
toe,32231
and,32199
begin,29385
waar,28963
deel,27202
hom,26718
voor,26143
world,26048
dié,25714
tydens,24992
gebore,24723
televisiereekse,24156
filmografie,23983
bestaan,23847
naam,23519
rolle,23419
kerk,23389
later,23235
al,23110
nuwe,23071
net,21763
sien,21743
volgens,21175
keer,21119
egter,20954
nog,20862
lys,20748
tweede,20624
sou,20586
kom,20460
sterftes,20218
flora,20135
bronne,20089
so,19913
engelse,19891
drie,19389
manlike,19285
nasionale,19100
gemeente,18982
werk,18823
akteurs,18771
lewende,18671
kon,18613
terwyl,18331
saam,18290
gehad,18057
familie,18010
ná,17544
veral,17532
akteur,17315
to,17307
verskeie,16901
stad,16892
gewone,16742
vorm,16575
maak,16566
duitse,16383
der,16348
kaap,16184
spesie,16177
wes,16151
laat,16065
water,16029
noord,15917
geword,15916
man,15891
sal,15769
tyd,15539
ds,15489
land,15320
aktrises,15208
lewe,15192
gemaak,15112
geskiedenis,15108
genoem,14844
wees,14791
weer,14725
klein,14719
genus,14666
vanaf,14491
mei,14347
sowat,14324
grootste,14290
oos,14191
nadat,14100
aktrise,13977
oktober,13946
britse,13882
gebied,13881
januarie,13843
af,13709
moet,13704
behoort,13625
julie,13613
april,13592
desember,13538
september,13522
maart,13499
neem,13378
junie,13364
omdat,13319
augustus,13146
gevolg,13109
november,13103
verenigde,13096
beskou,12978
km,12910
spons,12842
dan,12827
televisierolprente,12716
universiteit,12662
februarie,12648
dikwels,12562
franse,12552
soest,12534
dood,12352
geen,12290
slegs,12136
wetenskaplike,12067
vier,12020
gepubliseer,11860
staat,11856
sedert,11843
dieselfde,11745
alle,11655
reeds,11648
meeste,11616
isbn,11581
staan,11561
lank,11543
http,11534
wanneer,11484
plant,11404
dus,11340
ons,11305
internasionale,11282
kaapstad,11224
gaan,11219
gebou,11134
sponse,10956
hier,10947
my,10915
sluit,10839
wêreld,10819
new,10795
sommige,10790
org,10733
ten,10544
skrywer,10400
gewoonlik,10397
eie,10394
moes,10325
party,10293
on,10290
pous,10224
gestig,10210
pretoria,10102
gereformeerde,10060
daarna,10024
jare,10022
for,9983
einde,9956
aantal,9953
elke,9918
volgende,9790
state,9766
geleë,9756
groep,9733
koning,9714
video,9705
inligting,9679
verskillende,9653
waarin,9622
nou,9610
gebaseer,9581
bevolking,9555
www,9511
ontwikkel,9507
politieke,9452
plante,9379
gedurende,9354
oorlog,9271
eers,9230
plaaslike,9223
regering,9199
vroeë,9181
engels,9155
daarvan,9152
seun,9059
bron,9021
plaas,9013
naby,8977
asook,8959
ii,8934
steeds,8897
rol,8881
laaste,8875
belangrike,8848
stel,8848
amptelike,8815
miljoen,8762
verwys,8744
frankryk,8716
liggaam,8704
ontstaan,8640
ryk,8632
kinders,8621
byvoorbeeld,8574
dorp,8526
ongeveer,8507
taal,8456
republiek,8431
mens,8429
kort,8383
hoewel,8353
europa,8338
vrou,8331
la,8316
binne,8270
love,8214
plek,8150
bevat,8135
voorkom,8101
soms,8090
online,8090
nedersettings,8084
ou,8079
duitsland,8020
selfs,8006
geskryf,7992
ontvang,7985
john,7971
skryf,7830
lande,7800
middel,7759
plants,7756
moontlik,7749
artikel,7737
tydperk,7715
algemene,7713
dae,7685
vyf,7676
gehou,7604
spesies,7553
with,7547
besluit,7520
johannesburg,7501
reeks,7489
weens,7477
paar,7469
sonder,7467
derde,7459
europese,7440
gee,7439
self,7418
species,7396
waarvan,7395
dr,7382
