word,count
dr,287879
isch,200234
und,185598
vo,164519
de,160866
im,124912
het,108169
in,107181
un,103941
vom,76895
vu,76868
mit,72276
em,70177
wo,69950
si,62645
die,61762
der,60816
uf,55273
er,47209
au,46095
zum,41392
am,40989
vum,39519
für,37355
bis,36493
dè,34291
en,32234
as,30591
isbn,30527
gsi,30332
bi,29258
sich,27853
worde,27230
us,27073
sin,25716
di,24553
von,23259
es,22846
an,22546
aber,20585
als,20299
oder,20039
wird,19945
des,19878
no,19836
das,17149
zu,16674
wie,16355
ìsch,16239
wu,16108
wore,15988
weblink,15826
johr,15432
ere,14993
kanton,14952
sind,14760
vor,14320
ond,14094
stadt,13848
noch,13644
gsii,13482
fir,13327
the,12734
hät,12433
anne,12135
ghert,12123
vun,11811
um,11800
zur,11770
zem,11747
über,11270
so,11080
ort,10892
uff,10873
gschicht,10698
of,10629
dur,10488
nit,10409
zue,10104
hän,10025
verlag,9946
ìm,9663
literatur,9541
me,9532
ass,9314
erschte,9146
da,9081
mä,8876
hàt,8871
basel,8627
denn,8550
häi,8235
eme,8074
mol,7990
scho,7886
dass,7807
bim,7775
joor,7643
hrsg,7503
region,7499
züri,7370
la,7340
sit,7279
dialekt,7067
ab,6999
git,6980
unter,6816
was,6727
band,6699
hèt,6667
mer,6629
land,6474
ìn,6447
bade,6420
cha,6386
gmacht,6341
berlin,6308
schwyzer,6287
aus,6276
gmeind,6259
ischt,6186
worre,6160
dialäkt,6124
name,6026
under,6017
km,5948
diè,5942
worrè,5874
andere,5857
wider,5853
är,5738
wärde,5690
durch,5671
nach,5640
nume,5640
däm,5634
dä,5595
lyt,5568
gha,5521
den,5471
gmein,5437
joorhundert,5436
and,5375
èm,5370
dütsche,5325
ii,5287
mai,5260
maa,5233
hai,5216
hend,5185
ùn,5135
ene,5121
dem,5073
iber,5064
geschichte,5032
saint,5024
ein,5019
hans,5016
wenn,4968
drei,4962
du,4948
ganz,4908
wält,4903
ghört,4876
nid,4841
www,4788
dt,4781
oktober,4767
do,4759
et,4747
alli,4736
cho,4711
anderi,4686
dytsche,4649
immer,4628
april,4619
juni,4619
dorf,4618
karl,4617
ghaa,4576
juli,4541
peter,4528
allem,4521
ne,4414
bezirk,4405
johrhundert,4373
hot,4367
februar,4367
eine,4360
aa,4319
gege,4315
st,4306
sy,4294
schwiiz,4278
weblingg,4267
hüt,4256
stuttgart,4230
sini,4220
baar,4209
ihre,4159
lang,4139
wil,4127
zwei,4097
chönne,4074
zom,4052
schwiizer,4015
paul,3984
gee,3963
worra,3932
friedrich,3920
frau,3870
fuessnoote,3857
jänner,3852
bärn,3850
zwüsche,3847
le,3840
schwiz,3838
person,3798
geografi,3784
bìs,3777
fueßnote,3773
erscht,3738
münchen,3728
ane,3678
stand,3650
schwyz,3635
département,3625
deil,3620
dört,3614
kaiser,3585
johann,3567
gmai,3564
won,3550
zit,3549
ma,3535
könig,3529
dezämber,3512
sa,3483
se,3477
chrieg,3422
dütschland,3410
jahr,3370
syt,3355
wald,3330
meter,3286
bei,3253
alte,3224
dütsch,3223
gnännt,3219
gsìì,3210
vier,3203
arrondissement,3202
öbbe,3180
merz,3153
händ,3150
àls,3131
lueg,3126
jh,3124
auf,3123
gläge,3120
ch,3113
dere,3094
chuu,3092
erste,3086
heinrich,3082
gebiet,3069
septämber,3059
novämber,3039
zwische,3035
elsàss,3027
rund,3021
frankfurt,3021
religion,3015
mee,3009
new,3008
sim,3005
website,2998
burg,2997
èn,2996
wäge,2994
martin,2985
riich,2950
gstorbe,2943
macht,2939
nöd,2921
send,2919
chunnt,2905
film,2903
familie,2892
zürich,2887
mìt,2886
zyt,2883
insle,2879
bekannt,2872
norde,2839
rom,2838
kultur,2830
àm,2830
odder,2825
ihri,2810
gnennt,2786
patois,2766
politik,2758
baasel,2747
ergebnis,2735
gründet,2726
basler,2715
derno,2712
kilometer,2706
baut,2705
also,2699
wärk,2696
rudolf,2694
wörd,2666
eso,2657
bischof,2649
märz,2643
bzw,2640
wilhelm,2620
sproch,2616
hei,2616
bd,2606
vil,2582
ds,2581
paris,2580
wäre,2577
wirttebärg,2571
museum,2567
bildet,2566
wirtschaft,2560
autor,2551
öppe,2545
teil,2544
lääbe,2540
meh,2532
iii,2527
bruucht,2525
entstande,2520
sälber,2510
schwizer,2494
worden,2477
wien,2477
hett,2475
europa,2469
uss,2468
fuessnote,2458
läbe,2451
hèn,2444
hed,2433
sie,2423
litratuur,2423
ànna,2418
franz,2405
januar,2404
grad,2397
ganze,2395
druf,2395
sp,2391
änglisch,2390
main,2389
zäme,2381
nr,2376
choo,2356
wort,2348
is,2338
katholisch,2334
bassiert,2334
nu,2330
bolitiker,2328
georg,2327
begriff,2313
evangelisch,2308
dail,2305
baden,2305
woren,2300
grand,2297
sei,2296
neue,2292
römisch,2290
gange,2278
ich,2274
art,2272
frankriich,2271
form,2264
alemannische,2263
johannes,2255
august,2248
staat,2244
york,2244
republik,2243
schriftsteller,2243
