word,count
ла,5855
ле,4216
деп,3647
јылда,3574
болгон,3544
алтай,3474
айдыҥ,3284
кӱни,2904
јылдыҥ,2618
јурт,2300
бу,2002
аайынча,1967
јаан,1690
республиканыҥ,1645
чык,1625
јетире,1619
кӧп,1489
суу,1425
ала,1391
бож,1272
орус,1250
ол,1219
тоозы,1195
км,1172
совет,1170
ӱлӱрген,1091
бар,1067
эл,1065
айыныҥ,1064
јон,1057
агаш,1057
изӱ,1050
чи,1045
учун,1032
тӧс,1029
ајарулар,1027
кижи,1004
аймактыҥ,979
баштапкы,964
јери,942
сууныҥ,942
кош,914
кызыл,906
орто,902
ло,886
кӱнде,884
эҥ,882
соок,871
бийик,863
кӱнинде,843
јаткан,842
јер,833
ссср,827
бир,805
кӱн,792
јуртта,771
григориан,763
јанында,757
ортојылдык,757
юлиан,752
кӱнтизӱ,752
јок,745
болот,737
улус,734
россияда,724
тыҥ,715
турат,706
болуп,700
чаган,683
тайантылар,678
ӧскӧ,677
оноҥ,667
ортодо,662
текши,651
чы,638
оозы,638
климады,635
мында,633
јерлери,628
кирген,617
тӱндӱк,614
тӱштӱк,614
ичинде,612
јерде,610
кирет,606
кеми,596
олордыҥ,591
јуруктардыҥ,581
кӧмзӧзи,581
республика,577
ӧзӧт,573
чак,570
каланыҥ,565
талайдыҥ,563
база,560
јердиҥ,559
россия,552
јарлу,545
россияныҥ,538
јылдарда,533
ай,527
аҥ,525
оныҥ,524
кара,519
да,519
чыккан,518
алтын,516
алтайдыҥ,512
ортозында,510
окылу,510
кӱнбадыш,503
кӱӱк,501
туулу,499
школ,493
је,493
россий,491
до,488
бичиичи,487
адалган,485
тазыл,484
кемјӱзинеҥ,482
берген,477
јыл,474
кадын,474
алган,472
дыҥ,471
катап,469
тӧзӧлгӧн,467
калыктар,461
арткан,460
метрге,455
эки,452
кӱнинеҥ,452
горно,449
улу,447
турган,447
калада,444
башка,443
адыла,436
аймагында,434
јат,433
ором,430
аймак,429
температуразы,428
кӱнине,427
учына,423
географиялык,418
јаҥы,416
јурттыҥ,416
онойдо,415
кала,414
физико,413
ӧйдӧ,413
ок,411
муҥ,409
јылдаҥ,404
јаар,403
чечек,403
темдектери,401
чактарда,401
високосный,399
кӱнчыгыш,397
ӱч,397
кичӱ,397
ар,397
кандык,395
ада,395
этимологиязы,393
ӧлӧҥ,393
ӱстӱги,390
озо,389
ныҥ,385
тӧрӧл,384
байрамдар,384
тӱӱкилик,379
керектер,379
чуйдыҥ,377
укту,377
чыккандар,377
кӱнтизӱле,375
ак,374
божогондор,372
јӱзӱн,371
таҥынаҥ,366
инфраструктуразы,364
американ,364
кӱнтизӱде,364
географиязы,363
континентал,363
государственный,363
јеезезине,362
марал,359
улузы,358
билим,357
мм,356
баштаган,355
кожо,351
тил,351
ӧзӱмдери,345
эземи,345
јанынаҥ,343
муниципал,343
эмес,341
деген,340
тӱӱкизи,337
нобельдиҥ,337
боло,336
оҥ,334
сыгын,334
тал,332
мал,331
аҥылу,331
кан,331
оок,330
кийнинде,330
ады,330
библиотека,329
на,329
бирӱзи,329
ачылган,329
куран,327
учурлу,325
чиби,323
тооалыжы,323
кӧргӱзилген,322
байлу,322
тулаан,321
кереестер,320
иштеген,320
керегинде,315
артисти,315
јууныҥ,314
алфавит,313
тура,313
театр,312
немец,312
бичикте,311
сол,308
јакшы,307
ук,306
кезик,305
узуны,304
куштары,303
бичигине,301
кайыҥ,301
јут,300
айландыра,299
кочкор,299
кӱчӱрген,299
јуу,298
салкынныҥ,297
эмчилик,297
јылга,296
француз,296
администрациялык,293
мӧш,292
ӱредӱлӱ,292
темдек,292
экономиказы,289
кереестиҥ,288
бастыра,288
келтейинде,287
суулары,286
александр,286
кереестердиҥ,286
айда,284
бӱткендик,284
улустыҥ,283
кыш,283
скобканыҥ,281
јаҥар,281
туу,278
ӱлгерчи,277
јурттары,276
куштар,275
айу,272
аҥдар,272
калыктары,272
турчызы,272
канча,271
јолдоры,270
јарадында,270
болзо,270
тудулган,269
эмдиги,268
бажы,266
јӱӱр,265
алтайлар,265
орустар,265
кӧксу,259
кейдиҥ,257
де,257
алфавитле,256
бӧрӱ,255
магазин,255
чай,254
кереес,254
советский,254
лӧ,250
лауреады,249
археологиялык,248
алтыгы,247
ылаачын,247
кезем,247
кире,246
николай,246
туразы,245
тоолу,245
тыт,244
балдардыҥ,244
эткен,244
агаштар,242
јебрен,242
температура,242
оҥдой,241
алдында,241
дезе,241
гран,240
ӱкӱ,239
суузы,238
тӱргени,238
агас,238
ишчи,238
алтайда,237
тергеелик,237
кӧрӧ,236
јурукчы,236
стадион,235
сыйыныҥ,235
телекейлик,234
јерлер,234
кӱндердиҥ,232
каргаа,232
тӱлкӱ,230
по,229
кӱртӱк,228
јеезези,228
тооргы,226
узун,226
јол,225
коштой,225
артык,225
сыйы,225
институт,224
јоонмойын,223
эдип,223
јай,222
ӧзӱмдер,221
кыска,221
ӱй,221
алтайск,221
га,220
бӧднӧ,219
тургузылган,219
чактаҥ,218
калганчы,217
чыктыҥ,217
алтайский,216
музей,216
иштейт,216
тоодо,215
туризм,215
тайга,215
ого,215
чактыҥ,215
јуук,214
берет,213
экинчи,213
јаш,212
актёр,212
сайт,211
санкт,211
москвада,210
рсфср,209
кӧӧлик,207
ас,207
кажы,206
кӱндер,206
иван,205
кӧрӱк,205
кӱндӱлӱ,204
азыраары,202
јӱрет,201
университет,199
каргана,197
јымжак,197
келген,197
статус,197
бажында,196
геройы,195
салкынду,193
олимпий,193
федерацияныҥ,192
москва,192
мечиртке,191
элик,190
бороҥот,188
том,187
федерал,185
кыйулар,185
јууда,184
киноныҥ,184
беле,182
кышкыда,182
православный,182
сша,182
койон,181
јеезениҥ,181
астаган,180
јойгон,180
аспак,180
улаган,178
бӧлӱги,178
ред,178
куштардаҥ,177
кирип,177
владимир,177
оп,176
российский,175
оны,174
таш,174
јеринде,174
ондо,174
аймакта,174
агат,174
олор,173
туркунына,173
майма,173
кӧл,172
композитор,172
тайгалары,171
сууда,170
кей,169
сарас,168
тайа,168
баштамы,168
тушта,168
карчага,167
завод,166
биле,165
телекейде,165
боочызы,163
јеекен,162
калган,162
эмезе,162
келип,162
ӧлӧҥдӧр,161
тӱжет,161
авторы,161
агару,161
национал,160
кожоҥчы,160
тийиҥ,159
јондык,159
јылу,159
кар,158
администрациязы,158
чамал,158
физик,158
тӱрген,157
ээлемдӱ,156
аш,155
јаҥыс,155
амыр,155
область,155
јылкы,154
за,154
чараган,154
шабалин,153
туружаачызы,153
клубы,153
иштеп,153
билимчи,153
мӱркӱт,152
јодро,152
карагай,151
агашла,151
государстволык,151
тийиҥкат,150
кызылгат,150
ат,150
михаил,150
табылган,150
аҥдык,149
тейлеген,149
ээлемдер,149
ӧйинде,149
суулар,149
ойто,149
василий,149
чемпион,148
эм,148
сӱреен,148
англий,148
улам,147
кӧк,147
бел,147
бий,146
ортоайлык,144
јадат,144
рф,144
карлу,144
млн,144
горный,143
чемпионы,143
чечектер,142
эмеш,142
киреде,142
драматург,142
кыр,141
јаны,141
бойыныҥ,141
калба,140
јеткен,140
промышленный,140
божогон,140
ташта,139
кускун,139
јерлерде,139
эмди,139
турачак,139
итальян,139
почта,138
божоткон,138
аба,138
аргалу,138
јайгыда,137
камду,137
бичикке,137
ийт,137
сын,137
талеҥко,136
аржан,136
булан,136
чыкту,136
союзтыҥ,136
вып,136
пётр,136
сооктор,135
шоҥкор,134
салкын,134
бӱдӱм,133
кайралдары,132
кырлар,132
россии,131
ары,131
тӧзӧгӧн,131
таскадаачы,131
турна,130
јурттар,130
бери,130
ӱредӱчи,130
саҥыскан,129
мария,129
серӱӱн,129
сууны,129
арасей,129
бассейны,129
боро,128
кийнинеҥ,128
сергей,128
ажыра,127
чаргы,127
астап,127
бичиичилер,127
мындый,127
јериле,127
тарал,126
јараттай,126
биригӱзиниҥ,126
балык,126
јиилектер,126
тӧзӧлмӧзи,126
журналист,126
ни,126
суузар,125
јолдор,125
ӱренген,124
башталган,124
айы,124
јылмай,124
регионал,123
кыйгак,123
оромы,123
телекейдиҥ,123
кӧжнӧ,123
литература,123
ӧткӧн,123
ажы,122
сабазы,122
бичиген,122
культура,122
генерал,122
сценарист,122
койу,121
московский,121
под,121
кыртыжыныҥ,120
кӧлдиҥ,120
биографиязы,120
айында,120
кинорежиссёр,119
учы,118
кечире,118
чотогоныла,118
кату,117
тумчукту,117
ӱредӱ,117
кижиниҥ,116
јеезеге,116
мӧҥкӱ,116
сибирь,116
областьтыҥ,115
улалу,115
јакалай,115
философ,115
актриса,115
академик,115
торлоо,114
бийиктей,114
чын,114
литературазы,114
не,113
шиҥжӱ,113
саба,113
иштиҥ,113
олорго,113
беш,113
ӧзӱп,112
кӱр,112
иванович,112
политик,111
кӧгӧзин,111
турушкан,111
чортон,111
турада,111
военный,111
јелечи,110
республики,110
башкараачызы,110
нерелӱ,109
какай,109
суулардыҥ,109
тӧрт,109
бийиги,109
суунаҥ,109
ран,109
публицист,109
режиссёр,109
јоголорго,108
байзыҥы,108
шӱлӱзин,108
једет,108
болор,108
бӱткен,107
туй,107
сибирский,107
учында,107
ӧйдиҥ,107
чоо,107
кудайлык,107
уйкӧс,106
бажыныҥ,106
ижи,106
каан,106
салкындар,105
республикада,105
айалга,105
округка,105
киргенине,105
чӧл,104
метр,104
киш,103
албаа,103
алексей,103
јасагы,103
кӧчӱреечи,103
иртыш,103
сайын,102
боочы,102
кайра,102
атту,102
ачкан,102
чыгарган,102
западная,102
культураныҥ,101
чӧлинде,101
баш,101
туткан,101
президенти,101
бассейновый,101
иштер,100
сабада,100
барган,100
тайалар,100
от,100
областной,100
реестры,100
ленинниҥ,99
ӧркӧ,99
удура,99
сууга,99
ан,99
кырайдыҥ,99
сууээлем,99
кырлары,98
ӧй,98
ишчизи,98
верхний,98
вод,98
подбассейны,98
темдеги,97
маҥыр,97
эдегинде,97
бӱркелген,97
кас,97
бичилген,97
калазы,97
алтая,97
саду,97
ресурсы,97
реестрдиҥ,97
айдаҥ,96
тургускан,96
чакта,96
поверхностных,96
суузыныҥ,95
берилген,95
јыштыҥ,95
калаш,95
кӱнниҥ,95
кӱӱлик,95
верхнеобский,95
эрчишке,95
гидрологическая,95
изученность,95
зееберг,95
гидрометеоиздат,95
јиилек,94
иш,94
јонныҥ,94
аймактарга,93
кулузын,93
јерине,93
ойрот,93
ачык,92
буланат,92
јааны,92
теҥ,92
калага,92
кӧс,92
ӧскӧн,92
келиштире,92
граждан,92
политикалык,92
из,92
борис,92
туралар,91
тургузары,91
барнаул,91
ороонныҥ,91
бойы,91
ыраак,90
јурттаҥ,90
јараа,90
јолдо,90
јайым,90
кудай,90
кижиге,90
темирјол,90
васильевич,90
каланы,90
тыҥыда,89
ээлем,89
арка,89
башкарган,89
кайралдаткан,88
медаль,88
јуучыл,88
бириккенинде,88
кӧлдӧр,88
турбаза,88
јӧптӧп,88
черӱ,88
тас,87
туштайт,87
ирбис,87
аҥдардаҥ,87
изд,87
климат,87
врач,87
адазы,87
пермский,87
бичиктер,86
крестьян,86
быркырууш,86
сибирде,86
тӧзӧлмӧлӧрди,86
билимниҥ,86
католический,86
православие,86
кышкы,85
инженер,85
тӱндӱктеҥ,85
новосибирск,85
ӧдӧт,85
шибее,85
критик,85
международный,84
тарбаган,84
улай,84
агашту,84
докторы,84
профессор,84
сибири,84
архитектор,84
москваныҥ,84
тӱрк,83
керек,83
торт,83
ӧзӧктӧ,83
бажына,83
јӱрер,83
сыгырган,83
автоном,83
математик,83
јайгы,82
ӧрӧ,82
арчын,82
јерлик,82
млрд,82
сибирдиҥ,82
энези,82
князь,82
салган,81
суујакалай,81
сындарыныҥ,81
јииттердиҥ,81
кичинек,81
федерацияда,81
уфа,81
