word,count
the,1564
of,1185
and,850
http,654
in,518
to,500
for,372
com,367
www,363
org,346
en,318
ethiopia,281
wiki,239
wikipedia,232
ethiopian,207
de,195
be,193
center,193
align,178
by,177
from,166
https,151
on,151
with,149
co,146
annual,146
fco,141
review,133
onthisday,129
is,122
history,116
html,115
er,112
university,111
news,110
at,110
ii,110
als,110
uk,109
et,104
september,104
press,103
or,98
december,97
bbc,97
isbn,97
january,93
stories,93
as,91
amharic,90
an,90
hi,90
dates,87
may,86
march,84
ethiopic,79
la,79
stm,79
molla,76
newsid,76
that,75
aberra,75
april,75
june,74
church,74
new,73
july,71
one,70
are,69
october,68
dr,68
it,67
john,65
february,65
geezedit,64
november,64
vol,64
august,60
perf,59
who,58
language,58
he,57
was,56
world,54
institute,54
wa,54
wanik,54
general,53
no,51
pdf,50
other,49
museum,49
english,48
state,48
php,47
font,46
al,46
learning,46
th,46
egypt,46
second,46
club,46
iii,45
this,45
his,45
you,45
have,45
period,44
nytimes,44
during,44
computer,43
size,43
bc,43
wiktionary,43
am,42
all,42
music,42
life,41
engineering,40
person,40
political,40
time,39
international,39
report,39
publications,39
addis,38
fo,38
situation,38
net,37
index,37
da,37
michelangelo,37
churches,37
not,36
inf,36
ryholt,36
intermediate,36
carsten,36
niebuhr,36
copenhagen,36
tusculanum,36
law,35
do,35
article,35
descartes,35
evangelical,35
chunichi,35
le,34
we,34
also,34
era,34
id,33
james,33
cause,33
they,33
first,33
africa,33
make,32
douglas,32
johr,32
analysis,32
adj,32
london,31
love,31
african,30
more,30
us,30
orthodox,30
articles,30
raya,30
national,29
so,29
people,29
day,29
tu,29
facebook,29
christians,29
ent,29
google,28
about,28
william,28
eritrean,28
iso,28
public,28
gov,28
god,28
man,28
up,28
ina,28
name,27
languages,27
patent,27
ethiopianreporter,27
which,27
some,27
society,27
calculus,27
south,27
gome,27
il,26
text,26
richard,26
american,26
christian,26
ay,26
encyclopedia,25
water,25
book,25
part,25
notes,25
translation,25
des,25
like,25
riki,25
page,24
republic,24
group,24
style,24
youtube,24
online,24
right,24
tom,24
content,24
names,24
me,24
oromo,24
star,24
jpg,24
states,23
eritrea,23
red,23
has,23
dictionary,23
na,23
your,23
pink,23
site,23
king,23
year,23
duet,23
web,22
character,22
gdp,22
di,22
basic,22
library,22
how,22
ed,22
video,22
zazaki,22
der,22
work,22
cup,22
school,22
out,22
land,22
jerry,22
system,21
henry,21
search,21
united,21
view,21
but,21
ad,21
modern,21
ma,21
sib,21
set,21
si,21
city,21
alphabet,21
data,21
radio,21
books,21
utc,21
years,21
most,21
wind,21
house,21
archive,21
early,21
fútbol,21
bēnigalī,21
yebēnigalī,21
shincheonji,21
emperor,20
du,20
typing,20
over,20
pp,20
old,20
their,20
non,20
erne,20
die,20
there,20
abyssinica,20
design,20
trumpet,20
ala,20
wars,20
ranger,20
war,19
lord,19
become,19
long,19
references,19
thomas,19
my,19
list,19
ancient,19
oxford,19
journal,19
british,19
york,19
harry,19
will,19
football,19
potter,19
mec,19
wisit,19
protestant,19
dragons,19
kgs,19
htm,18
its,18
ai,18
st,18
what,18
david,18
back,18
department,18
organization,18
paul,18
social,18
him,18
dead,18
good,18
east,18
calendar,18
pankhurst,18
volume,18
science,18
dk,18
head,18
ye,18
crystal,18
panther,18
sea,17
abc,17
website,17
big,17
college,17
historical,17
paris,17
thepeoplehistory,17
office,17
edition,17
can,17
aids,17
haile,17
mathematics,17
times,17
philosophy,17
place,17
structural,17
nm,17
down,17
winstanley,17
newi,17
oti,17
source,16
abeba,16
robert,16
art,16
put,16
images,16
published,16
introduction,16
case,16
information,16
technology,16
charles,16
bible,16
only,16
research,16
mit,16
community,16
lit,16
singer,16
after,16
theory,16
doctor,16
show,16
boeing,16
association,16
electric,16
px,16
watch,16
fc,16
well,16
color,16
cambridge,16
cultural,16
radiation,16
gerrard,16
tbn,16
aichi,16
entry,15
peace,15
when,15
power,15
oecd,15
project,15
earth,15
blue,15
em,15
print,15
until,15
prince,15
km,15
north,15
two,15
culture,15
known,15
human,15
latin,15
retrieved,15
heritage,15
number,15
plo,15
company,15
ab,15
however,15
series,15
map,15
something,15
spend,15
bala,15
unt,15
ge,14
party,14
kingdom,14
kaj,14
black,14
wikt,14
aspx,14
left,14
del,14
century,14
māori,14
led,14
field,14
president,14
those,14
literature,14
another,14
family,14
she,14
ca,14
von,14
method,14
scientists,14
award,14
order,14
ababa,14
jesus,14
problem,14
ref,14
commons,14
joseph,14
wales,14
born,14
gospel,14
tewahedo,14
software,13
count,13
edward,13
iv,13
sign,13
usa,13
mi,13
because,13
external,13
if,13
see,13
top,13
editor,13
talk,13
home,13
great,13
ac,13
abyssinia,13
civil,13
been,13
these,13
force,13
les,13
bibliography,13
option,13
inc,13
against,13
secret,13
bring,13
them,13
food,13
used,13
pages,13
reference,13
light,13
songs,13
george,13
into,13
quote,13
allah,13
death,13
hcards,13
pentecostal,13
persecution,13
singers,13
nagoya,13
sa,12
royal,12
un,12
our,12
western,12
cd,12
es,12
letter,12
service,12
fm,12
sun,12
samuel,12
edu,12
nd,12
america,12
go,12
background,12
aviation,12
tsunami,12
links,12
word,12
collection,12
jean,12
hall,12
osce,12
te,12
west,12
ltd,12
together,12
mm,12
song,12
itemid,12
species,12
oil,12
before,12
interview,12
famous,12
tilahun,12
education,12
come,12
population,12
change,12
salt,12
studies,12
said,12
type,12
night,12
stone,12
authority,12
pl,12
gama,12
lutheran,12
shimbun,12
rbi,12
unicode,11
free,11
ti,11
jr,11
than,11
columbia,11
ne,11
ni,11
local,11
maan,11
iphone,11
while,11
answer,11
standard,11
full,11
single,11
government,11
vi,11
includes,11
queen,11
martin,11
alexander,11
bear,11
short,11
end,11
cm,11
white,11
plant,11
disease,11
ford,11
van,11
fa,11
space,11
obelisk,11
share,11
foundation,11
high,11
dc,11
mother,11
