word,count
de,544053
en,310456
que,107334
ye,95049
os,86498
una,85356
se,75236
la,75090
con,73203
un,73191
as,54355
por,52740
lo,51640
suya,36006
como,35839
km,27757
socorro,25853
linear,25827
población,25580
provincia,25526
aragón,23439
tamién,21534
externos,20900
vinclos,20658
ta,19752
los,19602
no,18180
mas,18154
suyo,16975
entre,16150
ha,15953
aragonés,15861
referencias,15782
municipio,15091
son,15076
habitants,14180
las,14153
localidaz,13935
cintas,13837
dende,13610
sobre,13436
estió,13324
francés,12930
superficie,12910
atros,12217
ciudat,12143
el,11277
zaragoza,11175
densidat,10501
sant,10466
sieglo,10460
dica,10382
pachina,10375
web,10334
hab,10228
naixencia,10170
setiembre,9965
the,9948
comarca,9902
bi,9544
yera,9542
octubre,9458
veiga,9439
pa,9288
troba,9157
dos,8759
dimpués,8700
pero,8677
altaria,8603
metros,8585
naixencias,8366
estaus,8084
capital,8022
fa,7955
montanyas,7933
anyo,7846
parte,7820
del,7808
iste,7785
nombre,7703
per,7642
encara,7592
municipal,7447
rechión,7442
reino,7435
unius,7376
estar,7265
mar,7224
gran,7220
on,7216
aviento,7185
estausunidense,7170
oficial,7139
marzo,7123
anyos,7050
demografía,7046
países,7044
castellano,7015
río,6990
agosto,6937
muere,6753
francia,6737
norte,6677
ilesia,6640
chinero,6522
este,6505
espanya,6391
noviembre,6389
cheografía,6267
cuan,6233
comunidat,6215
mientres,6207
administración,6169
alcaldes,6148
febrero,6147
val,6105
nueva,6084
sud,6044
alto,5988
historia,5973
sierra,5968
lugar,5967
abril,5965
guerra,5934
uesca,5910
districto,5845
fue,5811
comuna,5650
localidat,5639
cantón,5610
termin,5603
mes,5387
mayo,5385
departamento,5374
papel,5369
rei,5230
actor,5184
forma,5160
ista,5109
suyos,5078
baixo,5062
muga,5019
chulio,4990
suyas,4978
país,4958
puet,4894
catalán,4855
cine,4840
tien,4788
situato,4757
primera,4717
situau,4706
santa,4688
naixius,4687
livel,4651
ya,4645
imperio,4538
parti,4500
latín,4477
alemanya,4462
alemán,4419
fer,4333
teruel,4313
pireneus,4307
enta,4287
autonoma,4272
situata,4244
articlo,4231
lugars,4202
luenga,4193
hue,4191
mesmo,4189
partiu,4144
alta,4139
luengas,4073
orichen,4066
of,4002
asinas,3992
premio,3957
cinta,3956
muertes,3954
han,3943
atras,3942
primer,3903
anglés,3852
castiella,3766
tres,3765
seguntes,3737
fan,3728
oficialment,3716
grupo,3711
le,3691
tot,3684
neat,3662
información,3637
politico,3604
distancia,3555
ii,3525
interpretadas,3485
estau,3467
millor,3457
chunio,3455
naixito,3425
heba,3394
palomar,3368
segunda,3365
italia,3361
mayor,3322
catalunya,3305
toponimia,3300
aragonesa,3290
municipios,3267
barcelona,3258
estando,3253
si,3177
cheneral,3176
josé,3138
situada,3136
republica,3131
escritor,3122
york,3119
occitania,3116
casa,3091
actual,3090
mesa,3088
mont,3073
mundo,3071
occitán,3067
navarra,3059
estato,3052
maría,3042
puesto,3040
bels,3037
diferents,3037
europa,3023
sistema,3017
anderson,2991
san,2976
peak,2959
italiano,2948
antigo,2940
kitt,2935
qui,2915
occitana,2902
spacewatch,2901
antiga,2889
contra,2875
sin,2872
baloncesto,2855
pueden,2849
lista,2845
loneos,2843
ueste,2836
toz,2832
gubierno,2831
servir,2810
escaicimientos,2806
castiello,2783
chudicial,2779
sobrarbe,2767
familia,2758
ebro,2744
nomás,2732
chunto,2730
tienen,2723
madrit,2703
occidental,2671
actriz,2662
manimenos,2657
muitos,2652
esta,2645
muerto,2641
usos,2639
campo,2636
van,2631
