word,count
de,3524656
la,1818258
del,768770
en,762963
que,756432
los,711709
el,659371
una,463046
les,444389
un,435129
so,435066
ye,341438
nel,324331
na,323402
al,316090
con,306371
como,292158
por,278479
pa,215240
foi,209847
más,188141
nun,165992
qu,138392
sos,135321
tamién,129055
ente,127833
se,113137
the,101902
referencies,101531
son,87587
enllaces,84499
años,82182
esternos,82093
col,78145
primer,78027
dos,77644
mientres,77434
tien,77427
dende,73394
pol,72796
lo,72176
nos,71902
pero,71855
hasta,71633
cola,68527
ser,68127
parte,67439
sobre,64984
pola,63199
esta,63064
of,61210
añu,60834
nes,57689
esti,57110
onde,56107
gran,54627
yera,53315
estaos,52932
dempués,51668
cuando,51329
per,50324
ciudá,49985
ta,49734
bien,49373
sieglu,49348
xuníos,45727
población,45013
otros,44726
tres,44459
yá,43812
ensin,43152
nome,43114
fueron,42877
dellos,40460
san,40446
según,40223
km,39510
linear,39378
anque,38973
forma,38013
guerra,37560
mayor,37495
historia,37492
persones,37197
españa,37028
cuenta,36630
non,36273
amás,35949
sicasí,34714
gobiernu,34601
nueva,34268
sur,34257
tuvo,34207
unu,34150
mesmu,33745
conceyu,33745
puede,33732
nuna,33296
partíu,33187
ver,31848
rexón,31798
llugar,31723
estáu,31670
familia,31442
delles,31380
norte,31136
nacional,31039
xeneral,30891
setiembre,30518
pal,30189
otres,29776
ya,29402
contra,29122
serie,29062
hai,29019
and,28606
polos,28218
vida,27997
país,27806
va,27626
nuevu,27488
grupu,27387
mundu,27323
presidente,26966
xunto,26642
casu,26342
si,26271
quien,26052
siendo,25943
in,25617
esto,25384
tiempu,25367
ochobre,25157
provincia,25042
sistema,24741
escontra,24741
cada,24612
universidá,24418
segunda,24251
marzu,24228
mayu,24065
coles,23982
meyor,23667
superficie,23561
colos,23543
francia,23486
otru,23411
película,23283
agostu,23268
estos,23256
rei,23060
asina,23013
mundial,23002
xineru,22814
mesma,22812
tienen,22721
trés,22690
polo,22308
equipu,22080
avientu,21929
premiu,21897
númberu,21634
payares,21610
día,21607
pueden,21419
francesa,21258
abril,21104
cual,20925
internacional,20765
poder,20698
cuatro,20562
carrera,20463
centru,20422
inglés,20409
vegada,20379
depués,20253
departamentu,20172
otra,20166
grandes,19818
ilesia,19798
especie,19788
zona,19742
xunetu,19705
ríu,19619
febreru,19599
méxicu,19362
manera,19348
namái,19348
europa,19323
principal,19261
van,19191
política,19179
tolos,19158
taba,19027
este,18963
república,18893
obra,18839
tenía,18820
plantes,18776
real,18773
xunu,18746
munchos,18645
dientro,18588
ii,18474
unos,18448
reinu,18395
esi,18387
tipu,18319
temporada,18297
países,18285
televisión,18261
dómina,18152
capital,18078
millones,17836
casa,17818
final,17772
empezó,17755
periodu,17744
mediu,17706
español,17685
anguaño,17681
él,17639
estes,17602
oficial,17598
tán,17507
pueblu,17494
entós,17483
edá,17479
socorro,17339
partir,17232
muerte,17116
antes,16879
yeren,16820
mayoría,16752
china,16724
trabayu,16705
usu,16560
central,16521
segundu,16336
papel,16288
importante,16240
agua,16230
ella,16212
llenda,16173
traviés,16171
josé,16125
ellos,16119
maría,16105
especies,15951
cine,15933
tierra,15903
darréu,15889
sol,15721
wikipedia,15701
tener,15674
díes,15634
santa,15631
color,15614
comuña,15613
solo,15507
obres,15390
llista,15346
exércitu,15343
llingua,15270
llingües,15242
habitantes,15119
américa,15019
fíu,15012
juan,14879
madrid,14864
islla,14824
llocalidaes,14782
tarde,14748
llogró,14636
conocíu,14630
york,14587
arxentina,14561
fin,14551
ante,14474
club,14369
tantu,14327
orde,14313
poles,14234
orixe,14204
momentu,14154
fútbol,14050
siguiente,13890
primeros,13769
puntu,13717
términu,13618
base,13617
mar,13587
imperiu,13538
cinco,13395
isbn,13344
carlos,13311
menos,13310
xapón,13303
música,13222
actriz,13177
padre,13121
xéneru,13119
nivel,13075
principales,12970
frente,12967
inclusive,12921
islles,12867
ello,12832
finales,12793
títulu,12776
tercer,12741
militar,12736
fuera,12725
copa,12693
miembros,12688
territoriu,12664
llamáu,12628
actual,12554
xuegos,12551
francés,12550
estudios,12510
oru,12457
cerca,12421
alemaña,12399
home,12394
producción,12392
munches,12381
comuñes,12359
popular,12252
total,12217
finalmente,12196
campu,12192
da,12135
grupos,12130
arte,12088
llibru,12012
pesar,12003
década,11997
ex,11986
conocida,11948
tol,11929
primeres,11871
to,11830
cultura,11810
aciu,11794
española,11786
importantes,11780
italia,11777
programa,11769
muyeres,11745
distintos,11730
monte,11720
brasil,11643
social,11616
eleiciones,11612
estrella,11611
campeonatu,11585
toles,11572
actores,11564
oeste,11554
distribución,11538
desenvolvimientu,11515
bibliografía,11425
ganó,11358
movimientu,11330
construcción,11287
asturies,11253
películes,11228
teatru,11222
rellación,11204
yos,11164
grande,11157
entá,11129
comunidá,11126
botánica,11114
john,11112
llei,11104
ésitu,11085
principalmente,11053
sinón,11039
escuela,10994
fixo,10986
convertir,10941
metros,10938
antiguu,10921
llinia,10902
alredor,10896
dambos,10871
área,10847
actor,10843
fai,10841
aves,10823
media,10800
new,10784
distintes,10777
cantar,10719
partíos,10663
dio,10655
cuerpu,10648
faer,10647
natural,10622
xx,10601
nesti,10593
políticu,10576
biografía,10556
tou,10505
mesmes,10491
estilu,10485
direutor,10462
xuegu,10442
montes,10433
iii,10432
estudiu,10413
batalla,10387
premios,10353
fuercies,10327
tan,10305
procesu,10271
ciudaes,10255
sería,10238
conceyos,10209
magar,10200
porque,10174
nin,10168
aeropuertu,10162
cargu,10136
planta,10104
madre,10091
sociedá,10075
chile,10061
llocalidá,10060
muyer,10055
carauterístiques,10052
cm,10031
siempres,10005
pocu,9978
organización,9971
altor,9965
recibió,9959
control,9941
llargo,9916
especialmente,9915
estrelles,9882
meses,9880
esisten,9820
altu,9793
llegó,9792
asturianu,9791
banda,9770
puntos,9750
menor,9747
francisco,9730
llau,9728
atopar,9665
llamada,9648
división,9631
álbum,9627
animales,9602
antigua,9591
miembru,9582
común,9577
ministru,9568
siguientes,9567
alcuéntrase,9567
zones,9544
fechu,9500
economía,9486
derechu,9461
interior,9434
victoria,9429
principios,9427
seis,9407
flora,9343
occidental,9329
proyeutu,9321
homes,9318
fuercia,9312
restu,9309
edición,9287
cabu,9274
pela,9274
alta,9263
versión,9219
llatín,9208
nesta,9198
inglaterra,9191
conseyu,9185
alemán,9110
información,9107
lluz,9088
nació,9051
educación,9046
igual,9035
pedro,9016
web,9003
esa,8974
civil,8969
dexó,8969
situación,8941
actrices,8938
barcelona,8931
etc,8928
villa,8907
posición,8881
compañía,8872
públicu,8864
direición,8862
rusia,8848
fía,8840
vegaes,8834
incluyendo,8810
perú,8810
primera,8796
equipos,8781
conxuntu,8764
fecha,8752
congresu,8749
xuníu,8733
fíos,8732
partes,8678
pos,8665
áfrica,8638
antonio,8632
tar,8624
parís,8614
sitiu,8610
tola,8610
nuevos,8606
puertu,8602
anterior,8574
datos,8570
posible,8541
municipal,8537
interés,8537
lliga,8532
llibros,8510
gracies,8466
tal,8456
cultural,8453
muséu,8451
xix,8431
institutu,8401
casi,8396
llargu,8366
luis,8329
dalgunos,8275
india,8274
revista,8269
descripción,8257
unes,8221
pasó,8209
alcuerdu,8163
elementos,8163
mantenimientu,8123
independencia,8111
políticos,8103
elles,8096
sofitu,8094
seleición,8082
para,8022
derechos,8013
california,8009
clubes,7998
dar,7981
futbolistes,7980
fueyes,7970
modelu,7960
puestu,7954
colombia,7903
pequeñu,7886
honor,7882
mariña,7878
participó,7871
cualos,7853
et,7852
serviciu,7840
enantes,7835
emperador,7819
escritores,7815
orixinal,7803
cantidá,7789
esiste,7780
parroquia,7779
nueves,7773
atópase,7771
pel,7762
güei,7758
investigación,7750
problemes,7742
únicu,7730
ellí,7727
castiella,7723
polítiques,7707
bones,7695
personaxe,7693
tuvieron,7684
actividá,7682
primero,7672
tropes,7658
cambéu,7654
personaxes,7634
musical,7624
rellaciones,7620
valle,7611
persona,7586
pasu,7574
londres,7553
clasificación,7541
taben,7533
etapa,7520
manuel,7518
idioma,7517
unión,7516
paz,7501
apaez,7479
asia,7454
oriental,7451
cruz,7445
llograr,7438
agora,7427
siguió,7426
flores,7425
nunca,7398
llugares,7389
espaciu,7385
teoría,7384
edificiu,7383
plaza,7380
tamañu,7359
palaciu,7341
creación,7339
dacuando,7336
alministración,7301
formación,7300
asitiáu,7299
center,7290
personal,7284
última,7277
llegar,7272
daqué,7251
tanto,7242
casos,7239
aproximao,7236
siete,7219
on,7209
dios,7202
ed,7198
presencia,7196
fuerte,7187
xaponés,7186
xugador,7184
causa,7172
camín,7158
significa,7152
hestoria,7138
especial,7123
formes,7118
única,7116
sede,7112
asitiada,7111
tierres,7104
nomáu,7084
xeneralmente,7068
condáu,7067
categoría,7064
tratáu,7051
teníen,7047
david,7038
roma,7033
discu,7033
militares,7028
empresa,7023
xunta,6992
xefe,6989
meyores,6986
asociación,6985
tales,6983
enerxía,6971
no,6968
baxa,6960
revolución,6956
pueblos,6956
caltener,6955
velocidá,6940
estructura,6933
iv,6912
atopa,6896
futbolista,6895
australia,6893
realizar,6862
páxina,6860
hermanu,6859
press,6858
había,6856
pequeña,6854
for,6848
fiestes,6842
toos,6839
importancia,6802
metá,6799
fora,6798
canal,6787
dexa,6781
descrites,6778
cabeza,6777
defensa,6758
lliteratura,6757
pallabra,6756
constitución,6752
nesi,6744
capacidá,6744
world,6726
servicios,6721
xugadores,6715
últimu,6710
propiu,6692
mercáu,6691
morrió,6675
sobremanera,6666
plata,6657
fonte,6656
series,6653
episodiu,6644
voz,6641
apaeció,6640
llibre,6600
función,6569
rexones,6564
branu,6548
reina,6538
midida,6536
llevar,6536
escoyíu,6530
xudicial,6523
olímpicos,6514
fundación,6514
valor,6505
blancu,6491
hábitat,6487
industria,6465
plantía,6465
lu,6463
ésti,6463
ciencia,6454
inclúi,6423
normal,6421
campaña,6401
sierra,6388
selmana,6384
vuelta,6382
últimos,6379
pallabres,6365
podría,6353
solar,6353
actividaes,6350
económica,6340
mayores,6340
don,6334
diversos,6303
aición,6302
imaxe,6298
mm,6295
fechos,6287
masa,6259
miguel,6256
garcía,6251
do,6248
cantante,6245
negru,6244
escribió,6223
ave,6219
santiago,6210
neños,6205
internacionales,6198
formar,6196
xunión,6186
sieglos,6186
diferencia,6173
similar,6170
europea,6156
distancia,6156
sistemes,6152
esposa,6145
tornéu,6144
estadiu,6141
torre,6135
xviii,6131
pudo,6129
seguridá,6126
cualquier,6126
actualidá,6125
baxu,6124
consiguió,6111
matrimoniu,6107
mes,6097
ciencies,6094
hores,6089
pp,6087
cambeos,6087
tipos,6069
trabayó,6067
llucha,6065
com,6047
venezuela,6044
parque,6042
enforma,6026
dambes,6019
armes,6011
realizó,6010
university,6006
xeografía,6004
parllamentu,5997
restos,5993
tema,5992
medios,5987
temperatura,5986
calter,5983
dichu,5976
virxe,5966
xvi,5964
verde,5954
nueche,5941
festival,5936
referencia,5920
novela,5919
tv,5917
sociales,5916
profesional,5909
pequeños,5906
diverses,5903
cutiu,5901
humanos,5898
altos,5898
contorna,5890
volvió,5878
pública,5873
robert,5869
británicu,5866
salú,5853
españoles,5852
territorios,5848
oxetos,5844
quedó,5840
corte,5835
mandu,5827
clase,5822
primeru,5811
tomar,5810
cantares,5804
presenta,5803
sigue,5803
nengún,5795
james,5792
decidió,5789
cai,5786
ayuda,5770
artículu,5759
aires,5745
clima,5745
condiciones,5718
medaya,5712
inda,5710
príncipe,5708
artes,5706
diez,5706
tradicional,5703
península,5696
naciones,5657
uviéu,5647
academia,5644
distritu,5644
nomes,5636
cámara,5636
buenos,5626
griegu,5618
ganar,5618
cunta,5608
testu,5608
grau,5603
autor,5603
influencia,5602
asamblea,5592
mediaos,5591
cuasi,5583
trabayos,5571
toa,5562
castiellu,5559
participación,5550
árabe,5548
italianu,5542
rock,5537
vista,5521
romanu,5519
crisis,5514
exemplu,5512
william,5490
presidencia,5488
santu,5485
ocho,5483
agües,5480
productos,5471
rede,5470
poco,5468
sentíu,5466
hubo,5456
postreru,5455
portugal,5453
perteneciente,5440
constelación,5435
patrimoniu,5422
comerciu,5412
soviética,5412
européu,5410
comercial,5403
numberosos,5381
árees,5380
provincies,5363
manes,5363
falta,5358
material,5353
páxines,5349
llargor,5344
dicha,5338
ataque,5334
entrada,5325
le,5323
escritor,5322
mil,5319
empreses,5313
radio,5286
réxime,5283
canadá,5274
enrique,5265
aire,5263
esistencia,5261
houten,5260
presente,5255
llevó,5249
llibertá,5248
amor,5246
tiempos,5245
dixo,5242
george,5230
saint,5224
artículos,5211
sí,5198
unidá,5191
pequeñes,5186
tresporte,5185
piedra,5184
madera,5181
notes,5176
costa,5173
independiente,5164
dexar,5162
ocasiones,5158
siguir,5153
corona,5140
líder,5131
naturales,5129
autores,5128
idea,5125
consideráu,5123
vía,5121
oficiales,5118
american,5116
sector,5106
históricu,5103
comunicación,5098
realidá,5097
sigo,5093
autónoma,5088
bona,5086
principiu,5083
primeramente,5078
fontes,5077
nacionales,5074
paez,5052
suelu,5042
crear,5040
comisión,5037
dinastía,5033
demás,5033
diseñu,5031
óscar,5031
física,5025
lleón,5017
tradición,5011
ecuador,5010
empieza,4996
arquiteutura,4989
numberoses,4987
mio,4975
recién,4969
fase,4968
muncho,4963
nuesa,4957
facer,4949
actuación,4946
estación,4941
pocos,4926
pue,4913
figura,4911
efeutos,4907
evolución,4904
mano,4893
crecedera,4890
propia,4888
resultaos,4888
dólares,4877
federal,4874
naturaleza,4867
contién,4863
man,4860
rusu,4847
marca,4846
solu,4844
repartu,4841
padres,4839
editorial,4830
azul,4825
oxetivu,4820
busca,4812
dalgún,4809
favor,4800
exiptu,4798
ríos,4796
fiesta,4795
funciones,4790
filmografía,4787
fondu,4781
llocal,4779
tour,4776
minutos,4763
dafechu,4760
entamu,4758
utilizar,4756
anteriores,4755
frontera,4749
comité,4745
plan,4744
fernando,4744
quilómetros,4742
propiedaes,4734
siquier,4730
soldaos,4720
felipe,4710
escudu,4708
evitar,4707
propiedá,4704
campeón,4699
conde,4694
xvii,4694
xente,4688
inferior,4680
cimera,4663
dir,4661
cuartu,4638
efeutu,4637
paul,4636
campos,4628
bolivia,4627
términos,4621
guatemala,4620
eso,4615
michael,4603
esterior,4601
accesu,4600
equí,4593
franceses,4584
las,4570
temes,4569
papa,4563
sureste,4561
prueba,4558
ruta,4553
antiguos,4551
duque,4550
podía,4549
fl,4548
probablemente,4545
dalguna,4544
trabayar,4544
suel,4535
sía,4532
artista,4531
hermanos,4530
align,4520
fernández,4519
charles,4510
angeles,4510
conceutu,4508
empezaron,4496
algamar,4492
baxos,4479
federación,4473
oxetu,4471
títulos,4467
posterior,4466
terminó,4464
vi,4452
nucleu,4447
curtiu,4443
usar,4441
viaxe,4441
faciendo,4427
blanca,4427
templu,4427
nenguna,4426
resultancia,4422
crítica,4421
jean,4420
edificios,4397
austria,4392
publicó,4392
artistes,4386
llegada,4380
industrial,4371
inclúin,4370
programes,4363
unidaes,4359
modelos,4359
rápido,4356
votos,4352
diz,4352
martín,4344
taxonomía,4339
cómo,4334
británica,4332
rica,4326
des,4325
love,4318
pie,4305
llarga,4296
qué,4292
vuelu,4291
bretaña,4285
árboles,4282
bandera,4280
toes,4277
cases,4276
futuru,4263
reis,4256
agricultura,4256
escritu,4252
estauxunidense,4248
mesmos,4236
alianza,4226
xira,4225
pesu,4221
pasar,4220
ésta,4215
resistencia,4212
hermana,4210
ronda,4210
ponte,4209
tomó,4208
families,4205
conflictu,4203
xenerales,4198
lleva,4187
gobernador,4186
calidá,4173
show,4171
seya,4165
cuenca,4162
apaición,4161
estensión,4154
ermita,4154
dominiu,4146
problema,4145
imáxenes,4140
estremar,4138
casóse,4135
fueu,4134
llinies,4129
motor,4129
producir,4128
católica,4127
pista,4124
altitú,4120
formáu,4117
muertes,4116
anunció,4111
recursos,4106
cronoloxía,4105
msnm,4102
interpretó,4101
volume,4097
cadena,4097
lleis,4095
téunica,4090
romana,4089
aragón,4084
demografía,4084
bronce,4075
von,4074
xeneración,4074
conocer,4072
llagu,4067
estudió,4067
algamó,4063
materiales,4062
filosofía,4061
biblioteca,4056
profesor,4052
city,4048
combate,4047
medicina,4046
me,4044
vecinos,4039
