word,count
ва,6673
буго,3958
ккола,2475
бугеб,2270
гьеб,2019
росу,1741
мухъалъул,1680
соналъ,1588
дагъистаналъул,1417
цо,1416
росдал,1229
абилеб,1156
рекъон,1122
къо,1086
авар,1006
руго,1000
росаби,979
соналъул,866
км,836
уна,787
чи,778
лъаг,759
гьединго,758
бук,740
мугъчӏваял,700
яги,693
бищун,687
тарих,674
абураб,669
лъугьа,654
хвана,642
марказ,641
хіужаби,638
гьесул,632
ана,623
бахъинал,606
гьев,601
гьел,600
россиялъул,600
къадар,582
хадуб,577
гьаруна,574
гъорлӏе,562
маг,559
мухъалда,557
ун,554
гьелъул,539
география,529
ругел,527
букӏана,516
аваразул,509
административияб,497
гьабун,496
амма,492
мацӏалда,467
хут,460
хунзахъ,459
араб,458
демография,452
ал,451
сон,451
данде,442
хъвай,437
мац,436
ел,435
гьезул,424
гъорлъе,419
мухъ,414
чӏел,414
ула,412
жаниб,410
абун,406
на,404
гьабула,401
цӏар,395
вуго,394
жиндирго,392
дагъистан,392
ишараби,390
календаралда,382
гьес,381
вас,379
алил,379
гьабуна,376
кӏудияб,374
байрамал,372
халкъалъул,370
сверизе,370
цогидал,362
гьоркьоб,362
муниципалияб,360
жо,354
високоснияб,351
гьабулеб,342
цадахъ,342
росулъун,340
бакӏал,340
гь,337
моноэтникияб,333
цебе,332
жиб,330
шагьар,329
аслияб,318
гьабизе,316
боялде,315
рук,314
азарбижаналъул,313
гьабураб,312
жамаг,312
жиндир,311
кавказалъул,308
адабият,307
мух,306
росулъ,305
заманалда,303
бегьула,303
гӏуцӏи,301
регӏелал,300
алъ,298
бак,282
лъаратӏа,278
унеб,277
шамилил,277
жумгьурияталъул,277
нахъе,276
раг,275
шималияб,274
алда,271
мехалъ,265
рахъалда,262
гьоркьохъеб,262
вук,261
вукӏана,260
миллатал,260
бакӏ,255
кколеб,255
хъизан,249
линкал,243
ан,243
гьеч,241
гьениб,240
гъуниб,239
букіана,238
заман,237
грегорианияб,236
бакъбаккул,234
жал,233
аз,230
лъабго,229
чанго,227
латиназул,225
ціар,224
ккун,224
абула,223
пачалихъ,219
ай,219
маці,219
гьелда,218
черх,218
алт,217
пачалихъалъул,217
арал,212
ираналъул,212
египеталъул,209
жинца,208
сайт,208
район,208
халкъ,207
соналда,207
бугел,206
бат,206
жибго,206
жинда,204
ин,202
гьебго,202
григорианияб,200
гьаб,199
абулеб,197
бо,196
гӏумру,195
кӏиго,195
рагъул,194
рахъалъ,193
мацӏ,193
киналго,192
букӏараб,189
лага,189
цояб,188
ар,187
аб,185
по,183
гьезда,182
тахшагьар,182
гӏадамал,181
мацӏал,181
бакъбаккудехун,181
гьарурал,179
шималиябгин,179
гӏадамасул,179
аталде,178
статус,177
гьелъ,175
гуржи,174
жеги,174
ссылкаби,172
ах,172
умру,171
жанубиябгин,170
гъоркь,169
миллат,169
гӏурус,168
чӏарада,168
ине,168
гьаби,168
гурони,167
аллагьасул,167
гьавуна,167
ракь,165
как,162
цебесеб,162
алъул,162
ракьхъвай,161
кіудияб,161
соналдаса,161
аварагасул,161
дунялалъул,161
гӏ,160
балагье,160
рагьараб,158
рукӏана,156
лъугьана,156
ралъдал,156
къоялъ,156
шагьаралъул,155
ужаби,155
маціал,154
шагьаралда,153
дагъистаналда,152
жакъа,151
шагьарал,151
гӏатӏилъи,151
центр,151
май,150
европаялъул,149
лъай,148
хӏисабалда,148
боялъул,148
ат,147
муниципалиял,147
турциялъул,146
мацӏалъул,145
гӏуцӏиялъул,144
гьелдаса,143
ялъуни,143
щвезегӏан,142
бакътӏерхьудехун,142
рик,141
парс,140
байбихьана,139
удияб,138
гьелъие,138
рагӏи,138
кьералъул,138
гӏалхул,138
хъван,137
гіумру,137
рагӏалда,136
гьез,136
щибаб,136
рагъ,136
миллияб,135
машгьурал,135
гьечӏо,135
гӏараб,135
уц,135
щвезегіан,135
бакътӏерхьул,134
жанубияб,133
бакъ,133
рак,133
батӏи,132
ислам,132
яс,132
гӏадин,131
гьенир,131
амад,131
соназда,130
гьесда,130
гӏемерал,129
эмен,129
гьанжесеб,129
дин,129
ялъ,129
айванал,129
хан,128
имам,128
бет,128
исламияб,127
абу,127
тӏоцебесеб,126
гӏасруялъул,125
территориалияб,125
рес,125
бакӏалда,125
август,125
гъорлъ,125
гьанже,124
март,124
арулазул,124
кьун,123
букіараб,123
рагъал,123
жив,123
пачалихъияб,123
гьаракь,123
поселениял,123
абуни,122
хадув,122
иял,122
ккараб,122
хъвараб,121
гьесие,121
мухӏамад,121
лъун,121
расмияб,121
рагьарал,121
история,120
къватӏисел,120
президент,120
мухіаммад,120
рукӏарал,119
ралагье,119
хіужжаби,119
тіад,118
цӏияб,118
тӏад,118
цоги,118
районалда,118
сияхі,118
кьуна,117
маціалда,117
кинабго,117
щвана,117
нухалъ,117
арав,117
бут,117
гіасруялъул,117
мугъчіваял,116
республика,115
гьабулел,115
саг,115
гьава,114
батӏиял,114
асар,114
вац,114
ад,114
жидер,114
цӏарал,114
цвел,114
тӏаде,113
ккана,113
борхиялъул,113
сагіудиязул,113
хӏарп,112
букӏуна,112
гуреб,112
ингилис,111
рахъ,110
лъим,110
гьедин,110
соналде,110
административиябгин,110
тун,109
нух,109
хӏужаби,109
хв,109
лъик,109
некӏсияб,108
бач,108
ияб,108
кӏудияв,107
байбихьун,107
рахъалдехун,107
мухъал,107
къагӏидаялъ,107
эбел,107
жидерго,106
заманалъул,106
соназ,106
тарихияб,105
бахъун,105
форма,105
не,105
бачуна,105
гӏуцӏиял,105
хъвадарухъан,104
болъихъ,104
ибн,104
экономика,104
гі,104
арул,103
бищунго,103
латин,103
шагарго,102
баян,102
гьабулев,102
хадур,102
премьер,102
бикьи,102
атал,102
россия,101
гьечӏеб,101
бакълъул,101
гӏуцӏиялде,101
бакътіерхьул,101
ракьалъул,100
бакі,100
лъалеб,100
бихьизабула,100
лъикӏаб,99
хун,99
цере,99
ахиралда,99
гӏахьвахъ,99
гьитӏинаб,99
сверун,98
мисалалъе,98
сипат,98
аслиял,98
из,98
баяназда,97
регіелал,97
хъварал,96
киналниги,96
го,96
хъулухъ,96
россии,96
ссср,95
кӏиабилеб,95
хьаргаби,95
чияс,95
цогидаб,95
жиндие,95
рагъулаб,95
моц,95
лъабабилеб,94
хварал,94
цолъарал,94
пачалихъал,94
мах,93
щуго,93
бахъана,93
биография,93
гуржистаналъул,93
азарго,92
россиялда,92
ракьалда,92
исламалъул,92
цӏумада,92
тарихиял,92
гъоркьияб,92
урус,91
тарихалда,91
цӏакъ,91
гьарун,91
жибги,91
наслу,90
бутіа,90
совет,89
ялъул,89
тіоцебесеб,89
гӏахьаллъарал,89
хасаб,88
кинабниги,88
бан,88
наслуялъул,88
январ,88
итал,88
млн,88
адег,88
декабр,88
гіуціи,87
дунялалда,87
ункъго,87
цинги,87
нилъер,87
букӏун,87
хъвала,87
гьит,87
от,87
лъаратӏаса,87
бутӏа,86
апрел,86
кіиго,86
гӏемерисел,85
районалъул,85
кколел,85
мажгит,85
масала,85
июн,85
ківар,85
ого,84
вукіана,84
грек,83
бакъбаккуда,83
кавказалда,83
босун,83
бахъараб,83
халкъазул,83
гьоркьор,83
рукъ,83
бугев,83
кьола,83
аллагь,83
гӏуцӏана,83
иццал,83
рукіана,83
баянал,82
машгьурав,82
цеве,82
гъорлӏ,82
рехсон,82
куцалда,82
унсоколо,82
заманаялъ,82
хасал,82
авараг,82
живго,81
кӏвар,81
бахуна,81
хӏалтӏизабула,81
шамил,81
бараб,81
феврал,81
маціалъул,80
гӏемер,80
лъугьуна,80
цояблъун,80
щун,80
къват,80
система,80
байбихьуда,80
рач,80
вугев,79
бусурбабазул,79
гӏадал,79
ик,79
империялъул,79
цевехъан,79
америкаялъул,79
гьечіо,79
хіисабалда,79
турк,78
хӏакъалъулъ,78
москва,78
оцебесеб,78
гіараб,78
хадусел,77
асарал,77
жанир,77
дун,77
хӏалтӏизабулеб,77
маданият,77
баянкьелал,77
лӏугьана,77
некісияб,76
къабул,76
хӏалтӏи,76
бикьула,76
магӏна,76
рукіарал,76
гіадамал,76
официальный,75
сабаблъун,75
мехалда,75
дагьаб,75
хъала,75
муг,75
чаг,75
школа,75
хӏайван,75
ханлъи,75
изд,75
сайте,75
гӏадамазул,74
этимология,74
лъала,74
сурат,74
ракьал,74
бакіалда,74
цӏикӏкӏун,73
батіи,73
хъвалеб,73
ян,73
мухӏарамхур,73
гьебги,72
лъуна,72
дир,72
гьединлъидал,72
вукӏарав,72
кьолеб,72
аль,72
гьезие,72
кавказ,72
росо,72
еб,72
гьарула,71
рагӏаби,71
ахирисеб,71
аслу,71
герман,71
кьезе,71
халкъияб,71
республики,70
шагӏир,70
рукъалъул,70
азул,70
аби,70
акъалъулъ,70
вахӏшияб,70
ноябр,70
кидаго,69
бакътӏерхьуда,69
мугӏрул,69
щиб,69
жидеца,69
алипба,69
вач,69
инг,69
адабияталъул,68
хъвана,68
ги,68
газета,68
иш,68
январалда,68
сариралъул,68
аллагьас,68
батіиял,68
гіарабиялъул,68
батӏияб,67
гурел,67
аварал,67
ціумада,67
борхатаб,67
бугин,67
изе,67
империя,67
кіиабилеб,67
билкан,67
махачкала,67
примечания,67
за,67
рикӏкӏад,66
бана,66
гуребги,66
мацӏазул,66
туркиялъул,66
халкъаздагьоркьосеб,66
кумек,66
елму,66
макъала,66
гъуниса,66
тӏахьал,65
гьаризе,65
заманалъ,65
росабазул,65
абубакар,65
лъазабуна,65
гьенив,65
адамал,65
гьаркьал,65
букіуна,65
хунзахъа,65
европаялда,65
маціазул,65
паранс,65
иран,64
рикӏкӏуна,64
гӏасруялда,64
миллион,64
борхалъи,64
аэропорт,64
ажи,64
ханлъиялъул,64
пачалихъазул,64
текст,64
къватіисел,64
остан,64
екатерины,64
жумгьурият,63
федерациялъул,63
федералияб,63
шаг,63
гъизилюрт,63
цересел,63
территориялда,63
генерал,63
балагьун,63
бит,63
июл,63
во,63
ціияб,63
для,63
гьоркьоса,62
хасго,62
бетӏер,62
хъвадарухъаби,62
халалъи,62
рагӏул,62
эркенаб,62
иго,62
бихьизабулеб,62
магӏарул,61
къимат,61
гьал,61
щай,61
хурхарал,61
бакіал,61
ер,61
удияв,61
сиясияб,61
ул,61
александр,61
нек,61
гіага,61
гіадамазул,61
официалияб,60
абизе,60
июль,60
аскӏоб,60
хадусеб,60
да,60
сссралъул,60
республикаялъул,60
ил,60
рикікіуна,60
бинт,60
ялдаса,59
къокъа,59
тӏолго,59
росулӏ,59
гьоркьохъел,59
гӏоло,59
дандчӏвала,59
гӏемерисеб,59
лъугьараб,59
гьей,59
египет,59
сентябр,59
чӏахӏиял,58
