word,count
jisk,16409
suyu,14516
aqa,10632
de,10302
jach,6976
piruw,5298
jaqinaka,5078
marka,4613
mara,4014
la,3737
asu,3550
nayra,2943
phaxsin,2825
uru,2781
el,2733
markanaka,2678
chacha,2663
nayriri,2652
san,2539
kastilla,2476
jaqi,2382
aru,2379
wali,2353
warmi,2239
uñt,2114
at,2102
qutanaka,2084
jawiranaka,2079
irpirinaka,2038
kamasqa,1998
markap,1965
amachana,1959
santun,1959
suyupi,1940
kurakanaka,1923
chiqanaka,1922
uraqipa,1908
juk,1861
distrito,1839
mä,1827
yupaychäwi,1744
en,1740
qullqinchäwi,1737
del,1683
amp,1677
aq,1630
taytakura,1622
achxat,1620
yatiyäwinaka,1620
umalliq,1576
phaxsi,1568
aruskipäwi,1472
sarnaqäwi,1418
lima,1374
qullunaka,1348
km,1343
sarnaqawi,1342
utanaka,1271
the,1260
santa,1214
uchuy,1161
suyuwa,1129
arupi,1121
suyuxa,1120
munisipyu,1117
markapi,1110
karu,1110
puriy,1110
inei,1102
huk,1058
rosa,1054
yuritayna,1052
josé,1049
pallan,1035
los,1022
ch,1014
nisqaqa,980
yachay,952
jiwäwi,937
municipalidad,926
jacha,917
jaqinakapa,916
web,866
awki,864
mons,847
manuel,821
movimiento,812
juan,783
tayka,770
na,764
markam,756
urqunaka,750
anakithiri,741
yuriwi,739
independiente,724
msnm,707
provincial,698
uwispu,632
llamayu,607
luis,600
suyunaka,595
istadus,595
huwan,583
ukat,582
con,569
of,567
partido,563
por,549
prisidinti,546
unidus,545
regional,544
chichu,531
aka,526
qillqiri,521
yatiñ,520
las,517
hawa,515
iqut,511
inkinaka,502
kaypipas,495
qhaway,494
no,483
miguel,483
prado,475
maría,462
garcía,459
perú,456
carlos,455
wuliwya,454
para,444
uficial,442
uraqita,441
un,439
uka,438
suti,438
santiago,435
juyphi,424
apra,421
pbro,419
sata,417
que,416
antonio,413
awti,411
parruqia,404
mïxiku,403
takiri,403
jan,396
peruano,393
manq,382
popular,377
parruqu,370
taypi,369
pedro,367
ramón,362
yuqanaka,361
janiw,361
jallu,360
aprista,360
ariqipa,353
qallta,351
castilla,340
ukax,337
arxintina,333
alberto,332
francisco,329
piruwna,327
nacional,325
qusqu,324
anata,321
uchu,320
rodríguez,320
kuti,319
tarpuy,317
musiku,312
phransiya,308
apaykachana,308
wankawillka,307
chawpi,307
uta,306
huch,305
uy,305
phistanaka,303
aires,300
buenos,299
qillqanaka,298
madrid,293
iñiy,293
una,292
ispaña,292
wrasil,289
and,289
yapu,287
preb,287
huillka,286
thaya,286
fernando,284
kuraka,284
waki,283
como,281
sánchez,279
provincia,275
llamp,275
martín,270
in,270
yachaychiy,270
arsuyaña,269
italiya,268
jorge,266
wanuku,265
achuqa,263
crus,261
sobre,260
acción,259
istadu,259
al,254
fuerza,253
yäpari,252
arxatiri,251
alianza,249
punu,246
karnawalnaka,244
lista,243
apthapi,240
jaylliphust,239
su,238
qajamarka,236
cruz,229
chili,226
víctor,221
kunsipsyun,219
se,218
yuriña,217
uma,216
barrio,216
ricardo,215
ankashu,214
ap,214
karmin,211
kristu,202
yawyu,198
alimaña,196
augusto,195
pallay,193
partidupi,192
militar,190
salvador,190
historia,188
pablo,188
novela,186
isbn,182
trujillo,181
belaúnde,181
suma,180
es,178
ika,177
piwra,177
lópez,176
ayaquchu,175
amor,175
pérez,174
ukhamaraki,173
mendoza,173
quispe,172
hunin,171
edición,171
domingo,170
nueva,167
utji,167
pidru,165
salazar,164
china,163
wuliwar,163
mi,163
jaime,163
santiagu,163
taqi,162
inlish,160
fernández,160
todos,159
libertad,159
jamach,159
julio,157
eduardo,157
somos,153
gran,152
odría,152
alma,151
editorial,151
new,150
arunaka,150
turismo,150
jesús,149
titiqaqa,148
mario,148
flores,148
sarawayxarakitayna,145
ed,145
usa,144
york,142
walja,142
inlatirra,141
obras,141
pachakamilla,141
césar,140
instituto,140
santo,138
www,138
qhichwa,138
ukaxa,138
enrique,138
oscar,138
torres,138
vida,135
nobel,134
asunsyun,134
simuna,133
vásquez,133
kamayuq,133
ukhamarak,132
isidro,132
qullu,131
qillqa,131
raúl,131
parroquia,131
kasta,130
santu,130
héctor,129
jani,128
vargas,127
cuentos,127
rojas,127
alejandro,126
chile,126
markana,126
dos,126
john,125
poemas,125
universidad,124
andrés,124
qillqatata,124
libertadur,123
to,122
orden,122
bawtista,122
da,120
felipe,120
sapa,120
quta,120
pardo,120
winïxwila,118
le,118
aymara,117
jawira,117
progreso,117
ramos,117
león,116
martin,116
jupanakax,116
links,116
mircidis,116
xauxa,116
chachapuyas,116
ii,115
mariya,115
poesía,114
izquierda,114
iwi,114
ufisyal,114
daniel,114
markan,113
castillo,113
wankayu,112
paris,112
phutwul,112
takiña,112
paz,111
mater,111
kanka,111
leguía,111
pallaynaka,111
niya,110
ramírez,110
santos,110
tour,110
uywa,109
rafael,109
castro,109
klubnaka,109
premio,108
pasqu,108
oficial,108
mariano,108
alfredo,108
vamos,108
gutiérrez,107
rusaryu,107
general,106
yatiyaña,106
mariscal,106
díaz,105
jikxatasi,105
biografía,104
qhapaq,104
chhichhillanka,104
apurimaq,104
unida,104
mercedes,104
aymar,103
tres,103
laq,103
alto,103
amarujawira,102
cáceres,102
katjaña,102
pä,101
kimsa,101
guerra,100
chávez,100
vecino,100
bactrocera,100
insecta,100
diptera,100
ignacio,99
estadística,99
wan,99
ari,98
lampalliqi,98
chiklayu,98
morales,98
lo,97
sum,97
roberto,97
yaqha,96
maranaka,96
sutiyiri,96
méxico,96
informática,96
warminaka,96
hombre,95
luritu,95
taqna,95
kunayman,95
jiwaña,95
museo,95
félix,94
prelatura,94
benavides,94
guillermo,93
sur,93
más,93
janq,93
arturo,93
uruyaña,93
david,93
angel,93
charqui,93
desarrollo,92
maria,92
maya,92
gonzález,92
puerta,92
ana,91
kuluwya,90
yäpa,90
as,90
rubén,90
martínez,90
mundo,89
com,89
yatichäwi,89
anatakaman,89
on,88
obra,88
río,87
kathuliku,87
sulli,87
phutti,87
imdb,87
nuevo,86
phanchiri,86
vera,86
awankay,86
iwrupa,85
atasa,85
cabrejos,85
luya,85
unidos,84
awya,84
sin,84
ukatx,84
óleo,84
victoria,83
rusiya,83
gov,83
kawkit,83
waruqt,83
puerto,83
waras,83
américa,82
cerro,82
ukan,82
for,82
cm,82
república,81
si,81
biblioteca,81
javier,81
do,81
mar,80
diario,80
ukayali,80
sus,80
krus,80
casa,80
vidarte,80
españa,79
arte,79
walter,79
ikwadur,79
kuna,79
frente,79
carrión,79
uksan,79
george,78
william,78
tunka,78
mujer,78
cutervo,78
ruiz,78
piñeiro,78
arzobispo,78
español,77
grande,77
unión,77
pacha,77
uno,77
ali,77
ciudad,77
gómez,77
carmen,77
calderón,77
aqawa,77
don,76
tumpis,76
vol,76
barcelona,76
republika,76
serie,76
libro,75
