word,count
ri,290074
il,255142
ild,208460
ci,204968
si,193896
az,183420
bir,160679
bu,156513
rin,145483
rbaycan,119811
rd,118850
rind,112755
olan,98857
üçün,95591
ki,93062
sind,92783
sonra,87724
ti,86923
tl,79581
stinadlar,77679
kimi,69865
is,68849
da,68214
gör,65825
cü,65745
nin,65314
rinin,64169
ed,62372
nd,62076
rl,60699
sinin,60239
find,59711
li,58231
yerl,57344
etm,55572
çox,55268
onun,52336
edir,51621
dövl,50880
ill,50377
idi,50374
sas,50233
cı,48854
st,47028
böyük,46521
cu,45808
baş,45806
olaraq,45746
rk,45077
min,45019
mü,42521
sin,41677
göst,40952
daha,40857
mçinin,40738
xarici,40735
ilin,40608
ya,38791
rini,38698
ni,37978
istifad,37737
hiss,37661
ilk,37109
olmuşdur,35261
işl,35132
tin,34247
aliyy,33229
mm,33095
öz,32727
rbi,32416
bakı,32291
ölk,32011
zi,31562
yeni,31212
müharib,31004
vv,30670
arasında,30422
milli,29859
keçidl,29788
dig,29694
tinin,29283
film,28926
tarixi,28851
bil,28755
tic,28652
iki,27999
aid,27434
sini,27298
daxil,27206
kt,26887
sil,26863
etdi,26856
the,26771
oğlu,26467
etmişdir,26416
edilmişdir,26350
bax,26336
bel,26291
bütün,25830
ail,25600
sah,25361
üzr,25306
şir,25297
üz,24742
olub,24566
tind,24388
lakin,23707
vi,23451
yi,23430
td,23423
xidm,23044
di,22920
kl,22886
şkil,22839
edilm,22826
yüks,22548
elmi,22434
adı,22381
olur,22292
haqqında,22216
nl,22041
bi,21848
lif,21845
erm,21837
tli,21797
km,21763
oldu,21693
nb,21641
dir,21634
of,21434
biri,21168
rb,21139
müxt,21111
zif,21062
miyy,21030
qüvv,21028
rh,20903
zamanı,20858
var,20714
nc,20647
qeyd,20611
olunur,20523
birl,20505
laq,20486
ll,20264
abş,20171
orta,19939
dünya,19294
yin,19205
al,18941
ibar,18681
qarşı,18619
yatı,18153
beyn,18120
edilir,17992
bul,17903
lxalq,17717
rbaycanın,17418
edil,17365
gün,17279
hsil,17269
burada,17212
türkiy,17210
onların,17132
rayonunun,17073
müdd,17018
hb,16997
rusiya,16982
adlı,16775
olduğu,16213
niyy,16194
birinci,16191
edildi,16040
respublikasının,15934
xalq,15902
vasit,15590
in,15457
tini,15439
halisi,15359
iştirak,15354
onu,15347
azad,15254
sr,15222
yer,15202
ndi,15166
kiçik,15056
yy,15053
nm,15042
eyni,14981
qs,14916
türk,14904
başqa,14884
növü,14806
ist,14805
respublikası,14607
hakimiyy,14584
xan,14479
davam,14426
bölg,14373
ona,14284
sg,14186
hadis,14133
idar,14088
dim,13945
etdiyi,13940
onlar,13918
el,13741
xüsusi,13642
ali,13519
siyasi,13458
dair,13375
filml,13357
sl,13355
avropa,13260
istiqam,13207
ndl,13169
hökum,13148
neç,13142
bl,13121
anadan,13034
elml,12957
şm,12899
edib,12884
ii,12873
yenid,12804
olunan,12764
ks,12685
medalı,12664
zaman,12620
ümumi,12576
cinsin,12497
birlikd,12466
son,12453
su,12448
sm,12350
ölümünd,12333
üç,12273
müdafi,12256
prezidenti,12104
and,12102
sovet,12045
döyüş,12038
rus,11983
bitki,11969
yalnız,11954
yaxşı,11943
fat,11906
bağlı,11904
heç,11872
lav,11842
razi,11640
mübariz,11623
edilmiş,11603
mir,11567
ikinci,11545
ran,11537
rq,11515
srin,11469
olunmuşdur,11455
ziyy,11397
kild,11369
altında,11366
ld,11348
edirdi,11338
adına,11312
nub,11301
şirk,11298
hm,11216
ver,11201
müst,11197
dl,11110
gönd,11097
ssri,11076
hey,11030
uğrunda,11018
geniş,11015
şimal,10984
bilm,10933
bundan,10923
dilind,10882
rbaycanda,10824
dar,10805
ng,10766
qarabağ,10732
verir,10621
dd,10611
may,10608
riyy,10568
de,10527
hr,10523
liyev,10509
yerin,10486
inkişaf,10468
razisind,10433
dövründ,10424
üzvü,10419
smi,10395
olduğunu,10394
artıq,10378
hesab,10366
dil,10363
köm,10324
buna,10311
ancaq,10307
tarixind,10257
deyil,10194
biyyat,10192
şr,10182
münasib,10144
qiym,10114
nümay,10081
lik,10070
osmanlı,10056
niz,10056
kinci,10055
olunmuş,10006
rayonu,9975
kils,9942
vardır,9939
abid,9899
yata,9867
öyr,9796
yaxın,9718
vilay,9691
ltif,9659
rir,9653
ad,9647
musiqi,9644
yat,9633
kd,9585
siyas,9584
oktyabr,9527
razil,9459
başa,9429
qadın,9404
olar,9374
likl,9373
etmiş,9329
silahlı,9320
tdir,9309
olimpiya,9292
ndd,9253
lir,9243
iş,9242
viyy,9215
olmuş,9172
nubi,9159
uzun,9065
ngc,9052
müasir,9045
şhur,9030
müqavil,9020
tez,9011
tarixli,8983
yanvar,8982
mirz,8975
ndind,8945
qara,8929
malik,8900
yaşayış,8894
mart,8881
yerli,8872
hlük,8870
qızıl,8847
komit,8836
rzind,8833
hazırda,8790
sir,8781
dov,8776
inzibati,8757
lm,8746
qiq,8672
bürcü,8594
universitetinin,8587
layih,8578
başladı,8570
ayında,8566
tarix,8547
nistan,8543
fransa,8446
keçiril,8439
sür,8420
rt,8408
aprel,8378
rayonunda,8360
dem,8348
aşağı,8315
göz,8312
olmaqla,8298
düz,8296
verm,8260
tam,8251
baxmayaraq,8235
sentyabr,8192
fakült,8175
zamanda,8166
qeyri,8116
rlik,8106
xmin,8087
növl,8086
rdi,8078
yaşayır,8078
dekabr,8052
at,8020
ls,8010
insan,8008
iyun,7978
hat,7977
ssr,7954
sıra,7951
doğulanlar,7917
avqust,7885
noyabr,7854
sosial,7849
çıxış,7809
olması,7788
ranın,7773
srd,7771
sayı,7756
mi,7747
xüsusiyy,7733
din,7705
sultan,7701
lk,7689
dill,7677
elm,7671
bar,7668
iqtisadi,7617
yir,7617
dövrd,7595
rqi,7552
rayon,7524
futbol,7516
rcüm,7513
sasında,7461
iyul,7444
zar,7419
nil,7416
nir,7399
ml,7382
dii,7372
on,7369
nt,7334
lb,7331
şöb,7317
naxçıvan,7314
van,7278
nın,7277
vaxt,7262
dini,7261
daxili,7259
keçmiş,7254
halinin,7223
rm,7179
düşm,7170
ddin,7161
hava,7156
lumat,7152
müs,7144
mişdir,7136
fevral,7105
elan,7104
fi,7064
daxildir,7064
növb,7040
minin,7036
rdir,7035
madd,7025
yay,7019
neft,7011
sözl,7006
hv,6999
üzvl,6986
göy,6984
qdim,6971
müq,6970
müh,6924
meş,6897
ged,6894
rql,6885
svir,6884
mükafatı,6843
rab,6834
rbaycanlı,6831
lham,6828
qal,6818
liyevin,6818
qızı,6811
dili,6801
bii,6799
şah,6791
evl,6768
mövcud,6744
bununla,6724
srl,6720
razisin,6706
ifad,6690
msil,6679
müt,6679
şf,6656
ev,6655
şimali,6650
geri,6642
edirl,6634
dağ,6628
istehsal,6596
ticar,6596
çin,6589
qısa,6583
ssis,6570
şmiş,6558
