word,count
һәм,423797
буйынса,196095
һыу,168022
менән,149912
йылға,140594
йылда,133490
рәсәй,109080
бассейны,87390
йылдың,86677
дәүләт,80724
тиклем,72574
була,69952
бер,69706
өсөн,69214
коды,68138
км,66143
гө,60281
был,59728
ул,59029
халыҡ,58442
иҫкәрмәләр,54442
уҡ,52467
йыл,51389
өлкәһе,50004
башҡорт,49211
уның,47371
һылтанмалар,47180
урынлашҡан,46853
тип,46499
йылғалары,45744
итә,42398
булып,41664
реестры,40443
шулай,40193
се,40160
башҡортостан,40059
булған,39493
хужалығы,38613
йылғаһы,38331
мәғлүмәттәре,38220
федерацияһы,37911
ауыл,37196
йылдан,36085
кеше,35342
йылдарҙа,34964
бөтә,32321
улы,31548
һуң,31480
районы,31154
ссср,30919
һаны,30015
ла,29910
мәғлүмәте,29795
иң,29175
ҡала,28886
ике,27519
юғары,27214
тора,27201
башҡа,25794
алып,25415
беренсе,24691
ҙур,24617
шул,24570
республикаһы,24469
бәләкәй,24248
тәбиғәт,24045
тураһында,23955
күп,23746
оҙонлоғо,23743
өйрәнеү,23660
федераль,23577
тарафынан,23394
итеп,22964
ала,22824
хәрби,22659
йылғаһының,22380
ҡушыла,22091
министрлығы,22008
төньяҡ,22006
яңы,21980
ордены,21614
аға,21513
бар,21046
советы,20975
хеҙмәт,20883
агентлығы,20715
экология,20649
биләмәләрендә,20640
участкаһы,20622
сығарылыш,20535
бассейн,20501
округында,20427
ресурстары,20408
өфө,20330
үҙ,20286
гидрологик,20223
объектының,20198
реестрында,20194
ресурстарының,20152
улар,20146
төп,19836
эшләй,19834
тамағынан,19787
обь,19606
әммә,19522
йәки,19353
баш,18715
ярына,18657
өҫтәрәк,18624
барлыҡҡа,18606
бөйөк,18436
килә,18058
вафат,17678
билдәле,17597
ваҡытта,17563
әҙәбиәт,17204
тыуғандар,17040
уны,17008
араһында,16878
икенсе,16733
бик,16637
тыуған,16488
исемендәге,16426
тарихы,16178
атҡаҙанған,16122
ватан,15984
республикаһының,15943
төрлө,15920
эске,15827
ҡыҙыл,15709
үрге,15426
донъя,15337
быуат,15217
инә,15131
торған,15064
ара,14981
хәҙерге,14959
лә,14887
на,14789
ауылы,14768
башлай,14747
тәүге,14660
алфавит,14659
алыу,14643
милли,14515
системаһы,14406
исеме,14302
үҙенең,14135
совет,14084
көньяҡ,14019
ҙың,13875
ао,13689
тапҡыр,13629
ҡалаһы,13489
унда,13307
ҡаршы,13259
мәскәү,13171
тигән,13147
нисә,13019
өлөшө,12968
уларҙың,12933
тимер,12902
иткән,12796
һул,12651
урта,12616
береһе,12533
уң,12401
ағзаһы,12340
ғына,12340
өс,12215
булараҡ,12150
сыға,12080
үҙәк,12042
асср,12023
урамы,12003
йәшәй,11984
һуғышы,11921
башҡортостандың,11904
уфа,11842
йылғы,11831
сы,11804
биографияһы,11800
рәсәйҙәге,11797
көнсығыш,11701
район,11627
юл,11603
ҡайһы,11580
ҡыҙы,11574
түбәнге,11552
әҙерләнгән,11516
территорияһын,11314
дөйөм,11163
ҡабул,11082
булғандар,11034
итеү,11032
килгән,11024
томы,10919
боронғо,10873
геоинформация,10861
районлау,10854
юҡ,10795
ителә,10754
диңгеҙ,10733
рус,10687
көнбайыш,10625
ауылында,10496
иртыш,10489
түгел,10414
мең,10405
уға,10380
ярашлы,10266
ҡатын,10224
ер,10165
ғилми,10112
ҡалаһында,10054
союзы,9940
бында,9766
булмаған,9764
кама,9757
ошо,9750
үҙәге,9750
миҙалы,9706
да,9680
номеры,9655
ҡатнаша,9647
йәшәгән,9546
йылдар,9540
тәшкил,9484
бәйле,9452
крайы,9420
уҡыу,9376
һуғышында,9318
аша,9274
ил,9270
фәндәре,9245
генә,9223
теле,9134
фәндәр,9041
ының,8954
ҡушылғанға,8933
халҡы,8872
мөмкин,8863
ваҡыт,8858
һәр,8853
китап,8828
рәсми,8828
ҡарата,8812
эйә,8787
урыны,8755
нигеҙ,8727
почта,8705
алған,8684
үҙәгенә,8669
волга,8594
ненец,8580
фәнни,8574
бирә,8537
шәхестәр,8504
районындағы,8463
сәнғәт,8443
киң,8437
кеүек,8402
тура,8374
премияһы,8367
белем,8365
килеп,8314
тарихи,8269
ҙа,8253
эшмәкәре,8180
медицина,8165
үтә,8129
тау,8064
тамамлай,8027
китә,8023
айырым,7950
һуңғы,7943
яҡшы,7881
рәүештә,7862
бергә,7846
европа,7832
тыш,7781
мәҫәлән,7716
ырымбур,7696
индексы,7614
из,7524
кавалерҙары,7521
майҙаны,7510
ҡара,7473
административ,7466
ҡарай,7398
сәйәси,7395
мәктәп,7377
бара,7370
википедия,7348
институты,7336
мәҙәниәт,7327
тик,7323
артабан,7279
аҡш,7274
иҫәптән,7244
составына,7214
салауат,7205
ваҡытында,7188
урыҫ,7182
дәрәжә,7157
университеты,7150
бирелә,7134
аҫтында,7085
ленин,7033
хеҙмәткәре,7031
һуңынан,7029
эш,6995
урал,6993
александр,6987
метр,6964
оло,6962
исемдәре,6956
сығанаҡтар,6942
башында,6938
ҡушылған,6924
двина,6917
алына,6914
ашыу,6885
рсфср,6872
нефть,6805
фән,6803
үк,6802
сит,6745
ҡушылдыҡтары,6740
яҡын,6738
рәйесе,6690
күрә,6670
алтын,6616
географик,6606
яҡынса,6597
союз,6579
ның,6572
ауылдары,6572
сайт,6561
телендә,6522
төҙөлгән,6512
изге,6500
профессор,6492
дауам,6488
уҡытыусыһы,6465
техник,6431
тарих,6425
спорт,6409
яһай,6389
ҡарағыҙ,6380
сыҡҡан,6374
дә,6347
рәсәйҙең,6303
по,6299
станцияһы,6296
йәш,6265
быуатта,6244
иҫке,6225
йорт,6213
ханты,6208
