word,count
ring,77812
kabupatén,36578
punika,31923
kecamatan,30359
sané,26873
situs,26395
resmi,24388
inggih,23646
miwah,23037
pustaka,20210
désa,19773
bali,19170
saking,18606
kota,18339
pranala,15951
puniki,15440
silih,15011
dados,14811
tunggil,14727
indonésia,14720
jaba,14252
url,14127
propinsi,13216
pamréntahan,12129
jawa,12056
aksara,11890
barat,11127
timur,10719
pusat,9838
warsa,9692
lis,9670
kelurahan,9502
badan,9293
statistik,9174
wawengkon,8654
bps,8189
antuk,7889
provinsi,7626
nenten,7303
aktip,7146
ilang,7144
tengah,7075
yening,6975
banjar,6954
kauahin,6867
cutetan,6810
madué,6443
selatan,6357
kaapus,6300
ngiring,6268
utawi,5870
magenah,5746
wewidangan,5713
nusa,5613
utara,5511
binapemdes,5305
kemendagri,5256
ida,5233
prodeskel,5223
administratip,5158
ipun,4982
kabupaten,4969
gorontalo,4640
sulawesi,4557
wénten,4477
indik,4395
olih,4207
tenggara,4193
tur,4184
dusun,4003
taler,3953
taman,3867
kalimantan,3860
ka,3768
dinas,3662
nasional,3645
mawit,3563
di,3547
basa,3535
negara,3357
panegara,3322
sareng,3269
sumatra,3011
krama,2922
nyané,2915
lantas,2870
embas,2865
sampun,2678
administrasi,2632
pinih,2619
diri,2591
pinaka,2569
kelod,2569
sang,2499
adat,2412
seda,2341
jakarta,2310
akéh,2307
tanggal,2291
sane,2274
the,2238
lombok,2214
lampung,2173
paindikan,2121
langkung,2109
pakraman,2042
tekén,2037
nénten,1982
suba,1969
gunung,1969
km,1951
anak,1947
genah,1932
ia,1884
agung,1845
ané,1831
of,1786
kirang,1763
mangkin,1744
kalih,1673
kangin,1670
kakepah,1669
wawidangan,1641
pamrentahan,1620
bojonegoro,1614
istri,1595
bangkalan,1567
blitar,1559
dané,1554
ento,1544
yogyakarta,1527
oktober,1522
rahina,1519
agustus,1513
pura,1513
prasida,1485
juli,1476
juni,1467
april,1458
ri,1456
ageng,1456
amérika,1441
désémber,1436
méi,1432
ada,1419
januari,1418
maret,1416
séptémber,1396
tusing,1395
liyané,1388
sekadi,1385
lanang,1383
subak,1371
pébruari,1370
nopémber,1356
manados,1346
malih,1334
ngantos,1308
kalér,1301
kepulauan,1275
bandung,1266
para,1265
tari,1245
negeri,1243
jani,1242
tanah,1237
wantah,1229
raris,1219
padang,1217
tukad,1214
boné,1206
kalurahan,1203
catetan,1202
dadi,1171
daérah,1160
satua,1156
kaanggén,1142
jagat,1134
tanjung,1131
budaya,1120
lan,1097
yéning,1095
batu,1085
kauh,1083
jaya,1081
makudang,1081
dan,1072
jimbar,1071
kéto,1068
ketah,1066
banyuwangi,1057
koné,1054
tan,1052
lingkungan,1040
alit,1037
suratan,1028
serikat,1021
soroh,1016
buin,1006
cingak,1002
baru,997
sari,994
ditu,990
buléléng,990
and,987
raja,982
tabanan,979
segara,979
surabaya,977
sungai,974
dénpasar,965
pahan,965
lakar,965
nganti,958
umah,950
bolango,948
raya,942
semarang,936
mangda,928
manut,928
inggris,926
kapertama,915
sisi,904
an,902
tradisional,902
kala,884
masih,880
sépakbola,878
wates,872
gending,871
bupati,864
gedé,863
karangasem,861
utama,860
mawinan,856
kramanyané,854
kruna,846
tim,837
madaging,834
déwan,829
anyar,827
piodalan,818
akeh,816
kasub,814
puri,805
nganggén,800
kode,798
pesan,795
sakadi,775
anaké,774
danu,773
kaléndér,771
upacara,769
minakadi,763
nanging,762
kaja,761
mara,759
sastra,758
sekolah,752
perwakilan,752
ja,749
titiang,746
abad,744
tiga,744
istiméwa,744
pacang,743
wewengkon,739
duk,738
kalender,727
ii,725
laut,720
cai,720
wagian,720
luh,715
karang,713
tiang,712
nuju,710
rumasuk,708
ratu,704
ibu,703
ngelah,701
makassar,700
banten,690
uli,685
putih,685
karya,684
pemain,677
krana,674
badung,673
sasih,669
jepang,667
kaping,667
radén,667
nah,667
sex,663
démograpi,661
pemerintahan,660
marupa,655
sing,650
kulon,649
duur,649
malang,648
palémbang,646
pragina,641
de,640
nomor,639
dasa,638
park,637
kaadegang,634
pohuwato,634
kediri,631
becik,631
stadion,630
lianan,629
tegal,628
piala,628
sawatara,627
mati,626
hulu,625
apang,623
kamargiang,622
jadma,619
papua,619
data,618
gianyar,616
pada,616
gusti,614
rasio,614
bogor,611
pilem,609
bukit,609
tokoh,607
irika,607
koréa,607
prabu,604
ni,604
acéh,602
soang,601
tegeh,601
in,598
kawan,598
asia,597
apa,597
jimbarnyané,593
belanda,589
wenten,585
sakit,581
toya,580
pateh,578
républik,577
déwa,575
rumah,573
keto,571
polih,569
klungkung,568
gunungkidul,567
kudang,565
datu,564
kauningin,563
kausap,563
liyanan,562
pan,561
makejang,554
national,552
mas,548
né,548
india,547
baan,547
bangka,546
anggota,541
bangli,540
univérsitas,539
niki,533
ajak,531
kawéntenan,529
tiosan,529
dalam,526
mawarna,524
kaloktah,522
film,521
tasikmalaya,521
candi,520
asiki,518
tinggi,516
spésiés,516
lutung,514
grup,513
aji,512
liga,512
kupang,510
lima,509
don,509
muah,505
kantun,505
klub,498
dalem,497
cening,496
aran,491
tatkala,489
wilayah,489
nika,488
hyang,488
galuh,487
rauh,486
dukuh,486
icang,486
pisan,485
kapal,485
tulungagung,485
lembaga,483
boalemo,483
iba,481
majeng,480
ngalih,479
labuhan,479
muara,477
prancis,474
kapanewon,474
kampung,473
to,472
abian,472
samarinda,472
warna,470
jero,469
mawasta,468
pemerintah,466
lelintihan,461
musik,460
buka,459
kalpa,458
bima,457
pendidikan,456
pasih,455
tingkat,455
madé,454
wana,454
banjarmasin,454
satunggil,453
mataram,452
masa,451
gubernur,450
usapin,450
kalaksanayang,449
patut,447
yang,447
mantri,446
géograpi,445
wastan,443
ajengan,442
yéh,442
makasami,441
bandar,440
présidén,439
putra,439
galah,437
dasar,436
kuning,436
papat,435
sukabumi,435
jambi,434
sor,433
internasional,433
riau,429
yan,427
kedis,426
jagi,425
mawatesan,424
kakaryanin,422
fifa,421
hindu,420
selat,419
klasik,418
sekar,417
bekasi,417
tetamian,416
gumi,416
pasuruan,416
acara,415
bantul,415
masaut,414
riantara,413
jayanti,412
gadang,412
kelas,410
sebaran,410
ngamolihang,409
baduur,408
seni,406
sawiréh,404
jembrana,403
agama,402
carita,401
sistem,401
cirebon,401
konawe,401
taru,400
sesampun,400
minahasa,400
pangawi,399
museum,397
sléman,396
drama,395
teka,395
beli,395
nampek,394
university,393
cina,393
sinunggil,392
wong,392
balihan,392
kimia,390
timor,390
entikan,390
indonesia,389
pasisi,388
tangerang,388
pasar,387
bola,387
éropa,385
daging,383
jaja,383
paser,383
jerman,381
belog,381
tigang,380
pulo,380
julian,380
liu,379
sma,379
afrika,379
palemahan,379
aktor,377
ulam,377
nasi,377
sasolahan,377
manusa,376
dprd,376
mén,376
kakawitin,375
asapunika,375
api,374
jalan,372
pérméndagri,372
belitung,371
probolinggo,371
dewa,370
universitas,369
balih,369
préféktur,369
grégorian,369
kepahan,368
maluku,368
kawéntenang,368
progo,368
kasengguh,366
paling,365
no,365
kawangun,365
ulu,365
pos,365
kesehatan,363
anggén,363
buron,363
celuk,363
ilir,363
panjang,362
wayan,362
kapuas,361
menawi,357
inucap,354
kadadosang,353
penajam,353
raka,351
kutai,350
bengkulu,349
penghargaan,348
makarya,348
kawastanin,348
spanyol,347
pewarigaan,347
mamurda,346
bulan,345
guru,345
wilangan,345
sumber,344
kulawarga,343
kuta,343
bagus,342
idané,342
dini,342
ya,341
sadurung,340
sesayut,340
pagending,339
sajeroning,338
kidul,337
macan,335
pahlawan,334
pulau,334
ke,334
cara,333
wangunan,333
wisata,331
kacrita,331
rakyat,330
barak,330
dina,325
sri,325
ngurah,324
madasar,324
powiat,324
pianak,323
kanti,323
thailand,322
alas,322
bapa,321
kayu,320
punyan,320
aab,319
sumatera,318
kawentuk,317
album,317
sd,317
balikpapan,317
upakara,316
sasampun,315
keuskupan,315
barito,315
yadiastun,314
kapuloan,313
kanada,313
ajeng,312
lantang,312
prabumulih,312
kabaos,310
yuda,310
dadua,310
dari,309
mulih,309
wali,309
sumba,309
betara,309
nyoman,307
on,306
daya,304
rata,303
dua,303
bhatara,303
ngranjing,302
santukan,302
surakarta,302
