word,count
de,132451
da,131730
und,113480
in,95186
vo,87721
is,85310
im,68575
des,31899
hod,30630
an,26995
vom,25335
der,22855
am,21024
auf,20388
san,20164
ois,18555
aa,17954
mit,16180
county,15781
netz,15138
mid,14637
zum,13948
von,13837
se,13778
fia,13650
beleg,12869
die,12474
aus,12109
worn,11731
ma,11134
bis,11098
isbn,10392
oda,10362
noch,9823
gmoa,9482
es,9201
bei,8768
af,8521
ort,8497
hektar,8486
wo,8362
wia,8263
ned,7950
dem,7848
den,7808
zu,7623
dea,7548
woarn,7398
zua,7133
as,7125
so,7094
woan,6828
sei,6816
the,6807
wean,6653
wos,6649
of,6620
eihwohna,6553
owa,6476
stod,6444
woa,6440
um,6317
hom,6071
km,6000
si,5942
no,5907
do,5600
joar,5561
bauflächn,5549
ea,5543
duach,5270
das,5228
van,5216
usa,5118
bayern,5010
ana,4965
schau,4827
liegt,4811
landkroas,4763
dass,4716
beziak,4715
wead,4544
hot,4473
zwoa,4329
gmoana,4312
seit,4268
on,4258
katastralgmoa,4207
er,3969
park,3957
gschicht,3913
scho,3846
flächn,3783
nua,3679
bezirk,3640
quadratkilometa,3596
literatua,3558
zan,3511
zwischn,3480
and,3438
state,3422
wiad,3406
sand,3393
verlag,3362
uma,3301
region,3298
gwesn,3245
iwa,3211
gnutzt,3187
minga,3155
landkreis,3142
sein,3100
provinz,3096
om,3096
unta,3003
wuan,2970
new,2902
fu,2825
ist,2821
seine,2806
betriebn,2792
geografie,2782
johreswexl,2769
laundwirtschoftli,2768
forstwirtschaftli,2768
ortstei,2762
st,2736
woar,2685
sitz,2670
heit,2650
haum,2634
für,2605
joa,2563
olle,2553
gibt,2527
drei,2519
werd,2509
nu,2491
za,2488
dt,2469
sie,2465
land,2450
ko,2447
la,2431
oba,2403
bundesstoot,2399
kr,2326
oana,2312
creek,2223
håt,2213
englisch,2190
wern,2186
johann,2150
di,2139
dera,2127
ob,2118
recht,2108
gibts,2087
river,2086
nestroy,2068
zeit,2058
gem,2043
eam,2010
wieda,2000
geschichte,2000
stond,1984
mai,1983
wor,1981
hods,1916
zur,1912
daun,1901
seina,1895
en,1893
ham,1893
jenna,1888
tei,1887
wei,1882
beim,1881
listn,1881
www,1880
bzw,1878
wien,1871
band,1866
war,1861
doss,1838
hrsg,1837
kilometa,1826
ein,1803
voa,1800
berlin,1793
ins,1784
ende,1774
münchen,1772
vu,1763
dann,1747
texas,1731
dazua,1715
easchtn,1697
gemeinde,1695
sowia,1692
boarischn,1691
gwen,1688
http,1688
us,1688
oft,1673
fluss,1672
vau,1661
franz,1659
ba,1654
main,1651
wordn,1650
ii,1649
deitschland,1648
vawoitung,1638
prägt,1615
département,1612
zeid,1609
durch,1606
oan,1599
easchte,1597
han,1594
isch,1586
juli,1586
york,1585
island,1580
wou,1571
eine,1560
saint,1554
dé,1550
artikel,1545
mann,1545
eascht,1541
gebiet,1537
iwas,1535
nam,1533
online,1526
gheat,1525
noadn,1521
ghobt,1514
ausm,1512
vui,1509
karl,1509
leit,1508
un,1502
engl,1499
hans,1499
sidn,1494
sproch,1481
westn,1477
als,1477
gebäude,1468
city,1451
iwablick,1450
kanton,1446
org,1440
august,1434
ausgwiesn,1434
peter,1421
koa,1420
dovo,1418
duachschnittliche,1417
vor,1411
net,1406
gnutzte,1406
gärten,1405
imma,1401
oim,1400
du,1400
oder,1398
ostn,1397
foastwirtschoft,1395
laundwiatschoftliche,1394
siedlungsentwicklung,1388
laundwirtschaft,1388
bestanden,1387
bodnnutzung,1387
woidflächn,1387
nach,1386
bodenklimazahl,1385
seim,1384
zsammgrechnt,1384
aunzohl,1384
angewachsen,1384
gefiahrte,1384
staound,1384
urtschoft,1373
liegd,1362
deitschn,1349
west,1340
kema,1336
township,1329
städt,1328
website,1323
fum,1312
houd,1309
end,1297
oiso,1296
maria,1286
dej,1284
dr,1283
moi,1278
geboren,1275
web,1274
midm,1267
wenn,1265
ghead,1261
stähd,1253
log,1242
nr,1230
kini,1228
north,1224
see,1218
ludwig,1211
italien,1205
aum,1203
dezemba,1195
at,1178
reich,1169
weana,1165
literatur,1165
for,1155
deitscha,1154
juni,1148
hoamseitn,1137
del,1136
vawoitungsgmoaschoft,1135
iso,1134
vum,1133
lake,1133
seitn,1130
va,1124
kiach,1118
deutschland,1115
österreich,1115
ohne,1110
sankt,1103
gmocht,1102
jahrhundert,1097
south,1097
insl,1094
östareich,1086
fian,1083
fläche,1080
oam,1076
amtli,1074
eana,1071
joarhundad,1069
gnennt,1059
le,1059
michael,1058
wossafläche,1057
iba,1051
nur,1050
aaf,1048
frankreich,1047
deitsche,1042
museum,1042
bad,1036
hand,1034
frau,1032
via,1031
leid,1030
nochboagmoana,1027
ansbach,1024
ich,1023
kimmt,1023
grod,1023
wua,1022
oa,1017
meta,1014
weg,1008
countys,1008
woid,1001
martin,999
josef,998
haus,996
über,994
georg,990
university,989
dialekt,982
spessart,981
grenzt,980
fläch,978
aba,977
lem,976
doaf,976
et,973
richtung,969
dog,966
friedrich,965
kommune,964
moakt,963
heinrich,962
man,959
paul,956
heid,955
grenz,955
bischof,950
na,948
sprochn,947
joahundat,947
text,947
raum,945
dabei,941
donau,939
aun,939
waun,938
kultur,937
oktoba,931
com,930
frankfurt,925
orte,924
bwv,921
fiaht,917
to,914
boarische,911
miassn,910
sa,907
mea,906
davo,903
weng,903
soizburg,900
weida,893
kau,892
ortsteil,892
deitsch,891
amoi,890
vakeah,890
nama,889
homs,889
press,888
otto,887
eahm,883
john,881
fir,880
wossa,878
septemba,876
ia,869
liste,868
sich,866
thomas,864
wej,864
pdf,863
ganz,862
boarisch,860
füa,860
berg,859
vaum,859
steht,858
duat,855
damit,852
paris,852
beag,851
unt,849
fo,848
carl,846
kemma,845
zentrum,843
oidn,842
virginia,840
joseph,837
asteroid,836
politika,834
stadt,832
teil,832
oane,830
zug,830
schweiz,826
geht,821
nix,821
offizielle,815
wiener,814
verwaltungsgemeinschaft,812
dene,811
vua,811
donn,808
aschaffenburg,808
kriag,806
baut,804
soi,803
ar,803
kenna,802
robert,802
republik,801
schloss,800
jo,799
dena,798
beispui,798
novemba,794
europa,793
woat,793
wilhelm,793
ab,792
nåch,792
hof,786
große,786
oide,785
begriff,781
politik,778
rund,774
london,771
nicht,769
haptstod,765
glei,762
iii,762
observatory,762
johannes,758
lossn,758
auflage,757
rock,755
menschn,754
stuttgart,754
links,747
nacha,747
uni,745
arrondissement,744
kroas,741
nochm,737
inn,736
vawendt,735
gebietsreform,734
hoaßt,733
guad,733
wird,730
insln,728
mitglied,727
sogoa,726
au,725
oat,724
wida,723
joahr,722
sondan,720
wolfgang,720
kloane,719
ban,719
weu,718
sogt,716
foingde,714
world,712
wienerisch,711
hill,711
bedeitung,709
nimma,708
gaunz,707
https,705
genau,703
meaz,702
nei,701
union,700
indiana,698
maya,697
regie,695
carolina,693
sengswiadigkeitn,690
feba,688
wie,686
mim,685
neie,685
ihr,683
leben,682
muass,681
befindt,681
stodtei,681
weak,680
unn,678
eiropa,677
kumma,677
hat,675
warn,675
mehr,674
boa,674
ghean,672
archive,671
würzburg,671
dafia,670
desweng,668
italienischn,668
sans,664
jean,664
wossaflächn,662
stootn,660
autor,660
joarhundat,659
roman,656
sur,654
außadem,654
kaisa,654
umgebung,653
kunst,652
nou,650
koane,649
walter,648
fuim,646
kuitua,644
je,644
umfosst,644
grindt,642
al,641
max,640
vü,638
kummt,637
welt,637
min,633
georgia,633
rechts,631
aundan,627
wikipedia,626
by,622
kriagt,620
universität,620
anton,620
les,619
bau,619
op,617
sidli,616
bezeichnung,615
söwa,614
italienisch,613
anno,612
deutsch,611
mississippi,611
einer,609
deutscher,609
zwoatn,607
arroyo,607
musik,606
foignde,606
drum,605
gfundn,604
domois,603
aufm,602
kina,601
lang,601
märz,600
hoda,594
spada,593
umma,592
untam,591
bsteht,591
springs,591
daß,590
gestorben,590
gstoam,590
easchtmois,590
live,590
grund,588
em,588
bamberg,588
gschrim,586
kentucky,586
buidt,583
richard,583
ungarn,580
üba,580
hamburg,577
kuaz,576
bereich,576
bsundas,575
washington,575
eppa,574
entstondn,571
noma,570
ghod,569
fias,568
musi,568
deutsche,567
weiler,567
bekannt,566
nem,566
kena,566
fost,565
dur,565
jeda,562
foigende,562
uahzoagasinn,561
mocht,560
kalifornien,560
chr,559
fischer,558
blues,558
middlfrankn,555
center,555
christian,554
kinda,551
remischa,550
geographie,549
religion,548
bayerische,548
stoot,548
zun,547
zwaa,546
zuafluss,546
aundare,546
ohio,546
system,545
weil,544
gmoagebiet,544
historische,543
ernst,542
auch,541
alexander,541
nord,541
duachn,540
seid,539
ondan,539
csu,539
cm,539
gnennd,538
gruppn,537
findt,535
katholische,534
franzesische,533
wiki,533
eihwohnaentwicklung,533
zwischen,532
was,532
aprui,531
deutschen,530
zen,530
indien,530
westli,530
insel,529
köln,529
laund,528
bezeichnd,528
person,528
amerikanische,527
lombardei,526
haums,526
montana,526
nordn,525
buagamoasta,525
buach,524
oberösterreich,524
stückl,524
steiermark,523
punkt,523
illinois,522
tennessee,522
gegn,518
galerie,517
east,516
sprache,515
griagt,515
hoaßn,515
national,514
beach,514
politische,513
ehemalige,513
tod,512
co,512
dees,511
zamm,511
entwicklung,511
berghammer,511
ausn,510
joah,510
chile,510
drauf,509
el,508
missouri,508
hobm,508
wias,507
damid,507
james,507
werner,506
sogn,505
leipzig,505
beck,504
komponist,504
partei,503
pro,502
geografische,500
zeascht,500
england,500
direkt,500
rudolf,500
rom,498
mensch,498
sidwestn,498
meah,498
sechs,498
amerikanischa,498
hoasst,497
stootsstroß,497
art,496
aso,495
mount,494
bd,493
dia,493
ebba,493
helmut,492
zweng,492
üwa,492
fliaßt,491
zruck,490
zoagt,490
großn,490
salzburg,490
dakota,490
entstandn,488
area,488
bai,487
bayerischen,486
japan,486
branch,486
geng,485
it,485
eanane,485
santa,484
guit,484
prozent,483
edition,482
mythologie,481
unter,480
etwa,480
valley,478
uns,477
russland,477
neiche,477
andan,476
oi,475
toi,474
ländercodes,474
laut,473
wejd,473
oid,473
sinn,473
werk,473
theater,473
referenztabejn,473
david,472
red,471
werke,471
franconia,471
long,470
koan,469
lexikon,468
afrika,468
schrift,468
groß,467
haptort,466
franzesischn,465
mia,465
naum,465
zwoate,464
hi,463
bay,463
linz,461
ligt,460
piemont,460
titl,460
deara,460
isa,459
cambridge,459
marie,459
andreas,458
hochdeitsch,457
los,457
bnennd,457
charles,456
bairische,455
song,454
mexico,454
wovo,454
ei,453
cd,453
sejm,451
alfred,451
weis,451
mi,451
gmbh,450
mas,448
ha,448
international,447
kloana,446
wichtige,446
findn,446
andane,445
amt,445
bistum,445
spanien,444
aber,444
fritz,443
graz,443
boarischa,442
gseng,442
gsogt,441
oiwei,441
fimf,440
baiern,439
heitige,438
neadli,438
bodn,438
grove,437
handbuch,436
foi,435
oin,434
google,434
homepage,434
american,433
peasona,433
letztn,432
history,432
dorf,432
ost,430
ihre,428
jahre,428
woas,426
nennt,426
doat,426
voh,426
inseln,424
woi,423
afn,422
wann,421
gschriem,421
römisch,421
distrikt,421
ghobd,420
heitign,419
italienische,419
code,419
adolf,418
wäu,418
kreis,417
asteroidn,417
innahoib,415
nia,415
nocha,415
sidostn,415
diese,415
alaska,415
woit,415
vonn,415
mitm,414
preis,414
oans,413
schui,413
wea,413
wäid,412
pforrei,412
moa,411
olladings,410
indian,410
staaten,409
fest,409
fort,408
einwohna,407
gleich,407
siedlung,407
eawähnt,406
hermann,406
siehe,406
beispuisweis,404
mehra,404
gleng,404
stand,403
remisch,402
wobei,402
gerhard,402
jan,402
inglstod,402
louis,402
wort,401
vabundn,401
jh,401
daunn,401
minor,400
william,400
mexiko,400
kennt,399
obwoi,398
remischn,397
from,397
zehn,397
pennsylvania,397
staat,396
mitn,396
voik,396
voda,395
freie,395
deaf,395
dichta,395
artikl,394
noadostn,394
iowa,394
colorado,393
ca,392
nochdem,392
historischn,391
goa,391
eahna,391
tv,391
oklahoma,391
glebt,389
umara,388
laung,388
drin,388
point,388
feuchtwangen,388
untafränkischn,388
foam,387
noadwestn,387
george,387
wurde,387
müller,386
aufn,386
guat,386
erzbischof,386
brook,386
bevejkarung,385
iv,384
alabama,383
reservation,383
ian,382
youtube,382
gweng,382
kantone,381
klaus,381
bsondas,381
mindt,381
association,381
braucht,380
pierre,380
wiazburg,380
ehemois,379
woppn,379
dekanat,378
estli,377
kärnten,377
nochn,376
kansas,376
goid,373
kampanien,372
jedn,372
vier,372
neue,372
alle,371
iwan,370
danoch,369
sohn,369
aprü,368
kurt,368
april,368
brocht,367
fc,367
mera,367
entdeckd,367
eu,366
ihn,366
michigan,366
träger,365
forst,365
ag,365
arkansas,365
god,364
gemarkung,364
bruck,364
florida,364
eanan,362
gresste,362
historisch,362
kanada,362
jeds,362
sundan,362
plotz,362
nein,362
konn,361
anna,360
moant,359
fü,359
bevejkarungsentwicklung,358
mittn,357
minnesota,357
milliona,356
vaschiedane,356
meistn,356
eines,356
grand,356
duad,355
schtod,355
bayerischn,355
mo,354
augschburg,354
kritik,354
muada,354
kreisstroß,354
ans,353
projekt,353
linie,353
jetzt,353
katholischer,353
wert,351
weit,351
gwest,351
hea,350
album,350
buidagalerie,350
midn,349
pastoroia,349
bezeichnet,348
roin,347
bin,347
regl,347
wui,347
oktober,347
seite,347
jürgen,346
mein,346
späda,345
spd,345
alphabet,344
städte,344
louisiana,344
fork,344
dahea,343
soin,343
loire,343
österreichische,342
klosta,341
deshoib,340
dobei,339
schauspuia,339
variantn,338
easchta,338
jahr,338
ihra,337
amerika,337
herzog,337
little,337
woin,336
streckn,336
heinz,336
film,336
heights,336
moast,335
armee,335
fast,335
hl,335
ortschoft,335
guade,334
wisconsin,334
sind,334
spanisch,334
hob,334
seat,334
hills,334
benno,333
aussa,332
ganga,332
oibum,332
groußn,331
neien,331
lebm,331
vabindung,331
sehr,331
buch,331
mill,331
recreation,331
nebraska,331
institut,330
sää,330
entfeant,330
teu,330
version,330
schriftn,330
villa,330
valafft,330
november,329
läng,329
albert,329
gott,329
wir,329
mir,329
big,329
eiwohna,329
franzesisch,328
niedaöstareich,328
eha,328
stoak,327
iss,327
kennan,327
muaß,327
familie,327
zürich,327
estareich,326
katholischn,326
informationen,326
viecha,325
september,325
losst,324
neichn,324
beispü,324
rema,324
kinna,324
municipality,324
frank,323
france,323
entwicklt,323
gaunze,323
music,323
mountain,323
bernhard,322
form,322
meistns,322
mark,322
letzte,321
bessa,321
ehemolign,321
gonz,320
serie,319
christoph,319
weiß,319
video,319
greßte,319
duatn,318
usw,318
ka,318
giovanni,317
straubing,317
electric,317
pforreingmoaschoft,317
sid,316
mocha,316
gaunga,316
afm,316
gruppm,315
entspringt,315
prag,315
organisation,315
graf,315
wichtigstn,314
gebm,314
ofang,314
markt,314
with,314
ga,314
herbert,313
ja,313
politisch,313
html,313
ra,313
nimmt,312
rengschburg,312
had,312
schreibt,312
holland,311
doana,311
teiweis,311
lända,311
rhein,311
dohi,311
programm,311
philosophie,310
gmoagliedarung,310
fünf,310
nationalpark,310
marine,310
poin,309
sea,309
weata,309
china,309
famijnam,309
oanzige,308
hechste,308
oidstod,308
griachischn,308
iah,308
buidd,308
hoid,307
lieng,307
ausgabe,307
boch,307
black,307
rechtn,306
district,306
ghert,305
kroft,305
wai,305
kind,305
haptgiatl,305
wås,304
aussadem,303
gedda,303
mola,303
oregon,303
fom,303
weniga,302
her,302
ganze,302
observatorium,302
erlanga,301
rosa,300
provinzn,300
brasilien,300
soid,299
zwei,299
meist,299
ferdinand,299
mb,299
bruada,298
geh,298
suhn,298
mm,298
testament,298
eihgliedat,298
schbroch,298
jazz,297
favoritn,297
däiz,297
gymnasium,297
soizburga,296
beide,296
boid,296
ulrich,295
amerikanischn,295
diesa,295
während,294
leicht,294
einem,294
herr,294
kreiz,293
lat,293
macht,293
gesellschaft,293
central,293
rio,293
emfois,292
grindung,292
webseite,292
sejbstständign,292
monte,292
zeitschrift,292
oanige,291
coburg,291
internationale,290
englischn,290
domid,290
hoit,290
doch,290
israel,290
ganzn,289
nom,289
gengan,289
ufa,289
schicht,289
major,289
nocht,289
val,289
schaug,288
obabayern,288
daduach,288
sidlichn,288
firma,288
gibd,288
dezember,288
friaha,287
baud,287
life,287
stroß,287
kinireich,286
theata,286
summa,286
jede,286
herrn,286
oxford,286
hams,286
hall,286
kb,286
keman,285
klima,285
valauf,285
seng,285
koasa,285
hg,284
wöd,284
wissn,284
wörterbuch,283
sunst,283
frei,283
wa,283
sejbstständige,283
reng,282
konrad,282
manfred,282
geografischn,282
gwunna,282
bereits,282
massachusetts,282
noad,281
sidwestli,281
powiat,281
village,281
statistik,280
local,280
poa,279
münchner,279
gründt,279
grenzd,279
gustav,279
dan,279
tochta,279
remische,278
antike,278
fiahn,278
bibliothek,278
oafoch,278
famij,278
vawoitungssitz,278
heiting,277
sowoi,277
netzseitn,277
friara,277
historic,277
wes,277
siem,276
tirol,276
bekonnt,276
warad,276
lorenz,276
warat,276
bfindd,276
lange,275
asien,275
buidl,275
wer,275
liagt,275
