word,count
gīvenvėitės,10272
rajuona,9996
gīvenvėitė,9685
rajuonė,9515
seniūnėjuo,9457
gīv,8353
īr,8303
metās,8019
žmuonis,6271
gīvena,5778
anuo,5753
istuorėjė,5152
gīvenvėitie,4128
gīven,3421
vėlniaus,2445
bova,2433
ėš,2098
so,1918
lietovuos,1912
žmuoniū,1797
kelmės,1775
zarasū,1741
ėr,1453
aba,1402
km,1352
esontė,1336
dėina,1262
nu,1260
jav,1130
kalba,1086
prietelē,1047
telšiū,1046
vuo,1031
nutėkėmā,1020
kiedainiu,1006
nūruodas,1000
šėlalės,990
ka,978
metu,964
kauna,959
par,946
miests,945
žmuogos,945
kāp,892
klaipiedas,889
seniūnėjė,884
nū,870
miesta,842
miestā,841
šalčėninku,834
dėinas,833
ons,832
jorbarka,815
ana,800
katra,799
nug,795
prėinū,793
aple,791
nabgīvena,785
kap,780
metū,775
tauragies,744
ont,728
vėlkavėške,727
varienas,725
da,722
šiaurės,689
ož,675
būn,675
the,673
sava,666
svieta,664
žmuoniu,661
šėlotės,661
tas,659
lietovuo,644
tor,612
metā,603
vagol,599
lėgė,595
vakarū,593
pu,593
traku,585
gal,570
mažeikiu,565
žemaitėjės,560
katros,557
ruokėškė,542
žemaitiu,526
plongės,521
anuos,520
prī,519
bank,513
pri,508
vėina,490
seniūnėjės,487
kretingas,485
kalvarėjės,484
trakū,483
savivaldībės,482
palē,480
vėins,480
rūduos,479
skouda,466
kalbas,465
liuob,463
žemaitėjuo,462
pėitū,459
of,459
žemės,455
cėntros,455
ton,454
gėmė,447
euruopas,442
sausė,439
aug,435
akmenės,433
jė,432
de,425
lietoviu,424
prieteliu,421
šmuota,412
tonkiausē,409
palėka,406
suostėnė,396
kuova,396
gėmėma,395
terp,393
kalėnduorio,379
svietė,377
grėgaliaus,376
balondė,364
šaltenē,364
bet,363
rosėjės,362
bat,358
nuognē,358
tuokis,357
tēpuogė,355
vėita,354
valstībės,354
vardadėinē,354
juonėškė,353
dalės,352
šalėp,346
latvėjės,344
lėipas,344
valstībė,344
vasarė,343
tonkē,339
smertės,339
daug,338
uora,338
anou,335
muokīkla,332
katrėi,326
dėdlē,324
šiauliū,323
rėitava,323
