word,count
sa,168989
na,160549
an,119825
kan,109682
mga,92252
nin,63586
asin,61945
sarong,27921
si,22492
iyo,19256
the,14966
siya,14786
of,14777
man,14431
ini,14389
ni,11299
saiyang,10943
bilang,10234
toltolan,9871
and,8627
para,7708
igwa,7650
taon,7488
kaini,7191
kun,7174
may,7046
pag,6862
nag,6657
filipinas,6404
niya,6118
banwaan,5837
tataramon,5507
ining,5387
panluwas,5183
de,5124
pa,5069
takod,5011
in,4719
saro,4550
ika,4162
dai,4133
pang,3928
nagin,3879
iba,3766
code,3765
ta,3578
barangay,3527
huli,3445
alagad,3402
sur,3323
poon,3231
ng,3142
sagkod,3060
philippine,3034
enot,3030
mayo,3017
siring,3013
paagi,2905
mas,2870
namundag,2796
tawo,2791
kaiba,2776
san,2717
arog,2715
panahon,2678
ki,2661
ibang,2649
for,2626
aldaw,2599
saindang,2593
gikan,2579
rehiyon,2555
sana,2543
university,2535
sukol,2489
kilometro,2477
syudad,2475
com,2462
sinda,2456
igwang,2455
duwang,2426
buhay,2375
provincia,2358
kwadrado,2350
ingles,2330
lugar,2311
digdi,2309
saen,2295
on,2272
probinsya,2244
enero,2104
abril,2081
inaapod,2077
to,2039
agosto,2036
hunyo,2011
marso,1999
system,1998
parte,1988
city,1987
nasyon,1980
yaon,1972
hulyo,1971
siyang,1960
iyan,1956
tanganing,1950
nobyembre,1943
management,1935
aki,1928
school,1909
eerok,1902
kinaban,1886
bikol,1883
performance,1867
pebrero,1852
pelikula,1835
local,1827
standard,1822
nang,1819
dangan,1819
sensus,1806
presidente,1806
gabos,1801
new,1776
geographic,1775
simbahan,1759
governance,1745
demograpiko,1743
designadong,1743
grupo,1731
philatlas,1727
kaharongan,1724
igdi,1723
katawong,1715
naga,1703
manila,1696
italya,1694
born,1690
oktobre,1676
laog,1668
la,1647
zip,1644
niyang,1635
unidos,1621
camarines,1621
klaseng,1619
national,1614
estados,1605
desyembre,1586
hospital,1563
namumugtak,1555
hale,1548
kaidtong,1539
dating,1534
septyembre,1510
abot,1500
subangan,1483
ang,1481
unibersidad,1477
philippines,1464
sosog,1450
norte,1446
pwedeng,1439
pamilya,1438
del,1436
awards,1435
isla,1434
bakong,1418
award,1417
pig,1415
at,1410
saiya,1405
kalendaryo,1405
komyun,1396
klase,1370
gregoryanong,1361
bilog,1359
hapon,1346
ninda,1342
adal,1327
ikaduwang,1312
sya,1310
us,1304
parasurat,1296
gobyerno,1292
bago,1288
by,1288
siglo,1285
ginagamit,1278
nababanga,1270
sain,1265
with,1265
pangaran,1257
midbid,1257
gibo,1243
bagay,1233
distrito,1231
pilipinas,1228
filipino,1215
tubig,1206
opisyal,1206
kabali,1206
pasiring,1205
minsan,1187
mantang,1175
international,1172
ngani,1157
estado,1152
nagkapirang,1148
center,1145
dae,1139
world,1132
amerikanong,1127
apat,1125
irarom,1121
dakol,1117
writer,1114
kadaklan,1112
libro,1104
gayo,1104
telebisyon,1098
nagadan,1096
mag,1090
edad,1086
ama,1085
durante,1084
agom,1083
college,1064
bagong,1056
best,1042
tolong,1037
ginibo,1034
babae,1026
kagadanan,1021
ngaran,1017
salog,1016
as,991
ngonyan,988
kadagaan,986
nasa,985
karera,983
inapod,982
york,976
magin,975
ina,970
women,970
inot,969
poet,964
novelist,962
mayor,960
daga,960
from,958
asya,951
jose,944
haros,940
komo,937
gamit,935
dagat,923
marhay,922
edukasyon,920
trabaho,918
kaya,913
dakulang,908
taga,903
english,903
harong,896
duman,893
siyudad,892
pero,886
espanyol,886
tinanom,882
ngunyan,881
pwede,881
artista,873
nagpoon,872
kabtang,870
habagatan,868
susog,851
dakul,848
tsina,841
myembro,836
saróng,835
kaiyan,829
bulan,826
sanang,823
saka,818
pagkatapos,818
tugang,818
arte,815
mayong,810
art,808
kultura,804
pangenot,804
boot,801
dapit,801
papel,801
music,801
album,798
kamundagan,795
hilingon,790
daing,790
populasyon,786
jr,783
no,782
partido,775
film,775
lalaki,769
porma,768
laen,767
maria,766
milyon,760
nueva,749
pirang,749
halangkaw,746
indonesya,745
huring,741
st,739
sistema,734
baga,732
klima,728
juan,722
aktres,720
amerikano,716
ladawan,713
arts,708
kinua,707
termino,706
eskwelahan,702
amerika,699
solnopan,699
ano,698
onra,697
el,696
pintor,695
ikaapat,693
high,689
limang,688
south,687
pinakadakulang,686
gawad,686
united,683
republika,681
pakatapos,680
day,679
modernong,676
hayop,675
http,675
press,675
paggamit,673
organisasyon,671
nagluwas,671
oras,670
sabihon,667
lokal,667
lambang,665
sunod,664
serye,655
sentral,654
ako,654
al,653
halimbawa,652
natural,650
american,650
parati,647
john,646
pelikulang,645
rawitdawit,641
is,640
arkitekto,639
bikolnon,637
santa,637
naman,636
hawak,635
science,635
bicol,632
bukid,631
ministro,630
komunidad,627
orog,626
dati,622
maski,621
ngane,620
metro,619
general,618
ka,616
video,616
lang,610
ko,610
sinasabing,609
ciudad,606
quezon,606
pan,606
nagkaigwa,606
aktor,604
beses,603
sadiri,600
agi,598
poblacion,598
bako,598
pinakaenot,597
apod,593
state,593
nanggad,591
tagalog,590
kaining,588
institute,588
premyo,587
militar,584
katawo,582
duwa,582
orihinal,582
academy,581
festival,580
association,579
street,578
top,577
huri,577
history,577
europa,575
kada,575
aking,574
karakter,573
giraray,573
popular,572
love,572
nya,570
rowspan,570
tahaw,569
pamayo,568
hali,566
this,562
ii,561
bagyo,561
pigtataram,558
dawa,556
tv,554
bisto,553
nasyunal,551
mala,550
amihanan,550
aleman,550
babayi,550
korea,549
francisco,544
harani,543
sadit,540
albay,540
pranses,539
katapusan,538
fiction,538
inc,537
rizal,536
miss,536
daa,534
pinag,531
palibot,529
direktor,529
laban,528
th,528
parakanta,528
harus,526
parehong,525
kaidto,524
mo,520
manongod,520
anom,520
bbc,520
calabria,519
pagkakan,517
lider,517
artist,517
network,514
filipinong,514
siglong,513
kakanon,512
year,512
gera,512
kamugtakan,511
garo,510
london,510
musika,510
joseph,510
sentro,509
ay,509
sadiring,509
eleksyon,507
tawong,506
idto,505
santo,505
istorya,503
indya,503
media,503
luwas,501
website,499
espanya,499
kasaysayan,499
suanoy,498
amay,498
medical,498
kadtong,497
presenteng,496
smith,496
antonio,495
artikulo,494
piggagamit,493
pagigin,492
kahoy,491
gerang,491
los,490
kaapil,488
people,488
central,487
internet,486
personal,485
resulta,482
aktibidad,482
heneral,481
official,479
kanta,479
cebu,479
tomas,479
dapat,478
obra,478
bantog,477
you,475
relihiyon,473
or,473
prize,473
historya,471
arug,470
edipisyo,469
ikalimang,469
kompanya,469
cctld,468
kastila,467
kolor,467
nasyonal,466
totoo,465
manlaenlaen,464
gobernador,461
tradisyonal,460
dahon,459
miyembro,459
tradisyon,458
caceres,458
diyos,458
pagtubod,457
nagtrabaho,456
mahihiling,455
drama,455
aprika,454
parating,454
life,454
pankinaban,453
terminong,452
up,452
maray,451
magurang,451
www,450
minasunod,450
setyembre,449
negosyo,448
nagtapos,448
relasyon,447
nakua,447
natatadang,447
pwersa,446
politiko,445
latin,445
posibleng,445
sainda,445
isbn,445
liwanag,445
hasta,444
pagsurat,444
ginikanan,442
ma,442
district,442
init,441
my,441
cruz,440
foundation,440
babaeng,440
liwat,438
mindanao,436
kapitolyo,434
luzon,434
grupong,434
india,433
epekto,432
kong,431
katoliko,431
dios,431
star,431
diyan,429
dr,429
haleng,428
museo,428
banal,428
estudyante,428
segun,427
norteng,427
kalye,427
sakop,426
kataytayan,426
ginigibo,426
aadal,425
kimikal,425
rights,424
ley,421
halipot,420
magkapirang,419
titulo,419
lista,418
serbisyo,418
davao,417
style,415
mahiwas,415
development,415
nobela,414
society,414
house,413
elemento,413
pagbabago,412
align,411
female,411
km,410
mary,410
species,410
young,409
solong,409
padagos,408
kolehiyo,408
programa,408
sobra,407
show,406
nacion,405
hanggan,405
alkalde,405
korte,405
kaamayi,404
asia,401
pinaka,400
first,400
presente,399
en,398
sulnopan,398
pilipino,398
nangyari,397
pinakahalangkaw,397
radyo,395
kaso,395
namomogtak,393
tunay,393
manungod,393
pangyayari,392
iloilo,390
lazio,390
nanggana,390
museum,389
baybayon,389
david,389
sosyal,389
puon,388
disyembre,387
rusya,387
group,386
social,386
katuwang,385
literatura,384
river,383
malaysia,383
gallery,382
santos,382
bunga,381
paggibo,381
it,381
one,381
memorial,381
intsik,380
parataram,380
law,380
ginamit,380
dekada,379
west,379
paris,378
sinasabi,378
manlainlain,378
primer,378
payo,377
pwesto,377
gilid,375
panyayari,375
base,375
kapwa,374
legazpi,373
mi,373
research,373
ateneo,372
helang,372
book,371
ogdong,371
rusong,370
william,369
teksto,368
proseso,367
tulong,365
north,365
titulong,365
bersyon,364
senador,364
ikatolong,363
sinurat,363
naging,362
ibabaw,361
idtong,359
abs,358
austronesyo,356
org,356
karapatan,356
park,355
news,355
east,354
library,354
human,352
mismo,352
all,352
editor,352
story,352
oktubre,350
muslim,350
hindu,349
series,349
miguel,348
kundi,347
sabi,347
cbn,347
actress,347
roma,346
saint,346
importanteng,344
gma,344
matapos,344
co,344
sistemang,343
british,342
halawig,342
angeles,342
country,341
pisikal,340
saldang,340
online,339
sorsogon,338
karl,338
company,337
time,337
california,337
sekswal,337
sirangan,336
primera,336
kadakol,336
katuyohan,336
librong,335
indibidwal,335
saradit,334
urog,334
sira,333
romano,332
fernando,331
language,331
pakalihis,331
kontra,331
paul,331
proyekto,331
parehas,330
manuel,330
pob,330
lalaking,329
nagtatao,329
woman,329
council,328
pitong,327
katagang,327
publiko,326
industriya,326
hong,326
children,326
kapag,325
sarô,324
opisina,324
oriental,324
james,324
kisa,324
languages,323
pedro,323
parateng,323
marcos,322
tuscany,322
aapod,321
order,321
carlos,321
mata,321
text,321
was,321
magazine,319
obispo,319
bandang,319
abruzzo,319
nindang,318
sindang,318
sulawesi,318
publikasyon,318
politikal,317
community,317
alemanya,316
hiwas,316
punto,316
iii,316
imbes,316
modelo,316
pati,315
magkaigwa,315
lakop,314
sundo,314
literaturang,313
level,313
pareho,313
partikular,313
burak,312
simbolo,312
samar,311
salud,311
nangyayari,311
internasyonal,310
author,310
ed,309
rekord,309
kung,308
ilocos,308
union,307
impormasyon,307
labi,306
pagkagadan,305
sanga,305
dagos,305
metal,305
german,305
negosyante,304
kataga,304
briton,304
black,303
bulawan,303
red,303
enerhiya,303
kublit,303
gas,303
osipon,302
puedeng,302
