word,count
на,256176
катэгорыя,196785
году,128718
да,100745
годзе,90765
па,68392
за,67727
ад,64924
год,56923
зь,52613
што,51930
крыніцы,50009
быў,49446
таксама,46060
беларусі,43762
вобласьці,42666
як,42362
для,41882
вёска,39939
раёну,39068
які,36803
спасылкі,35441
вонкавыя,35378
не,33925
пасьля,32814
аб,31902
раёне,31069
якія,30529
насельніцтва,30018
яго,29351
склад,28520
чалавек,27404
пад,26572
ён,26044
была,25530
паводле,24503
пры,23302
былі,23007
пункты,22696
сельсавет,22339
населеныя,22201
але,22185
км,21573
іх,21273
клюбу,20780
гісторыя,20653
час,20637
сельсавету,20205
пра,20192
беларусь,19651
было,19161
якая,18795
складзе,18707
гадоў,18253
рэспублікі,18084
літаратура,17872
каля,17711
футбалісты,17610
ня,17115
дзе,16875
імя,16239
студзеня,16031
або,15923
беларускай,15737
тым,15728
року,15640
беларускі,15479
гэта,15314
толькі,15108
калі,14791
яе,14347
ст,14078
раён,14001
зьяўляецца,13953
аднак,13586
больш,13536
ва,13413
жыхароў,13405
міні,12979
вайны,12923
мае,12716
ліпеня,12690
ды,12524
мовы,12474
цэнтар,12225
стаў,12219
яна,12035
беларускія,11538
зша,11522
жніўня,11506
праз,11502
пкс,11479
знаходзіцца,11409
сакавіка,11402
нарадзіліся,11383
расейскай,11348
кастрычніка,11262
гады,11232
верасьня,11059
чэрвеня,11006
сьнежня,10972
траўня,10816
чал,10796
горад,10748
менскай,10574
ці,10569
разам,10368
значак,10240
вёскі,10228
са,10227
яны,10151
іншых,10099
лютага,10052
вобласьць,10041
пачатку,9955
якіх,9946
стагодзьдзя,9944
расеі,9861
імпэрыі,9857
таго,9704
адзін,9665
атрымаў,9559
падчас,9463
супраць,9460
тэрыторыі,9407
паміж,9332
першы,9296
вялікага,9292
княства,9266
красавіка,9228
яшчэ,9215
места,9198
лістапада,9090
менску,9017
сярод,8906
месца,8879
маюць,8860
ссср,8847
уваходзіць,8751
выніку,8717
клюб,8657
якой,8601
ліку,8567
польшчы,8520
гэты,8427
глядзіце,8413
гэтага,8375
беларускага,8215
краіны,8192
гэтым,8185
тут,8155
павету,8120
той,8070
бсср,8065
каб,7950
стала,7872
гораду,7846
пазьней,7758
ваяводзтва,7721
гарадзенскай,7696
назву,7664
адміністрацыйна,7639
ёсьць,7611
іншыя,7364
частка,7348
нарадзіўся,7328
сям,7291
над,7277
менск,7170
царква,7097
гісторыі,7068
якога,7006
працы,6986
га,6985
ім,6974
сьмерці,6915
двароў,6889
так,6886
можа,6850
некалькі,6798
тыс,6791
назва,6714
літоўскага,6658
сусьветнай,6655
мова,6651
колькасьць,6594
цяпер,6593
якое,6574
першай,6562
касьцёл,6560
адміністрацыйны,6537
мове,6477
сайт,6477
якім,6415
другой,6379
беларуская,6377
сваёй,6358
памерлі,6349
стагодзьдзі,6289
права,6273
чалавекі,6202
два,6172
культуры,6112
сваю,6097
часу,5996
навук,5972
адным,5915
працаваў,5907
адзінка,5898
жа,5882
афіцыйны,5850
жыхары,5827
сьвету,5801
стагодзьдзе,5754
часам,5751
зборнай,5744
то,5729
якасьці,5690
млн,5676
мястэчка,5594
складае,5593
вялікі,5530
бо,5528
дзяржаўны,5515
аляксандар,5474
сельсаветы,5453
дзень,5431
згодна,5422
віцебскай,5400
царквы,5363
сьвятога,5359
падзеі,5357
меў,5357
зьявіліся,5313
паспалітай,5294
рэчы,5284
дзяржавы,5282
войска,5278
таму,5237
польскай,5224
архітэктуры,5160
ракі,5158
плошча,5141
ўкраіны,5129
тры,5122
першым,5094
быць,5054
губэрні,5023
тэрытарыяльная,4996
напрыклад,4988
найбольш,4982
гадох,4966
дзяяч,4966
берасьцейскай,4946
цэнтрам,4942
партыі,4896
зьлева,4881
дзяржаўнага,4839
месцы,4831
гадах,4826
чынам,4812
зямлі,4787
беларускіх,4779
свайго,4766
біяграфія,4762
асобы,4757
дзейнасьць,4743
усе,4732
эўропы,4708
пачаў,4707
нацыянальнай,4682
скончыў,4680
арганізацыі,4663
тое,4618
інш,4613
помнік,4600
гэтай,4593
вельмі,4592
пэрыяд,4583
сувязі,4583
возера,4571
сябе,4562
канцы,4531
акрамя,4514
новы,4511
францыі,4497
гг,4473
празь,4453
перад,4424
амаль,4401
кубка,4395
ян,4378
сваіх,4373
ўнівэрсытэту,4365
літаратуры,4350
творы,4338
зьяўляюцца,4337
