word,count
на,259330
года,122124
да,110375
годзе,86218
па,82017
ад,66556
за,64951
аб,61262
быў,56661
не,55007
што,52402
таксама,47300
для,47167
спасылкі,47034
яго,45330
вобласці,44953
беларусі,44134
раёна,42591
як,42260
пасля,37958
вёска,37307
раёне,36237
склад,35615
км,35515
які,33554
якія,33172
была,29921
ён,28412
літаратура,27565
былі,27065
пункты,26796
пры,26675
населеныя,26526
насельніцтва,26442
год,25917
пад,25002
іх,24754
сельсавета,24590
але,23728
уваходзіць,23271
было,20801
каля,20764
якая,19588
час,19517
беларусь,19502
гісторыя,19274
гэта,18365
вайны,18133
яе,17804
пра,17741
рэспублікі,17469
або,17455
паводле,17015
толькі,16899
чалавек,16651
гадоў,16424
больш,16126
складзе,15724
дзе,15519
сельсавет,15479
беларускі,15475
калі,15081
яўляецца,14808
ст,14588
тым,14541
гэты,14502
гл,14128
ссср,13910
горад,13895
гадах,13810
бсср,13760
аднак,13677
са,13558
ва,13552
стаў,13494
ці,13139
беларускай,13036
стагоддзя,12894
імя,12759
зша,12666
расіі,12578
паміж,12560
украіны,12429
цэнтр,12312
горада,12208
праз,12021
знаходзіцца,11661
гады,11656
тэрыторыі,11636
яна,11451
студзеня,11202
яны,11141
ліпеня,11095
раён,11072
спіс,11067
сузор,10813
падчас,10731
нар,10716
таго,10493
складае,10375
гг,10371
адзін,10244
інш,10180
жыхароў,10166
кастрычніка,10106
пачатку,10105
якіх,10061
іншыя,10003
біяграфія,10000
так,9980
ектаў,9940
разам,9672
мая,9619
ігракі,9595
гэтага,9509
іншых,9427
снежня,9330
мінск,9301
мае,9254
сакавіка,9248
базе,9228
чэрвеня,9201
жніўня,9155
верасня,9127
якой,9054
вобласць,9031
сярод,8926
фк,8898
вялікай,8836
мн,8809
павета,8778
яшчэ,8718
га,8683
атрымаў,8662
гэтым,8567
чал,8565
працы,8410
супраць,8388
месца,8364
стала,8347
навук,8292
над,8221
выніку,8140
пазней,8112
новы,8106
вёскі,8041
ім,8037
мовы,7972
гісторыі,7849
красавіка,7846
культуры,7837
лютага,7827
некалькі,7813
лістапада,7785
частка,7783
той,7692
віцебскай,7632
ракі,7602
галактыка,7587
першы,7562
ліку,7540
сям,7510
каб,7437
плошча,7421
свету,7356
польшчы,7324
екты,7297
імперыі,7279
першай,7260
тыпу,7244
ект,7242
назва,7240
савета,7223
мінскай,7178
якога,7168
працаваў,7067
размешчаны,7034
жа,6979
царква,6966
тыс,6919
возера,6912
краіны,6859
беларускага,6859
рэдакцыі,6817
колькасць,6815
сусветнай,6739
два,6649
лік,6561
