word,count
на,1760297
от,666016
се,407588
за,394259
през,254198
да,239172
по,227515
са,170589
като,165102
година,118889
си,118813
до,111339
след,95234
му,87262
най,76184
не,75787
че,75746
това,75232
при,72687
към,68267
той,61220
или,60452
които,60239
който,57489
във,57074
източници,56914
има,56527
български,54485
но,53787
българия,45700
част,45118
време,44315
която,43303
със,41304
години,41036
което,40926
те,38576
също,36163
град,35624
външни,35416
препратки,34766
село,34580
много,34348
век,33638
между,33531
около,33253
други,30639
един,30440
става,30029
софия,29744
може,29323
война,28761
този,28086
както,26528
под,26077
според,25985
тя,25406
селото,24629
още,24555
където,24531
история,24457
когато,24414
го,24107
община,23806
област,23613
така,23521
само,23338
започва,22890
една,22281
им,22233
души,21978
вид,21796
всички,21472
семейство,21396
късно,21155
македония,21114
срещу,21051
над,20822
него,20663
пр,20605
тази,20202
населението,19884
сащ,19883
няколко,19427
намира,19396
тези,19111
път,19055
края,18768
река,18582
началото,18436
името,18293
града,17957
някои,17674
място,17665
бележки,17653
преди,17611
септември,17600
заедно,17436
биография,17403
първата,17255
две,16931
тях,16929
група,16741
родени,16565
май,16553
август,16318
американски,16282
роден,15983
януари,15921
върху,15850
чрез,15696
октомври,15493
получава,15463
университет,15248
юли,15194
сред,15060
юни,15031
различни,14900
език,14787
бъде,14732
ще,14669
често,14655
март,14625
въпреки,14528
поради,14262
декември,14261
разпространение,14219
април,14106
империя,14096
ноември,14074
център,13899
работи,13779
три,13683
население,13563
завършва,13430
страната,13398
иван,13370
км,13263
награда,13257
видът,13160
два,13055
жители,13002
република,12834
северна,12832
без,12806
участва,12769
имат,12689
голяма,12606
син,12583
георги,12517
сезон,12513
разпространен,12498
февруари,12453
световна,12401
германия,12334
франция,12208
използва,12028
бил,11974
могат,11949
повече,11916
литература,11856
втората,11842
малко,11723
то,11689
света,11684
вече,11610
италия,11595
име,11561
отново,11460
член,11428
страна,11381
русия,11350
части,11237
умира,11187
градове,11115
прави,11057
места,10976
днес,10863
хора,10855
вижте,10835
трябва,10829
европа,10771
край,10770
окръг,10758
първи,10735
система,10718
училище,10601
докато,10493
обаче,10493
св,10423
нея,10309
българската,10277
южна,10239
баща,10232
крал,10212
първият,10198
починали,10196
първите,10189
фон,10120
провинция,10034
тъй,10019
александър,10014
групата,10013
дъщеря,10003
гърция,9999
армия,9957
своя,9851
смъртта,9840
едно,9753
нова,9732
там,9639
води,9598
др,9546
свети,9525
височина,9450
живот,9434
димитър,9432
филми,9382
били,9299
българска,9111
времето,9107
футболисти,9059
играе,8954
църква,8886
периода,8797
села,8740
няма,8697
император,8689
печели,8686
освен,8590
ги,8557
ако,8550
почти,8523
мария,8488
например,8453
голям,8435
всеки,8423
църквата,8412
период,8385
големи,8337
остава,8302
начин,8285
все,8236
род,8172
първия,8168
страни,8144
отбор,8129
север,8126
ден,8122
известен,8102
пред,8043
генерал,8013
данни,7993
деца,7989
сайт,7983
голямата,7979
общината,7975
география,7955
обикновено,7910
изток,7902
филм,7884
двете,7879
политик,7870
жени,7848
руски,7831
бъдат,7822
включва,7723
брат,7721
продължава,7645
остров,7570
френски,7558
войната,7544
гръцки,7544
същата,7533
заради,7518
степен,7503
председател,7500
съюз,7488
юг,7479
групи,7452
османската,7451
тогава,7437
българи,7416
среща,7370
територията,7336
официален,7277
министър,7251
използват,7236
де,7227
острови,7218
пише,7217
граф,7210
резултат,7207
дни,7203
море,7162
дори,7160
областта,7125
състав,7108
малки,7069
партия,7045
сили,7021
петър,6995
дава,6940
пъти,6926
управление,6914
писател,6908
успява,6901
никола,6901
английски,6884
пловдив,6877
васил,6827
кариера,6792
разположен,6784
запад,6774
произход,6754
нови,6742
работа,6732
повечето,6728
отбора,6683
цел,6648
