word,count
di,21245
nang,19706
wan,11855
adalah,11127
kacamatan,8776
indunisia,8529
kampung,7262
prupinsi,7185
kabupatin,6997
kalimantan,6956
lawan,6771
matan,5367
dalam,5331
sabuah,5257
pulau,4476
wilayah,4150
atawa,3971
gasan,3842
timur,3476
selatan,3441
tahun,3409
ngini,3361
dan,3302
barat,3267
ka,3258
jua,3010
kawa,2767
kada,2636
watas,2505
urang,2487
sabuting,2467
lain,2442
ngaran,2426
pada,2288
jawa,2061
baisi,1935
ada,1888
ulih,1866
itu,1861
hari,1849
wayah,1825
ini,1810
sungai,1804
kuta,1744
ngitu,1685
jadi,1625
sabagai,1579
pas,1567
antara,1547
manjadi,1541
hulu,1524
banjar,1464
tangah,1448
kaya,1416
utara,1400
sampai,1383
sudah,1370
banyak,1254
inya,1250
the,1249
bahasa,1233
imbah,1233
marupakan,1221
nagara,1198
basa,1174
salah,1112
bulan,1054
dari,1050
tanah,1049
yaitu,1031
banyu,1010
dipakai,1005
géografi,972
tagal,959
of,936
disambat,900
kalurahan,890
dunia,888
sidin,867
luar,854
hagan,841
laut,826
dibagi,811
dua,795
ganal,791
manusia,788
akan,783
maulah,772
yang,764
labih,762
buah,762
sacara,753
atas,752
rumah,752
pambagian,750
marga,743
kata,733
tanaman,732
rancak,723
administratip,713
kapuas,709
satu,685
bubuhan,672
kutai,662
daun,640
bagian,639
paling,635
macam,634
ba,634
mamakai,630
lainnya,628
maka,620
diulah,620
raja,614
salatan,606
hak,601
indonesia,599
anak,598
jujuhutan,597
bahan,589
dairah,589
batu,586
kota,579
and,577
barito,575
tamasuk,572
babarapa,568
almanak,562
al,556
raya,551
bumi,550
hidup,550
biasanya,548
bahwa,545
ke,542
gunung,541
halus,537
karya,534
sama,525
haja,522
masih,513
oleh,506
agama,499
abad,499
negara,497
mulai,494
banjarmasin,494
waktu,489
inggris,484
tinggi,484
sastra,480
lamongan,478
cara,476
buhannya,472
awak,468
sintang,468
pangeran,465
tapi,464
islam,462
kayu,458
hilir,452
amun,443
panjang,440
gregorian,439
hal,437
sawagai,437
matahari,434
saurang,431
bawah,431
banua,430
daptar,426
asia,426
banar,425
km,422
tanggal,422
batis,416
bojonegoro,411
ilmu,410
baru,408
amirika,406
mana,404
makanan,404
tengah,403
suku,402
sultan,402
parak,401
hanyar,400
batang,400
bantuk,395
muara,393
dipinandui,392
baandak,390
kuala,383
walanda,381
tumatan,380
wadah,380
iwak,379
japang,373
tumbuh,371
atau,370
musim,370
rujukan,370
putih,368
sabarataan,368
karajaan,368
catatan,366
masa,365
de,365
ma,365
istilah,362
an,361
jumlah,358
kabupaten,358
saikung,357
raden,355
bangsa,354
masyarakat,353
baik,352
amerika,352
haratan,351
kambang,351
panambaian,348
utama,348
maraga,346
lamun,346
in,346
kabisat,346
referensi,344
dengan,344
tanjung,344
sajarah,343
ratu,341
bahari,336
perang,332
salawas,330
nangkaya,329
janis,327
saban,325
sakitar,323
kali,322
tulang,321
duwa,319
muhammad,316
bintang,315
lagi,314
habang,314
naya,314
pusat,313
besar,312
pamulaan,309
wadai,309
binatang,308
dianggap,307
buku,307
jakarta,307
umum,306
umur,306
luas,304
baasal,303
city,302
hutan,297
imbahnya,297
panyakit,296
sistim,295
ikung,295
masarakat,294
manyambat,293
new,293
ketapang,292
kadua,291
awan,288
asal,286
ii,286
bangaran,284
cm,284
india,283
kisah,279
arab,278
cina,278
budaya,278
bamacam,277
alam,277
handak,277
daftar,277
masigit,276
januari,276
nanga,276
kadada,274
tampat,274
malaysia,274
masuk,273
provinsi,272
ampah,271
warna,268
kulit,268
bubuhannya,266
bawarna,264
hijau,262
pranala,262
bujur,261
bumbu,260
manurut,259
sapalih,259
merupakan,258
jiwa,258
sebagai,257
digawi,254
hukum,253
ampat,253
malalui,252
kartanegara,252
tuha,251
anum,250
pt,250
tumbuhan,249
kotabaru,249
norwegia,249
isi,248
panduduk,248
babantuk,247
ialah,247
puhun,247
sambas,247
tadapat,246
buhan,245
harus,245
karana,243
planet,243
mata,242
untuk,242
pulang,240
bisa,240
minyak,240
alat,239
suah,237
serikat,237
nasional,236
isbn,236
kira,235
geografi,235
lawas,234
suatu,233
banjarbaru,232
tapin,232
banda,231
burung,231
angguta,230
kajadian,230
panas,230
bawatasan,229
desa,228
bin,228
udara,227
kepulauan,225
hasil,225
long,224
dasar,223
menjadi,223
daerah,223
jerman,223
agustus,222
ukuran,222
harimau,222
musik,221
landak,221
sa,218
daging,218
salain,217
jaya,217
rata,217
paristiwa,215
wastu,215
diri,215
para,215
diwa,215
surabaya,215
tulisan,214
juta,214
si,214
sari,213
teluk,213
eropa,212
pamarintah,212
presiden,212
habis,211
wayahini,210
daripada,210
hingga,209
sarta,209
gin,208
tata,208
jepang,208
sabalum,207
cagar,207
bangunan,207
langsung,207
sarikat,206
kapal,206
zaman,205
dapat,205
pamarintahan,205
mas,205
supaya,204
kita,204
akar,203
rancaknya,203
ahli,202
aprika,202
ciri,202
kapala,202
persero,202
lukisan,201
kahidupan,200
rusia,200
asasi,200
nitu,199
situs,199
balangan,198
spesies,198
sahingga,198
tajadi,198
kurang,198
bandung,198
yunani,197
rakyat,197
lalu,197
masing,196
melayu,195
irupa,195
artinya,194
babi,193
tadiri,193
tuhan,192
tu,192
hanya,192
lima,192
barang,192
parupinsi,192
bal,192
pantai,191
gula,191
kawasan,191
panambayan,190
kikira,190
kakanakan,190
bangkalan,190
balain,189
manis,189
tiada,189
adanya,188
hintalu,188
rasa,188
la,188
paser,188
tangan,187
apa,187
martapura,187
melawi,187
negeri,186
universitas,186
sanggau,186
rasmi,185
bali,185
dingarani,185
bigi,184
bibinian,184
gawian,183
bidang,183
april,183
limbah,182
kalumpuk,182
talu,182
malam,182
lagu,181
agung,181
biasa,180
manggawi,180
mati,180
tingkat,180
tatap,180
rahatan,179
kerajaan,179
air,179
indonésia,177
panting,177
sejarah,177
hagian,176
darah,176
secara,176
jalan,176
tiga,176
republik,175
laki,175
pasar,175
musium,175
baarti,174
sapalihan,174
kuning,174
jam,174
awal,173
andak,173
makan,173
buahnya,173
bulat,173
datang,172
maninggal,172
modern,172
nupimbir,172
acara,171
arjuna,171
datu,171
jenis,171
juli,171
juwa,171
durian,170
tukuh,169
sagan,169
dewa,169
samunyaan,169
indung,169
nusantara,169
danau,169
hirang,168
sumber,168
guru,168
samarinda,168
liwar,167
barikut,167
subalah,166
lebih,166
prancis,166
daunnya,166
umat,165
tentang,165
misalnya,164
tumbang,164
kalahiran,163
britania,163
baisian,163
sumatera,163
sabujurnya,162
sulawesi,162
buddha,162
kecil,162
adat,162
padang,161
jauh,161
tabalong,161
juni,161
surya,160
komodo,160
palanit,159
beberapa,159
no,159
asalnya,158
latin,158
unsur,158
sasuai,158
nasiunal,158
sakira,158
dimakan,158
titik,157
kecamatan,157
for,157
putri,156
umumnya,156
history,156
disimbir,156
cuntuh,155
berikut,155
ikunumi,155
bahua,154
balakang,154
nangitu,153
kabanyakan,153
sm,153
industri,153
on,153
susial,152
sadikit,151
kaji,151
masalah,150
pangganalnya,150
nilai,150
wakil,150
amuntai,150
mubil,150
pasal,149
mereka,149
ia,149
dimulai,149
to,149
bukit,149
kapada,148
arti,148
higa,148
kapulauan,148
pulitik,148
kitab,148
taman,148
hudah,148
angin,147
asli,147
darat,147
spanyol,147
panulis,147
surat,146
tujuan,146
australia,146
menteri,146
lalakian,145
thailand,145
asa,144
sumatra,144
italia,144
balum,144
walaupun,143
undang,143
seni,143
daya,142
ulama,142
ham,142
khas,141
sabalumnya,141
kuda,141
as,141
pandidikan,141
cungul,140
afrika,140
karing,140
sambahyang,140
voc,140
mahasilakan,139
yakni,139
garis,139
ditulis,138
bini,138
randah,138
jarak,138
dayak,138
diambil,138
karang,138
bagana,137
ruang,137
tenggara,137
dahulu,137
sapat,137
ni,136
mangandung,136
resmi,136
aliran,136
internasional,136
amas,135
cahaya,135
jaman,134
api,134
parmukaan,134
hujan,134
basar,133
pacangan,133
york,133
gara,133
pakai,132
bakambang,132
manulis,132
buting,132
samudra,132
pihak,132
bentuk,132
lake,132
sakit,132
istana,131
hubungan,131
mangkurat,131
asam,130
surang,130
mambari,129
karena,129
warga,129
katuju,129
didiriakan,128
kamatian,128
abjad,128
ngarannya,128
ripublik,128
tidak,128
parancis,128
bagawi,128
gusti,128
rusa,128
ta,127
mandapatakan,127
tokoh,127
lingkungan,127
massa,127
pamulaannya,127
gambar,127
data,127
distrik,127
soviet,126
suci,126
pertama,126
nobel,126
tadi,125
dibari,125
nyaman,125
mancapai,125
muka,124
urat,124
dingin,124
pélém,124
album,124
berau,124
kiblat,124
puisi,123
palihan,123
mungkin,122
bahkan,122
khusus,122
memiliki,122
mitir,122
bagi,121
gaya,121
ibu,121
langit,121
kasuma,121
mambawa,120
muslim,120
alami,120
tiongkok,119
tahadap,119
korea,119
uni,119
belanda,119
pamakaian,119
gas,119
film,119
ubat,119
masak,118
dusun,118
st,118
palih,117
panyanyi,117
sambatan,116
nya,116
usaha,116
bagus,116
marit,116
sabanyak,115
suara,115
uyah,115
ilmiah,115
habitat,115
university,115
maharaja,115
mirip,114
digunakan,114
wahini,114
pula,114
akibat,114
pasukan,114
pbb,114
kaadaan,114
badasarakan,114
lambung,114
hindia,113
pontianak,113
bandar,113
pisang,113
makmur,113
balikpapan,113
bamula,112
manunjukakan,112
zat,112
sebuah,112
panalitian,112
awam,112
ulah,112
per,112
binian,112
namun,111
tautan,111
hikayat,110
baubah,110
lahir,110
umpat,110
pun,110
pamain,110
kasultanan,110
lawang,110
mai,110
nunukan,110
ujar,109
handap,109
tetapi,109
hindu,109
ulimpiada,109
aktor,109
vietnam,108
taganal,108
intan,108
juga,108
orang,108
tradisional,108
dikatahui,108
barupa,108
harapan,108
kain,107
ditamui,107
andakannya,107
ngalih,107
pustaka,107
liar,107
international,107
antaranya,106
wasi,106
tunggal,106
diadakan,106
proses,106
pahlawan,106
sistem,106
ditamuakan,106
tatamba,106
kasihatan,106
dataran,106
dinasti,105
diguna,105
allah,105
pariannya,105
