word,count
ar,442420
an,277781
ha,199683
gant,162642
da,152937
en,149654
ur,140994
eus,120372
hag,117517
zo,103406
oa,95232
eo,92082
un,75287
voe,73496
war,70036
bet,65440
er,59678
de,58603
evit,49828
pe,45095
al,43182
viz,41469
anv,40549
ma,34104
ivez,32863
lec,32781
vez,32074
se,31845
he,29383
the,29077
bro,28890
evel,28073
gumun,27555
la,26171
brezel,26011
all,25228
reas,24263
yezhoù,23752
diwar,22876
dre,22449
breizh,22176
ra,21943
ket,21804
goude,21646
hall,21119
diavaez,21030
etre,20909
bed,20756
notennoù,20706
proviñs,20587
pa,20451
kentañ,20243
du,20161
benn,19469
ez,18960
of,18817
liammoù,18664
istor,18556
tud,18416
kumunioù,18110
ouzh,18108
le,17982
ne,17668
dro,17490
roue,17296
meur,17142
re,17026
savet,16845
anvet,16583
unan,16548
ganedigezhioù,15951
sant,15770
deus,15118
hini,15100
holl,15040
hervez,15005
betek,14859
ganet,14780
den,14645
met,14495
penn,14380
eil,13982
ober,13828
vro,13268
marvioù,13035
gall,12890
miz,12881
reter,12849
kantved,12763
graet,12618
ul,12536
pad,12268
kêr,12225
daou,12138
hienn,12113
strollad,12100
evned,11870
dud,11788
vezañ,11748
bezañ,11671
yezh,11552
emañ,11543
gwelet,11487
lakaet,11139
italia,10949
nevez,10866
departamant,10787
saoz,10714
brezhoneg,10621
spesad,10543
embannet,10514
et,10438
kanton,10263
krouet,10075
anezhañ,9616
mor,9595
rannvro,9359
bras,9301
veze,9229
diouzh,9131
stad,9104
abaoe,9097
implijet,8988
veur,8956
abalamour,8916
saint,8915
ii,8823
doare,8822
mab,8771
iliz,8615
em,8558
and,8504
raok,8497
unanet,8461
merc,8453
gêr,8447
bloaz,8342
les,8210
skol,8189
dezhañ,8040
tro,8015
barzh,7991
mañ,7975
hed,7875
chom,7874
jean,7863
kumun,7832
europa,7820
bloavezhioù,7817
traoù,7804
el,7768
stadoù,7716
des,7483
spagn,7456
kozh,7420
von,7394
stêr,7335
deuet,7281
kreiz,7280
ofisiel,7207
roet,7205
div,7174
gentañ,7134
in,7130
dindan,7117
neuze,7086
doa,7077
vloaz,7054
douaroniezh,7029
rouantelezh,7014
daveennoù,7006
galleg,6994
gantañ,6904
eno,6884
mont,6842
kar,6753
film,6694
brudet,6694
genver,6677
sonerezh,6645
anvioù,6641
aet,6623
pezh,6619
boblañs,6557
norzh,6556
anezho,6555
dreist,6513
saozneg,6487
emgann,6433
