word,count
je,843853
na,395889
se,363419
su,266840
od,229837
za,222327
da,167710
godine,147342
kao,136753
ngc,132492
sa,120169
koji,115367
do,90467
iz,85241
ic,82745
ili,78779
reference,69595
također,67559
vanjski,63306
što,63139
linkovi,62672
objekti,60334
koja,59164
katalog,53670
po,51552
bio,50390
koje,49023
spisak,46228
nakon,44905
stanovništva,42505
te,41806
gdje,39676
oko,38498
to,38210
mjesto,38165
ali,37617
the,37516
naselja,35544
općine,35052
može,34881
ne,34586
kod,33582
bi,33146
sg,31740
nalazi,31309
nije,31045
pogledajte,30427
stanovnika,30314
bila,29424
sastavu,29015
objekata,28700
ima,28450
naseljeno,27716
sajtu,26986
između,26647
literatura,26009
zbog,25425
kada,25293
prema,25241
godina,25184
galaksija,24903
pod,24348
tokom,24281
popisu,23841
historija,23577
dok,23241
samo,23202
više,22254
stanovništvo,22150
prvi,22115
minuta,21948
kako,21928
sadrži,21894
mogu,21826
ga,21439
pgc,21291
novi,21267
com,21070
dio,20915
dva,20599
dl,20579
bilo,20553
magnituda,20525
jedan,20507
uglovnih,20353
sve,20307
popis,20274
hrvatskoj,19743
hrvatske,19541
će,19174
naselje,18927
podataka,18379
biti,18020
tri,17502
tako,17449
poznat,17269
zemlje,17193
vrijeme,17063
miliona,16790
of,16741
prvo,16590
nekoliko,16509
još,16268
bosne,16112
općini,16095
imaju,16005
mcg,15835
on,15759
ih,15706
deset,15563
najveći,15514
hiljada,15496
zavod,15298
stare,15276
dvije,15234
baza,15223
grad,15216
statistiku,15042
republike,15005
sljedeći,14982
toga,14953
ovaj,14835
grada,14811
broj,14647
prije,14615
bili,14526
km,14369
online,14362
opći,14281
ljudi,14267
sazviježđu,14228
jer,14216
projekt,14162
kasnije,14068
udaljenost,14032
iako,13935
nasa,13931
sazviježđe,13851
teritorijalne,13797
mu,13713
bilješke,13633
night,13619
atlas,13614
reorganizacije,13560
najbliži,13547
sky,13470
hercegovine,13452
sloveniji,13437
messier,13404
interaktivni,13382
drugi,13353
astronomska,13345
bazirano,13318
najbližih,13316
slovenija,13289
simbad,13252
euklidsku,13242
napravio,13171
svoje,13055
protiv,13020
otkriće,13015
aladin,12996
uz,12893
pregledaču,12815
međutim,12735
koristi,12471
često,12403
regija,12388
imao,12336
strane,12324
rata,12114
pa,12004
pri,11952
ako,11941
ove,11860
nisu,11699
bez,11698
grupe,11663
protein,11611
preko,11551
de,11529
dana,11454
kroz,11419
grupa,11372
hrvatska,11228
druge,11147
bosna,11075
put,11068
obično,11060
knjiga,11005
udaljena,10871
sastav,10786
galaksije,10729
koju,10714
bosni,10707
danas,10651
ovo,10648
apsolutna,10648
ii,10598
sarajevo,10573
prečnik,10499
najmanji,10474
log,10464
rođeni,10293
županija,10291
prividna,10249
vijeka,10217
ime,10212
ova,10169
države,10138
četiri,10087
hercegovina,9975
and,9903
jedna,9813
veliki,9733
već,9660
među,9616
imalo,9419
nego,9399
uključujući,9306
republika,9303
autor,9113
hercegovini,9098
imala,9083
film,9069
tada,8976
državni,8971
in,8955
vrsta,8910
ćelija,8898
sistem,8840
njegov,8782
vrlo,8773
napomena,8724
postoji,8681
ćelije,8678
kojem,8642
zajedno,8594
ovog,8558
ugc,8532
sad,8416
glavni,8364
uglavnom,8328
sfrj,8328
županiji,8285
gena,8263
dnk,8213
neki,8184
regiji,8174
osim,8130
john,8101
puta,8073
drugih,8020
spiralna,8003
poput,7994
posebno,7968
oni,7909
odnosno,7866
država,7823
kojima,7820
porodica,7796
vrste,7783
zatim,7773
općina,7770
mjesta,7756
sajt,7749
spiralne,7689
nacionalnog,7678
proteina,7554
prva,7514
sastava,7486
vjerski,7478
njegova,7460
zvanični,7460
narodnosni,7412
jakov,7395
naseljima,7389
izdavač,7347
predstavlja,7339
svoju,7335
svih,7323
postao,7233
kojoj,7220
savezni,7217
način,7207
sarajevu,7182
fnrj,7172
neke,7144
kad,7050
evidenciju,7034
bih,7011
sljedećeg,7001
gelo,7000
ona,6950
umrli,6940
iras,6892
al,6882
marta,6882
vremena,6878
smatra,6868
američki,6860
ulogu,6827
drugim,6822
bolesti,6800
kralj,6761
postoje,6759
tome,6723
poslije,6672
većina,6661
svoj,6659
nalaze,6655
hiljade,6616
područja,6600
sistema,6584
jezik,6577
njegove,6570
sastoji,6409
kraju,6395
član,6384
dobio,6373
tim,6365
pet,6359
maja,6345
gradu,6339
svojim,6339
koriste,6335
bile,6332
njih,6322
ovom,6277
pored,6244
mnogo,6239
eso,6203
tom,6195
mora,6158
utakmice,6149
unutar,6130
svog,6125
imenom,6115
manje,6106
porodice,6034
područje,6000
aprila,5998
rezultati,5989
naziv,5912
broja,5906
smrti,5897
velike,5892
william,5890
rat,5882
čak,5878
im,5878
dalje,5865
života,5852
dan,5845
svi,5844
nalazio,5840
području,5829
kojih,5829
jednom,5810
ukupno,5805
svjetskog,5790
prvenstvo,5784
rođen,5777
taj,5765
filmovi,5720
drugog,5714
bosanskohercegovački,5706
radi,5683
stranica,5681
tu,5670
doba,5657
sezone,5632
proteini,5606
naziva,5599
dijelu,5579
djela,5568
najbolji,5566
velika,5562
jula,5552
jednog,5530
razvoj,5468
npr,5467
rijeke,5465
sam,5450
vode,5430
osoba,5393
http,5384
kralja,5365
svijeta,5364
putem,5349
klub,5341
kojeg,5305
biografije,5297
septembra,5277
nad,5266
druga,5263
carstva,5262
oktobra,5259
decembra,5240
nema,5231
čini,5230
uvijek,5230
new,5228
jest,5223
iii,5147
juna,5145
veoma,5140
januara,5131
sada,5126
album,5125
počinje,5101
dijela,5093
žena,5078
funkcija,5071
prve,5062
novembra,5055
augusta,5050
ovih,5036
uključuju,5028
imali,4985
jugoslavije,4974
postaje,4959
dolazi,4944
oblik,4918
nagrada,4898
radio,4882
one,4878
život,4872
gotovo,4863
svijetu,4830
ponovo,4825
takmičenja,4818
čega,4818
poznata,4810
periodu,4795
postala,4787
predsjednik,4778
tijela,4771
ni,4770
tj,4756
nacionalni,4741
ovu,4724
mnoge,4704
evropi,4689
srpske,4672
sezoni,4665
znači,4655
rad,4646
web,4642
mjestu,4639
uključuje,4619
pjesme,4605
mnogi,4598
njemački,4589
svom,4543
različitih,4542
nagrade,4541
njega,4537
rezultat,4516
jezika,4510
ipak,4480
geni,4476
gen,4474
februara,4471
različite,4469
odnosu,4467
svaki,4467
sin,4455
vijeku,4427
žene,4390
šest,4378
prvog,4359
ovi,4351
ponekad,4346
primjer,4340
jednu,4325
mm,4314
nalazila,4311
prava,4302
www,4299
ostrva,4299
osvojio,4286
red,4269
početkom,4258
tipa,4257
osnovu,4255
nove,4252
hromosomu,4252
serije,4251
svjetskom,4240
živi,4226
iste,4223
frederick,4220
obliku,4195
najviše,4193
veći,4167
la,4157
struktura,4145
tv,4142
kiselina,4130
pomoću,4129
članovi,4125
ispod,4100
kraja,4093
tog,4090
herschel,4087
nekim,4083
no,4079
svim,4062
ostali,4056
rijeka,4054
lige,4051
joj,4043
snage,4036
njegovog,4023
najčešće,4022
svojoj,4019
dr,4004
kup,3996
uefa,3996
godinu,3995
centar,3994
nova,3988
naselju,3973
ljudski,3973
tek,3966
jeziku,3944
događaji,3941
kojim,3931
time,3931
naprimjer,3929
dužina,3926
džamija,3922
podaci,3915
jedinica,3914
proces,3914
jedne,3902
čine,3900
et,3890
zvijezda,3878
drugom,3867
mali,3864
iznad,3850
francuski,3847
li,3830
umjetnosti,3824
treba,3802
igrama,3796
godini,3792
odnosi,3766
funkcije,3766
dobro,3758
vlast,3756
nogometni,3754
igra,3742
ta,3721
počeo,3712
gradovi,3701
imati,3697
vlasti,3688
ostalih,3667
malo,3653
stanje,3652
prvenstvu,3649
istraživanja,3640
moguće,3637
riječi,3626
pravo,3619
perioda,3611
zvijezde,3609
nazivom,3608
bolest,3597
razliku,3592
njen,3591
naroda,3587
tih,3585
kodira,3584
liga,3561
oblika,3558
krajem,3556
srednja,3549
vjerovatno,3543
oblasti,3541
rnk,3538
njemačka,3537
stoljeća,3519
slučaju,3512
strani,3510
niz,3504
umjesto,3493
jedno,3492
org,3489
crkve,3480
početku,3476
osobe,3465
imena,3460
poznati,3455
promjene,3451
oba,3443
potpuno,3442
iznosi,3435
lanca,3432
srbije,3427
vojske,3423
hrvatski,3419
njegovo,3419
aminokiselina,3417
njemačke,3416
svojih,3414
saveza,3407
vlada,3400
genom,3399
nešto,3383
metara,3382
pomoć,3377
daje,3377
čiji,3371
historiji,3360
ovoj,3357
sedam,3349
ranije,3347
sezona,3338
hromosoma,3332
kraj,3331
prvom,3331
njihove,3322
napisao,3322
francuske,3320
krvi,3313
iskazivano,3310
ratu,3306
vlade,3292
filma,3286
cm,3283
stanju,3278
ukupnog,3277
sindrom,3275
blizini,3268
tip,3264
ovim,3261
vodi,3260
strukture,3246
el,3237
polje,3234
koristiti,3227
ekipa,3224
veze,3215
prvenstva,3212
mogao,3201
velikog,3200
ostale,3198
pjesma,3186
različitim,3184
energije,3167
stoga,3159
prilikom,3158
otac,3144
snaga,3140
njemu,3135
umro,3132
verzija,3131
javlja,3129
sadrže,3128
aktivnosti,3124
olimpijskim,3124
ćelijama,3106
nauka,3105
period,3097
carstvo,3089
nogometu,3084
boje,3078
engleski,3068
galerija,3065
zemlji,3054
igre,3048
nekih,3044
američke,3039
jugoistočna,3039
sekvenca,3031
grupi,3023
francuska,3016
mnogim,3014
tkiva,3013
relativno,3009
filmu,3006
budući,2998
glavna,2991
utakmica,2985
razvoja,2983
bosanski,2981
svjetski,2978
jedinice,2976
mutacije,2976
čime,2974
njima,2972
kulture,2970
govori,2967
evrope,2963
nagradu,2947
životinja,2946
kiseline,2946
prvih,2945
vrh,2933
njihov,2924
dobila,2923
ekipe,2920
prvu,2919
čemu,2919
knjige,2919
for,2916
predsjednika,2915
poznate,2913
general,2913
površini,2912
jedini,2905
prvaka,2905
gornji,2905
crkva,2903
novog,2901
tijelo,2900
dovodi,2896
ubrzo,2892
riječ,2886
serija,2885
djece,2884
polja,2882
težina,2877
regije,2876
poznato,2875
brzo,2873
pred,2863
iv,2859
zagreb,2856
pjesama,2852
imale,2851
luka,2850
more,2849
službena,2848
proizvodi,2847
trenutno,2844
treći,2841
čovjeka,2835
isto,2827
kodiran,2825
donji,2822
zato,2820
nogometaši,2805
pošto,2799
rod,2799
stanja,2798
prečkasta,2794
novo,2792
itd,2789
vrijednosti,2782
astronomski,2780
bude,2779
početka,2769
align,2764
car,2762
širom,2761
vijek,2761
počela,2758
površine,2752
vidi,2748
prečkaste,2748
van,2736
san,2735
biografija,2732
vojska,2720
članova,2717
izabran,2716
završio,2714
broju,2713
smrt,2705
ju,2704
sina,2700
pobjednik,2696
vladavine,2695
društva,2691
kultura,2691
djelo,2686
svake,2683
državama,2677
dopunska,2677
ono,2675
savez,2670
albuma,2665
kluba,2665
sjedište,2662
selo,2661
iza,2655
gore,2655
zemalja,2652
obje,2649
charles,2645
tzv,2644
organizacija,2639
biljke,2639
sistemu,2633
objavio,2632
veliku,2629
rada,2627
njegovih,2623
oznaka,2619
dao,2613
okrug,2611
beta,2611
alfa,2610
dijelom,2608
fifa,2606
takmičenje,2601
njegovu,2595
organizacije,2595
program,2593
njihova,2590
beograd,2589
voda,2587
njemačkoj,2579
mnogih,2574
ti,2573
biljaka,2573
grupu,2566
stari,2564
domen,2560
možda,2559
nazivaju,2557
osnovan,2555
srednjeg,2554
odmah,2553
august,2550
onda,2542
kuća,2540
dobija,2539
von,2533
ka,2521
razvoju,2518
studije,2513
otkriveni,2511
potom,2509
osam,2508
sarajeva,2507
upotreba,2502
pripada,2502
istovremeno,2496
rezultatom,2496
sp,2487
kuće,2484
glumac,2482
napada,2479
lista,2478
svjetsko,2478
političar,2478
zakona,2477
rock,2475
rasta,2471
geografija,2470
opis,2467
studija,2466
velikih,2465
bivše,2465
njegovom,2461
ibn,2455
najmanje,2454
igrači,2454
male,2452
mala,2449
molekula,2448
ligi,2445
svaka,2444
proizvodnju,2444
dužine,2443
reprezentacije,2443
njena,2442
smatraju,2439
vrijednost,2436
muzike,2435
kosa,2434
isti,2432
škole,2431
igrač,2428
djevica,2425
klubovi,2424
nalazilo,2423
york,2418
kupa,2417
sljedeće,2412
ivan,2412
faktor,2412
jezera,2411
žive,2409
visoko,2407
velikim,2405
porijekla,2402
aktivnost,2400
veza,2397
most,2397
njegovi,2396
stranici,2394
drugo,2392
igrao,2391
dinastije,2389
čovjek,2385
reda,2384
pisac,2383
roman,2378
maj,2378
kojom,2375
enzim,2375
sela,2366
posljedica,2366
obuhvata,2365
domena,2364
proteomika,2361
muškaraca,2357
novembar,2356
zemlja,2356
škola,2354
lav,2354
james,2353
univerziteta,2350
april,2347
jugu,2344
britanski,2344
omogućava,2342
molekulska,2335
materijala,2324
zajednice,2321
nastaje,2320
niti,2318
mart,2317
finale,2316
cilj,2307
sva,2307
januar,2307
kg,2301
označava,2300
kaže,2299
podatke,2298
sjeveru,2290
jednoj,2286
istoku,2286
hrane,2286
primorsko,2286
teritorije,2284
prvoj,2280
windows,2280
gradova,2278
općenito,2275
kvalifikacije,2274
federacije,2272
drugoj,2272
direktno,2271
slike,2268
jednim,2266
stranke,2264
bivši,2263
službeni,2255
glasova,2255
robert,2251
majka,2251
jezero,2250
linije,2248
džamije,2247
takođe,2245
oca,2244
nastala,2242
style,2241
italijanski,2240
armije,2237
izvor,2233
prostor,2232
dovoljno,2232
at,2231
