word,count
ба,3506
юм,3064
энэ,2855
ондо,2698
болон,2541
байна,2441
улас,2377
оной,2216
үдэр,1870
гэжэ,1777
хүн,1731
уласай,1669
һарын,1586
ехэ,1478
зүүлтэ,1374
газар,1369
байһан,1350
байгаа,1302
олон,1229
жэлэй,1220
урда,1196
али,1127
мүн,1110
байдаг,1059
хото,1058
хойто,1054
гү,1015
нэгэ,1012
болоод,1011
үедэ,963
гэһэн,940
зүүн,901
баруун,890
болоһон,869
гол,830
дэлхэйн,809
түб,808
можо,788
томо,760
хоёр,752
он,746
буряад,735
бии,732
дээрэ,728
тэрэ,719
уран,710
засагай,703
үндэр,688
нютаг,674
эгээн,674
ородоор,665
тус,651
монгол,644
үдэрнүүд,626
үйлэ,625
нь,620
дахи,615
болоно,614
хэлэн,612
наһа,611
км,608
бүхы,602
түрын,584
холбооһон,581
тэрэнэй,565
засаг,551
оросой,548
зуун,547
дээдэ,544
болохо,541
хаан,541
гэхэ,537
хотын,535
дунда,531
жэлдэ,529
боложо,528
европын,526
газарай,524
хамагай,520
сая,516
бусад,510
зэргэ,507
уласууд,505
ниислэл,498
шэнэ,493
байба,493
хүрэтэр,485
болотор,469
үндэһэн,466
холбооной,458
тухай,454
албан,451
онһоо,448
дараа,448
эдэй,446
мянган,443
түүхэ,440
гүрэнэй,439
орон,432
үеын,429
хүнэй,427
ану,427
болобо,425
үе,421
зуунай,415
бол,415
шажан,409
жэл,407
эзэнтэ,400
дэхи,393
нэрэ,392
бүгэдэ,390
гэдэг,388
шажанай,388
америкын,387
мэтэ,385
хитад,384
бага,379
ород,377
ай,377
баяр,377
найрамдаха,366
дайнай,365
үдэрэй,365
холбоото,364
хоорондо,364
эрхэ,362
ябадалай,357
һэн,356
нэгэн,355
григориин,355
жагсаалта,354
мүнөө,353
захиргаанай,352
байха,349
үлэжэ,347
эртын,344
хэдэн,343
дайн,343
үлүү,341
һаа,339
зоной,338
литын,338
түрэһэниинь,337
ёһоор,335
сагаан,334
һүүлдэ,334
бараһаниинь,334
далайн,332
тохёоһон,332
гээшэ,331
харин,330
хойшо,330
тэмдэглэлтэ,326
уһан,325
оршон,322
зон,321
гурбан,321
ном,321
ухаанай,319
можын,319
ан,315
талаараа,315
хадаа,314
үрэ,313
эсэс,312
зарим,311
сэрэгэй,310
нэгэдэһэн,308
буряадай,305
германиин,305
дахин,301
эхэ,300
руу,299
гүн,297
хуули,295
хаанта,295
хэлэнэй,295
хитадай,291
мүрэнэй,289
улаан,287
франциин,287
далай,286
хахад,280
түрүүшын,279
маша,278
эй,275
да,274
гүрэн,273
шухала,273
ухаан,270
зохёол,270
тоо,267
гэшүүн,265
орос,261
ниитэ,259
энэнь,258
мүрэн,258
бэшэ,255
арад,252
хэһэг,252
арбан,252
оршом,252
хаанай,251
арадай,250
хотонууд,249
һургуули,249
эрдэм,249
химиин,249
буддын,247
аймаг,245
талаар,245
бэе,245
һарада,243
зүгтэ,240
бэлэй,240
гадна,240
хара,239
нэрэтэй,239
болоо,239
аймагай,239
хүсэн,238
өөрын,238
зохёолшо,237
тула,237
саг,236
хотодо,235
эхилһэн,234
ажа,233
байрладаг,232
үзэл,230
монголой,229
эсэргүү,229
энэдхэгэй,227
хуби,224
соо,224
бүһэ,223
зүйл,223
хубида,223
ниигэмэй,222
дотор,221
болобошье,221
соёл,221
гэр,219
бай,218
нютагай,217
эн,217
хоёрдугаар,217
хэлээр,216
болбол,215
сагай,214
уһанай,212
ерэһэн,211
тусгаар,211
япон,209
хүдөө,209
хэһэгтэ,208
британиин,208
түрэ,207
абажа,206
оршодог,205
үргэн,204
зүблэлтэ,204
үзэхэ,204
ушар,204
уласта,203
бэшэг,203
ёһоной,202
тэнгис,201
франци,201
үгэ,200
байдал,198
арал,198
германи,196
анханай,196
түүхын,195
өөр,195
зүй,194
анха,194
хүгжэмэй,194
римэй,193
һайн,193
ородой,192
абаһан,191
эдэ,189
уг,189
байгаалиин,188
бүри,188
англи,188
юрэнхы,187
дүрбэн,186
түлөө,184
алтан,183
ондоо,183
дэлхэй,183
ороной,182
эзэн,182
нютагта,181
үзэдэг,181
нуур,181
тэрэниие,179
аад,179
солонгос,179
түмэр,178
сахилгаан,178
гаралтай,177
бэшэһэн,176
соёлой,176
һара,176
байгуулһан,175
шэнжэлхэ,175
тоодо,175
доро,173
түрэһэн,173
хүнэһэнэй,173
баһа,172
зохёон,171
ссср,171
болодог,170
удха,169
үмэнэ,169
нэгэдүгээр,169
тэдэнэй,168
на,167
ута,166
гараһан,166
азиин,165
хуушан,165
арга,163
зуунда,163
оршохо,162
японой,162
машина,162
холбоотой,161
орожо,161
хубисхал,161
тойрог,160
газарта,158
янза,157
гэнэ,156
дүндэ,156
адли,155
дэлхэйдэ,155
байгуулагдаһан,155
христосой,155
тодорхой,155
ехэнхи,155
уласые,155
бэеын,153
зүйн,153
тэнгисэй,153
тухайн,152
байдалаар,151
һуурин,151
үндэһэнэй,151
зохёолой,151
байрлана,151
бүриин,151
ажахын,150
уула,149
ябадал,149
музей,149
иимэ,148
түрэлэй,147
удхатай,147
хүбүүн,147
лалын,147
эндэ,146
ой,146
хэһэн,146
мүнөөнэй,145
үгы,145
ородог,145
абаха,145
испаниин,145
доодо,144
хэжэ,144
шэнжэ,144
ази,143
байгаад,143
тосхон,143
гаража,143
холбоо,143
англиин,143
зонтой,142
байгал,142
үнэн,140
ын,140
өөрынгөө,139
сайт,139
де,139
хүнүүд,138
тала,137
уулын,137
һуури,136
алдартай,136
түрэл,136
үндэһэтэнэй,136
сэрэг,136
хилэ,135
орондо,135
польшын,135
голой,134
хамта,134
тэдэ,134
энэдхэг,134
хоёрдохи,134
нүлөө,134
ирагуу,134
гадаада,134
тооной,134
эрье,133
зохёолшод,132
канадын,132
ганса,131
тулада,131
нам,130
манай,130
хуулиин,130
үбшэн,130
удаа,129
болгон,129
модон,129
эхин,129
амитан,128
африка,127
һүүлшын,127
эртэ,126
тусхай,126
сүмэ,126
африкын,126
үзэг,125
ажал,125
сагта,125
эжэл,125
хэмжээ,125
хүндэ,125
нүб,125
тэгшэ,123
дэ,123
зүйлнүүд,122
эд,121
зам,120
байгалай,120
лэ,120
ороһон,119
табан,119
юрэнхылэгшэ,119
талада,118
бурхан,118
автономито,118
эрхэтэнэй,118
ниидэхэ,117
ниигэм,117
байра,117
байжа,116
замай,115
бүтээлгэ,115
модо,114
болбосоруулха,114
нарин,114
лама,114
дэбисхэр,113
дугаар,113
амитад,113
намтар,113
ямар,113
чингис,113
хуурай,112
халуун,112
онд,112
өөртөө,112
бурханай,112
хатуу,112
номгон,111
шулуун,111
хүнгэн,111
хэмжээнэй,111
хотые,111
хорхой,111
испани,111
нэрлэдэг,110
барилгын,110
тэрээр,110
буса,110
ажаүйлэдбэри,110
үдэрүүд,110
шууд,109
сан,109
дундажа,109
хүлеэн,109
системэ,108
зүбхэн,108
хэлэнүүд,107
амидаралай,107
бүрин,106
коми,106
нью,106
москва,105
гэбэшье,105
онгосо,105
үбэр,105
бүһэдэ,105
италиин,105
зайда,104
гээд,104
дундада,104
долоон,104
талмай,104
израилиин,104
һанал,104
сибириин,103
томохон,103
дайнда,103
уласхоорондын,103
оны,102
уламаар,102
одон,101
бэеэ,101
гаргажа,101
үүргэ,101
мүнгэн,101
һаба,101
байгуулга,101
америкэ,101
ургамал,100
грек,100
хүсэнэй,100
илангаяа,99
болгоһон,99
сэдьхэл,99
оршоно,99
бэшэгэй,99
бараг,99
хэрэглэжэ,99
хүйтэн,99
польшо,99
хатан,99
хоол,98
үйлэдбэри,98
зураг,98
болгожо,97
ушарһаа,97
уралигай,97
һургуулиин,97
дээрэхи,97
өөрөө,97
шара,97
намай,97
ёһо,97
австри,97
онгосын,96
түүхэдэ,96
эрдэмтэд,96
барилга,96
эсэгэ,95
европо,95
наранай,95
аралай,95
сүлөөтэ,95
олимпиин,95
хубисхалай,94
хэрэглэдэг,94
амидардаг,94
һургуулида,94
одоо,93
эртэнэй,93
жэшээнь,93
дээшэ,93
итали,93
уластай,92
нда,92
хэрэг,92
түбэд,92
август,92
уласуудай,92
удаан,92
ван,92
алдарта,91
далайда,91
арадшалһан,91
баян,91
элдэб,91
зэрлиг,91
до,91
номой,91
алас,90
уралиг,90
нэрээр,90
байгуулагда,90
зэбсэг,89
бэшэжэ,89
ороно,89
метр,89
үндэһэтэн,89
замаар,88
турша,88
ажахы,88
үеэр,88
үеһөө,88
даяар,88
аха,87
зургаан,87
үдэ,87
яһан,87
тэмдэг,87
ехэбшэлэн,87
москвагай,87
можодо,87
ниитын,87
шанар,87
британи,87
ехээр,86
тээбэриин,86
нд,86
эрхые,86
герман,86
по,86
хизаар,85
обог,85
нэрэмжэтэ,85
хоорондын,85
бүлэг,85
хоорондоо,85
дурнын,84
түлэб,84
онуудта,84
социалис,84
араб,84
эхилбэ,84
