word,count
de,3028519
la,1775945
el,1216092
en,723359
que,723303
del,674080
va,603259
per,521334
les,480596
un,465037
els,446523
una,390355
amb,386599
al,376443
es,358343
és,288570
dels,251949
com,237791
més,186053
ser,162608
no,156147
van,145223
seu,141939
seva,123931
també,107348
ha,99834
se,96663
entre,95732
hi,92538
fou,88051
als,86247
però,85867
any,82435
pel,80814
aquest,78922
després,76442
fins,75520
són,75043
referències,70102
the,67661
aquesta,66719
altres,65516
era,64737
on,63204
des,63112
gran,62950
part,62509
anys,61912
cap,61301
of,61078
durant,59922
tot,57707
sobre,57227
ciutat,52953
seus,52616
estat,52064
quan,48327
barcelona,46858
sant,46437
qual,46266
havia,46224
ja,45012
molt,44957
dos,44859
fer,44185
nord,43708
nom,42719
primer,41766
sud,41627
li,39901
linear,38792
té,38786
socorro,38770
guerra,36958
pot,36149
primera,35903
està,35813
enllaços,34858
si,34234
externs,34114
això,33521
història,32786
seves,32655
així,32485
catalunya,32339
tres,32302
han,31528
mateix,31361
encara,31280
forma,31095
pels,29880
només,29597
temps,29240
rei,29184
família,29050
general,28790
nova,28735
lloc,28600
segons,28308
dues,28219
poden,28035
contra,27970
estats,27533
col,27072
fa,26823
setembre,26473
alguns,25572
uns,25353
sense,25238
troba,25079
ac,24738
aquests,24657
grup,24584
and,24410
fill,24401
octubre,24363
partit,24363
tots,24342
ii,24317
fet,24263
manera,24145
mort,23582
nou,23546
món,23258
tant,23061
obra,22981
tenir,22950
sota,22927
població,22558
terme,22324
municipi,22208
frança,22168
abans,22114
poder,21964
país,21759
govern,21613
joan,21420
vida,21380
units,21251
català,21176
universitat,21122
segona,20910
cada,20638
mentre,20460
març,20366
quals,20298
eren,20271
tenia,20246
diferents,20193
agost,20103
bibliografia,20079
gener,20063
desembre,19971
est,19699
novembre,19668
obres,19555
riu,19505
sistema,19383
diversos,19372
aquestes,19331
abril,19306
persones,19280
major,19220
església,19156
tipus,19107
poble,19013
haver,18994
què,18952
dins,18826
maig,18770
regió,18474
partir,18139
perquè,18059
centre,17947
dia,17944
oest,17828
diverses,17815
premi,17649
exemple,17595
molts,17546
causa,17453
final,17444
regne,17441
altra,17381
grans,17350
febrer,17345
juliol,17192
república,17104
quatre,17088
arribar,17020
morts,16935
casa,16910
espanya,16815
ordre,16810
francès,16797
província,16792
tenen,16740
vegeu,16693
altre,16520
nacional,16502
música,16423
dir,16285
ara,16267
maria,16123
banda,16106
algunes,16067
habitants,16064
santa,15938
època,15899
total,15866
terra,15843
antic,15772
poc,15623
espècie,15616
juny,15616
estava,15594
zona,15569
aigua,15378
ho,15319
km,15231
exèrcit,15150
municipis,15071
segle,15069
qui,15046
central,15008
principal,14984
important,14905
los,14847
fishes,14673
punt,14656
donar,14646
europa,14595
nombre,14510
club,14467
catalana,14435
mar,14356
lo,14329
política,14298
cosa,14274
in,14209
josep,14156
països,14132
començar,14066
havien,14051
llavors,13957
parís,13897
president,13871
dona,13795
cas,13784
sol,13776
