word,count
de,16863
el,9847
del,7542
na,5084
maga,4206
este,4093
tiene,3959
la,3172
en,2663
los,2540
es,2509
un,2456
con,2399
provincia,2158
referencias,1868
enlaces,1797
externos,1791
com,1791
zona,1783
personas,1783
barangay,1778
local,1771
philippine,1762
performance,1762
kilometro,1755
cuadrado,1755
papulidad,1753
system,1753
censo,1750
comporme,1748
code,1743
geographic,1742
standard,1741
designada,1739
philatlas,1736
governance,1736
management,1736
hogares,1735
psgc,1734
demografía,1730
codigo,1724
ya,1723
postal,1639
que,1602
municipios,1513
las,1195
por,1120
ciudad,1100
como,945
su,929
ta,765
se,746
al,714
para,703
filipinas,633
san,632
si,621
una,616
año,594
mas,548
ay,499
capital,481
poblacion,452
sur,431
municipio,379
norte,378
soria,375
estados,363
pob,359
españa,345
fue,332
más,323
no,315
español,310
unidos,299
the,298
enlace,280
sus,275
externo,270
ele,263
of,263
república,258
chile,257
entre,240
gente,239
también,233
pais,232
dia,230
zamboanga,227
universidad,222
nacion,218
uno,216
comunidad,213
presidente,211
nacimiento,200
desde,200
durante,200
muerte,198
aca,198
islas,195
castilla,194
suyo,191
ciudades,191
autonoma,191
km,187
leon,185
populacion,184
nombre,183
georgia,183
dos,180
historia,178
mejor,176
amo,175
estado,175
santa,172
fiesta,169
parte,167
país,165
lengua,164
lo,157
importante,156
antes,155
mundo,154
le,154
calendario,154
in,152
pero,149
todo,148
nueva,148
hasta,146
son,144
siglo,143
gobierno,140
europa,140
grande,139
otro,138
mar,138
mes,138
pasada,138
lenguaje,137
sobre,136
cuando,131
tiempo,130
puede,129
gran,129
despues,127
oficial,127
álbum,127
tambien,126
región,125
numero,122
años,121
georgiano,121
asia,119
política,119
santo,117
eu,117
esta,114
hay,113
nacido,113
nacional,113
primer,113
guerra,112
queda,112
centro,112
africa,112
partido,111
donde,111
sin,111
ru,110
politico,108
juan,108
grupo,107
and,106
fecha,106
oriental,105
miembro,104
tierra,104
oeste,103
frontieras,103
filipino,101
quezon,101
cantante,101
isla,100
inglés,100
pop,100
subdivisión,99
fin,99
mi,98
sistema,98
gregoriano,98
provincias,96
tres,94
departamento,94
primera,93
población,93
ha,92
iglesia,90
mayor,90
artista,89
lugar,88
nuevo,87
china,87
febrero,87
día,86
enero,86
manila,85
otros,85
segundo,85
area,84
cultura,83
brasil,83
telefonico,83
diciembre,82
politicos,82
paraguay,82
forma,81
ii,81
canción,81
principal,80
zaragoza,80
occidental,80
ser,80
junto,79
luna,79
nacidos,79
contra,78
mismo,78
vez,78
conocido,77
habitantes,77
bajo,76
mana,76
llama,75
millones,75
santiago,75
uruguay,75
villa,75
pa,74
jose,74
samar,74
region,74
alemania,74
primero,73
internacional,73
mucho,73
quien,73
rizal,73
video,73
palabra,72
magá,72
estadounidense,72
madonna,72
rock,72
banda,71
está,71
general,70
tu,70
central,70
vida,70
cruz,70
argentina,70
cada,69
cerca,69
municipalidad,69
países,69
territorio,69
eleccion,68
yo,68
abril,68
alrededor,68
sol,68
premio,67
chavacano,67
pilar,67
después,67
premios,67
popular,66
mientras,66
mundial,66
pedro,66
medio,65
leyte,65
muy,65
new,65
west,65
cebú,65
lanao,65
italia,64
love,64
parlamento,64
noviembre,63
tene,63
superficie,63
ilocos,63
agosto,62
estudio,62
octubre,61
sede,61
you,61
hungría,61
lista,60
york,60
julio,60
méxico,60
isidro,60
menos,59
referencia,59
era,59
to,59
musica,59
hace,58
geografía,58
music,58
aunque,57
septiembre,57
canciones,57
días,57
corea,56
reino,56
junio,56
niño,56
cebu,55
costa,55
latin,55
entero,54
mayo,54
antonio,54
independencia,54
dentro,54
india,54
marzo,54
usa,54
whitney,54
grammy,54
actor,53
río,53
disco,53
aquel,52
casa,52
miguel,52
capitolio,52
best,52
densidad,52
matematico,52
tbilisi,52
concepcion,51
davao,51
pueblo,51
web,51
caracas,51
número,51
billboard,51
según,50
me,50
vicente,50
así,50
rusia,50
puerto,50
concepción,50
mga,49
an,49
da,49
website,49
camarines,49
negros,48
movimiento,48
latino,48
barcelona,48
roque,48
matematica,48
dale,47
corazon,47
america,47
ellos,47
laguna,47
on,47
solo,47
tamen,47
bohol,47
venezuela,46
ejemplo,46
fuerza,45
oposicion,45
causa,45
bien,45
instituto,45
americano,45
cultural,45
alto,45
mindanao,45
east,45
avenida,45
vol,45
decada,45
iloilo,45
pangasinan,45
poder,44
di,44
width,44
radio,44
unión,44
localizado,44
plaza,44
francia,44
grandes,44
carrera,44
ansina,44
cantantes,44
manada,44
segunda,43
obra,43
mira,43
escritor,43
desarrollo,43
debido,43
bandera,42
muchos,42
embargo,42
véase,42
single,42
portal,42
ministro,42
consejo,41
union,41
hoy,41
parque,41
ella,41
familia,41
cual,41
fundada,41
femenina,41
don,41
selena,41
cinco,40
llamado,40
escuela,40
economía,40
origen,40
total,40
portugal,40
siendo,40
oro,40
federal,40
adicion,40
oceano,40
sencillo,40
iii,40
aguilera,40
shakira,40
raven,40
paz,40
unm,40
trabajo,39
edad,39
josé,39
entonces,39
estos,39
ley,39
filipina,39
arte,39
cuatro,39
sitio,39
ese,39
colombia,39
han,39
música,39
canal,39
tarde,39
south,39
ultramar,39
grand,39
sanikidze,39
marcos,38
naciones,38
rio,38
semana,38
otras,38
network,38
francisco,38
miembros,38
batangas,38
cualquier,38
además,38
awards,38
libertad,37
base,37
isabela,37
europea,37
cuenta,37
www,37
ciencias,37
distrito,37
republic,37
actriz,37
musical,37
copias,37
uso,37
lagos,37
misamis,37
surigao,37
siempre,36
cavite,36
valor,36
ni,36
militar,36
imagen,36
carlos,36
veces,36
actual,36
tras,36
isbn,36
campus,36
francés,36
christina,36
facultad,36
baryu,36
bawat,36
maguindanao,36
minashvili,36
ahora,35
tanto,35
maria,35
sa,35
través,35
derecho,35
encuentra,35
información,35
antiguo,35
situado,35
fejér,35
actualmente,34
madrid,34
media,34
turismo,34
