word,count
йу,157737
кӏоштан,146045
аса,143147
сахьтан,141119
климат,139528
кхузахь,139387
эвла,108780
ду,106642
областан,105118
нах,99153
беха,98214
билгалдахарш,98208
меттигаш,98157
бахархойн,97489
сахьт,93246
хуьлу,87285
дукхалла,84582
кӏоштара,82231
хьажоргаш,77268
индексаш,73279
российн,71281
федерацин,68525
континенталан,67855
нийса,67372
лелаш,67164
шийла,63526
барамера,54758
москохца,54632
йовха,44785
барамехь,43311
ткъа,40503
ӏа,39399
уггаре,37485
лаьтта,35743
шеран,29644
хан,28941
аьхка,28560
бутт,27682
январь,26698
бу,26613
климатан,25167
июль,24451
шарахь,24300
бовха,24151
къилбаседа,22120
аьхке,21670
де,19378
кӏошт,17949
алсама,17424
хӏаваан,17166
ло,16751
хӏоттам,16111
уггар,15472
цуьнан,15267
баттахь,15144
кхолламан,14947
мангалан,14746
аьхкенан,14719
къилба,14623
украинин,14522
кепара,14468
амалехь,14358
тӏаьххьарчу,14348
кӏиранбуса,14340
барам,13962
дӏатесна,13887
мур,13531
йуккъера,13473
массаш,13333
дика,13215
долуш,13159
шо,12890
дакъа,12752
мехкан,12730
йочанаш,12677
францин,12321
атлантикин,12027
йукъара,11963
хӏордан,11755
аьхкенца,11267
хенан,11221
йолчу,11006
дикка,10912
москохан,10636
дукха,10474
зонехь,10472
ӏай,10293
цхьаьна,10269
ца,10181
цхьа,10098
малхбузан,10027
малхбузера,9896
шолгӏачу,9759
чӏогӏа,9754
гӏоролаш,9415
европин,9368
йовхо,9249
стаг,9190
дохк,9157
ахьтан,9151
дийнахь,9144
ӏаьнца,9067
лела,9052
мехаш,9045
иза,8945
сиха,8917
кхазакхстанан,8898
мм,8619
йолуш,8527
йовхачу,8456
гӏала,8428
континентан,8263
кировн,8176
шерашкахь,7935
хьалха,7898
октябран,7896
область,7819
арктикин,7808
сих,7760
тӏуьна,7714
малхбален,7565
шен,7560
хӏаваъ,7545
догӏу,7484
уьш,7431
хӏора,7375
леладо,7265
правительствон,7251
низам,7223
бӏаьста,7223
мартан,7216
сацамца,7204
асанан,7197
лараран,7180
киевн,7177
хьовзадо,7171
сахьтана,7170
юхахьовзадо,7170
денош,7154
шийлачу,7047
шила,6975
йукъайогӏу,6969
бараман,6951
маьлхан,6911
догӏанаш,6838
географи,6788
дукхаллин,6742
динамика,6733
гӏаланаш,6732
вологдин,6730
гурахь,6612
кхочу,6596
регионехь,6570
кхоьлина,6538
чкъор,6527
гергга,6395
аренан,6289
хиларо,6280
кӏезиг,6259
гуьйренан,6206
йоца,6201
статистика,6145
коммуна,6133
департаментан,6132
ӏаткъам,6115
мох,6102
департамент,6086
къаьмнийн,6083
коммунаш,6071
чу,6057
коммунан,6052
кхаччалц,6039
ларарца,6003
географин,5966
оьрсийн,5931
кхуза,5849
тӏехь,5834
тӏуналла,5724
хилар,5711
радиацин,5690
къаьста,5629
акъарин,5571
гӏалин,5562
новгородан,5539
цундела,5521
бӏаьстенан,5493
пскован,5481
заманашца,5433
пачхьалкхан,5409
декабрь,5403
гуьйре,5385
оцу,5349
йочанийн,5167
йеха,5076
болалуш,5041
ярославлан,5014
хьалхара,5000
тверан,4963
башхалла,4911
хьолахь,4903
заманаш,4833
лайн,4828
йогӏу,4810
хьалхарчу,4789
деха,4788
стигал,4754
йуьртан,4735
бо,4686
май,4648
дахаран,4633
коьрта,4630
сахьтийн,4594
мохк,4592
самарин,4591
бахьна,4587
кӏошташкара,4563
йекъа,4558
долчу,4557
бахьнехь,4552
паргӏато,4532
садаӏаран,4525
регионашка,4523
дехьайолуш,4521
йоцу,4518
санна,4433
лаьттан,4427
йолу,4360
йуккъехь,4343
хенаца,4303
декабрехь,4285
ӏаьн,4273
тӏехула,4258
цхьацца,4254
барамерачу,4176
йара,4169
нижни,4131
довха,4071
хьун,4069
долу,4065
малхбузен,4033
кхоллало,3928
хӏаваийн,3926
