word,count
sa,519073
nga,360917
ang,294051
niini,144979
mga,138387
ni,137013
ug,104967
matang,103284
kaliwatan,81544
kabanay,79674
gi,78969
sakop,78939
basihan,78872
kahenera,75799
ning,67615
una,67611
gihulagway,67526
adtong,67421
nalista,63669
sama,62250
walay,62108
komyun,55611
kini,51906
ka,44385
rehiyon,37448
departamento,36900
kadagatang,36086
na,32993
hayop,32177
sabwag,32162
daghagtiil,29536
usa,21472
pransiya,20142
may,19612
mananap,18948
nahimutang,18744
molupyo,18442
atlantiko,18120
tiladtilad,15883
muragwati,15760
of,15262
de,14093
banaog,13440
krustaseo,13365
dawhilahila,12791
amihanang,12253
dagat,11994
tungaw,10768
iucn,10671
giklaseklase,10670
mao,10657
life,10225
catalogue,10211
gasang,9520
ulod,9440
hulagway,9428
galeriya,9401
ligid,9288
pasipiko,9060
nahiubos,8972
langgam,8763
kladogram,8502
habagatang,8111
matud,7845
dapawdapaw,7450
ukab,7158
amerika,6506
nuzeland,6483
kaka,6445
indyan,6303
baki,6256
kalabotan,6195
kinaminosang,6181
zone,6032
economic,6029
exclusive,6019
loire,5765
alpes,5711
aluhipan,5681
grand,5287
est,5231
france,5103
mediteraneo,4724
et,4640
rhône,4537
occitanie,4531
aquitaine,4501
nouvelle,4500
ngadto,4467
lingin,4376
nidariya,4302
murag,4221
auvergne,4220
bourgogne,4042
franche,4029
comté,4028
espesye,3859
aprika,3852
hauts,3817
bituonbituon,3792
gibahinbahin,3780
ostralya,3278
saint,3256
normandie,3231
la,3226
state,3146
maybukobuko,3140
haute,2995
bakaybakay,2986
henero,2893
sea,2850
asya,2784
gawas,2405
kinhason,2386
wala,2376
gikan,2316
mangungutkut,2306
val,2272
sidlakang,2265
ulo,2231
kahanay,2137
espanya,2127
kaginharian,2102
caribbean,2043
centre,1962
estado,1960
niya,1900
karon,1890
pagka,1850
marne,1844
kasadpang,1837
hukal,1823
ubos,1795
mehiko,1778
côte,1774
adunay,1766
dakbayan,1752
