word,count
di,113572
in,45381
hè,37202
da,19731
una,17113
chì,16118
un,16049
so,14420
si,11416
sò,11338
corsica,10762
più,7035
per,6801
pianta,6519
par,6487
spezia,5991
ancu,5330
ssa,5148
annantu,4775
ùn,4565
incù,4435
hà,4291
ch,4018
famiglia,3653
la,3606
ma,3490
com,3163
flora,2980
pò,2970
cumuna,2926
altri,2924
micca,2898
lu,2677
era,2556
statu,2421
li,2390
cum,2337
ci,2311
dopu,2262
cù,2228
prima,2150
trova,2112
parti,2102
trà,2020
via,1951
tali,1909
parte,1889
ligami,1869
ambienti,1837
ed,1812
dinò,1802
sottu,1797
biugrafia,1740
omu,1711
stati,1628
cità,1621
lingua,1602
storia,1556
prisenti,1550
dui,1531
cunsirvazioni,1504
faci,1502
stata,1501
pà,1490
face,1467
fù,1457
vede,1453
gamisans,1408
sinonimi,1407
parechji,1374
riferimenti,1372
de,1371
edisud,1368
jeanmonod,1362
prugetti,1347
commons,1347
wikimedia,1340
corsa,1327
anni,1308
appartinendu,1303
longu,1290
certi,1273
mondu,1261
nome,1256
san,1239
ind,1227
volta,1210
nomu,1205
annu,1198
essa,1182
noti,1179
righjoni,1176
fiori,1172
ghjornu,1169
seculu,1164
fiora,1163
acqua,1147
asia,1143
eddu,1124
dinù,1122
america,1114
particulari,1112
ripartizioni,1088
quandu,1087
naturali,1079
forma,1076
ciò,1067
corsu,1066
regula,1062
discrizzioni,1059
nordu,1057
isula,1043
esse,1040
rigione,1029
altezza,1027
cunsirvazione,1015
centimi,1009
the,1005
spessu,993
auropa,991
ssi,989
paesi,979
francese,963
piccioli,962
metri,959
ellu,947
fà,946
mari,942
cunnisciuta,940
circa,939
africa,934
prisirvà,933
note,925
insetti,925
ventu,924
quali,924
prisente,921
chi,919
cusì,918
abitanti,913
tutti,908
numarosi,908
pruvincia,908
sparta,901
eppuri,899
var,895
unu,891
causa,888
zoni,888
liami,877
impurtanti,877
suprana,876
le,875
culori,868
graneddi,862
descrizzione,859
italia,858
rifarimenti,858
tassunumia,855
trè,824
grandi,820
terra,812
poni,812
scentificu,809
europa,806
ripartizione,798
francia,788
ragruppati,781
fattu,775
particulare,771
solu,770
maghju,770
paese,767
ogni,750
ambiente,743
edda,741
vita,740
locu,739
induva,736
naturale,721
guerra,720
casci,717
biulugia,717
referenze,715
pupulazioni,707
grande,705
frà,704
talianu,703
sudu,696
fine,694
certe,688
spezii,686
cunsidarata,684
nantu,681
gruppu,678
granelli,672
pieve,671
dì,667
sopravvivenza,661
accittatu,661
largamenti,660
fini,656
ponu,651
tempu,651
impurtante,650
terri,649
cm,649
senza,646
chjesa,643
andà,642
anu,641
zone,641
km,632
assai,629
frutti,628
ani,623
ella,618
mentri,617
dunqua,616
subrana,616
altre,613
ssu,612
sicondu,611
pocu,608
minacciata,607
ni,606
culore,601
pè,595
versu,595
avè,593
cultura,590
grazia,588
induve,588
vivaci,587
listinu,587
animali,583
cunnisciutu,582
santa,581
pratulini,581
petru,574
veda,569
uniti,568
ne,567
rè,567
tassonumia,567
umiti,566
subsp,565
capu,564
pupulazione,562
natu,559
verdi,556
americanu,555
arbacea,549
situ,547
essendu,547
agricultura,547
eppuru,547
mi,544
casce,540
distruzzioni,536
corsi,526
vicinu,526
