word,count
bir,25535
kişi,19402
sayısı,19338
ealisiniñ,19301
rayonında,15692
meskün,11952
yerler,11610
vilâyetinde,10857
vilâyetindeki,10614
köy,9281
rusiyeniñ,8298
senesi,7625
şeer,7366
ve,5679
ukrainanıñ,5477
köyler,4937
cumhuriyetiniñ,4774
rusiyede,4623
köydir,4623
başqırtistan,4580
başqırtistandaki,4562
şeklinde,4360
atıflar,4015
altay,3950
qasaba,3617
şscbnıñ,3271
bağlantılar,3178
jıtomır,3149
vinnıtsâ,3120
belgorod,2977
merkezi,2829
tış,2641
çıqqan,2606
rejissör,2600
roller,2537
qasabalar,2450
ades,2431
filmi,2399
filmleri,2399
arhangelsk,2231
asır,2134
asırnıñ,2132
ülkesinde,2119
vaqialar,2098
rusiyenıñ,2093
doğumlar,2085
ölümler,2081
rayonınıñ,2061
ülkesindeki,1996
şeerler,1890
amur,1344
edi,1328
qırımnıñ,1281
rayonı,1262
da,1229
qırım,1215
bu,1119
qırımtatar,1056
de,1055
qırımdaki,1054
htar,1011
aleksandr,976
vladimir,953
astrahan,928
rayonındaki,892
içün,883
rusiye,791
sergey,757
hutor,747
olğan,730
bar,709
soñ,671
eñ,664
kino,663
nikolay,639
ya,621
cumhuriyetinde,598
mihail,592
senesinde,565
doğdı,561
tili,555
rus,551
olaraq,547
http,534
büyük,528
şeerinde,518
adamları,516
ile,510
van,506
aleksey,490
onıñ,487
andrey,467
vilâyeti,466
tarafından,464
yañı,440
dep,436
oldı,419
aqmescit,414
adı,411
cumhuriyeti,407
biografiya,404
çoq,399
yevgeniy,394
inde,392
milliy,390
donetsk,387
etti,386
etken,385
yuriy,381
bölgesinıñ,381
moskva,380
şurası,380
yerleri,374
eali,373
belli,372
ii,368
ise,366
boris,365
menbalar,362
devlet,359
köre,354
oleg,353
bölgesinda,351
resmiy,350
öz,346
ua,343
ust,336
paytahtı,332
qadar,329
daa,328
ukraina,323
etilgen,323
rejissörı,321
moskova,320
cumhuriyetindeki,319
filmografiya,319
eki,318
kibi,317
er,314
the,314
ete,312
rejissörları,311
velsk,310
arasında,309
muhtar,307
rayondır,301
leonid,299
lugansk,297
novıy,294
xx,293
olıp,292
vasiliy,291
viktor,287
iii,281
türk,270
www,269
şora,269
halq,268
türkiye,267
