word,count
se,720423
na,690660
je,461210
align,364109
right,362924
do,276065
ve,232631
roce,231683
byl,199922
roku,184822
jako,175880
od,171109
pro,170086
po,154565
za,130727
byla,129839
odkazy,120901
jeho,120548
jsou,117724
že,116827
nebo,95295
které,93978
který,92219
také,91879
ale,85951
až,83204
externí,81534
bylo,81022
první,73580
mba,71550
to,70419
při,66959
mezi,66876
která,66180
ze,65721
století,65331
reference,62231
byly,59270
letech,56517
však,56506
tak,55677
zde,54825
the,53659
kde,52852
narození,52603
podle,52201
má,51169
let,50697
praha,49006
si,48221
pod,44454
města,44404
září,43748
jejich,42108
další,41658
území,41152
své,40873
již,40675
nad,39482
km,39452
či,39445
linear,39439
socorro,39412
být,38650
české,38581
později,38486
pak,37582
of,34982
okrese,34912
než,34901
před,34497
aby,34081
během,33668
října,33664
listopadu,32848
část,32833
ke,32831
obce,32540
kdy,32465
když,32446
března,32148
jen,31370
úmrtí,31096
de,30782
ledna,30750
pouze,30535
může,30221
by,30162
nachází,29881
části,29848
května,29594
např,29515
její,29319
dubna,29060
proti,28949
prosince,28935
ii,28927
srpna,28540
stal,27966
město,27609
například,27566
době,27387
února,27378
obyvatel,27054
články,26711
související,25986
více,25626
této,25614
velmi,25296
což,25202
český,25185
jan,25075
července,24964
historie,24811
června,24634
poté,24624
mu,24489
přes,24465
místo,24379
tento,24144
války,24063
asi,23350
jak,23202
literatura,23192
tedy,23054
skupiny,23051
měl,22963
hlavní,22960
období,22722
oblasti,22654
dva,22649
ještě,22640
druhé,22613
několik,22512
vesnice,21984
není,21881
ho,21603
především,21590
tzv,21327
muži,21040
bez,21014
co,20984
byli,20746
praze,20589
dále,20514
proto,20353
kteří,20312
často,20224
název,20130
tři,20099
země,19769
usa,19506
zejména,19430
hudební,19318
mají,19205
svého,19049
lze,19012
jeden,18957
patří,18772
ji,18591
svou,18396
protože,18393
in,18301
světové,18251
velké,18154
už,18002
nové,17929
dvě,17700
tato,17687
též,17620
dne,17537
josef,17493
tím,17484
česká,17464
dalších,17360
sv,17328
světa,17327
život,17160
tyto,17119
tohoto,17107
obec,17024
díky,16907
kolem,16898
národní,16744
kterou,16645
součástí,16600
rok,16537
toho,16182
jej,16163
společnosti,16159
okres,15933
seznam,15887
dvou,15862
jiří,15775
lidé,15769
and,15759
strany,15718
americký,15716
měla,15634
získal,15583
republiky,15510
všech,15371
film,15323
poslední,15257
všechny,15224
severní,15206
karel,15186
pokud,15108
spolu,15088
dnes,15075
došlo,14987
cz,14981
františek,14502
některé,14487
čeští,14461
ani,14414
mohou,14375
kostel,14348
leží,14232
těchto,14219
nich,14143
jméno,14028
jiné,13959
základní,13942
ní,13911
vlastní,13879
jižní,13824
kvůli,13753
doby,13739
smrti,13720
la,13632
iii,13620
mnoho,13607
kromě,13577
té,13569
společnost,13433
včetně,13283
skupina,13256
oficiální,13163
pomocí,13130
několika,13128
místě,13121
marie,13103
řádu,13046
poprvé,12997
začal,12986
sídla,12925
rámci,12918
státní,12844
opět,12811
tomu,12810
svých,12792
nakonec,12782
pochází,12771
tvoří,12694
původně,12686
spisovatel,12612
vlády,12602
metrů,12444
práce,12398
svůj,12396
mm,12301
stanice,12280
království,12279
největší,12255
alba,12200
některých,12159
jedná,12144
toto,12138
mimo,12133
původní,12088
umění,12082
nový,12046
počet,12006
prvním,12002
