word,count
je,7750
na,6379
to,4704
sã,3598
do,3230
rok,3169
rokù,2296
téż,1582
lënczi,1470
bùtnowé,1455
òd,1443
béł,1423
pò,1373
krézu,1222
gmina,1178
są,1085
right,1063
wies,1054
align,1052
gminie,1002
wëdarzenia,999
ùmarlë,999
ùrodzëlë,990
òn,966
kalãdôrz,940
kalãdôrza,934
jin,925
stolatégò,873
wòjewództwie,852
pòl,825
kaszëbskô,788
abò,786
tu,781
lëteratura,777
kaszëbach,750
km,743
pòdług,742
rodzëznë,732
że,728
dzéń,725
jak,723
pòczątk,718
gregòriańsczi,705
nie,699
przëpôdł,695
pòmòrsczim,684
juliańsczégò,683
przez,678
kaszëbsczi,654
dlô,631
kòl,629
ùr,627
wiele,618
za,614
np,591
kaszëbë,586
mòże,584
we,582
jinëch,582
mô,579
pòlsczégò,569
jegò,561
bëc,548
słowiańsczich,531
nieprzestãpny,526
krajów,520
chtërnégò,519
òna,516
gardu,513
christusa,506
królestwa,502
słowôrzu,499
pòlsce,499
krajach,498
pòlsczi,495
kaszëbsczégò,495
the,491
gardë,490
stolaté,490
geògraficznym,487
niechtërnëch,486
tak,483
naszi,481
ùżiwóny,477
égò,476
erë,475
narodzenim,475
dzesãcolecô,471
hewòtny,471
gregòriańsczégò,467
juliańsczi,464
warszawa,451
równak,446
co,442
pòmòrsczé,429
ùm,425
bëła,420
gard,419
wòjewództwa,417
zwëczajny,414
bòtanika,399
pòmòrsczégò,397
kaszëbi,396
lëdztwò,386
xix,380
jakno,379
swiãta,379
wsë,378
jãzëk,377
pl,370
ji,370
mionowi,370
ùroczëznë,366
jãzëka,361
swiece,361
tim,358
ze,351
leno,350
nad,347
ni,346
ii,340
bëło,338
xviii,338
nié,336
drëdżégò,335
gduńsk,333
latach,333
wiéchrzëzna,329
miem,328
rosce,328
tësąclecô,320
gdańsk,312
baro,303
lëdzy,302
jaż,298
kòscół,292
zaczął,289
tegò,287
ale,283
jich,280
lat,276
zôczątkù,273
wòjewództwò,271
pòd,270
słownik,270
czasach,268
nëch,265
gò,263
dopiérze,261
in,259
roku,258
przë,256
dni,255
ôrt,255
òb,254
ti,254
kaszëbów,253
nót,253
dzél,252
samò,247
chtëren,246
pamiãtac,240
pòwszechny,239
katolëcczich,239
oficjalno,235
dzysdniowim,234
sw,233
ùżiwónégò,231
wiôldżi,229
kaszëbsczim,228
karna,228
hewòtnym,226
rozeszłosc,226
wënôszała,226
ju,225
roscëna,225
bez,224
dosc,223
le,220
kréz,220
xv,218
swiãtëją,217
òbéńdze,216
of,215
de,214
mają,214
xx,213
jan,209
ix,209
państwa,207
bëłë,203
wedle,201
kaszëbsczé,200
kraków,199
kùltura,195
jakò,192
òstôł,191
stołpsczim,191
przëpisczi,190
jaczi,190
bëtowsczim,190
kartësczim,189
bò,188
miono,187
czas,186
kùńca,186
karno,185
ten,181
isbn,180
nim,179
wrocław,179
miôł,178
kaszubskich,177
tam,176
dniów,176
kultury,174
zemi,172
òne,172
chtërne,172
zdrojach,171
mògą,171
gardã,170
przestãpny,170
gduńskù,169
mln,169
czë,168
kalãdôrzu,168
tle,168
żëje,168
gwar,167
mieszkańców,166
pierszi,165
jesz,164
gregorijansczim,164
jãzëkù,163
ludowej,162
miemiecczi,160
przed,159
chtërny,158
tom,157
midzë,157
chtërna,157
lëdze,156
oprac,156
tekst,154
pierszégò,153
séwnika,152
starna,152
tësąclecégò,152
ks,150
gòdnika,149
eùropie,149
przewodnik,149
stolat,147
szkòle,146
czej,144
nich,143
kaszubski,143
roscënë,143
pòmòrsczi,142
pòlskô,142
zëchta,142
jaczé,142
roślin,142
