word,count
сем,133055
юханшыв,102540
шыв,85355
бассейн,61794
ка,41459
ас,39884
пе,39326
ра,39217
сен,38775
рхавсем,37542
коч,36814
хыпар,35831
реестр,34189
патшал,32791
нче,32722
ей,32238
район,31628
рет,31153
тата,29718
км,28736
нчи,26226
пур,26203
обла,25575
рф,24224
ресурс,23257
ваш,22226
выр,20785
ху,20147
ял,19942
гт,19021
на,18882
хал,18013
юхса,17735
улта,17250
ул,17202
территоринчи,15987
не,15626
ршш,15192
ут,15035
юхать,14952
ал,14927
семпе,14840
обь,14788
улхи,14583
ав,14494
территорипе,14346
хат,14033
антал,12932
те,12778
ур,12316
лар,12264
том,12227
рлен,12112
экологи,11833
номер,11819
министерстви,11812
федераци,11802
объекч,11672
системин,11558
республикин,11534
гидрологи,11506
ен,11466
совет,11461
территорин,11439
агентстви,11433
пчевленӳ,11391
геоинформаци,11390
кун,11332
патт,11288
пу,11191
пушк,11128
нан,11088
та,10836
нн,10748
округ,10457
ар,10377
ын,10351
тури,10110
вуламалли,10093
ат,10075
ку,9987
рл,9671
йыш,8678
вырна,8623
сене,8538
уй,8379
рт,8161
пекех,8030
юханшыва,7948
союз,7553
ак,7417
палл,7271
пулса,7251
алфавитпа,7230
тин,7152
ненец,7104
участок,6932
пулн,6887
сайтра,6871
ыран,6726
ытти,6391
лапт,6217
лах,6125
ун,6098
рринчен,5979
печора,5871
пай,5805
тыт,5728
нчен,5707
асл,5663
республики,5641
хы,5602
лл,5601
уралн,5528
фильм,5514
ук,5453
ви,5379
нт,5299
коми,5177
иртыш,5146
яч,5040
таран,4998
па,4976
ри,4943
кӳл,4929
риччен,4928
сл,4887
таврал,4880
уйр,4875
гварди,4862
биографи,4741
ан,4659
чи,4631
ртстан,4609
пал,4589
мар,4587
хант,4555
илн,4550
канаш,4546
манси,4535
ха,4475
автономи,4436
сулахай,4431
ррем,4408
автономл,4398
ырав,4353
кунта,4329
сылт,4252
нать,4248
ир,4213
литература,4186
нсем,4173
хула,4096
ссср,4093
рлач,4071
вилн,4046
тив,4001
юпписен,3987
шупашкар,3914
пулать,3876
нинчен,3865
двина,3850
исем,3820
александр,3810
указ,3793
ынсем,3733
пыс,3666
пат,3629
по,3619
чыс,3608
хура,3593
пирки,3587
ямал,3580
ао,3569
дати,3561
некере,3518
хастарл,3509
официалл,3484
ине,3481
вара,3447
пул,3442
ушк,3428
ик,3426
ркелен,3420
тух,3411
награда,3411
сайтри,3409
лисч,3394
николай,3377
уралнисем,3345
энциклопедия,3338
ум,3320
анчах,3275
ус,3222
пурн,3197
тра,3188
ван,3185
лне,3182
мускав,3170
инче,3168
тухн,3168
режиссёр,3163
истори,3150
хули,3110
хне,3093
командир,3082
иртн,3058
чухне,3030
нумай,3023
сенче,3000
алтай,2967
мус,2962
фронч,2899
полк,2883
ник,2881
авалхи,2874
ред,2849
владимир,2839
изд,2829
хальхи,2822
шкул,2815
муниципалл,2804
чебоксары,2790
улсем,2786
перев,2778
юр,2777
пек,2772
анат,2756
икк,2742
иван,2721
архангельск,2716
история,2699
пуш,2691
пин,2689
улсенче,2650
вологда,2639
лтер,2608
ых,2594
районне,2588
лен,2587
ре,2584
раштав,2568
дивизин,2563
тесе,2547
хут,2533
шур,2522
лла,2500
лхи,2478
ыв,2460
кил,2454
ртн,2424
тухать,2421
театр,2416
рать,2402
хир,2401
эл,2398
сайт,2396
ран,2392
ва,2391
хушшинче,2377
там,2372
индекс,2370
чулман,2368
франци,2341
сар,2335
пер,2315
сенчен,2314
вилнисем,2300
германи,2299
демографи,2296
почт,2293
туса,2281
апш,2269
культура,2267
хутш,2265
хулисем,2253
мах,2242
мл,2210
окато,2199
словарь,2198
авиаци,2196
каҫӑсем,2192
динамики,2179
томск,2146
апла,2131
михаил,2122
нар,2110
ев,2109
ссрп,2108
хсем,2103
иванович,2095
чысне,2091
ним,2090
май,2081
ап,2081
чӳк,2075
рле,2055
илемл,2041
спб,2031
киров,2028
сергей,2026
юпа,1996
кл,1982
тапх,1980
пан,1965
