word,count
yn,719635
ffilmiau,308701
ffilm,264138
gan,262250
ar,162483
mae,154918
yr,137246
yw,130409
ei,126346
cyfarwyddwr,106809
ac,90547
cyfeiriadau,86381
wedi,86231
oedd,85433
hefyd,79744
fel,70331
roedd,66361
saesneg,61976
gweler,57600
gyda,52583
america,51577
mewn,50623
nifer,50192
daleithiau,50126
unol,50029
gynnwys,49465
enw,48916
fwyaf,48741
fe,48397
hyd,45861
the,45156
hon,43351
am,42318
sy,42204
ym,41943
actorion,39919
at,37588
sef,36321
flwyddyn,35588
du,34250
canlynol,33974
gyhoeddwyd,33907
cyhoeddwyd,33661
honno,33601
cyhoeddodd,33244
poblogaidd,32958
ganwyd,32552
yng,32434
un,32372
gwrywaidd,32296
nodwyd,32042
derbyniad,31988
gwyn,31582
bu,31406
cynhyrchwyd,31107
sydd,30866
gyfarwyddwyr,29622
lliw,29482
wreiddiol,28985
neu,28607
rhestr,26967
fod,26897
sgript,26724
sgwennwyd,26536
prif,26340
dydd,26102
ond,26088
leiaf,25984
gweld,25525
eu,25465
ôl,25096
na,24958
golau,24861
de,24569
cymru,23645
au,23109
farw,22780
nodedig,22573
of,22432
ffilmio,22145
lleisiol,21704
hynny,21383
county,21074
cafodd,20531
byd,18994
ceir,18957
chafodd,18566
dros,18432
eraill,18376
llai,18325
ardal,17544
pobl,17283
lladin,17216
cael,17140
ymhlith,16874
gwaith,16448
sir,16269
stori,15960
dramâu,15832
teulu,15312
gerddoriaeth,15122
bod,14813
cymreig,14570
drwy,14450
bobl,14445
perthyn,14377
swydd,14267
almaen,14264
genedigaethau,14087
john,13854
allanol,13809
gyfer,13547
newydd,13509
and,13396
mwyaf,13360
rhywogaeth,13252
ni,13066
benywaidd,12999
comedi,12814
munud,12783
ffrainc,12717
llyfrau,12664
ddrama,12621
ganrif,12518
mai,12499
lloegr,12498
deulu,12405
americanaidd,12399
eidal,12290
hyn,12236
llawn,12228
rhan,12162
lle,12160
sinematograffydd,12148
ffotograffi,12137
rhwng,12109
cynnwys,12064
er,11649
ionawr,11628
nhalaith,11602
tua,11537
sbaeneg,11343
chyfansoddwyd,11290
deyrnas,11142
hwn,11137
poblogaeth,11098
eang,11058
gogledd,11018
cymraeg,10950
anwyd,10933
cynhyrchiol,10834
dyma,10775
goch,10775
arwynebedd,10749
fideo,10746
ddosbarthwyd,10604
ffrangeg,10455
aml,10371
ydy,10275
cyrraedd,10264
urdd,10238
almaeneg,10222
arlunydd,10009
dweud,9973
marwolaethau,9940
rhai,9768
gwyddonol,9666
sifil,9641
ysgol,9640
iucn,9601
ellir,9594
pentref,9584
enwogrwydd,9389
merched,9330
adar,9303
gomedi,9244
arlunwyr,9213
heb,9169
alban,9085
cc,9080
pan,8992
pentrefi,8924
cyffro,8835
addysg,8832
gwefan,8731
aelodau,8680
cyntaf,8490
gwobrau,8453
dan,8308
hanes,8172
yma,8171
dogfen,8018
cyfnod,7984
hydref,7861
alwad,7755
lleoli,7695
erbyn,7661
derbyniodd,7588
gorllewin,7502
rai,7492
mawrth,7488
edward,7429
rhagfyr,7421
golygyddion,7420
fewn,7409
dinas,7376
actor,7356
toreithiog,7356
gyfunol,7283
medi,7267
awst,7246
hennill,7205
lleolwyd,7138
ebrill,7137
jones,7111
ail,7086
golygu,7074
william,7035
mud,7019
iaith,7003
mehefin,6947
llundain,6941
wrth,6902
afon,6899
cyn,6821
gwreiddiol,6821
chwefror,6818
nghymru,6795
ystod,6795
tachwedd,6738
teitl,6731
sawl,6653
daeth,6647
sbaen,6631
iddo,6618
enwau,6601
eidaleg,6486
arbennig,6449
fed,6443
james,6403
david,6401
trefi,6373
natur,6322
dinasoedd,6303
george,6268
in,6267
cymdeithas,6234
gyfrol,6180
llawer,6151
neidr,6146
lleolir,6127
boblogaeth,6125
la,6112
hen,6109
byw,6099
elwir,6092
dwyrain,6071
gael,6062
arall,6060
india,6014
lleiaf,6008
thomas,5997
cadw,5960
british,5937
lluosog,5918
efrog,5881
oherwydd,5852
oes,5845
nid,5823
aderyn,5816
aelod,5812
arswyd,5791
gymraeg,5729
rhyfel,5691
ynys,5662
wlad,5649
ef,5485
genyn,5448
arno,5415
gwahanol,5390
llên,5339
robert,5292
eglwys,5239
gyntaf,5211
safle,5184
copa,5142
copaon,5095
hi,5078
ganed,5064
adnabyddir,5060
dolen,5047
sain,5035
an,5034
brenin,4973
trwy,4971
senedd,4966
cenedlaethol,4956
ddogfen,4956
gorffennaf,4925
olygwyd,4924
iawn,4844
to,4836
waith,4791
mlynedd,4782
awdur,4773
ddinas,4764
wefan,4760
bot,4750
gwlad,4744
pêl,4724
rhywogaethau,4695
prydain,4694
charles,4657
oed,4652
talfyrir,4624
ag,4562
bywgraffiadur,4539
bywyd,4520
mawr,4515
dolennau,4500
mynyddoedd,4499
ers,4488
fud,4481
williams,4441
ran,4424
ferched,4415
eg,4413
ewrop,4395
cwmni,4392
orllewin,4369
genedlaethol,4363
km,4363
fawr,4349
gwyllt,4331
allan,4310
milltir,4281
megis,4259
unedig,4253
alw,4213
