word,count
og,910848
af,595282
en,478951
til,405153
er,387810
den,369861
at,361309
på,328463
som,326219
for,303020
med,302242
fra,294969
det,267915
blev,249071
var,245581
de,243520
der,242024
han,221598
et,187901
ved,136622
har,129659
om,98804
efter,88227
ikke,87458
også,87182
men,84267
sig,75944
havde,70216
hvor,67426
eller,66610
danmark,66524
the,64372
hans,60301
kan,60012
sin,58185
under,57642
da,55860
eksterne,53175
to,52524
henvisninger,52283
over,51718
første,51407
år,51082
dansk,46928
man,45824
mod,43307
hun,42728
of,37499
fik,37253
så,37059
andre,36236
født,35705
mellem,34128
del,33420
flere,33416
danske,32914
deres,32653
denne,31598
være,30943
senere,30706
alle,29376
dette,29330
mange,29320
kunne,28299
tidligere,28180
ud,28002
personer,27746
dog,27328
kun,26734
københavn,26042
sammen,25846
ligger,25650
op,25579
store,25203
siden,24999
ham,23974
været,23826
usa,23731
samme,23528
kom,23442
kommune,23356
have,23176
omkring,23171
død,22989
kilder,22958
mere,22771
samt,22634
blandt,22356
end,22348
meget,22300
tre,21914
erne,21899
tallet,21890
blevet,21576
skulle,21556
byen,21547
sit,21263
bliver,21197
referencer,20845
selv,20738
mens,20575
se,19859
andet,19305
film,19183
km,19155
disse,19096
dag,18809
anden,18781
tilbage,18694
nogle,18619
sine,18564
sogn,18307
nu,18262
skal,17665
and,17584
gang,17436
nye,17430
maj,17417
både,17368
august,17364
gennem,17360
bl,17347
forskellige,17333
historie,17320
findes,17185
hvis,17184
januar,17104
dem,16913
ca,16891
stor,16888
hos,16842
her,16724
tid,16562
april,16505
vil,16284
juni,16231
september,16202
kendt,16198
oktober,16184
hvilket,16165
tv,16113
række,15970
ind,15878
marts,15851
uden,15672
få,15665
kirke,15488
før,15412
hele,15378
juli,15290
december,15194
november,15184
mest,15175
ofte,15105
gik,14856
først,14702
ville,14532
vandt,14364
tyske,14359
sidste,14243
navn,14219
fire,14037
derfor,14005
når,13976
tyskland,13948
christian,13843
in,13670
by,13642
navnet,13601
februar,13449
fodboldspillere,13390
blive,13345
inden,13202
frem,13142
spillede,12987
største,12950
mindre,12840
indtil,12593
ny,12373
desuden,12328
medlem,12180
new,12166
amerikanske,12147
søn,12070
bebyggelse,12048
større,11860
igen,11835
hendes,11755
tog,11717
begyndte,11469
norge,11232
udgivet,11145
alt,11043
således,10978
sverige,10904
amerikansk,10876
døde,10781
bedste,10729
lille,10699
gamle,10681
grund,10665
frankrig,10649
nord,10487
von,10478
meter,10304
danmarks,10224
noter,10209
tysk,10205
hold,10200
gange,10145
nr,10140
kort,10027
hjemmeside,9986
dk,9854
københavns,9829
peter,9826
side,9807
album,9789
området,9786
gift,9769
byer,9724
etableret,9704
allerede,9655
stedet,9646
spillet,9586
forbindelse,9505
hver,9503
noget,9487
kr,9425
især,9420
medlemmer,9377
england,9294
begge,9159
helt,9145
dermed,9121
john,9083
europa,9081
eks,9058
ned,9049
gjorde,9046
forhold,9026
frederik,9011
syd,8971
måtte,8940
ol,8894
stadig,8868
følgende,8800
filmen,8704
sted,8642
engelsk,8585
vm,8524
består,8372
indbyggere,8368
bruges,8356
plads,8280
børn,8258
litteratur,8229
verden,8221
århundrede,8210
skrevet,8148
spiller,8104
fodbold,8091
gav,8083
landet,8074
ingen,8071
lige,8038
london,8021
derefter,8012
liv,7975
form,7968
samtidig,7898
fordi,7895
lang,7884
bog,7846
går,7826
karriere,7801
kommer,7789
fem,7732
lande,7730
kampe,7700
verdenskrig,7663
danskere,7646
arbejde,7645
mand,7626
stort,7601
bygget,7587
vest,7568
vi,7524
hvad,7513
skrev,7506
fleste,7389
dele,7360
gruppe,7351
universitet,7337
endnu,7250
hansen,7232
datter,7199
ifølge,7195
land,7177
musik,7162
aarhus,7125
mål,7122
øst,7120
jeg,7107
storbritannien,7095
deltog,7081
franske,7072
imidlertid,6935
brugt,6930
får,6912
mennesker,6898
næsten,6892
brug,6891
året,6857
york,6848
dr,6822
fc,6698
eneste,6660
udgave,6655
carl,6618
kaldes,6596
kendte,6564
deltagere,6539
slutningen,6537
dens,6535
nuværende,6532
lå,6507
far,6506
klubben,6493
bind,6473
paris,6447
nogen,6440
la,6425
område,6413
slaget,6394
hende,6383
sprog,6357
nielsen,6354
længere,6339
kamp,6332
stod,6307
amt,6289
britiske,6287
fandt,6283
videre,6278
kong,6266
må,6259
forfatter,6249
set,6222
godt,6179
italien,6169
jensen,6153
løbet,6147
kaldet,6133
politiske,6130
idet,6130
ligesom,6107
henrik,6089
står,6087
serien,6048
thomas,5956
odense,5929
albummet,5927
krigen,5924
skuespiller,5920
fransk,5908
forfattere,5896
dage,5893
sæson,5892
ses,5888
begyndelsen,5874
tiden,5874
små,5869
langt,5848
internationale,5833
periode,5812
egen,5808
giver,5772
erik,5762
herred,5726
al,5722
nåede,5720
konge,5709
krig,5701
bygninger,5693
beliggende,5683
aldrig,5675
værker,5664
world,5663
blå,5662
måde,5652
seks,5649
moderne,5641
én,5616
formand,5607
tredje,5596
følge,5593
international,5579
førte,5578
betydning,5571
lidt,5557
områder,5550
millioner,5542
gruppen,5509
opført,5489
nordlige,5464
michael,5448
perioden,5437
gøre,5433
via,5429
eksempel,5406
skole,5399
efterfølgende,5395
rolle,5393
station,5393
antal,5379
areal,5376
blot,5362
taget,5358
engelske,5348
europæiske,5327
division,5318
gør,5305
hvert,5298
ii,5288
kongelige,5260
angreb,5259
baseret,5246
nummer,5232
rusland,5212
sydlige,5205
aalborg,5198
sange,5187
valgt,5160
mænd,5158
sogne,5158
haft,5157
familien,5154
grad,5151
museum,5136
officielle,5117
sangen,5115
niels,5099
viser,5083
øen,5080
yderligere,5073
dels,5069
betyder,5066
trods,5051
udgav,5044
direkte,5033
folk,5030
hjælp,5027
on,5025
city,5014
ret,5007
oprindeligt,5005
professor,4998
du,4995
steder,4991
præsident,4986
sang,4982
kirken,4981
bandet,4969
indeholder,4959
leder,4940
svenske,4939
pr,4929
fået,4925
sommer,4898
enkelte,4896
fortsatte,4888
herunder,4882
venstre,4855
tidspunkt,4848
jens,4845
nær,4841
tage,4837
høj,4834
familie,4831
fx,4814
holdt,4810
fundet,4785
unge,4777
karl,4776
samlet,4762
hær,4759
anvendes,4749
vand,4733
floden,4717
bag,4706
norske,4698
ældre,4698
byens,4694
league,4690
give,4682
grundlagt,4677
rundt,4676
hurtigt,4674
udvikling,4666
langs,4660
university,4656
tæt,4637
ældste,4631
tale,4628
kvinder,4617
nyt,4603
fodboldspiller,4589
gammel,4585
lange,4579
berlin,4570
johan,4567
muligt,4564
komme,4562
ord,4546
andersen,4540
flyttede,4537
gå,4522
stift,4516
par,4515
igennem,4509
cup,4499
vej,4490
you,4484
politisk,4483
modtog,4475
ejerlav,4455
oprindelige,4437
david,4429
østrig,4419
nok,4414
viborg,4409
serie,4408
særlig,4397
jorden,4391
års,4391
arbejder,4390
svensk,4390
stammer,4385
kirker,4373
instrueret,4366
regering,4355
bestod,4350
fast,4345
indenfor,4340
politiker,4329
vundet,4327
live,4325
vestlige,4314
ligeledes,4311
love,4302
startede,4298
spanien,4292
tal,4279
lov,4272
udkom,4263
general,4261
jørgen,4252
samarbejde,4250
hinanden,4241
titlen,4241
altid,4233
leksikon,4231
finde,4226
bedre,4217
robert,4216
spille,4204
art,4203
mindst,4187
verdens,4185
typisk,4181
selvom,4175
landets,4159
dets,4147
bøger,4147
it,4142
arter,4136
biografisk,4129
arbejdede,4129
hjem,4121
teater,4119
martin,4119
kina,4111
com,4102
syv,4095
kongen,4090
herefter,4082
viste,4066
paul,4063
starten,4061
næste,4060
red,4038
imod,4031
kampen,4030
direktør,4029
hører,4028
ene,4027
hvoraf,4012
succes,4006
sådan,4003
version,3991
sæsonen,3985
james,3983
tilfælde,3981
st,3966
nævnes,3961
normalt,3958
norsk,3946
lokale,3944
lavet,3938
dannebrog,3938
sat,3920
såkaldte,3910
system,3906
kommunen,3902
overtog,3900
vendte,3900
national,3896
valgte,3893
støtte,3885
skiftede,3873
marie,3871
mor,3861
resten,3857
russiske,3846
sankt,3842
kraks,3838
vigtigste,3832
finder,3831
japan,3821
kommuner,3811
lykkedes,3802
roskilde,3797
fly,3794
spil,3791
styrker,3790
kultur,3786
sendt,3780
egne,3767
eget,3764
sommeren,3759
william,3758
lave,3743
frederiksberg,3741
johannes,3739
omfatter,3729
parti,3728
enten,3724
baggrund,3722
stand,3722
dvs,3717
forlag,3716
person,3712
oprettet,3703
hvordan,3697
grupper,3695
band,3694
gjort,3691
øvrige,3691
skibe,3690
landshold,3687
vejen,3677
årets,3676
enkelt,3674
hus,3670
bogen,3665
uddannelse,3659
givet,3651
runde,3638
røde,3638
otte,3638
holdet,3638
kilometer,3637
samlede,3634
george,3632
www,3627
em,3622
adskillige,3613
primært,3609
anlæg,3606
midten,3604
per,3597
und,3597
centrum,3586
højeste,3584
cm,3581
sidst,3579
opnåede,3570
hvide,3566
stærkt,3566
historiske,3566
optaget,3556
politik,3551
årene,3550
altså,3549
kaldt,3543
guld,3543
slesvig,3540
bror,3539
indre,3539
if,3536
gode,3528
dannet,3523
island,3523
rock,3519
guitar,3513
kunst,3511
god,3508
historisk,3505
anders,3502
finland,3502
geografi,3497
fælles,3494
forsøg,3492
indflydelse,3490
region,3488
county,3484
vist,3482
løber,3475
bedst,3473
regeringen,3472
formål,3470
afsnit,3462
larsen,3457
lars,3456
høje,3454
hvorefter,3451
is,3447
tjeneste,3443
finalen,3436
derudover,3434
olympiske,3427
boede,3426
rige,3422
radio,3414
roman,3410
højere,3401
udviklet,3394
spillere,3386
efterhånden,3379
begravet,3374
spor,3370
richard,3370
ansat,3369
endte,3367
stilling,3361
ser,3350
skete,3346
die,3328
rom,3325
måneder,3323
hørte,3315
tropper,3311
mulighed,3311
selskab,3299
arbejdet,3298
ole,3298
des,3294
maria,3290
måske,3289
forlod,3280
skolen,3280
united,3276
østlige,3265
anna,3263
cirka,3263
begivenheder,3260
skuespillere,3254
opkaldt,3252
ansatte,3251
polen,3250
eu,3247
virksomheder,3239
afholdt,3239
særligt,3233
fortsat,3233
orkester,3233
randers,3232
point,3224
links,3224
