word,count
der,3843770
die,3116891
und,2844881
in,2089229
von,1475393
im,1045214
den,1029365
des,1014795
mit,911047
das,897974
als,677964
zu,673138
dem,671062
für,638204
auf,632858
eine,630548
ist,608069
ein,567457
wurde,542882
sich,526414
er,503490
auch,485799
an,440011
nach,437483
aus,402013
bei,390550
am,364939
war,331925
bis,331418
durch,326100
es,325596
einer,324615
sie,318829
werden,314667
oder,304903
zum,292846
wird,291745
nicht,284360
sind,271480
zur,262759
einem,231221
über,228801
um,222269
einen,204119
dass,195437
wie,188640
wurden,186758
unter,176345
vor,172530
nur,160598
isbn,154562
vom,147075
diese,144566
seit,136545
so,134915
noch,132309
aber,127203
zwischen,123620
eines,123490
ab,121001
jahr,119979
sowie,119979
the,119926
dieser,118903
seine,118402
stadt,112470
sein,111252
deutscher,109538
waren,108575
of,108295
hat,108143
jahre,106616
de,105787
zwei,104874
seiner,103597
hatte,102980
kann,100947
man,100433
etwa,94225
jedoch,91840
zeit,90835
gegen,89818
jahren,88776
da,88146
ersten,82199
jahrhundert,81626
deutschland,80571
deutschen,80549
us,79475
während,79077
mehr,79016
heute,77281
berlin,75860
ihre,75539
geschichte,74520
können,74340
literatur,72777
teil,72455
drei,72146
weblinks,71986
wieder,69774
haben,68752
deutsche,68187
gemeinde,68174
siehe,67514
bereits,67327
beim,65609
gibt,65259
damit,65122
einzelnachweise,64524
erste,63994
später,63935
anderen,62890
alle,62644
dabei,60802
seinen,59504
ende,59486
mai,59428
august,58925
dann,58363
weitere,56512
seinem,55857
januar,55211
band,55175
wenn,54394
ihrer,54191
liegt,53603
oktober,53537
dort,53434
ihm,53232
märz,52865
juli,52453
bzw,52423
verlag,52217
sehr,52198
dezember,52177
april,51918
hier,51915
september,51892
keine,51584
juni,51409
leben,51305
dies,51281
konnte,49217
ihr,48798
november,48263
allem,48188
neben,47950
diesem,47590
ohne,46816
was,46466
ort,46457
kam,45777
deren,45612
and,45382
münchen,45319
km,44784
ii,44754
bezeichnet,44677
kirche,44574
neue,44397
erst,44192
gab,44086
hrsg,44076
beiden,43972
dessen,43740
selbst,43543
februar,43367
vier,43202
zweiten,43133
andere,42634
dieses,42150
politiker,41487
sondern,41345
friedrich,41164
menschen,40913
st,40908
ihren,40577
immer,40262
einige,40186
schon,40137
allerdings,39991
großen,39942
ihn,39658
ebenfalls,39640
viele,39196
neuen,38804
zusammen,38451
amerikanischer,38082
große,37995
mitglied,37889
worden,37714
jahrhunderts,37603
denen,37543
wo,37501
universität,37421
karl,37321
zunächst,37020
wegen,36927
bekannt,36665
namen,36627
aufgrund,35851
dazu,35449
könig,35197
steht,34990
beispiel,34939
verwendet,34728
landkreis,34207
meist,34189
oft,34142
statt,34123
new,33861
zurück,33737
sei,33308
also,33053
art,32791
stand,32776
mann,32660
kreis,32626
genannt,32562
hans,32508
anderem,32503
besteht,32335
johann,32293
geboren,32255
befindet,32073
film,31999
form,31843
erhielt,31789
wilhelm,31569
insbesondere,31480
rund,31480
mehrere,31427
land,31399
erstmals,31282
diesen,30991
ins,30864
peter,30769
gilt,30663
sollte,30031
heinrich,29316
beispielsweise,29307
wien,29272
österreich,29261
außerdem,28902
daher,28886
hatten,28608
fünf,28571
soll,28464
chr,28361
entwicklung,28357
nachdem,28221
la,28120
bedeutung,27915
welt,27806
führte,27755
besonders,27736
deutsch,27673
platz,27522
usa,27337
wobei,27224
familie,27222
sohn,27043
kommt,26992
liste,26865
je,26827
tod,26787
weiter,26775
frankreich,26693
nun,26643
weiteren,26068
neu,25839
gegründet,25805
muss,25781
frankfurt,25658
staaten,25652
zudem,25621
seines,25528
letzten,25473
innerhalb,25417
welche,25086
personen,25038
gebiet,24964
name,24894
anfang,24868
insgesamt,24641
fast,24571
englisch,24444
bereich,24321
paul,24272
häufig,24199
gehört,24118
weil,24106
davon,24100
ihrem,24056
schweiz,23982
unternehmen,23954
meter,23918
stark,23892
john,23884
ca,23883
millionen,23882
gruppe,23841
gegenüber,23591
schloss,23331
mitte,23298
gesellschaft,23277
europa,23241
titel,23187
folge,23101
führt,23092
einwohner,23030
schließlich,22994
musik,22993
schriftsteller,22915
begann,22869
doch,22844
allen,22823
bevölkerung,22778
hamburg,22743
rolle,22681
straße,22641
krieg,22604
franz,22599
person,22569
auflage,22328
stuttgart,22276
werk,22267
teilweise,22162
finden,22158
prozent,22122
fußballspieler,22100
michael,22097
alten,22080
frau,22078
nr,21990
ging,21963
jeweils,21909
verschiedenen,21877
kaiser,21868
georg,21806
sowohl,21795
möglich,21788
erhalten,21781
begriff,21780
york,21756
paris,21638
fand,21595
gemeinden,21588
lange,21532
kultur,21437
findet,21350
meisten,21320
verschiedene,21271
zwar,21263
kurz,21158
konnten,21146
ludwig,21140
iii,21133
gehörte,21004
reich,20960
nahm,20882
komponist,20869
seite,20827
regie,20805
schweizer,20761
schauspieler,20715
thomas,20635
darauf,20601
region,20597
weltkrieg,20518
zahlreiche,20514
rahmen,20487
sechs,20440
baden,20432
eigenen,20416
somit,20346
lassen,20334
damals,20311
beide,20297
museum,20280
köln,20246
london,20230
arten,20202
danach,20198
politik,20184
bau,20112
kinder,19980
habe,19950
heutigen,19935
französischen,19928
musste,19917
eingesetzt,19869
folgenden,19865
dadurch,19810
entstand,19805
aller,19794
sprache,19788
bezeichnung,19611
kein,19576
maria,19512
vielen,19460
gut,19397
insel,19346
wasser,19343
ließ,19337
ddr,19146
main,19117
werke,19054
mal,19041
haus,19038
blieb,19032
