word,count
de,111544
ra,39848
yew,36748
bıvênên,23380
komunê,22243
lista,20659
ca,17772
dewleta,17237
wılayetê,16335
ke,16249
ngc,15563
no,12885
mıntıqaya,12662
fransa,12611
gêno,12348
xo,11370
be,10813
miyan,10457
çımey,10171
biyo,9991
sero,9932
esto,9288
teberi,8749
nıfusê,8641
zi,8423
nıfus,8363
komune,8250
gorey,8210
komunanê,8051
asmênşınasiye,7976
gıreyê,7943
pêroyi,7856
cısım,7613
terefê,7507
grafikê,7379
grand,7361
neweyê,7360
katalogê,7359
galaksiye,7235
esti,7022
na,6995
komuna,6962
keşıf,6918
asmêniyo,6842
cısmê,6752
xızmete,6686
cısmanê,6678
the,6483
embıryani,6176
asmên,6161
nebula,6072
pulsar,6070
dı,5972
qezay,5941
sistemê,5906
rê,5816
cı,5751
et,5674
diagrami,5666
awe,5503
la,5377
dewe,5353
şebekey,5241
kanalizasyoni,5077
estare,4886
zıwanê,4706
ekonomiye,4523
sûkê,4489
komê,4447
estareyanê,4349
saint,4264
anciyao,4060
seran,3999
esta,3923
dewa,3784
internet,3775
interneti,3762
sur,3744
serra,3623
of,3615
serran,3559
ki,3304
ya,3297
xeta,3278
merdumê,3211
gêna,3196
haute,3156
beno,3120
dewê,3054
moselley,3048
elektriki,2963
zaf,2926
loire,2921
tırkiya,2908
belediyey,2886
bi,2861
cayê,2859
sûka,2840
ey,2830
dero,2796
eyaletê,2789
bandıra,2787
estê,2770
le,2766
ma,2738
pas,2724
ıne,2672
euphorbia,2635
and,2518
kı,2509
wayiye,2482
to,2435
elektrik,2424
keno,2400
rhini,2379
biyê,2376
en,2363
bena,2363
marney,2362
spanya,2287
france,2281
tırki,2250
kerdo,2210
ziraet,2195
cısımê,2161
çıniyo,2157
ngılızki,2148
terbiyet,2147
inan,2115
çıme,2108
qezanê,2093
seba,2087
heywanweyikerdış,2083
nameyê,2071
awa,2065
vosgesi,2039
gênê,1984
in,1979
meurthe,1974
km,1968
dınya,1966
erdê,1949
nê,1948
dormey,1940
kerda,1910
bı,1900
zazaki,1872
raya,1823
ser,1791
calaisi,1786
sewiyaya,1769
seine,1764
bas,1763
ratneyao,1744
serêna,1739
hauts,1730
diyagrami,1707
resayış,1704
rhône,1666
kenê,1665
mektebê,1661
auvergne,1637
aisney,1609
mekteb,1606
mahla,1599
pê,1582
labelê,1560
kodê,1544
şarê,1535
pays,1527
namey,1522
kay,1494
her,1488
verên,1470
jû,1460
do,1445
merdışi,1434
biyayışi,1432
zey,1431
ardennesi,1396
postexane,1366
mı,1365
seramey,1364
da,1362
yeno,1356
miyani,1343
şınê,1340
top,1299
haut,1299
merkez,1288
elektrikê,1283
les,1270
vanê,1268
jenerike,1259
hetê,1258
jeneriko,1257
kerd,1242
filmê,1238
asfalt,1237
bıwane,1235
manchey,1194
level,1185
telebey,1165
referansi,1154
alpes,1147
wanenê,1141
abıriyayo,1098
asmêni,1092
almanya,1086
tewr,1085
lès,1066
asmênio,1054
klubê,1037
merkezê,1024
pêro,1019
zımey,1014
ebe,1014
you,1009
astronoman,1009
cısımanê,1003
yê,1001
meusey,1001
on,998
siyasetkarê,994
seserra,989
taxımestare,985
loir,982
tışrino,981
ve,979
mperatoriya,979
des,978
yo,977
for,973
dest,972
vıraziyao,965
dewletanê,964
hem,960
generic,929
domains,928
valensiya,925
qısey,923
ro,918
tarixê,917
piya,913
is,907
anciyaya,903
new,892
calaisiya,891
resmi,888
eni,882
ewropa,875
dıma,871
belediyaya,869
qandê,866
merdê,864
biya,862
vaciyeno,859
aubey,856
audey,853
taxımestareyê,852
el,846
john,844
kantonê,843
talya,838
benê,834
zıwananê,830
amerikayê,827
yan,823
ez,817
kaykerê,812
heta,801
ine,799
xeylê,785
kantonanê,785
binan,769
paytextê,762
kw,760
belediyay,753
ameyo,752
kanada,750
mektebo,741
xü,729
