word,count
jo,10805
na,4369
se,3459
wót,3160
su,2812
do,2225
až,1862
za,1845
ako,1612
teke,1567
město,1191
we,1162
ze,1110
pó,1100
pśi,1052
abo,1016
wótkaze,1003
sedlišćo,984
był,980
rěcy,954
serbski,907
ma,900
lěśe,864
nimski,849
roź,841
pólskej,769
isbn,755
wón,730
us,682
spisowaśel,677
nožki,641
eksterne,639
politikaŕ,634
toś,625
wótkaz,619
ale,608
to,605
pólski,582
rěc,564
km,558
něźi,553
kótarež,549
žrědła,530
pśez,527
grajaŕ,527
jano,525
muž,507
wobydlarjow,496
lažy,495
der,492
de,490
bok,483
jogo,483
luźi,477
wum,474
kótaryž,471
rostlina,467
rostliny,462
stat,442
swójźby,442
galerija,438
rostlinow,434
kwiśonki,425
pś,420
lěta,418
maja,405
togo,403
junija,400
europje,398
cm,397
apryla,385
kaž,383
łopjena,376
und,370
měrca,367
wóna,366
januara,365
mjazy,364
amerikański,358
how,356
města,354
wó,352
bydliło,351
jan,349
kótaraž,348
in,344
oktobra,343
wopis,342
nim,340
februara,340
budyšyn,336
stawizny,334
julija,333
tak,332
stolica,322
nimska,322
mě,322
nowembra,321
wokrejsu,320
awgusta,318
była,317
septembra,316
rozšyrjenje,315
wucabnik,313
decembra,309
nad,306
prezident,306
łužycy,303
płody,295
cas,293
wóni,291
wjele,286
bu,281
pak,278
lětach,278
geografija,274
stej,274
the,272
republika,271
mimo,268
dośěgnu,266
mjaz,265
zwězk,265
wokoło,265
stojnišćo,262
nejwětše,260
rod,258
wěcej,256
dośěgnjo,254
źěl,248
die,247
pód,245
zwětšego,244
wužywanje,242
maju,240
spiwaŕ,239
dłujkosć,238
faraŕ,238
syn,234
njejo,232
kraj,231
nimskej,225
basnikaŕ,225
jeje,220
cesto,220
wjelgin,219
hyšći,219
serbska,218
cłonk,212
někotare,212
pśed,209
prědny,206
tam,205
dolnoserbski,205
wójwodstwje,205
serbske,202
kenž,201
wusokosć,200
aziji,199
druge,199
spohn,198
dokulaž,197
dolnej,196
jich,195
tom,195
ten,195
słuša,192
wužywa,192
dla,191
gmejnje,190
da,189
rěcow,186
wopśimjejo,185
of,185
pódpołnocnej,184
procowaŕ,183
lěto,183
družyny,182
źinsa,181
bom,181
pśełožowaŕ,180
jaden,180
serbow,178
byli,178
pśikład,177
te,176
literatura,175
móžo,174
americe,173
africe,173
granicujo,172
muzikaŕ,171
ribes,171
městno,170
pódpołdnjowej,169
serb,168
było,168
kraja,167
naturführer,167
domowiny,166
myta,165
pla,165
für,165
pśedewšym,165
źěle,164
serbskich,163
hungorskej,163
komponist,161
družyna,161
pólska,160
bramborskej,159
von,159
jazor,158
stoje,157
myto,157
mórjo,156
rěka,156
awtor,156
galium,154
južo,152
kulturny,152
nulu,151
źož,151
raz,150
pódpołdnju,150
srjejźnej,149
normalneju,149
kralojstwo,149
rusojska,149
łužyca,148
kwiśo,148
lět,148
jurij,148
pódpołnocy,146
spiwaŕka,146
słowa,145
pódzajtšu,145
amerikanaŕ,144
kupy,142
amerikańska,142
grajaŕka,142
serbskego,140
mjaztym,139
mm,139
płod,139
nowy,138
kupa,137
ameriski,137
serbskeje,136
britiski,136
wjas,134
źeń,134
nejwuše,133
was,133
powěda,133
tšojenja,133
kosmos,132
zemje,132
pólskeje,131
filmowy,131
ameriki,130
rosćo,130
dolnoserbskeje,129
pśisamem,129
kral,129
tśi,129
mórja,129
narodniny,129
manihot,129
togodla,128
ta,126
aby,126
kupka,126
domowina,125
nimskeje,124
slědujuce,124
někotarych,124
póchada,124
tym,123
wjelike,123
pótom,123
bźez,123
mógu,123
forma,123
pódwjacorje,122
sowjetski,122
des,121
www,121
lětstotk,121
wobstoj,120
var,120
knigły,119
gaž,119
strona,118
fryco,118
mólaŕ,118
gmejna,118
kupki,117
sejma,116
družynow,116
stolěśa,116
malus,116
družynami,115
amerika,115
blüht,114
francojski,114
blisko,113
pěś,113
das,113
pśeśiwo,112
verlag,112
źiwadłownik,112
cardamine,112
zwězkowy,111
žona,111
glědaj,111
drugich,111
ja,111
la,110
wójewódstwje,110
aichele,110
golte,110
bechtle,110
denn,110
quercus,110
strony,109
łopjeńka,109
republiki,108
wumarła,108
publicist,108
lepidium,107
něnto,106
engelski,106
pózdźej,105
cdu,105
comž,105
tych,105
jolic,105
wokrejs,105
tu,105
byś,105
rozšyrjona,105
pódpołdnjowa,104
komikaŕ,104
ii,104
dwa,104
wósebnje,103
zjadnośonych,102
nic,102
rusojske,102
im,102
kilometrow,102
wjeliki,101
pón,101
dłujkem,101
jadna,101
new,101
wšykne,100
http,100
mórju,100
styri,99
pśedsedaŕ,99
casu,99
głowne,99
nóžki,99
prědne,99
pódzajtšnej,99
wužywaju,98
subsp,98
vaccinium,98
krotkem,97
groni,97
źěłał,96
měsćańske,96
gromaźe,96
pśecej,96
pódpołnocna,96
wustupujo,96
słownik,95
statow,95
nejwětšy,95
swěśe,95
źělu,95
wumrěśe,95
zajtšu,94
kótarychž,94
formy,94
słowje,94
duchowny,93
boki,93
nakład,93
milionow,93
žrědło,93
słowo,93
nosaŕ,93
režiser,93
pótakem,93
wot,93
bäume,93
meridian,93
drugim,92
spisowaśelka,92
pawoł,92
žywjenja,91
jsy,91
rusojskej,91
pólske,91
sträucher,91
ku,90
stawiznaŕ,90
pflanzenführer,89
francojska,89
je,89
dalej,88
dweju,88
knigłow,88
dwě,87
wjacorje,87
drugi,87
błota,87
słušaju,87
et,87
česki,87
šyrokosć,87
kerk,87
rěcywědnik,86
wjelika,86
centrum,86
ex,86
něga,85
brazilska,85
sakskej,85
dajo,85
rěcach,84
dalšne,84
njasu,84
chóśebuz,84
casnik,84
běłe,84
akle,83
českej,83
góra,83
lnd,83
žurnalist,83
mil,83
boku,83
bomy,83
chóśebuzu,82
publikacije,82
serbskem,82
oficialne,82
ludowe,82
dłujke,82
nejwěcej,82
metrow,82
zelene,82
po,82
casa,82
njejsu,82
wódy,82
šołta,81
źělach,81
dnjow,81
rusojski,81
filmowa,81
berlin,80
sprjewja,80
stoj,79
pódpołnocneje,79
ca,79
wobydlaŕstwo,78
politikaŕka,78
tej,78
oceanje,78
sowjetska,78
europy,78
samo,78
ocimum,78
mjenim,77
budyšynje,77
al,77
dwěma,77
tribus,77
achillea,77
zwězkowego,76
historiski,76
granicy,76
rěki,76
namaka,76
resp,76
wše,76
systematika,76
biologie,76
górkac,76
kraju,75
eksistěruju,75
płaśi,75
serbskej,75
wjerchojstwo,75
ingrid,75
mjenja,75
nobelowe,75
ranunculus,75
dolnoserbska,74
pól,74
źo,74
co,74
źiwadłownica,74
mały,73
by,73
über,73
statny,73
górnej,72
dr,72
naroźił,72
nowa,72
unterwegs,72
oceana,72
měł,72
helmut,72
góry,72
dnja,71
łužyce,71
zasej,71
kupow,71
mjasec,71
producent,71
kósmate,71
schauer,70
caspari,70
běła,70
což,70
kótarejž,70
john,70
wylem,70
swójźba,70
uniwersiśe,69
historiske,69
dłujko,69
mórjom,69
alfabet,69
źiśi,69
nowe,69
družynu,69
njaso,68
werby,68
pódpołnoc,68
literatury,67
ministaŕ,67
nakładnistwo,67
wobraze,67
som,67
peter,67
meyers,67
pomorskem,67
górnoserbski,66
redaktor,66
wjelikosć,66
boka,66
małe,66
lexikon,66
taschenlexikon,66
bänden,66
osiedle,66
kóńca,65
narodny,65
sakska,65
lětstotka,65
wóno,65
pol,65
znutśika,65
hsb,65
tež,64
litawska,64
teritorij,64
ludowy,64
roda,64
pódzajtšo,64
prunus,64
dostał,63
dolna,63
kupje,63
literaturu,63
mócnarstwo,63
kito,63
lubjej,63
boce,63
ministaŕski,63
žywjenje,62
eksistěrujo,62
znate,62
prědna,62
film,62
cucumis,62
źěła,61
gu,61
ocean,61
žywy,61
and,61
francojskeje,61
kak,61
jezusa,61
york,61
wokrjesu,61
šule,60
marja,60
zemi,60
pódwjacornej,60
witkojc,60
zur,60
bramborska,60
spd,60
wšakich,60
wótergi,60
słyńca,60
kopaŕ,60
gałuzy,60
swóju,59
tomu,59
swěta,59
stolěśu,59
awgust,59
wójwodstwo,59
žołte,59
kwiśonkowe,59
lipsku,58
nimskego,58
italski,58
lud,58
žywe,58
formje,58
nejpjerwjej,58
awstriski,58
nan,57
wójnje,57
serbsku,57
zjadnośone,57
gmejny,57
rus,57
karl,57
serby,57
jakub,57
ukrainje,57
html,57
barlinju,56
dolnoserbšćiny,56
web,56
awstriska,56
wójny,56
chorwatska,56
adonis,56
staty,55
informacije,55
dom,55
wažne,55
měła,55
com,55
měsće,55
ukraina,55
rěce,55
zele,55
nysa,55
wušej,55
an,55
nobelowego,55
stata,55
carny,55
cerwjene,55
sekcija,55
dolnoserbske,54
kronowe,54
wo,54
mała,54
chóśebuza,54
japańska,54
francojskej,54
jadnogo,54
mloko,54
wokale,54
rozdźělne,54
wšych,54
źěło,53
studěrował,53
nimske,53
teje,53
kótaremž,53
krotke,53
lěcrownož,53
system,53
kongo,53
ćišinskego,53
šesć,53
sakskego,53
lěsach,53
dc,53
šyriny,53
arnošt,52
towaristwa,52
mórskim,52
znaty,52
słowow,52
stare,52
zachopjeńku,52
wóda,52
ist,52
małke,52
mak,52
wopśimjeju,52
botanica,52
šyrina,52
hynźi,52
basni,51
katolski,51
pódpołdnjoweje,51
laže,51
nimsko,51
luźe,51
sobu,51
nowego,51
atlantiskem,51
mjadwjeź,51
richard,51
krejza,51
euphorbia,51
krejze,51
bamž,51
pśistawom,50
górne,50
pódpołnocnem,50
pódwjacor,50
pšawa,50
nejwětša,50
domownja,50
rěcneje,50
arabšćina,50
pratyje,50
opus,50
mln,49
běły,49
tśich,49
europa,49
rady,49
martin,49
chinska,49
rědko,49
gerat,49
pópšawem,49
sy,49
wšak,49
lěśu,49
pitśku,49
buchu,49
sorty,49
droga,48
barliń,48
rowno,48
rumje,48
pódla,48
italska,48
licba,48
maria,48
móžno,48
ein,48
wužywaś,48
ju,48
pomocu,48
ty,48
den,48
jezus,48
antologija,48
drugej,47
kralojstwa,47
sedło,47
žeńske,47
regionje,47
irska,47
srjejźnego,47
sedym,47
rusojskeje,47
dłujki,47
jadnom,47
azije,47
rozdźělnych,47
serbach,47
pflanzenporträts,47
jajojte,47
maśicaŕ,47
org,46
wobydlarjami,46
běžy,46
letiska,46
filozof,46
wuběrk,46
koch,46
atd,46
paul,46
indiskej,46
kóńcowku,46
noty,46
krona,46
civitates,46
kšomje,45
swójogo,45
šuli,45
pod,45
nutśikokrajny,45
českeje,45
górna,45
serbiski,45
swój,45
nich,45
twórje,45
semjenja,45
so,45
beno,45
měto,45
twóri,45
prezidenta,45
historikaŕ,45
cerwjeny,45
barcelona,45
afriki,44
górnoserbšćiny,44
gramatika,44
kuždy,44
wósobiny,44
kupowy,44
bydli,44
auf,44
mjeńšyna,44
sad,44
michał,44
zu,44
wokrejsa,44
mozilla,44
gusto,44
komisije,44
šyški,44
sp,44
dlininy,44
áppiu,44
smjerśi,43
mina,43
muske,43
granica,43
carna,43
rozšyrjone,43
česka,43
zachopjeńk,43
tekst,43
tysac,43
casnika,43
brjoze,43
wjelikie,43
carne,43
krajach,43
rum,43
stanisław,43
klima,43
britiska,43
pódobna,43
rožowych,43
łopjeńkow,43
nulowy,43
papaver,43
wud,42
dolneje,42
towaristwo,42
dypk,42
pisał,42
wósebne,42
slawist,42
sakskeje,42
druga,42
pl,42
kótaregož,42
stara,42
mejstaŕ,42
casnikaŕ,42
wjelikich,42
region,42
kněžy,42
mk,42
kaliforniska,42
wjelkowe,42
wójwoda,42
che,42
nejniše,41
załožaŕ,41
uniwersita,41
mit,41
christian,41
njewótwisny,41
europskeje,41
rozdźěl,41
měli,41
józef,41
wójna,41
robert,41
michael,41
herbert,41
formu,41
pismik,41
mi,41
veronica,41
pśestajił,40
ludowědnik,40
stronach,40
wobydlaŕstwa,40
budyšin,40
wudawaŕ,40
krajow,40
kněžaŕstwa,40
sedleńskem,40
wersija,40
don,40
pódwjacorna,40
premierminister,40
pśestrěń,40
pad,40
architekt,40
handrij,40
general,40
ludowa,40
un,40
astronomija,40
wótpowědujo,40
pśijaśel,40
sakski,40
firefox,40
pódswójźby,40
lema,40
corylus,40
krotkozajtšnej,39
zwězkoweje,39
internetowe,39
wšake,39
sprache,39
krajnego,39
źaseś,39
stary,39
kóńc,39
wětšyna,39
el,39
prowincy,39
wjacor,39
roman,39
wědomnostnik,39
nimc,39
rěcam,39
kóńcu,39
nowak,39
li,39
pśikłady,39
warmińsko,39
mazurskem,39
hans,39
serbiska,39
wustupuju,39
