word,count
སྤྱི་ལོ་,1126
ལུ་,543
དེ་ལས་,541
དེ་ཡང་,378
།།,331
དེ་མ་ཚད་,232
༄༅།,201
པའི་ནང་,162
དུས་རབས་,149
པའི་ཚེས་,136
སྤྱི་ཟླ་,136
ལས་,131
ཤོག་གྲངས་,130
༢༠༠༨,128
དད་པའི་ས་བོན།,125
གནམ་ལོ་མེད།,122
ཁུངས་གཏུག།,122
ཐིམ་ཕུག།,119
དེ་བཟུམ་སྦེ་,108
༡༡,107
གཞན་ཡང་,106
རྒྱབ་རྟེན།,106
དང་,105
༡༠,104
ཨིན་རུང་,102
༡༢,99
ལྷག་པར་དུ་,97
༡༥,94
དེ་འབདཝ་ལས་,85
༢༠༡༣,85
རྒྱལ་ཁབ,75
གི་ལོ་ལུ་,75
༢༠༡༥,74
༢༠༠༩,68
༢༠༡༠,65
༡༧,64
པའི་སྤྱི་ཚེས་,64
གནས་ཡིག་ཀུན་ཕན་ལམ་སྟོན།,63
ཚུན་,62
ཤུལ་ལས་,62
༢༠༠༣,62
འབྲུག་རྒྱལ་ཁབ་ནང་,61
༢༠༡༢,60
ཀེ་ཨེམ་ཀྲི་དཔེ་སྐྲུན་ཁང་།,60
༡༤,58
༢༠༡༧,58
༢༠༡༨,57
ཀུན་བཟང་འཕྲིན་ལས།,57
༢༠,56
༡༣,56
དེ་བསྒང་,55
།སེམས༴,54
༢༠༠༥,53
༢༠༠༦,53
འབྲུག་རྒྱལ་ཁབ་འདི་,52
༡༨,52
༡༩༩༩,52
ཟླཝ་,52
གནམ་ལོ་མེད་,52
ལྷ་ཁང་འདི་,50
ཡོདཔ་ཨིན།,45
དཔེར་ན་,45
།ལམ༴,44
རབ་བྱུང་,43
༢༠༢༡,43
ཟླ་,42
ད་རུང་,42
༡༩,41
རྒྱལ་ཁབ་ནང་ལུ་,41
པ་,39
རྫོང་ཁག་འདི་ནང་,39
ད་རེས་,37
།སྣང༴,37
༡༦,36
ད་རེས་ནངས་པ་,36
མི་དབང་མཆོག་གིས་,36
ཏདྱ་ཐཱ།,36
པའི་ནང་ལུ་,35
ཀི་ལོ་མི་ཊར་,34
༣༠,34
༢༡,34
ལུ།,34
༢༥,34
དགུང་ལོ་,34
འབྲུག།,34
ཧེ་མ་,34
༢༠༠༤,33
༢༠༠༧,33
གིས་,33
དབུ་ཁྲིད་ཀྱི་གོ་འཕང༌།,32
མི་དབང་རྒྱལཔོ།,32
བྱ་སྒོ།,32
སྐྱེ་ནི།,32
འཆི་བ།,32
ཁ་སྐོང༌།,32
༢༠༡༤,32
འདི་,31
ཡང་ན་,31
༢༠༢༢,31
སོ་ཡ་ལ།།,31
ཨ་པ་རི་མི་ཏ་པུ་ཎྱེ་ཨ་པ་རི་མི་ཏ་པུ་ཎྱེ་ཛྙཱ་ན་སམྦྷ་རོ་པ་ཙི་ཏེ།,31
༢༠༠༡,30
ཚེས་,30
༢༠༢༠,30
སྲོལ་འཛིན་ལས་ཁུངས།,30
འདི་བཟུམ་སྦེ་,29
བརྒྱ་ཆ་,29
སྡེ་སྲིད་མཆོག་,29
ཏ་ཐཱ་ག་ཏཱ་ཡ།,29
མི་དབང་འབྲུག་རྒྱལ་བཞི་པ་མཆོག་གིས་,28
ཐིམ་ཕུ།,28
དང་པ་ར་,28
རྒྱབ་རྟེན་དཔེ་ཐོ།,28
ཀྱེེ༑,28
ཧཱུྃ༑,28
༤༠,27
༢༠༡༡,27
དང་པ་,27
གཉིས་པ་,27
ཨ་རོགས་ཚོ།།,27
ཨེ་ཤི་ཡ,26
པར་རིས་བར་འཁྱམས།,26
དེའི་ཤུལ་ལས་,26
སྲིད་བློན།,26
རྗེ་མཁན་ཁྲི་རབས་,26
རི་འདི་གཡང་གི་རི་ལ།།,26
།ཨོཾ་ན་མོ་བྷ་ག་ཝ་ཏེ།,26
ཨ་པ་རི་མི་ཏ་ཨཱ་ཡུཛྙཱ་ན་སུ་བི་ནིཉྩི་ཏ་ཏེ་ཛོ་རཱ་ཛཱ་ཡ།,26
ཨརྷ་ཏེ་སམྱཀྶཾ་བུདྡྷཱ་ཡ།,26
ཡོ་རོབ་གླིང་,25
ལོ་རྒྱུས།,25
ཟིན་ཐོ་འམ་དཔྱད་གཞི།,25
ད་དུང་གཟིགས།,25
༤༥,25
འབྲུག་རྒྱལ་ཁབ་ནང་ལུ་,25
ཡོདཔ་དང་,25
མི་སྡེ་ནང་ལུ་,25
གིས་འབད་བ་ཅིན་,25
དེ་དང་གཅིག་ཁར་,24
ཁོར་ཡུག,24
རྒྱལ་ཁབ་ནང་,24
དེ་གི་ཤུལ་ལས་,24
མཐོ་ཚད་མི་ཊར་,24
༡༩༧༢,24
རྫོང་ཁག་འདི་,24
ཨོཾ་པུ་ཎྱེ་པུ་ཎྱེ་མཧཱ་པུ་ཎྱེ།,24
།ཧཱུྃ༑,24
མགྲོན་ཁང་།,23
ལྗོངས་རྒྱུ།,23
དུས་ཆེན།,23
དཔྱད་གཞིའི་དཀར་ཆག།,23
འདི་ཡང་,23
ལོ་ལུ་,23
༡༩༨༦,23
༢༢,23
སྡེ་སྲིད་མཆོག་གིས་,23
ལོ་ངོ་,23
འབྲུག་གི་ལས་སྡེ་དང་ཡིག་ཚང་།,23
ཀུན་བཟང་ཕྲིན་ལས།,23
ཨོཾ་སརྦ་སཾ་སྐ་ར་པ་རི་ཤུདྡྷ་དྷརྨ་ཏེ་ག་ག་ན་ས་མུངྒ་ཏེ་སྭ་བྷཱ་ཝ་བི་ཤུདྡྷེ་མཧཱ་ན་ཡ་པ་རི་ཝཱ་རེ་སྭཱཧཱ།,23
ཡུལ་ཚོ།,22
མི་སྣ།,22
ཕྱི་ཕྱོགས་དྲ་མཐུད།,22
རང་ཟླ་,22
གསུམ་པ་,22
ད་ལྟོའི་བར་ན་ཡང་,22
ལོ་མེད,22
ཧཱུྃ༔,22
སྭཽ།,22
འབྲུག་ཡུལ་,21
མིང་ཐོགས་ཚུལ།,21
འབྲུག་གི་རྫོང་ཁག,21
༢༠༡༩,21
༡༩༩༨,21
དེ་གིས་སྦེ་,21
།གསོལ་བ༴,21
།འདི་ལན་གཅིག་བརྗོད་པས།,21
རྫོང་ཁ,20
རྒྱབ་རྟེན་དཔེ་ཆ།,20
ལྟར་དུ་འབད་བ་ཅིན་,20
མདོར་བསྡུ་བ་ཅིན་,20
དང་འཁྲིལ་བ་ཅིན་,20
།ཟངས་མདོག༴།,20
༢༠༠༠,19
༡༩༧༣,19
༡༩༨༠,19
མཚུངས་གསལ་གྱི་སྒྲ་ཡོད་པ།,19
འབྲུག་གི་གནས།,19
༢༤,19
རང་ལུགས་འདས་ལོ་,19
དེ་བཟུམ་སྦེ་ར་,19
ང་ལུགས་ཤེས་བྱ།,19
གནས་འདི་,19
འཕྲལ་གྱི་དོན་ཚན།,19
ཨ་མ་ལེགས་ཨོ།།,19
གྲོང་,18
ཨིང་ལིཤ,18
༢༽,18
༣༽,18
པའི་,18
རིམ་པ་བཞིན་དུ་,18
རྣམ་རྒྱལ་ཕུན་ཚོགས།,18
ནང་,18
རྒྱ་མཚོའི་ཁ་ལས་མཐོ་ཚད་མི་ཊར་,18
གནས་དེ་ཁར་,18
སངས་རྒྱས་དོན་གྲུབ།,18
ཅ་རྙིང་འཛིན་སྐྱོང་སྡེ་ཚན།,18
ཁ་ཐུན།,18
ཚེ་རིང་མོ་ནོར་བུ་ཁྲི་ལ་ཕུལ།།,18
༡༩༧༤,17
དེ་འབད་ནི་འདི་གིས་,17
འབད་མི་,17
༥༠,17
༢༠༡༦,17
དཔེར་ན།,17
༡༽,17
འདི་གིས་,17
ལོ་བསྟར་བཞིན་དུ་,17
ཁོ་གིས་,17
ད་རེས་ནངས་པའི་དུས་ལུ་,17
འདི་འབདཝ་ལས་,17
ཨོཕོ་,17
ཟེར་བཀོད་དེ་འདུག།,17
༡༩༨༤,16
རྒྱལ་ཁབ་,16
ནང་ལུ་,16
རྫོང་འདི་,16
གནམ་ལོ་,16
བློན་པོ་,16
དེའི་སྐབས་,16
༣༦,16
དཔལ་འབྲུག་ཞིབ་འཇུག་ལྟེ་བ།,16
བཞེསཔ་ད་,16
དེ་ཅིག་,16
༡༩༦༨,16
མཁན་པོ་ཉི་མ་ཤར།,16
ཤོག་ལེགས་མོ་ཤོག།,16
ཤོག་ལེགས་ཡ།།,16
བཱརཱ་ཛིལ་,15
དེའི་ནང་ལས་,15
༡༦༡༦,15
༢༠༠༢,15
ང་བཅས་རའི་རྒྱལ་ཁབ་ནང་ལུ་,15
སྐུ་ན་ཆུང་ཀུའི་བསྒང་ལས་,15
༢༧,15
