word,count
του,1548411
και,1489370
το,1238567
της,1110090
την,725050
από,713701
με,639565
τον,485303
να,454602
των,421762
που,418156
στην,412082
στο,397755
σε,392648
για,392560
τα,334267
είναι,333212
τη,326483
οι,308005
τους,254800
στη,236603
ήταν,219138
ως,199208
στις,180662
τις,177549
ένα,143089
στον,138301
μια,128389
στα,124413
ότι,123474
δεν,114509
κατά,107440
έχει,90687
μετά,88253
είχε,87735
επίσης,83482
αλλά,79126
ενώ,75382
δύο,72477
όπως,71711
θα,70145
οποία,69939
παραπομπές,69633
αυτό,54869
όπου,54746
καθώς,51853
όταν,50409
μέχρι,49826
στους,49753
μεταξύ,48219
μία,48129
οποίο,48127
αυτή,44877
πρώτη,43559
έγινε,42783
χρόνια,41863
προς,41661
έχουν,41589
πιο,39832
σύνδεσμοι,39501
εξωτερικοί,39229
θέση,39111
μπορεί,38895
ένας,38093
περιοχή,37718
ομάδα,37709
πόλη,37653
αιώνα,37468
αν,37077
ιστορία,36196
διάρκεια,34207
σύμφωνα,33759
οποίος,32139
βρίσκεται,31553
πηγές,31454
μαζί,31251
μόνο,31024
όμως,30700
β΄,30310
περίοδο,30151
μέρος,30133
α΄,29858
πολύ,29725
αργότερα,29618
έναν,29365
ενός,28996
κάθε,28593
είχαν,28557
τότε,28402
έως,28147
περίπου,27968
μέσα,26889
πρωτάθλημα,26817
έτσι,26693
λόγω,26001
αθήνα,25903
ου,25650
ποδοσφαιριστές,25416
όνομα,25122
σήμερα,25052
ελλάδα,24551
πριν,24540
ταινία,24300
πρώτο,24139
νέα,23986
ωστόσο,23904
ταινίες,23658
υπό,23413
φορά,23160
σειρά,22253
έργο,22150
πως,22113
εθνική,21959
πάνω,21889
κυρίως,21627
μεγάλη,21579
έλληνες,20678
συνέχεια,20548
χωρίς,20261
αγώνες,19979
αυτά,19955
τμήμα,19931
ομάδες,19608
επί,19497
χωριό,19213
μέσω,18689
τέλος,18599
γεννήθηκε,18470
ετών,18442
υπάρχουν,18320
άλλα,18319
μέλος,18037
εποχή,18016
στοιχεία,17993
ελλάδας,17775
αποτέλεσμα,17766
άλλες,17719
κοινότητα,17640
πολλές,17636
χώρα,17621
πόλης,17596
αναφέρεται,17483
ίδια,17464
αποτελεί,17384
εκλογές,17365
εκτός,17351
τρεις,17346
φορές,17178
μιας,17100
δήμος,17019
αφού,17002
σαν,16995
υπάρχει,16973
κάτω,16971
εκεί,16945
γιος,16925
έδρα,16900
έκανε,16719
ζωή,16564
ξεκίνησε,16436
κατηγορία,16387
πολλά,16337
πρόεδρος,16226
ιουλίου,16213
μεγάλο,16205
αυγούστου,16147
σύστημα,16101
έργα,16044
μαρτίου,16030
μέλη,15953
μαΐου,15952
αρχές,15938
