word,count
al,14553
nùmer,11947
dal,10795
la,10079
ed,9616
in,6378
da,5342
sécol,4120
un,4079
an,3778
di,3225
nòm,2754
domìni,2510
nê,2404
cinema,2395
ad,2253
calendàri,2248
matematica,2085
film,2072
intēr,2064
naturêl,2041
ch,2024
avenimèint,1953
mort,1924
gregoriàn,1859
gonèl,1821
na,1761
per,1703
int,1626
cun,1542
gh,1466
prim,1409
che,1294
tachê,1272
funsionèr,1256
funsiòuna,1256
genèric,1254
de,1109
ind,923
edl,903
pió,813
dè,810
difetìv,774
dla,770
só,726
moltìplica,695
quèśi,693
romà,660
dl,642
èter,616
sentrê,543
stê,533
er,531
par,530
rèz,530
referèinsi,527
în,510
incòra,505
ân,487
mòrt,486
atōr,485
śum,445
fin,426
cme,406
itagliàn,396
gregorià,390
prìm,386
una,381
fèsti,380
as,374
civìli,371
nasiunèli,369
fât,357
il,352
americà,349
semiprìm,346
chi,344
pr,340
ii,340
sècol,329
vólen,324
piramidèl,324
non,323
fîn,320
pruvincia,319
dèinter,317
dôp,314
sitê,311
abitant,309
ânca,307
itaglià,306
est,301
chè,292
anca,286
cumoin,285
ai,281
stä,279
tra,276
del,276
stêda,276
san,275
préma,275
iv,273
iii,271
xviii,265
italiân,264
xvii,263
vi,262
cà,258
föra,255
dé,253
xii,251
àn,249
xv,248
xvi,247
dimòndi,245
religióśi,244
fàt,243
mòdna,242
drē,242
biśestìl,239
ix,237
xiii,237
tèimp,235
sân,235
vii,235
xi,234
tót,234
sò,233
abitànt,231
noti,228
con,227
xiv,226
viii,226
ha,223
storia,223
progêt,223
invensiòun,222
partìsen,221
descuvèrti,221
brasil,220
ciapê,220
insém,218
se,217
comuniepaesi,217
italian,214
pôst,214
ndèr,214
vîn,213
ēra,212
serchèr,212
polìtica,211
mìa,209
ìn,209
én,208
et,208
déś,208
infìn,207
fat,203
xix,202
cèinter,202
acadimèint,202
personà,202
decèni,202
triangolèr,196
sfènic,196
êra,191
culturapopolare,191
pêrt,189
agòst,187
cmûn,185
geografia,185
abundànt,185
znêr,182
sté,180
cē,180
lój,179
castèl,178
sōl,178
