word,count
the,4605397
of,2302037
in,1906960
and,1894751
to,1300777
was,702670
is,564979
for,536779
as,535621
on,517923
by,488302
with,464851
from,375943
that,360725
he,358007
at,343637
his,302361
it,291071
an,243898
are,190608
which,187892
also,186159
were,186083
this,162968
be,159792
or,155074
new,151881
first,147547
had,140746
has,136645
one,135864
their,127886
after,124700
its,122302
not,119079
but,119009
who,114797
they,111562
two,109143
have,105192
american,104890
her,102445
th,99227
other,93916
been,91921
she,91061
all,90413
when,87443
time,85485
school,85449
people,84293
references,84243
during,82620
into,78974
united,75380
may,73415
world,71969
no,70343
year,70215
there,69806
more,67905
university,67597
state,66431
up,66362
only,66238
national,64753
over,64421
states,63865
most,63150
city,63144
would,62835
years,62749
three,61466
between,60673
later,60200
external,59539
links,59491
century,59406
some,58822
born,58818
film,58355
can,58042
about,58038
him,58009
used,57879
where,57558
war,55895
such,55801
then,55780
out,55323
south,54739
while,54114
part,53952
known,53468
series,53434
history,53313
under,51059
high,50904
st,50636
made,50411
many,50386
team,50219
north,50188
second,49907
de,49537
players,49507
than,49258
these,48510
season,48353
being,48297
became,47332
through,47300
see,46078
including,46048
both,45837
before,45800
league,45455
well,45203
music,45167
early,44396
county,43411
life,42755
however,42710
group,42575
john,42446
british,42286
album,42280
name,42275
until,41889
since,41099
against,41009
game,40863
them,40707
york,40269
area,39490
games,39347
number,39274
four,39182
football,39141
station,38504
following,38349
company,38213
international,38131
based,38120
english,37729
released,37278
former,37225
work,37173
called,36972
west,36754
day,36750
several,36462
college,36145
government,36099
house,36045
family,35776
general,35692
order,35518
club,35367
march,35160
career,35028
district,34684
played,34088
television,33675
so,33628
june,33567
same,33563
now,33200
won,33175
song,33135
films,33061
will,33038
end,32880
each,32704
use,32690
best,32677
september,32630
public,32552
january,32479
men,32441
october,32370
july,32349
april,32315
members,32251
east,32104
band,32084
list,31839
if,31170
home,30997
august,30760
church,30589
system,30533
line,30279
town,30232
december,30009
left,29816
place,29746
like,29672
november,29610
women,29525
player,29418
established,29349
service,29259
back,29165
named,28909
major,28823
long,28817
member,28701
found,28537
set,28429
due,28386
river,28283
park,28176
began,28108
around,28054
