word,count
la,1830232
de,1343237
en,747673
kaj,599503
estas,328398
al,214112
estis,182880
li,129651
el,117393
por,114377
kun,103030
ĝi,100966
kiu,91507
kiel,91138
pri,88063
ankaŭ,83336
aŭ,67009
ne,61964
tiu,57110
dum,56277
pli,54759
komunumo,54178
ke,52028
oni,51181
laŭ,50952
plej,50777
per,50712
ĝis,46749
eksteraj,46358
distrikto,46300
ĉe,45808
ligiloj,45530
inter,45236
sur,45235
sed,44959
post,41094
kiuj,40642
ili,40048
urbo,39784
an,39426
jaro,37437
pro,37283
je,35401
havas,35135
esperanto,33544
unu,32753
unua,30815
aliaj,30468
ĉi,29656
ekde,29543
sia,29391
du,28710
the,28600
komunumoj,28534
vidu,28394
jaroj,28298
poste,27986
nur,27715
da,26785
nomo,26574
tio,26514
povas,25477
historio,25191
havis,25029
jarcento,24231
regiono,24183
lia,23821
km,23549
parto,23426
granda,22573
of,22557
hungara,22379
kiam,22151
ŝi,22056
tiuj,21980
ol,21294
troviĝas,20653
vilaĝo,20549
situas,20399
provinco,20290
kie,20180
lingvo,18823
jam,18096
urboj,18044
sian,17912
germana,17683
tre,17314
multaj,17169
ĉirkaŭ,17087
fine,17081
germanio,16950
loĝantojn,16949
ĝia,16313
ĉar,16309
referencoj,16183
tie,16152
lando,16064
ĝin,15745
tamen,15498
malkovrita,15496
naskiĝis,15225
esti,15066
franca,15002
ofte,14972
ties,14918
kontraŭ,14848
kelkaj,14768
do,14728
katalogo,14635
antaŭ,14502
zono,14460
apartenas,14317
okazis,14195
sankta,13953
in,13646
ĉiuj,13643
isbn,13621
homoj,13580
mortis,13255
tiel,13038
dua,13031
ĉefa,13017
and,12961
usono,12921
italio,12892
kio,12663
sub,12655
nacia,12413
areo,12411
ngc,12271
iĝis,12166
rivero,12145
tri,12053
usona,12047
tiam,12019
nova,11892
universitato,11827
ekzemple,11778
municipo,11752
kies,11518
hungario,11469
preĝejo,11422
se,11387
tra,11305
francio,11074
familio,11031
hungaraj,10888
ĉefe,10811
eĉ,10809
kantono,10807
nun,10800
ricevis,10636
reĝo,10465
vivis,10313
teritorio,10280
apartenis,10278
municipoj,10255
ĉefurbo,10240
departemento,10080
diversaj,10072
loĝantaro,10034
norda,10008
der,9942
vilaĝoj,9927
lin,9893
loĝantoj,9872
suda,9863
nome,9834
alia,9766
fare,9735
aj,9692
federacia,9687
oficiala,9677
kiun,9653
verkoj,9564
milito,9449
konata,9359
malgranda,9314
kvankam,9307
tempo,9233
centro,9184
siaj,9072
vivo,8984
decembro,8948
mondo,8923
ekzistas,8902
mem,8879
januaro,8846
birdoj,8790
ĉiu,8772
internacia,8736
julio,8689
fariĝis,8680
sin,8567
geografio,8564
literaturo,8528
verkisto,8483
http,8452
san,8444
lingvoj,8444
eŭropo,8430
okcidenta,8343
konstelacio,8279
liaj,8186
pola,8181
respubliko,8179
grupo,8171
ankoraŭ,8151
mondmilito,8126
observatorio,8080
rumanio,8080
apud,8007
objektoj,7975
angla,7964
le,7951
fonto,7934
specio,7927
majo,7909
pluraj,7906
super,7898
aperis,7869
retejo,7820
marto,7719
fontoj,7689
notoj,7676
personoj,7646
tuta,7614
grandaj,7600
insulo,7559
listo,7555
septembro,7541
asteroidoj,7537
landoj,7517
armeo,7446
und,7426
loko,7379
biografio,7377
lasta,7332
asteroido,7327
grava,7319
oktobro,7315
nomon,7311
aŭgusto,7280
tiun,7254
iom,7230
alta,7164
asocio,7164
formo,7137
aprilo,7130
same,7102
orienta,7086
specioj,7036
preskaŭ,7035
pollando,7035
junio,7027
sen,6943
magyar,6925
nomata,6920
precipe,6911
saint,6867
von,6781
partio,6724
administra,6718
malkovritaj,6709
ilin,6690
versio,6649
krome,6632
membro,6624
astronomiaj,6606
novembro,6545
ambaŭ,6542
imperio,6538
nomita,6502
parizo,6493
mencio,6468
hispanio,6468
morto,6439
www,6431
svislando,6399
libro,6386
sistemo,6380
hispana,6380
kutime,6377
kune,6373
signifas,6337
krom,6322
mi,6314
elde,6283
prezidanto,6281
filmo,6278
asteroida,6268
budapeŝto,6252
hungare,6249
registaro,6212
des,6163
historia,6142
foje,6139
rusio,6124
multe,6093
vorto,6051
malpli,6035
komencis,5987
hungaroj,5950
siajn,5940
centra,5933
movado,5930
komence,5895
filo,5887
februaro,5875
nombro,5864
kvar,5849
ŝtato,5845
et,5801
konsistas,5793
genro,5776
astronomo,5774
eŭropa,5744
patro,5742
proksimume,5742
epoko,5721
uzata,5677
gravaj,5620
fino,5613
muziko,5602
objekto,5549
originala,5546
partoj,5511
ro,5493
muzeo,5474
die,5461
proksime,5414
lago,5405
sama,5387
faris,5367
reĝlando,5343
situo,5337
rusa,5325
monto,5299
informoj,5277
ĉu,5267
