word,count
de,8912544
la,4671913
en,3749426
el,3492905
que,1917989
los,1681702
del,1649742
se,1353583
por,1098477
las,1041550
un,1032149
con,1021088
una,893293
su,851768
como,656744
al,637859
para,636136
es,611652
fue,411220
más,392598
no,369288
sus,287736
lo,281283
también,250661
entre,240916
este,204443
son,172167
años,169437
esta,160711
dos,160062
desde,157628
sobre,157541
pero,157290
durante,148011
hasta,147372
parte,141611
le,139685
sin,136062
ciudad,136061
ser,135417
ha,129678
año,128076
donde,127016
the,126809
era,122656
cuando,112773
san,111987
gran,111824
después,111821
primera,104081
está,104004
ya,102450
otros,100910
historia,91554
puede,90502
españa,90397
así,90057
tiene,88258
uno,88067
había,86934
fueron,85490
primer,85478
nombre,85474
nacional,84041
forma,82956
muy,82380
mismo,81223
aunque,80575
tras,79768
estado,79098
tres,78498
guerra,77939
además,76798
mayor,76329
vez,75693
estados,74473
si,73621
cual,72416
referencias,71581
todo,71209
general,71188
lugar,70841
of,70505
gobierno,69792
enlaces,66649
solo,66531
contra,66492
tiempo,65701
externos,65517
grupo,65129
cada,64196
bajo,64140
han,63909
partido,63853
embargo,62780
unidos,62396
otras,62370
todos,62028
nueva,61911
sido,60799
población,60378
río,60289
algunos,60189
nuevo,60178
provincia,59631
según,59451
sur,59417
mientras,58636
estos,58629
ese,58565
tanto,58509
país,58189
vida,57983
hacia,57965
junto,57601
norte,57411
juan,55800
universidad,55037
mundo,54761
quien,53566
debido,53359
antes,53235
siendo,52998
sistema,52912
día,52446
español,52218
segunda,51382
serie,50880
josé,50694
pueden,50067
centro,49592
hay,49499
otro,49231
rey,49126
esto,49000
luego,48513
club,48490
él,48237
méxico,48171
final,48105
zona,47875
entonces,47547
siglo,47537
número,47320
julio,46973
encuentra,46962
madrid,46502
equipo,46476
cuenta,45903
varios,45876
obra,45436
municipio,45372
presidente,44717
real,44606
mayo,44028
estaba,43875
música,43554
santa,43397
estas,43089
personas,43007
cuatro,42811
grandes,42810
argentina,42032
tuvo,41994
km,41663
mundial,41599
iglesia,40950
dentro,40887
muchos,40754
poder,40593
región,40345
principal,40172
septiembre,40127
casa,40063
banda,39934
otra,39930
octubre,39925
véase,39888
época,39163
junio,39123
están,39123
diciembre,39119
película,39117
enero,39045
mejor,38958
francia,38919
ejemplo,38859
familia,38733
obras,38503
marzo,38500
agosto,38374
política,38333
eran,38228
muerte,38024
inglés,37956
través,37910
ellos,37892
bien,37889
tipo,37771
algunas,37536
pueblo,37413
segundo,37355
internacional,37272
unos,37262
abril,37198
maría,37132
partir,37024
noviembre,36854
poco,36811
ii,36496
álbum,36357
hace,36136
oficial,36051
importante,36020
agua,36009
medio,35985
ante,35717
estadounidense,35661
and,35453
menos,35436
orden,35414
temporada,35389
fútbol,35280
premio,35120
mayoría,34953
carlos,34820
trabajo,34716
caso,34661
ella,34497
república,34427
tenía,34323
ejército,34269
febrero,34224
desarrollo,34170
tierra,34157
chile,34097
reino,33893
hizo,33702
países,33646
capital,33511
varias,33450
momento,33291
uso,33247
tienen,33206
todas,33170
largo,33031
