word,count
ja,601562
on,449383
eesti,174044
oli,165897
ta,141151
aastal,132931
ka,125548
ning,103816
et,88365
mis,87518
kui,80191
ei,70337
aasta,68340
või,58644
see,54689
viited,53264
oma,49639
tema,43432
välislingid,41377
sündinud,40306
selle,40097
sai,37361
tartu,35955
kuid,34011
kes,31810
keeles,31104
mille,30516
seda,29981
pärast,29650
tallinna,29566
aastatel,28906
kus,28536
the,27586
kuni,27255
aga,26481
välja,25953
nii,25375
vald,24496
ehk,24450
olid,24209
võib,24008
üle,23129
nende,22707
saksa,22180
mida,22163
aastast,22093
of,21779
näiteks,21674
ameerika,21547
küla,21306
üks,21253
km,20723
ajal,20686
siis,20144
eestis,19825
osa,19766
järgi,19651
usa,19535
vene,19531
von,19002
ülikooli,18927
koos,18901
vaata,18715
vastu,18302
alates,17967
venemaa,17611
nad,17504
euroopa,17234
de,17035
asub,16948
surnud,16644
ii,16286
nsv,16284
kohta,15828
tallinn,15785
liidu,15724
esimene,15420
hiljem,15362
inglise,15341
eest,15254
kaks,15154
nagu,14718
lk,14695
vaid,14661
linn,14566
vallas,14443
maakond,14352
valla,14275
ole,14257
saab,14228
rootsi,14202
samuti,13994
olnud,13957
umbes,13905
soome,13793
linna,13731
vahel,13609
kõige,13477
august,13292
need,13225
veel,13220
poolt,13193
nõukogude,12912
olla,12806
all,12726
and,12716
tänav,12663
põhja,12575
nime,12516
seal,12288
ajalugu,12254
väga,12219
juba,12205
neid,12117
maakonnas,12079
kuna,11954
lääne,11874
in,11657
sest,11589
kõik,11545
sajandi,11432
enne,11379
ainult,11218
tõttu,11176
kogu,10902
kokku,10834
poliitik,10829
kasutatakse,10813
liige,10771
läbi,10744
riigi,10567
mitte,10499
lisaks,10478
lõuna,10396
maakonna,10355
nr,10276
alla,10266
korda,10247
lõpetas,10134
pole,10133
sellest,9943
ühendriikide,9854
aastat,9840
suur,9790
tagasi,9728
itaalia,9718
töötas,9609
saksamaa,9581
asus,9379
prantsuse,9305
palju,9257
kirjandus,9119
rooma,9112
ühe,9052
teine,9043
kuulus,9035
poola,9028
pärnu,9022
koduleht,9020
esimese,8974
külas,8926
uus,8868
aastad,8849
näitleja,8820
inimest,8663
tallinnas,8639
kas,8603
puhul,8582
juuli,8514
iii,8491
jaanuar,8459
teise,8424
teda,8408
korral,8377
tee,8317
veebruar,8282
läti,8271
mõisa,8223
iga,8221
jäi,8217
vana,8185
saanud,8126
karl,8125
võimalik,8053
kolm,8021
mai,7980
seejärel,7949
seotud,7932
tuli,7924
märts,7909
kuigi,7864
võitis,7799
ida,7793
toimus,7770
maailma,7768
vabariigi,7730
tuntud,7716
juures,7688
rohkem,7649
maa,7627
sajandil,7580
tavaliselt,7573
juuni,7493
teiste,7440
president,7429
aprill,7412
kirjanik,7377
peamiselt,7373
oktoober,7314
sama,7252
september,7230
prantsusmaa,7223
jaoks,7213
peale,7197
õppis,7168
tuleb,7112
jooksul,7098
elu,7097
uue,7036
valiti,7035
andis,7025
detsember,6991
samal,6983
kuningas,6982
isa,6975
enam,6971
november,6971
suri,6969
new,6946
isbn,6943
aastani,6942
siiski,6929
ukraina,6927
nimi,6908
liikmed,6908
suure,6848
seisuga,6784
võivad,6756
mõis,6748
ära,6736
ümber,6713
kuulub,6700
väike,6681
la,6649
hakkas,6647
peab,6595
kirik,6588
jõe,6503
selles,6491
neist,6458
tänapäeval,6439
tal,6366
eriti,6364
millest,6340
viljandi,6304
oleks,6299
poeg,6266
kahe,6261
ekr,6231
saare,6184
varem,6155
osales,6150
ülikoolis,6146
leedu,6130
tegi,6120
arv,6109
kaudu,6075
juunil,6040
iv,6031
ise,5998
narva,5961
pindala,5959
klassi,5950
koht,5916
der,5905
mm,5903
endine,5891
hispaania,5876
kiriku,5875
püha,5856
jaanuaril,5855
elas,5854
jaapani,5852
jaan,5784
norra,5765
friedrich,5764
talle,5759
detsembril,5757
päritolu,5746
märtsil,5739
võttis,5705
viis,5685
samas,5680
septembril,5677
jalgpallur,5676
käigus,5654
piirkonnas,5649
sellele,5645
taani,5621
abil,5610
järel,5602
kasutada,5601
nimetatakse,5598
akadeemia,5594
johann,5586
mail,5583
sündis,5582
ilmus,5558
kelle,5541
edasi,5530
suurbritannia,5527
juulil,5522
esimest,5513
keskus,5490
keele,5481
läks,5463
koguduse,5459
järv,5449
augustil,5434
austria,5421
poole,5397
kreeka,5394
oktoobril,5391
inimese,5373
is,5362
õpetaja,5356
linnas,5348
ega,5343
toimunud,5333
enda,5324
novembril,5322
juurde,5306
jääb,5299
veebruaril,5287
moskva,5285
laulja,5280
külad,5268
alustas,5266
muusika,5254
seas,5249
partei,5229
inimesed,5208
john,5203
sageli,5198
surma,5193
paul,5193
tunnustus,5183
hiina,5179
seltsi,5164
keel,5150
briti,5150
viru,5139
pool,5115
me,5115
seega,5114
sellega,5106
johannes,5105
mõned,5105
keelt,5082
alguses,5079
milles,5076
anti,5061
sel,5052
vilistlased,5048
võru,5038
esimees,5032
hoone,4991
aprillil,4990
selleks,4985
le,4982
ee,4971
moodustati,4935
sealhulgas,4921
kuidas,4916
ette,4907
raamatukogu,4904
aleksander,4898
ma,4869
raamat,4847
jüri,4844
riikliku,4828
enamasti,4825
saksamaal,4824
hulka,4821
end,4819
mängijad,4810
seetõttu,4808
kaasa,4800
ehitati,4791
ilma,4788
mitu,4778
sgk,4756
riia,4749
neil,4727
valmis,4707
st,4699
said,4699
eestimaa,4696
olema,4687
aafrika,4679
mil,4665
isiklikku,4661
isegi,4646
alles,4642
suurem,4629
liiga,4619
suurim,4605
lähedal,4596
valitsuse,4581
ungari,4581
tähendab,4577
millega,4526
võeti,4514
vähemalt,4511
nõukogu,4498
venemaal,4494
teha,4492
linnad,4489
jõgi,4480
asutati,4459
mängis,4441
kg,4408
neli,4405
teised,4403
aega,4398
eri,4394
koosseisu,4390
ema,4388
suhtes,4383
saaremaa,4382
alal,4352
cm,4342
aastate,4341
aja,4340
heinrich,4315
harju,4298
liivimaa,4287
töö,4286
vastavalt,4278
piirkonna,4261
teada,4259
saa,4258
koha,4253
perekond,4248
robert,4237
rajooni,4236
kohaselt,4236
kooli,4232
sõja,4222
nimetati,4222
antud,4210
postimees,4200
kuuluvad,4196
viimane,4161
pidi,4158
peeter,4151
elanike,4142
järve,4140
maha,4138
üles,4126
sõjaväelane,4113
saar,4100
peetakse,4096
kihelkond,4096
riigikogu,4083
meie,4045
osariigis,4035
paljud,4006
tartus,3994
koosneb,3979
miljonit,3972
