word,count
eta,811036
ziren,389445
zen,260049
da,244915
an,215685
zeuden,213499
bat,158895
izan,118912
zuen,117805
kanpo,94827
zituzten,94458
estekak,90670
zuten,90084
etxek,86492
enpresak,82160
ere,78094
bere,72482
du,71977
etxebizitza,70521
pertsona,70304
erreferentziak,69202
dira,67110
ez,62342
zituen,61124
ko,61047
de,60053
artean,55402
gainera,52905
biztanleria,52001
edo,51973
seme,50167
udalerrian,49796
ikus,48596
zegoen,48545
familiak,47843
enpresa,47296
dago,46404
beste,46049
bizi,43592
ditu,42461
frantziako,41955
bi,41195
egin,40818
den,40765
baino,38888
zerbitzu,37945
dauden,37832
hau,37292
horien,37139
ekonomia,37098
la,36877
emakume,36694
bakarrik,36387
herriak,36197
lehen,35348
baten,35200
udalerriko,34714
gizon,34594
dituzten,34195
gertuen,33643
animalia,33585
piramidea,33561
etxetan,33393
inseeren,33303
barruko,32511
generoko,31983
familian,31849
euskal,31002
diru,30850
urtean,30775
alabak,30497
baina,30082
bigarren,29586
lan,28200
bestelako,27679
biztanle,27368
udalerri,27321
dute,26914
gisa,26770
hiru,26628
nagusia,25585
udalerriak,25054
honek,24508
gehiago,24445
erabiltzen,24029
batzuk,24006
nekazaritza,23864
egiteko,23561
lau,23088
the,21817
ibilgailuen,21758
eskualdean,21546
egiten,21381
biztanleak,20968
euren,20546
arrainak,20248
bost,20182
erroldatutako,20178
gabeko,19984
eko,19948
demografia,19556
lanean,19258
et,19227
eraikuntza,19145
urteko,19129
ondorengo,19092
bitartez,19050
datu,19024
banaketa,18998
erakusten,18880
ean,18845
ageri,18233
ondoren,18187
plaza,18171
behar,18091
fitxa,17912
azpian,17892
pertsonak,17804
france,17801
batean,17756
sexu,17695
bilakaera,17620
emakumeak,17570
familiaren,17533
etxeak,17529
datuen,17483
gela,17476
departamenduan,17343
alabarik,17319
adina,17256
aktiboak,17254
mapa,17253
guztietako,17243
ikasten,17207
denboran,17172
propioa,17162
duen,17147
araberako,17058
zehatzak,17035
bizilekua,17016
jarduerak,17013
eskuragarri,16953
diagrama,16921
ibilgailu,16912
bikoteak,16903
par,16897
laburpena,16869
dagoena,16862
biztanleriak,16819
adinaren,16808
grafikoan,16779
structure,16769
population,16764
comune,16753
évolution,16744
parking,16742
statistique,16741
résumé,16737
jabearen,16724
nagusietatik,16723
inaktiboak,16718
inaktiboetatik,16697
bakarrekoak,16691
erretiraturik,16671
estatistiken,16668
inaktibo,16663
sailkaturik,16656
udalerria,16646
okupaturik,16638
alokairuan,16637
eskola,16628
hutsik,16516
langabezian,16483
arte,16460
aktiboetatik,16456
org,16384
erresidentzia,16351
sailkatzen,16331
doan,16329
gizonak,16149
arabera,16110
sarrera,16073
bezala,16056
oso,15913
unitate,15787
arrainen,15687
komertzioetatik,15636
ustiategi,15493
bakoitzeko,15406
of,15265
urte,15221
lagata,15168
hala,15040
pertsonek,14971
egun,14934
osasun,14869
hainbat,14827
osaturik,14820
euro,14787
sarrerak,14777
hauek,14707
jatetxe,14688
sortu,14652
hartu,14639
fiskal,14572
mediana,14534
fiskalaren,14499
bakarreko,14242
hezkuntza,14135
estatu,13988
handia,13956
guraso,13941
denda,13859
diren,13782
hasi,13559
hori,13446
fabrikazioko,13244
izena,13184
arteko,13110
eman,12992
konpontze,12954
saltze,12944
daude,12868
bertan,12820
hezkuntzako,12623
norbanakoentzako,12617
batera,12499
higiezinen,12470
gaur,12468
publikoetatik,12333
apartamentuak,12210
duten,11989
bakarra,11929
jarduera,11815
dagoen,11774
herriko,11740
azken,11359
hektarea,11250
ekipamenduak,11234
fishbase,11035
buruzko,11015
sailkatuta,10957
batez,10921
historia,10889
dituzte,10831
ostalaritza,10770
produktu,10758
dela,10702
san,10595
espainiako,10484
hil,10307
administrazio,10228
saint,10225
zion,10034
en,10003
lortu,9987
batek,9879
baita,9869
herri,9863
sailkatutako,9850
multzoan,9829
zela,9682
industrialen,9610
estatubatuar,9467
urtarrilaren,9353
garraio,9240
hartzen,9211
parte,9081
ondorioz,9080
musika,9065
joan,8821
dena,8799
and,8773
inguruko,8757
gero,8740
dendak,8698
daiteke,8688
publikoko,8584
asko,8467
world,8466
bidez,8372
talde,8305
nahi,8276
ematen,8233
zenbait,8233
establezimendu,8198
ipar,8193
el,8191
ek,8121
alde,8019
in,8002
nafarroako,7987
izango,7942
zehar,7932
janari,7883
haren,7759
idazlea,7728
aldiz,7715
honen,7661
berriz,7555
aurrera,7465
horretan,7428
mendean,7415
gabe,7407
esan,7333
hego,7321
izaten,7264
hiri,7212
gerra,7197
zerrenda,7171
egon,7114
konpontzeko,7100
honetan,7069
dituen,7007
tik,6955
ii,6904
batuetako,6899
horren,6890
garai,6844
adibidez,6818
nahiz,6807
bitartean,6788
bulegoa,6785
tresnetako,6764
horiek,6660
mundu,6610
hizkuntza,6597
bai,6595
ile,6585
ameriketako,6573
aurkitu,6565
guztiak,6536
sistema,6528
lehenengo,6493
narrastiak,6485
webgunea,6472
inguruan,6424
finantziazio,6400
batzuetan,6378
informazio,6359
klasean,6358
actinopterygii,6332
izeneko,6326
gain,6281
saria,6246
nola,6135
le,6117
horrek,6106
filmak,6098
erabili,6085
osatzen,6085
berean,6071
arren,6059
ohi,6037
maiatzaren,6008
utzi,5980
irailaren,5952
uztailaren,5911
espainiar,5902
herrian,5866
kultura,5846
urriaren,5841
egindako,5837
martxoaren,5837
abuztuaren,5810
bihurtu,5803
irabazi,5800
duena,5794
abenduaren,5790
osatutako,5785
berria,5784
garaia,5769
beraz,5750
daitezke,5705
margolaria,5704
ari,5697
agertzen,5694
apirilaren,5681
center,5668
ekainaren,5656
sailkatua,5620
frantziar,5595
del,5566
komunikazio,5475
azaroaren,5469
erauzte,5462
km,5457
sortzen,5444
ekialdeko,5443
non,5423
munduko,5422
aurka,5400
komertzialetatik,5394
era,5347
hain,5340
mota,5333
hegaztien,5332
errege,5323
eliza,5310
informazioa,5277
hiria,5259
antzinako,5258
alderdi,5255
bada,5250
zena,5243
bird,5219
otsailaren,5189
sartu,5166
izen,5142
aita,5142
names,5134
idatzi,5133
mendeko,5127
haur,5123
europako,5121
eragin,5100
horrela,5083
bera,5055
narrastien,5048
taldeak,5027
aktorea,4986
jaso,4974
hasieran,4973
herria,4942
zioten,4919
behin,4917
garaiko,4917
itsas,4896
berri,4879
zein,4846
nagusiak,4830
besteak,4818
posta,4779
mendebaldeko,4778
administratiboki,4770
izendatu,4760
eraiki,4757
jarri,4750
egoera,4725
inguru,4720
erdi,4670
erresuma,4670
erroldaren,4664
sur,4656
ia,4650
lanak,4627
argitaratu,4623
juan,4616
iritsi,4602
egungo,4596
apaindegiak,4585
liburu,4574
ur,4561
zati,4559
taldea,4559
igeltseroak,4545
okzitaniako,4540
zuena,4529
gipuzkoar,4523
idazle,4522
herriekin,4518
dio,4502
hurrengo,4501
ezin,4478
nafarroa,4468
zurginak,4431
politikaria,4429
life,4418
mendearen,4416
ofiziala,4405
barne,4388
milioi,4368
ugari,4368
ahal,4345
iturginak,4325
margolariak,4323
maria,4316
aurkako,4296
ezagutzen,4295
gutxi,4281
ohia,4271
zinema,4249
apaindegia,4243
esker,4242
modu,4220
batetik,4207
nazioarteko,4171
jatetxeak,4169
zuzen,4143
material,4132
hitz,4131
bizitza,4127
izateko,4118
maila,4112
aurretik,4106
handi,4084
igeltseroa,4069
ra,4036
ekialdean,4017
udalerrien,4011
hegaztiak,4007
bertako,4002
kirol,4002
bizkaitar,3998
handiena,3993
eremu,3991
bereziki,3988
hartan,3978
iii,3975
species,3974
database,3965
zurgina,3963
mendebaldean,3949
barruan,3948
luis,3946
gainean,3946
askotan,3945
new,3945
xx,3943
aldi,3942
geroago,3942
ezaguna,3935
zenean,3932
geografia,3931
familia,3927
catalogue,3922
itis,3917
annual,3917
handiak,3914
reptile,3910
checklist,3909
tigr,3906
xix,3882
zuela,3876
denbora,3865
aurreko,3865
haien,3858
metro,3851
iturgina,3851
gutxiagoko,3844
bizkaiko,3842
los,3838
botika,3829
