word,count
de,25426
la,19687
el,19625
en,12145
que,7719
es,7409
del,7238
los,7102
un,5251
las,5142
se,5110
una,4713
con,4429
su,4374
al,3802
ena,3344
nel,3263
pol,2553
pa,2390
comu,2201
hue,2136
dela,2131
por,1887
añu,1814
qu,1477
mas,1451
son,1438
sus,1341
tamién,1311
ciá,1254
añus,1242
cumu,1193
más,1169
no,1096
lo,1072
atijus,1048
entri,963
enos,961
esti,955
está,895
dos,877
dias,837
parti,836
pola,834
españa,819
nombri,798
sigru,787
sel,738
capital,719
norti,712
abitantis,691
nu,684
tien,684
si,656
estremeñu,636
enas,634
delos,630
sul,622
the,622
primel,611
esta,603
caçris,597
mu,582
estau,564
dendi,561
le,553
estremaúra,553
país,553
obra,529
província,522
calandáriu,511
luenga,511
provincia,506
puebración,503
dia,501
unu,495
huentis,487
hata,485
sin,484
san,484
assitiau,484
mayol,477
gregorianu,477
era,473
mundu,472
delas,472
peru,471
pal,470
cona,464
gran,463
ondi,460
música,454
mesmu,454
sobri,428
km,425
griegu,421
ya,420
puei,419
luengas,419
referencias,418
oficial,416
castellanu,412
duranti,411
mari,411
dun,405
riu,397
quean,395
amás,393
tuvu,393
mairil,391
ciais,387
of,386
otrus,382
guerra,377
bisiestus,367
via,361
cuenta,360
duna,359
estaus,358
tres,358
estremaura,353
uropa,352
badajós,349
obras,345
assitiá,345
ogañu,341
otras,341
española,337
polos,334
latín,333
quandu,333
grupu,330
tiempu,324
ala,323
tentu,322
repúbrica,321
familia,317
tierra,316
centru,313
español,312
sistema,306
sigún,303
castilla,303
hazi,300
oesti,300
horma,294
puebru,294
isbn,290
web,289
angunus,288
comarca,288
nun,287
ca,279
sierra,279
estória,279
namás,278
mé,274
huerun,269
nueva,268
endispués,263
enque,261
alcuentra,260
da,259
están,259
islas,255
ingrés,252
lugal,251
puein,251
nacional,248
literatura,247
entre,246
región,246
paisis,243
cola,243
mayu,242
tantu,242
abril,241
endi,236
tamien,236
zona,233
como,231
josé,228
arrayu,227
millonis,225
emportanti,222
grandis,222
estus,222
junta,222
isla,221
ata,220
estremeña,219
and,219
barcelona,218
qm,217
menus,217
com,215
hebreru,215
marçu,214
setiembri,214
huendu,214
grandi,213
península,213
án,212
áfrica,211
lengua,211
númiru,210
anque,208
angunas,208
francés,207
polas,205
pala,204
noviembri,202
ii,202
meyu,202
unus,198
muerti,198
libru,196
alemaña,195
acabal,194
fráncia,194
ai,194
estoria,193
nuevu,193
rei,193
origin,193
general,193
prencipal,193
monecipius,193
nacéncia,192
estu,192
santa,191
tolos,191
in,191
para,190
extremadura,189
natural,189
contra,188
siu,188
gasta,186
segunda,186
méria,186
estas,186
xx,185
parabra,185
palra,185
inque,184
social,183
agostu,183
col,183
estremeñus,183
oficialmenti,182
áugua,182
emportantis,182
total,182
casa,182
prencipalis,181
mó,181
romanu,179
hizu,179
escrebioris,179
acabbal,179
atihus,178
política,178
nuna,177
polo,177
américa,177
términu,175
bien,175
ahuera,175
fubu,175
otru,174
mundial,173
tó,173
pero,171
nuversidá,168
juan,168
ab,167
pais,166
ain,166
dende,166
holma,165
eneru,164
prencipalmenti,163
huerça,163
primera,163
largu,162
otra,161
roma,160
pairi,159
vezi,158
alreol,158
llamau,158
central,158
museu,158
maría,158
tipu,157
juñu,157
andi,157
comuniá,156
salamanca,156
griega,156
él,155
arti,154
vera,154
td,154
tienin,153
monicípiu,153
enantis,153
políticu,153
ellus,153
tenel,153
valli,153
china,152
océanu,152
mentris,152
unius,152
referéncias,151
cuandu,151
tras,151
diziembri,150
física,150
león,150
comunidá,150
portugal,150
conociu,149
partil,149
unión,148
autol,148
reinu,146
vía,146
festival,145
librus,145
parabras,145
uropea,144
lión,144
romana,144
datus,144
itália,143
siendu,143
real,143
pocu,143
ordin,143
puntu,142
nacencia,142
colol,142
costa,141
júliu,140
estilu,140
mi,139
atoris,139
tol,138
escuela,138
villa,138
izil,138
oxford,138
