word,count
no,14104
mu,11073
na,9879
ghana,5312
do,4641
dze,3246
afe,3209
ho,2822
ne,2726
mbrahy,2564
ma,2525
of,2064
amany,1660
nye,1599
bagua,1423
kuw,1335
edwuma,1314
ambatow,1257
abatow,1235
mant,1186
kyer,1165
nna,1129
mba,1080
ber,1065
bi,1063
fo,1055
se,1048
the,1046
man,999
party,956
baguanyi,941
nyaa,932
onyaa,927
nyi,911
national,905
anan,886
so,880
woo,860
maa,839
kan,790
retrieved,789
ebien,773
ahorow,755
amba,744
mpasua,738
ase,726
ns,709
nwomasua,708
ka,686
hw,679
to,678
yi,671
san,670
nyinara,666
hy,662
da,638
dzin,629
as,623
ahy,617
and,609
ab,592
dodow,592
ghanafo,582
dzii,576
patriotic,571
nkonyim,571
democratic,570
new,562
in,533
congress,529
mfe,505
panyin,504
paw,501
odzii,478
bea,467
university,458
fam,454
skuul,443
abrab,443
nso,431
fir,428
ekyir,415
too,412
ay,403
odzi,400
kuwba,397
people,395
aban,390
bosoom,386
fa,385
ebiasa,384
convention,381
fi,381
de,377
at,376
dwumadzi,375
nhw,373
apem,371
nyimpa,370
ofi,369
amansan,368
biara,366
fata,364
fr,362
krataa,348
ara,346
sanda,340
aba,333
kurow,332
ndc,324
bra,321
com,317
kor,316
soafo,315
adze,311
ama,310
tow,309
up,307
gyina,306
enum,304
ha,304
for,303
africa,303
john,302
republic,298
esia,292
ogyina,292
jump,291
ba,287
tse,285
pii,284
edwumay,284
kaa,283
paaw,277
sii,277
suap,276
african,276
mansin,272
etsifi,272
epuei,270
saa,270
kwan,269
npp,269
du,267
school,266
dwuma,266
nhyehy,264
mumu,260
twe,260
towee,258
mp,257
iyi,256
dzi,246
ngua,243
ndz,241
edzi,240
fitsi,239
on,239
nsu,237
baguafo,236
fie,235
nkongua,235
ak,232
ky,228
kesi,227
munyi,227
th,225
ano,223
nana,221
mmoa,221
women,220
ntsi,220
dzen,217
nk,214
nkran,207
science,205
otsia,205
mensah,205
mpem,205
west,204
kasa,204
finimfin,203
degree,203
fii,203
eb,202
afrika,202
fofor,201
manpanyin,200
esuon,200
www,200
mantam,199
sukuu,197
kwame,194
nky,191
united,188
addo,188
fm,187
eduonu,187
accra,185
akyer,184
south,183
nam,183
mmarahy,183
aber,183
ananmu,182
anaa,182
hyehy,182
ntsen,182
mampanyin,180
egyina,178
ndwom,177
from,175
baa,175
abodzin,174
nea,174
obi,173
nkrumah,173
akan,172
aw,170
fã,170
wiadze,169
mbasiafo,167
peace,167
sikas,164
sen,164
tsitsir,161
som,161
mb,160
amansin,159
mbra,159
coast,158
si,157
burkina,156
bachelor,155
institute,152
ahaakor,151
