word,count
nder,5465
ko,4246
on,2725
un,2549
naajeeriya,2396
en,1965
mo,1608
diiwal,1589
lesdi,1519
haa,1505
leydi,1489
yim,1414
um,1360
ha,1221
woni,1088
wa,1048
to,983
maako,947
ngam,888
er,840
nde,814
ii,813
be,805
dow,797
no,791
laamu,758
hitaande,741
he,732
de,686
al,672
je,671
ma,639
nden,626
hukuma,614
maw,611
wuro,600
go,590
gelle,578
fu,576
makko,568
maayo,558
mum,532
nokkuure,511
lewru,510
kadi,497
pamarun,460
ngal,454
laawol,443
ina,433
bee,415
woodi,410
ka,404
diga,394
fuu,390
ugo,378
km,374
in,374
of,366
nigeria,354
oo,353
woyla,352
aawo,348
uu,345
duu,332
feere,331
afrik,327
wi,316
kuugal,315
hiimo,308
gombe,303
ndiyam,301
hawti,299
laamorde,297
kano,293
ur,291
bana,291
debbo,289
ee,287
bo,285
firooji,283
maa,272
ful,261
emngal,261
eii,261
hooreejo,258
ja,258
ga,253
dun,253
daga,246
an,242
yi,241
so,241
kono,238
jaŋde,237
oon,237
fii,236
hanko,233
uri,226
janngirde,224
du,216
boo,216
am,215
innde,212
le,211
les,210
ta,209
mari,209
duttor,208
gariiri,208
ne,205
fedde,205
ciife,202
caggal,201
ibom,201
ge,200
akwa,200
wuumre,199
suudu,198
aa,197
nokku,195
rew,195
kala,194
ar,193
wo,191
hakkunde,190
abubakar,189
em,187
borno,187
somali,182
man,180
lagos,178
jo,176
ngol,176
mi,175
ndin,174
der,174
ley,171
sappo,167
joo,166
jeyaa,165
afirik,164
fof,164
yobe,163
mako,158
ibrahim,158
kuu,157
bello,157
gada,154
hirnaange,152
walla,152
ardii,152
kaduna,151
gim,150
the,149
yo,147
non,147
fombina,147
kanko,146
haani,146
niger,146
tati,145
si,144
hannde,143
ho,143
koode,143
diina,143
wonde,142
mau,142
gila,141
gine,140
hino,140
allah,140
katsina,140
heen,139
noon,139
yuroopu,139
university,139
wondi,137
dungu,137
and,136
golle,135
fuuta,135
uki,135
cu,133
den,133
state,133
hoore,132
gal,132
worgo,132
gooto,131
la,131
jogii,130
irka,130
yaari,130
hirna,129
latti,129
muhammad,129
fulfulde,127
ke,127
lattake,127
ndee,126
fuuna,126
lesdii,126
don,125
kapital,124
sabu,124
laamii,123
toe,123
muhammadu,121
na,120
nassiji,120
ene,120
wakkati,120
janngir,120
jam,119
dum,119
jooni,118
ol,118
tan,118
jaaynde,118
siyasa,118
ndi,117
lysidi,117
laam,116
maayi,116
anndiraa,116
sokoto,116
hono,115
yaarii,115
gorko,114
su,113
latake,113
umar,112
gon,110
wonnoo,109
hauti,109
inare,109
oron,109
fuunaaŋge,109
enbo,108
school,108
darnde,107
uum,107
baaba,107
di,107
laamorgo,107
bauchi,107
postaal,107
won,106
dowla,106
ikot,106
hawta,106
somaaliya,103
omo,103
diiga,103
gomnaajo,102
konu,101
adamawa,101
ungu,101
jamaa,100
haandi,100
kootol,100
haala,99
laati,99
galle,99
uun,99
ba,98
duubi,98
fere,98
ngo,97
saare,97
et,96
yahugo,96
nguurndam,95
baa,95
gam,95
fewndo,94
delta,93
yeeso,92
area,92
mohammed,92
awo,92
river,92
ahmadu,91
kam,91
hiitaade,91
yimm,90
th,90
jangirde,90
ngu,89
ilmu,89
north,89
yimbe,89
ahmed,88
waawi,87
el,87
men,87
farayse,87
south,87
jangir,87
hay,86
hokki,86
mayri,85
eydi,85
amma,85
wodi,85
ministaajo,85
umngu,85
ndii,84
hampaate,84
jawdi,84
limle,84
hitaade,84
jibinaa,83
aasiya,83
limti,83
abuja,82
nawnaare,82
jigawa,82
mu,81
ngun,81
ceerno,81
jon,80
artu,80
laamor,80
kon,79
laa,79
wooni,79
bi,79
mali,78
tawi,78
tun,78
ndun,78
fannu,78
do,78
ali,78
hausa,78
himobe,78
sa,77
boh,77
naange,76
kawtal,75
eta,75
naijeriya,75
wonaa,74
aamadu,74
nayi,74
alhaji,74
hee,73
toon,73
koo,73
een,73
inde,73
wolde,73
college,73
musa,73
ndeen,72
mbertudi,72
ana,72
mun,72
cappan,72
ndu,72
hore,72
au,72
yari,72
aba,72
lamu,72
dan,72
ata,71
sahaa,71
national,71
jul,71
enugu,71
lysdi,70
mba,69
hewtaynoo,69
eele,69
pulaar,69
kii,69
shehu,69
mai,69
lamido,69
alla,68
aduna,68
wonnde,68
anndal,68
juulde,68
nga,68
haaki,68
ere,67
tawii,67
ton,67
da,67
hautugo,67
people,67
maiduguri,67
fuunangal,67
senegal,66
galluure,66
caka,66
with,66
tiggi,66
nokkuuje,66
iy,66
government,66
abdullahi,66
arande,66
danyi,65
laatii,65
jama,65
or,65
pamara,65
luumo,64
holli,64
senegaal,64
see,63
nii,63
keew,63
ngoni,63
deftere,63
fa,63
jowee,63
limgal,63
alaa,62
fow,62
cuu,62
ude,62
bal,62
defte,62
central,62
wakkere,62
njangirde,62
yahi,61
lam,61
aameerik,61
umaru,61
nguu,60
etee,60
juul,60
ladde,60
woila,60
inaare,60
eriminmo,60
bedon,60
wano,59
jallo,59
gure,59
international,59
taraba,59
ca,58
wii,58
lenyol,58
hitadee,58
imo,58
kebbi,58
west,57
urna,57
hiimobe,56
yaasi,56
leysdi,56
wakkatire,56
mee,56
haade,56
babal,56
nyau,56
jowi,55
wayla,55
bolle,55
luttu,55
usman,55
lami,55
boobo,55
kogi,55
tawa,54
adi,54
ann,54
ci,54
all,54
ibadan,54
maali,53
faransi,53
ammaa,53
are,53
maajum,53
aliyu,53
leuru,53
education,53
siyaasa,53
jagordo,53
goomu,52
duniyaaru,52
yal,52
moo,52
lekki,52
dau,52
mbo,52
pdp,52
tuma,51
kaa,51
ngon,51
dowlaaji,51
sukaa,51
kamerun,51
mangu,51
maare,51
daande,51
amtaare,51
ben,51
pelaajo,51
buhari,51
emo,51
zamfara,51
doon,51
nasarawa,51
wonii,50
ni,50
timmini,50
warti,50
se,50
duujal,50
mawnde,50
ku,50
hakku,50
ki,50
iri,49
jaay,49
labe,49
tooro,49
leddi,49
paris,49
apc,49
iwo,49
heewi,48
heewde,48
daartol,48
islaam,48
hawsare,48
karai,48
laabi,47
heew,47
gabon,47
benin,47
laagos,47
igbo,47
com,47
cellal,47
sani,47
afro,47
ardoogal,47
ngoo,46
wonande,46
jannde,46
mbi,46
eyda,46
walaa,46
alqur,46
east,46
biyetee,46
ñalnde,46
lardu,46
party,46
binndan,46
bayelsa,46
jaloo,45
tawaa,45
jolal,45
embo,45
goro,45
dam,45
taytu,45
keerol,44
diiwe,44
dentu,44
wari,44
waa,44
muu,44
duule,44
etinan,44
wadgo,44
jaango,44
bawci,44
pullo,43
teeme,43
hi,43
han,43
buri,43
ganndal,43
oto,43
ernde,43
esngu,43
filmi,43
mita,43
faro,43
manndelaa,43
benue,43
