word,count
ja,1026016
on,538372
oli,268330
vuonna,233500
hän,194992
myös,156892
joka,109209
ei,95316
ovat,89705
se,85142
mutta,83071
sekä,81978
sen,77353
että,76739
tai,75524
lähteet,74750
the,67463
vuoden,66623
hänen,64408
suomen,62856
jälkeen,61800
kanssa,61085
muualla,54046
aiheesta,53085
kun,49347
mukaan,49200
jonka,44069
jossa,41232
noin,39772
kuin,39644
of,39427
olivat,39268
kuitenkin,38959
sai,38360
eli,38084
muun,36770
muassa,35692
ollut,33616
lisäksi,33239
vain,32379
tuli,32068
aikana,31686
vuosina,30915
voi,30914
esimerkiksi,30782
suomalainen,30721
syntyneet,29992
luvun,29842
jotka,29779
myöhemmin,29273
kaksi,28784
hänet,28503
jo,28069
ole,27709
kuten,27307
luvulla,27167
ennen,25970
suomessa,25794
ensimmäinen,25669
mm,25567
osa,24492
toimi,24406
voitti,24397
sitä,24252
tämän,23399
yksi,22464
vastaan,22035
eri,21624
sillä,21073
suomalaiset,20801
yli,20791
niin,20773
teki,20038
ne,20009
koska,19925
de,19785
jolloin,19774
yhdysvaltalainen,19605
helsingin,19374
tämä,19199
voidaan,19021
ensimmäisen,18958
koko,18574
henkilöt,18466
he,18348
vuotta,18154
vuodesta,18113
usein,18101
kaikki,17661
alkoi,17279
siitä,16994
elävät,16962
yhtyeen,16807
toinen,16790
olla,16776
kolme,16673
vielä,16444
hyvin,16066
and,15718
eivät,15584
kauden,15543
sijaitsee,15349
kautta,15024
kaupungin,15015
kuolleet,14994
yleensä,14804
vuoksi,14607
vaikka,14346
siirtyi,14258
jota,14137
julkaistiin,13971
suurin,13969
näyttelijä,13770
yhdysvaltalaiset,13745
ajan,13729
pelasi,13725
viitteet,13680
alueella,13647
jos,13629
olisi,13579
mukana,13546
useita,13540
kaudella,13440
in,13245
niiden,13125
maan,12924
saksan,12837
toisen,12832
venäjän,12823
pohjois,12795
aloitti,12755
tammikuuta,12714
historia,12690
eikä,12591
maaliskuuta,12585
new,12497
euroopan,12435
yhdysvaltain,12433
käytetään,12424
josta,12368
helmikuuta,12250
alussa,12230
muita,12229
vuoteen,12140
joista,12077
syntyi,11975
paljon,11971
yhdessä,11964
mikä,11937
lokakuuta,11874
uuden,11857
syyskuuta,11849
huhtikuuta,11844
ii,11825
toukokuuta,11818
yhtye,11758
nimellä,11699
lopulta,11697
kertaa,11695
kesäkuuta,11689
heinäkuuta,11659
kuuluu,11644
vaan,11627
joulukuuta,11608
katso,11591
kaupunki,11585
marraskuuta,11468
nimi,11391
olevan,11350
aina,11343
elokuuta,11215
kuoli,11207
alueen,11157
ranskan,11081
lähes,10968
asti,10957
uusi,10920
samalla,10845
heidän,10842
kirjailija,10840
saanut,10815
etelä,10788
itse,10781
kerran,10750
neljä,10604
helsinki,10584
välillä,10495
siihen,10379
oy,10368
nousi,10355
eaa,10312
jopa,10220
suuri,10146
lähtien,10134
km,10125
saa,10106
john,10065
avulla,9988
käyttää,9984
häntä,9983
sarjan,9971
jäi,9961
erityisesti,9960
albumi,9945
albumit,9876
maailman,9860
valittiin,9762
edelleen,9724
metrin,9686
tulee,9674
sodan,9594
taas,9547
kuitenkaan,9535
ruotsin,9530
yhden,9453
vasta,9295
perustettiin,9235
keskeiset,9232
takaisin,9219
tarkoittaa,9218
kirkon,9179
toimii,9142
artikkelit,9125
laulu,9109
prosenttia,9056
muiden,9025
isbn,9012
joissa,8936
seulonnan,8929
jolla,8923
kappaleet,8912
joiden,8887
julkaisi,8876
näin,8845
saakka,8840
muut,8837
elokuva,8823
aiemmin,8647
miljoonaa,8641
sitten,8600
aikaan,8587
kuningas,8555
tunnetaan,8542
alkaen,8530
siellä,8474
alun,8429
palasi,8292
takia,8191
yhdysvalloissa,8185
niitä,8133
joutui,8106
kahden,8004
sijoittui,7955
palkinnon,7946
nykyisin,7909
ilman,7893
kuului,7888
albumin,7881
metriä,7880
yhteensä,7874
joita,7844
alue,7835
joten,7718
elokuvan,7691
enää,7669
valmistui,7661
to,7645
nykyään,7639
enemmän,7626
turun,7606
otti,7590
johon,7588
la,7578
alle,7559
uransa,7542
missä,7510
paras,7472
von,7398
siinä,7389
osallistui,7364
poika,7362
kitara,7349
monet,7347
uudelleen,7310
pitää,7306
piti,7296
kilometriä,7296
käyttöön,7295
yliopiston,7271
sm,7265
minkä,7250
entinen,7243
tätä,7213
elokuvat,7210
oman,7179
pian,7174
viisi,7143
varten,7132
suomi,7127
jälleen,7073
perin,7040
pois,6985
kirkko,6954
aluksi,6940
laulaja,6937
yhteydessä,6933
presidentti,6895
julkaistu,6859
muutti,6852
myötä,6839
hänellä,6805
tv,6797
ala,6791
elokuvassa,6773
esiintyi,6766
toiminut,6764
saksalainen,6763
kirjoitti,6599
poliitikko,6555
olleet,6529
vuodelta,6527
samana,6492
esiintyy,6432
toiseksi,6428
laji,6414
voivat,6339
perusti,6321
aikaa,6291
kertoo,6288
kolmas,6246
liittyi,6243
kunnes,6233
ura,6225
pinta,6211
iii,6167
neuvostoliiton,6160
maailmansodan,6135
ettei,6129
lähellä,6092
johti,6084
tehtiin,6082
saavutti,6075
lopulla,6068
sisältää,6064
hänelle,6055
itä,6052
tuolloin,6029
kisoissa,6020
nämä,5997
keski,5976
professori,5939
valtion,5926
kunnan,5926
rakennettiin,5920
mitä,5901
sarjassa,5897
ssä,5886
rock,5875
huolimatta,5843
puolestaan,5839
kappale,5829
seuraavana,5825
suuren,5825
vuotiaana,5808
kappaletta,5789
yhtiön,5781
siten,5779
jatkoi,5775
jäsenet,5751
cm,5739
lähinnä,5735
hieman,5732
käytössä,5731
sijaan,5727
puolueen,5723
työskenteli,5705
siirrettiin,5704
tästä,5699
kausi,5688
em,5685
kirjallisuutta,5667
joukkue,5663
tampereen,5648
pekka,5628
ilmoitti,5626
armeijan,5606
saivat,5588
hopeaa,5578
joskus,5552
ensimmäiset,5537
pidetään,5530
rummut,5516
aika,5508
pääsi,5495
for,5493
kesällä,5489
ainakin,5483
ranskalainen,5474
seuran,5473
kuuluvat,5447
matti,5441
muuta,5422
lopussa,5408
suomeen,5397
antoi,5395
viimeinen,5395
määrä,5389
ensin,5380
levy,5368
kappaleen,5358
maa,5352
päätti,5348
kaikkien,5346
yhtä,5333
mennessä,5327
kuusi,5319
hallituksen,5313
kultaa,5312
seurauksena,5311
tunnettu,5304
osan,5295
juuri,5269
ssa,5264
kilpailuissa,5260
tehty,5259
ilmestyi,5246
com,5236
saksassa,5228
pieni,5197
käytetty,5187
englannin,5179
oleva,5177
voitto,5174
erittäin,5171
you,5170
kymmenen,5166
mestaruuden,5166
jalkapalloilija,5165
euroopassa,5157
isänsä,5140
hänestä,5137
kaupungissa,5137
tällöin,5136
asukasta,5135
ainoa,5126
syksyllä,5118
käytettiin,5118
alkaa,5109
lehden,5104
italian,5097
länsi,5093
kunta,5074
joko,5071
perusteella,5070
läpi,5060
perustettu,5059
ry,5059
isä,5049
nopeasti,5046
sarja,5033
alus,5029
kohti,5027
tullut,4995
ensi,4988
saman,4984
cd,4984
jäsen,4983
robert,4980
keväällä,4966
tammikuussa,4963
luku,4957
saada,4953
world,4939
ensimmäistä,4934
yhä,4933
näiden,4932
james,4914
vuosien,4903
ensimmäisenä,4903
tehdä,4896
seura,4895
säveltäjä,4889
etenkin,4884
seitsemän,4881
opiskeli,4871
kokonaan,4859
yliopistossa,4854
fi,4848
brittiläinen,4847
sittemmin,4845
david,4831
täysin,4816
pitkä,4814
kutsutaan,4813
al,4802
oma,4801
niistä,4798
me,4790
kilometrin,4781
espanjan,4776
luvulta,4768
ruotsalainen,4751
basso,4742
kävi,4723
lähti,4722
toiminta,4719
paul,4715
kolmen,4711
päättyi,4707
uusia,4692
ainoastaan,4688
jotta,4655
yhdysvallat,4642
joukkueen,4636
versio,4618
san,4618
käytti,4609
tällä,4607
suom,4596
yhtiö,4588
uutta,4583
tässä,4579
tehnyt,4570
britannian,4569
ottelua,4569
pronssia,4564
ottelussa,4549
nyt,4544
johtaja,4540
kotisivut,4536
koskaan,4535
osaa,4535
michael,4529
rakennettu,4528
rooman,4508
live,4501
ihmisen,4498
pelin,4496
kasvaa,4493
sota,4491
erilaisia,4487
nimen,4484
sopimuksen,4467
samaan,4465
kielen,4431
pelaaja,4429
naisten,4420
asui,4392
nimensä,4377
nhl,4359
alueelle,4358
lokakuussa,4340
luettelo,4330
joulukuussa,4326
esitti,4323
oulun,4322
helsingissä,4317
eniten,4309
elokuussa,4298
koulu,4296
pääasiassa,4294
