word,count
ja,15358
om,14285
eesti,4530
inemiseq,4187
võro,4066
kihlkunnan,4008
kandin,3553
oll,3299
kihlkunna,2909
rõugõ,2600
vai,2573
tä,2186
ommaq,2169
vallan,2008
miä,1946
külä,1926
päiv,1901
ku,1860
ka,1827
kiil,1804
küläq,1736
et,1694
perrä,1653
põlva,1627
viil,1507
ilma,1498
aastagal,1487
aastaga,1423
setomaa,1399
järv,1393
tuu,1377
pääle,1285
vahtsõliina,1277
muu,1245
kõgõ,1204
keelen,1196
ni,1148
pääl,1108
pääväl,1095
taa,1068
kaeq,1061
võromaa,1056
põh,1011
kotsilõ,975
lätteq,974
urvastõ,958
eestin,954
tarto,918
kanepi,914
valla,899
sündünüq,882
vald,869
päävä,855
järveq,832
räpinä,821
välislingiq,818
vällä,812
karula,795
ärq,793
timä,790
sai,779
üts,744
kasvoq,724
ei,714
koolnuq,702
midä,699
viieläjäq,698
kon,693
kallendri,693
uma,662
setomaal,659
nii,655
nimi,651
kiä,645
keele,644
pall,622
gregoriusõ,622
inne,614
kihlkund,595
the,588
soomõ,584
aolugu,574
mägi,570
nink,569
või,550
mink,545
sv,544
vana,541
tuud,538
olõ,521
kokko,519
sõs,519
seto,511
aastak,506
päält,504
sääl,503
olliq,500
liin,484
ala,473
maailman,450
harglõ,450
saa,447
nt,445
mitmõ,443
väega,438
puul,437
õuruupa,433
oja,433
uja,432
es,431
edimäne,430
vinne,419
üle,417
lipp,416
jõõq,414
läbi,411
sündü,408
näütüses,407
tähtpääväq,407
poolõ,404
kultuur,394
sündmüseq,392
õnnõ,389
olnuq,387
km,381
suurõmb,378
iist,377
käve,376
ameeriga,375
pühäq,375
man,374
kiilt,373
bbc,371
new,370
maa,367
kõik,365
kats,364
jaan,362
mõisa,361
liina,360
riike,360
york,353
times,347
aastagast,346
suur,346
mäe,344
aol,340
luudus,339
umavalitsuisi,337
järve,334
ehk,331
riik,326
hummogu,326
läts,324
pääliin,316
ümbre,315
tulõ,311
umbõs,310
õdagu,307
and,306
liigaastagal,306
aastagasada,304
maakund,303
muial,302
inämb,301
peräst,301
põimukuu,299
üten,296
lõunõ,296
haani,295
vabariigi,293
vasta,292
inemist,289
üles,289
all,288
joulukuu,287
vahtsõaastakuu,286
internetitunnus,285
sisse,280
nuuq,278
kui,278
internetitunnussõq,277
aksa,274
antsla,272
kah,272
ülikooli,271
juusk,271
läti,270
raamaduq,266
inemise,265
ollaq,265
keskus,265
peetäs,258
veeren,258
tetti,256
hariligult,255
piimäkuu,255
ungari,254
valda,254
inemiisi,253
kõrda,253
märtekuu,253
süküskuu,253
ilman,253
puult,250
toppdomän,250
tull,249
inglüse,249
rahvalaul,248
külän,247
vahtsõ,247
riigi,246
jaos,246
maaq,244
panti,243
hainakuu,243
as,241
alõvik,241
sis,237
liinaq,237
majandus,234
poliitiga,233
on,233
vinnemaa,232
naas,232
inemine,231
aastagasaal,230
iq,230
poolõst,230
peri,230
sirvikallendri,230
lätt,229
ilmunuq,229
tagasi,229
võromaal,228
osa,227
aigo,225
afriga,224
jõgi,223
keeleq,222
ukraina,222
aastagasaa,222
rahvastik,222
riigiq,221
kuuli,221
seen,221
tedä,221
rehekuu,221
kar,220
jääs,219
albomiq,219
aigu,218
radokuu,218
elli,218
jõõ,218
esiq,217
seo,217
olõq,216
võeti,216
saanuq,213
tõisi,212
aastakka,212
vaihõl,211
laul,211
tuuperäst,210
aq,208
tuust,207
eläs,207
kiränik,207
valitsõmisjaotus,205
tallituspüürdmist,205
kirändüs,204
välislink,204
lehekuu,204
kolm,204
hindä,203
kiili,203
hää,202
näide,201
võtt,200
roodsi,200
tetäq,199
hulga,198
mano,197
um,197
üte,195
nime,195
jago,195
lump,194
urbõkuu,193
vabariik,192
nääq,192
mahlakuu,191
jäi,188
kaika,187
rahva,186
joba,184
suurõmbaq,183
ma,183
perit,182
nigu,179
kutsutas,179
tii,178
edesi,178
poola,177
oppaja,177
mälehtüssammas,177
pruugitas,176
maailma,175
aastagil,175
suurõ,174
saarõ,174
pääliinaq,174
esä,174
kooniq,173
jaanimägi,173
ildampa,171
luudi,169
häste,169
hiina,167
