word,count
og,62774
er,34030
at,28197
sum,22244
við,20499
av,20338
til,20022
kr,16347
var,15549
hann,15287
ein,13267
árini,12426
fyri,12312
ið,11114
um,11077
hevur,10378
eru,10324
tað,10038
frá,7814
eitt,7515
eisini,7285
hjá,6854
varð,6792
men,6025
tá,5998
verður,5880
eftir,5853
ikki,5838
hon,5748
úr,5586
har,5319
føðingar,5245
hava,5115
keldur,5035
tí,4879
teir,4643
the,4597
so,4558
øld,4486
føroyum,4471
tey,4357
vóru,4214
ella,4053
ár,3936
andlát,3815
tann,3456
fólk,3364
hendingar,3309
seg,3247
enn,3224
fleiri,2909
hetta,2732
hevði,2725
verið,2699
einum,2677
upp,2655
nú,2620
úteftir,2602
kommuna,2564
undir,2547
út,2525
verða,2521
of,2494
millum,2478
teimum,2332
føroya,2326
saman,2317
umleið,2294
eina,2293
slóðir,2277
sær,2258
nógv,2212
vera,2201
usa,2162
gjørdist,2116
aftur,2094
síðan,2064
danmark,2019
kom,1999
amerikanskur,1974
føddur,1957
fekk,1952
tær,1755
fram,1740
føroyar,1732
vann,1672
fyrstu,1632
hansara,1628
januar,1592
august,1574
svøríki,1566
bæði,1564
føroyskir,1550
fór,1523
juni,1518
fyrsta,1499
mai,1498
kann,1486
mál,1475
mars,1473
yvir,1467
býurin,1467
september,1456
juli,1452
føroyskur,1423
apríl,1417
liggur,1408
seinni,1392
fáa,1384
tó,1355
desember,1340
sí,1335
hin,1330
oktober,1330
alt,1320
november,1319
februar,1319
byrjaði,1306
býir,1279
de,1267
hesum,1267
politikari,1267
móti,1266
sjónleikari,1263
tíðini,1257
íbúgvar,1252
vit,1225
rithøvundur,1207
inn,1194
væl,1185
býur,1185
ferð,1173
vórðu,1156
kalendaranum,1154
áratíggju,1128
sambært,1122
mest,1121
gera,1116
fo,1113
tók,1098
høvdu,1081
landið,1078
teirra,1073
dag,1067
øðrum,1064
and,1052
øllum,1042
ára,1041
km,1040
sama,1027
in,1003
partur,995
joensen,986
kemur,984
bara,981
meðan,975
skal,962
fødd,961
ávísingar,960
øldir,958
øll,951
áðrenn,948
kunnu,948
búgva,947
län,945
sínum,941
landinum,940
koma,938
ofta,932
onnur,920
her,896
kommunu,890
annað,888
skuldi,881
fuglar,876
síðani,873
bert,873
hesi,870
fara,870
fyrr,869
enskum,859
sera,858
ferðir,857
tvey,855
honum,855
nýtt,848
evropa,846
dagar,844
árinum,839
land,838
new,832
sett,830
kommunur,829
sín,825
føroyska,824
gregorianska,823
bygd,822
bleiv,818
heiminum,807
forseti,804
serliga,801
søga,800
dagur,797
tórshavn,788
fyrst,778
gjørt,778
gull,776
havn,769
fýra,767
com,767
árið,764
stóra,763
føroyskt,759
ímóti,751
frí,746
komu,743
kendur,741
innan,730
niður,727
vanligt,726
eini,726
hans,725
býnum,724
uttan,722
tú,722
føroysk,721
meira,720
tíð,718
dømis,712
john,710
ímillum,708
gjørdi,704
taka,699
fer,696
nummar,689
spældi,689
heldur,687
stovnað,686
sangari,686
hvussu,683
politikarar,679
amerikanskir,677
ársins,674
ol,670
sína,669
navnið,668
føroyskum,664
enskt,664
størsti,660
altjóða,657
fyrrverandi,656
skrivað,655
felagið,652
best,651
tveir,649
nr,646
fólkið,643
menn,641
árunum,641
fingu,641
sítt,636
vanliga,632
danskt,627
soleiðis,625
amerikonsk,620
fyrsti,618
halda,618
metrar,618
summar,616
flestu,614
frøðiheiti,614
eitur,613
songkvinna,612
fótbóltsleikari,611
kongur,610
størsta,598
hennara,598
nakað,598
milliónir,593
umframt,592
gav,591
lív,589
noregi,585
keypmannahavn,583
jacobsen,581
árstal,581
tónleikari,579
for,576
hvørt,573
olsen,572
heimasíða,572
kvinnur,570
doyði,568
fóru,567
allar,566
formaður,565
hvør,564
world,564
kend,564
hóast,562
fingið,562
hansen,561
londum,560
eins,558
einari,557
børn,555
mong,553
deyður,552
henda,551
to,547
limur,543
fær,543
limir,541
italia,539
eg,538
st,536
myndir,534
heimasíðan,531
isbn,531
aðrar,530
fimm,529
tvær,526
lond,525
málið,524
havt,524
siga,521
oynni,518
merkir,515
eigur,515
skulu,514
sjónleikarinna,511
sigur,510
almenna,509
bygdir,508
man,508
størstu,507
gjøgnum,506
hildin,504
silvur,504
burtur,503
danskur,503
danska,501
heilt,495
størri,494
vunnið,494
york,492
útgávur,491
enskur,489
luttók,489
met,488
bólkinum,488
íslandi,487
nógvar,487
nýggja,486
týskur,486
heimsins,484
rasmussen,483
stovn,482
segði,482
seinastu,482
hana,480
uml,479
setti,479
rithøvundar,479
ganga,476
nevnd,474
skrivaði,474
james,474
jógvan,473
martin,473
ger,471
besta,470
nøkur,462
síggja,457
longu,452
gamla,452
stendur,451
trý,451
fólkatalið,451
gamal,449
oyggjar,446
stóran,446
heim,445
fólkinum,445
sjónleikarar,445
petersen,441
kina,440
jákup,439
hm,439
tríggjar,439
allan,439
síni,439
amerikanska,439
stór,438
næstan,436
afrika,436
høvuðsstaður,436
skotár,436
stórt,431
klaksvík,430
spælt,430
valdur,429
tour,429
league,428
mark,427
amerika,426
ii,422
hildið,420
oyggin,418
búðu,417
oyggjarnar,414
kring,412
lata,412
sonur,412
nevndur,410
kirkjan,410
gerast,408
helst,403
en,402
dagin,401
nielsen,398
la,396
seta,395
týsklandi,395
svenskt,395
city,395
skjótt,394
lið,394
flutti,393
orð,392
leikarar,392
tikið,391
london,389
helt,388
hvørjum,388
george,387
tikin,386
kundi,385
føroyingar,384
jens,384
org,382
christian,380
tekur,379
stutt,378
landi,377
býin,377
suðuroy,376
kanada,376
minni,375
ber,372
heiðursmerki,372
undan,370
heitið,370
stórar,370
stóð,369
fm,369
útvortis,369
langt,368
dahl,368
navn,367
bestu,367
bronsu,367
høvuðsstaðurin,366
føroysku,365
mentan,365
stórum,365
hesin,365
maður,365
spania,361
hesar,360
spælir,360
skaldsøga,360
johannesen,359
mánaðir,359
eingin,358
em,358
es,356
tóku,356
leggja,356
tónleikarar,356
úrslit,356
allir,355
brúkt,354
bólkur,353
einki,353
stórur,351
landsins,351
liva,351
sínar,351
føroyskar,350
uppá,349
you,349
noreg,348
altíð,348
skuldu,348
william,348
spæla,348
øki,347
stóru,345
standa,344
stig,343
upprunaliga,343
vági,343
sagt,341
ta,341
mió,341
fótbólti,341
ógvuliga,340
politikkur,340
song,340
eiga,338
samband,338
eurovision,338
brasil,338
tætt,337
henni,337
is,337
kappingin,337
cup,337
døgum,336
lítið,336
franskur,335
vatn,334
ísland,333
onglandi,333
gongur,332
aðrir,331
talan,331
finna,331
ígjøgnum,330
sæst,330
býr,330
beint,330
maria,330
somu,329
gomul,329
legði,327
geva,326
on,325
nógvir,323
komin,322
verk,322
túsund,321
robert,321
fc,321
nakrar,320
vald,320
liðið,320
nevnt,319
yrkingar,319
uci,319
byggja,318
peter,317
lærari,317
suður,316
uppi,316
kalifornia,316
india,316
prosent,314
bretskur,314
japan,314
djurhuus,314
mortensen,314
filmar,313
átti,312
dam,312
arbeiði,311
poulsen,311
útgivið,310
part,310
fólki,310
hesir,310
mesta,310
ymisk,309
petur,309
kirkja,308
parti,308
amt,307
talið,306
árum,306
uefa,306
no,305
vinna,304
betri,303
hvat,302
okkara,302
einaferð,302
inni,301
enda,300
avstralia,300
julianska,299
seks,298
løgmaður,298
lagt,298
hátt,298
gekk,298
disney,298
kommune,298
samstundis,297
niels,297
løgtingið,296
arbeiða,295
settur,294
týskland,294
tveimum,293
skriva,293
endaði,293
sleppa,292
gott,292
fraklandi,292
ov,292
monnum,291
kommun,291
anna,290
londini,290
johan,290
norður,289
tórshavnar,288
vaks,288
svimjing,288
michael,287
lag,287
páll,286
úti,286
havnar,286
tvøroyri,286
det,286
ávísing,286
økisnavn,286
heiður,285
love,285
summarið,284
fótbóltur,284
den,284
liggja,283
alment,283
ítróttur,283
sjálvur,283
hesa,283
tónleikaútgávur,283
contest,283
gjørdu,281
sangskrivari,281
jan,281
awards,281
oftast,280
bókmentir,280
poul,280
pál,280
music,280
valdið,279
magnus,279
annars,278
bøkur,278
der,278
asia,278
stjórnin,277
oman,277
al,277
læt,277
byrjar,276
vita,276
frakland,276
illa,276
bretlandi,275
jesus,275
stovnaður,274
rætt,274
russland,274
thomas,274
svenskur,273
david,273
long,273
hús,272
donskum,272
mun,272
hvønn,271
slag,271
nær,271
vunnu,271
unum,270
rennur,270
sundur,270
harvið,270
seinna,270
vil,269
grand,269
deild,268
dystir,268
wikivoyage,268
international,267
jensen,267
partar,266
grein,264
sløg,264
landafrøði,262
lívsleið,262
veturin,261
meiri,260
leið,259
skúla,259
økinum,259
ymiskum,259
líka,259
høgni,259
heimin,259
kundu,258
hoyra,258
sangir,258
leikstjóri,257
kelda,257
tónaskald,256
vildi,256
týðandi,255
jacob,255
gildi,254
orsakað,253
vísa,253
harumframt,253
longur,252
orðið,251
kappingini,251
bólkurin,250
tilsamans,249
af,249
flokkurin,249
nýta,248
sjey,248
síður,248
bretland,248
smith,248
sangarar,248
týdning,247
nógvum,247
suðurafrika,247
annan,245
jørðini,245
skip,244
einasta,244
flyta,243
økið,243
oyggj,243
gomlu,243
landslutinum,243
trimum,242
www,242
sveis,241
kríggið,241
university,241
valdi,240
áður,240
lítil,239
beinleiðis,239
búði,239
italskur,239
niðurlondum,239
útbúgving,238
staðin,238
bygt,238
aftaná,238
uppruna,237
virkin,237
brúka,237
donsku,237
dk,237
von,237
bygdini,237
givið,237
vinnarar,237
with,237
alla,236
triðja,236
søgu,235
giftist,235
løgtingslimir,235
cm,235
gerst,234
sang,234
stjóri,234
danskir,233
góð,233
pauli,233
annar,233
óli,233
búskapur,232
veksur,232
felagnum,232
gjørd,231
høgt,231
grønlandi,231
ríki,231
dansk,230
kappingina,230
kirkju,229
tíðina,229
nýggj,228
útbúgvin,228
núverandi,228
norðan,227
mitt,227
my,227
filmurin,227
leiklut,226
summi,226
mett,225
me,225
san,225
island,224
paul,224
forsætisráðharri,224
sambandi,223
kapping,223
sjálvt,222
på,222
bygdin,222
heiti,222
vaksa,221
sjónum,221
bílagt,221
hægsta,220
flest,220
forsetin,220
da,220
verja,220
okkum,219
blandað,219
russlandi,219
deyða,219
gevur,218
býtt,218
it,218
heinesen,218
ung,218
sostatt,217
pláss,217
thomsen,217
kent,217
tjóðarøkisnavn,217
einans,215
nakrantíð,215
grikkalandi,215
album,215
egna,214
ferðafólk,214
landsstýrismaður,214
einar,214
norskur,214
dømi,213
víðari,213
enska,213
stjórnini,213
charles,212
seinasta,212
carl,212
svam,212
johansen,212
tónleik,211
mohr,211
fevnir,210
sameindu,210
sat,210
ongantíð,209
tess,209
rættiliga,209
stórir,209
hoyrir,208
eysturoy,208
dóttir,208
má,208
jørgen,208
songkvinnur,208
bók,207
danmarkar,207
hendi,207
tónleikur,207
prix,207
north,207
oynna,206
listi,206
nolsøe,206
alnets,206
oyggjunum,205
lívið,205
van,205
teinur,205
latin,205
mann,205
deyð,205
tríggir,204
bera,204
vísir,203
skipað,203
belgia,203
vatnið,203
rock,203
tónleikabólkar,203
lóg,202
plantur,202
ísrael,202
faroe,201
karl,201
filminum,201
leikunum,201
súkklarar,201
tróndur,200
parturin,200
almenn,200
texas,200
sangur,200
gov,200
ólavur,199
heimspekingur,199
samuelsen,199
sangurin,199
lá,199
hildu,199
leggur,198
flutt,198
útgivin,198
sunnan,198
starvast,198
báðir,198
harry,198
farið,197
listar,197
sanginum,197
mín,196
funnin,196
han,196
drotning,195
eita,195
country,195
oslo,194
luttakarar,194
lagi,193
jóannes,193
fólkum,193
leingi,193
krónur,193
reykjavík,193
jørðina,193
planet,193
bygdur,192
hendan,192
film,192
guitar,192
veðurlagið,191
minsta,191
lesa,191
franskt,191
felag,191
doyðu,191
besti,191
kári,191
fyritøkur,191
jón,191
premier,191
flokkur,190
eystri,190
stundum,190
list,190
farin,189
kallast,189
sindur,189
gjørdust,189
livir,189
týskt,189
vinnari,189
lítla,188
evni,188
holm,188
live,188
suðuramerika,188
havið,187
eysturríki,187
uttanfyri,187
máli,187
eldri,187
ensk,187
kong,186
umboð,186
sá,186
júst,186
londunum,186
hygg,186
tosa,186
nevndin,186
longri,186
afturat,185
staðið,185
metið,185
iii,185
du,185
vegna,184
ári,184
virksemi,184
settu,184
olympisku,184
skotlandi,183
richard,183
ymiskar,183
sangin,183
nýggju,182
ávirkan,182
kallað,182
tíðliga,182
heimsbardaga,182
hagar,182
lars,182
trúgv,181
hvalba,181
vilja,181
hinir,181
fyrra,181
skifti,181
hitt,180
georg,180
bókin,180
prestur,180
bretska,180
football,180
kortini,179
felags,179
málini,179
hoydal,179
keldutilfar,179
flokkar,178
framvegis,178
løg,178
vestur,177
navninum,177
yrkjari,177
odda,176
broytt,176
minst,176
suðri,176
stað,176
danielsen,176
vágs,176
politikki,176
vestri,175
søgan,175
virðisløn,175
barn,175
leiðari,175
nevndarlimur,175
vestmanna,174
kunna,174
útgávan,174
harav,174
boð,174
sumba,174
týðing,174
iso,174
kanska,174
hinum,173
vinnur,173
tilnevndur,173
washington,173
award,173
susvim,173
tosað,172
nýtslu,172
tali,172
andreasen,172
frumevni,172
hb,172
kilometrar,172
vatni,172
dagurin,171
svenska,171
meksiko,171
áin,171
sjúrður,171
jørð,170
from,170
patursson,169
írlandi,169
king,169
gunnar,169
kim,169
by,169
tjóðveldi,168
klaksvíkar,168
átta,168
franska,168
el,168
fótbóltsfelag,168
venjari,168
henrik,167
fluttu,167
flokkinum,167
metra,167
sita,166
sjálvstøðugt,166
meir,166
eta,166
markið,166
víst,166
arge,166
fra,165
nøkrum,165
arbeiddi,165
fjøll,164
hvar,164
ávisingar,164
kalla,163
nógvur,163
norska,163
støddar,163
an,163
bárður,163
svensk,163
kirkjuni,163
ítróttafólk,163
internet,163
finaluna,163
galdandi,162
æt,162
kristin,162
tíggju,162
nakrir,162
med,162
dur,162
sunnanfyri,161
grønland,160
norðara,160
mangir,160
eiði,160
bind,160
listamálari,160
per,160
all,160
vardi,159
nevnast,159
ríkinum,159
syngur,159
portugal,159
paris,159
los,159
star,159
bass,159
valið,158
bar,158
wikipedia,158
pdf,158
nýggjum,158
húsini,158
grikska,158
som,158
hanus,158
metrum,158
norðri,158
nigeria,158
báðar,157
do,157
niclasen,157
movie,157
kvinnum,156
saint,156
kirkjuna,156
di,156
tímar,156
georgia,156
løgdu,156
nærum,155
havinum,155
norðanfyri,155
niðan,155
kristian,155
fremst,155
life,155
meginparturin,154
finnast,154
okkurt,154
týska,154
finnur,154
passeriformes,154
løgtingsval,153
hundrað,153
nevna,153
komið,153
tryggja,153
kirkjur,153
minuttir,153
málum,152
gjørdar,152
týdningarmikil,152
báðum,152
alaska,152
persónar,152
vaksin,151
virðislønir,151
irak,151
luttaka,151
se,151
mikið,150
ríkið,150
ferðast,150
kenna,150
haðani,150
ff,150
national,150
fifa,150
miðskeiðis,149
mátti,149
førdi,149
sjálv,149
om,149
bókmentavirðisløn,149
eyðun,149
iran,149
eydnaðist,148
des,148
síggjast,148
einasti,148
andreas,148
letur,148
janus,148
frælsi,148
faðir,147
